Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"ΑΡΓΥΡΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ, ΔΗΜΑΚΟΣ ΙΩΑΝΝΗΣ, ΖΟΡΜΠΑΣ ΘΩΜΑΣ, ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΘΕΟΔΩΡΟΣ, ΤΑΤΑΡΗΣ ΔΙΟΝΥΣΙΟΣ",1,282,4.7,16,7,14,50,1,6,16.7,1,5,20,3,4,7,5,0,0,1,8,10,41.7,82.6,0.9,29.0,2820.0,53.6,49.4,71.4,100,100,4.5,35.7,42.9,164.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,4,4,100,6,1,16.7,0,0,0,1,164.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"ΑΡΓΥΡΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ, ΔΗΜΑΚΟΣ ΙΩΑΝΝΗΣ, ΘΕΟΔΩΡΟΥ ΗΛΙΑΣ, ΚΑΛΙΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΤΑΤΑΡΗΣ ΔΙΟΝΥΣΙΟΣ",1,579,9.7,17,7,17,41.2,2,4,50,1,3,33.3,4,6,10,2,1,1,2,5,10,20.1,39.9,0.4,60.2,5790.0,47.1,46.4,28.6,100,100,9,17.6,23.5,176.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,37.5,4,2,50,4,2,50,0,0,0,2,176.7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,"ΓΚΡΕΚΑΣ ΑΘΑΝΑΣΙΟΣ, ΔΕΝΔΡΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΗΛΙΑΣ-ΡΟΛΑΝΤ, ΠΕΡΓΟΥΛΗΣ ΧΡΗΣΤΟΣ, ΣΩΤΗΡΙΟΥ ΑΡΙΣΤΟΤΕΛΗΣ",1,301,1.8,11,5,9,55.6,1,4,25,0,0,0,2,6,8,3,0,0,3,2,10,78.2,78.6,77.8,30.5,30.8,61.1,61.1,60,50,100,20,0,44.4,111.6,8,2,8,25,0,4,0,4,4,100,0,2,2,2,3,0,0,2,10,25,41,0,0,50,82,4,4,100,1,0,0,4,1,25,0,0,0,3,29.6,3,2,66.7,1,0,0,4,0,0,0,0,0,0,2,4,0,0,2,4
ΓΣ ΣΟΦΑΔΩΝ,"ΕΠΑΜΕΙΝΩΝΔΑΣ ΕΠΑΜΕΙΝΩΝΔΑΣ, ΜΠΟΥΝΤΟΥΡΗΣ ΧΡΗΣΤΟΣ, ΠΑΣΑΓΙΑΝΝΗΣ ΕΜΜΑΝΟΥΗΛ, ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΧΑΤΖΗΣ ΔΗΜΗΤΡΙΟΣ",4,240,0.0,11,4,7,57.1,2,4,50,1,2,50,0,4,4,3,5,1,2,1,10,104.9,98.8,111,24.3,21.6,71.4,69.8,75,0,66.7,15.5,28.6,57.1,111.3,6,2,7,28.6,0,2,0,2,2,100,2,3,5,1,2,1,5,1,11,28.6,38.1,38.8,33.3,28.6,54.1,2,2,100,1,0,0,4,2,50,0,0,0,2,57.3,4,2,50,1,0,0,2,0,0,0,0,0,5,0,6,6,2,2,2
ΓΣ ΣΟΦΑΔΩΝ,"ΕΥΣΤΑΘΙΑΔΗΣ ΙΩΑΝΝΗΣ-ΠΑΝΑΓΙΩΤΗΣ, ΚΑΜΠΕΡΙΔΗΣ ΑΛΕΞΗΣ, ΜΑΥΡΟΕΙΔΑΚΟΣ ΕΥΑΓΓΕΛΟΣ, ΤΟΥΛΟΥΠΗΣ ΕΥΑΓΓΕΛΟΣ, ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",2,244,0.0,9,3,7,42.9,0,4,0,3,8,37.5,1,4,5,2,2,0,0,0,10,92.1,96.5,87.8,24.9,27.3,42.9,42.8,66.7,16.7,80,0,114.3,57.1,91.8,5,2,7,28.6,1,6,16.7,0,0,0,1,5,6,1,0,0,3,6,9,35.7,35.7,30,20,85.7,56,2,2,100,1,1,100,4,0,0,0,0,0,0,35.8,1,1,100,0,0,0,6,1,16.7,0,0,0,3,0,5,4,2,0,0
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"PETTEWAY TERRAN-JOSEPH-JAMES, ΒΟΥΛΓΑΡΟΠΟΥΛΟΣ ΕΥΣΤΡΑΤΙΟΣ, ΚΟΥΦΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ, ΜΠΕΛΗ ΟΡΕΣΤΗΣ",3,290,0.0,15,5,8,62.5,0,2,0,5,7,71.4,2,4,6,4,0,4,1,4,10,81.3,82.3,80.3,29.2,29.9,62.5,67.7,80,66.7,66.7,6.2,87.5,25,150.9,9,3,10,30,0,0,0,3,5,60,2,1,3,2,1,1,0,5,10,30,36.9,0,33.3,0,92.8,3,3,100,2,2,100,2,0,0,0,0,0,1,58.2,5,3,60,1,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"VARNER II LESLEY-CORTEZ, ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΘΕΟΔΩΡΟΣ, ΛΕΜΠΕΣΗΣ ΠΙΤΕΡ-ΤΖΕΙΜΣ, ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΧΑΡΙΛΑΟΣ, ΤΑΤΑΡΗΣ ΔΙΟΝΥΣΙΟΣ",2,259,0.0,9,3,7,42.9,0,4,0,3,5,60,4,3,7,3,3,0,4,4,10,91.1,90.6,91.6,26.5,26.2,42.9,48.9,100,80,100,24.7,71.4,57.1,92.1,8,3,5,60,1,1,100,1,2,50,0,1,1,2,2,0,4,4,10,70,68,40.5,0,20,81,1,1,100,2,2,100,4,0,0,0,0,0,4,11.1,4,2,50,0,0,0,1,1,100,0,0,0,4,4,2,6,0,2,5
ΓΣ ΣΟΦΑΔΩΝ,"ΕΠΑΜΕΙΝΩΝΔΑΣ ΕΠΑΜΕΙΝΩΝΔΑΣ, ΠΑΣΑΓΙΑΝΝΗΣ ΕΜΜΑΝΟΥΗΛ, ΣΠΡΙΝΤΖΙΟΣ ΜΙΧΑΗΛ, ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΧΑΤΖΗΣ ΔΗΜΗΤΡΙΟΣ",3,352,0.0,22,8,10,80,6,8,75,0,0,0,1,7,8,7,0,1,2,4,10,73.3,67.2,79.4,35.7,30.2,110,110,87.5,100,100,10.5,0,80,223.1,7,1,7,14.3,0,2,0,5,6,83.3,0,0,0,0,1,0,2,2,12,14.3,36.3,17.2,0,28.6,60.1,2,2,100,0,0,0,8,6,75,0,0,0,2,163,2,1,50,2,0,0,2,0,0,0,0,0,2,3,0,6,2,2,2
ΑΟ ΑΙΓΑΛΕΩ,"BRADFORD CHRISTIAN-ALEXANDER, ELMORE NAVAR MCCORDE, ΔΕΙΜΕΖΗΣ ΔΗΜΗΤΡΙΟΣ, ΝΤΙΠΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΧΟΥΧΟΥΜΗΣ ΝΙΚΟΛΑΟΣ",1,319,0.0,9,2,7,28.6,1,3,33.3,4,4,100,1,3,4,3,0,0,2,2,10,77,72.9,81.2,32.9,29.6,35.7,51.4,150,20,50,14.5,57.1,42.9,92.9,14,7,13,53.8,0,4,0,0,0,0,3,4,7,5,1,2,1,3,11,53.8,53.8,7.1,50,30.8,129.7,1,1,100,1,0,0,3,1,33.3,0,0,0,2,-36.9,8,7,87.5,1,0,0,4,0,0,0,0,0,1,2,0,0,6,0,2
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,"ΔΕΝΔΡΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΚΑΛΙΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΠΕΡΓΟΥΛΗΣ ΧΡΗΣΤΟΣ, ΠΟΖΟΓΛΟΥ ΝΙΚΟΛΑΣ, ΣΥΛΛΑΣ ΛΟΥΚΑ ΝΙΚΟΛΑΟΣ",4,268,0.0,11,4,13,30.8,0,3,0,3,3,100,3,3,6,3,2,1,0,1,10,89.9,91.3,88.5,26.3,27.1,30.8,38.4,75,42.9,100,0,23.1,23.1,107.9,6,2,6,33.3,0,1,0,2,2,100,0,4,4,2,0,4,3,2,10,33.3,43.6,30.4,0,16.7,60.7,5,4,80,0,0,0,3,0,0,0,0,0,0,47.2,4,2,50,0,0,0,1,0,0,0,0,0,3,0,6,4,0,0,0
