Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,17,ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,11,17.0,187.2,53.0,4.8,12.0,49.0,24.5,11.0,39.0,28.2,18.0,24.0,75,5.0,33.0,38.0,33.0,9.0,1.0,13.0,34.0,64.9,19.4,3.0,1.9,2.1,64,117.0,10.6,6.6,8,1.6,6,2,58.1,9.9,5,0.56,-6.45,7.01,2.5,2.7,5.0,1.0,20,3.0,0.0,0,39.0,11.0,28.2,0.0,5.0,0.0,0.0,0.0,13.0,4.0,13.0,18.0
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,ΚΟΚΟΡΕΛΗΣ ΑΛΕΞΑΝΔΡΟΣ,6,ΚΟΚΟΡΕΛΗΣ ΑΛΕΞΑΝΔΡΟΣ,11,13.4,147.4,50.0,4.5,16.0,34.0,47.1,3.0,16.0,18.8,15.0,20.0,75,9.0,16.0,25.0,10.0,0.0,2.0,5.0,23.0,37.2,13.6,2.7,0.5,1.3,61,111.0,10.1,5.9,9,2.2,4,1,101.4,4.4,4,-0.6,-3.69,3.09,3.6,3.5,15.0,13.0,86.7,2.0,1.0,50,18.0,4.0,22.2,1.0,1.0,0.0,0.0,0.0,5.0,7.0,10.0,7.0
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,ΣΙΟΥΝΤΡΗΣ ΣΠΥΡΙΔΩΝ,77,ΣΙΟΥΝΤΡΗΣ ΣΠΥΡΙΔΩΝ,11,13.2,144.7,38.0,3.5,15.0,31.0,48.4,5.0,14.0,35.7,3.0,3.0,100,4.0,11.0,15.0,6.0,3.0,0.0,4.0,14.0,31.0,11.4,2.0,0.3,0.8,7,45.0,4.1,2.4,0,0,0,0,0,0.0,0,-2.65,-4.43,1.78,2.8,4.1,13.0,9.0,69.2,4.0,1.0,25,13.0,5.0,38.5,2.0,1.0,0.0,0.0,0.0,4.0,4.0,9.0,6.0
ΑΟ ΑΙΓΑΛΕΩ,ΜΑΝΤΙΚΟΣ ΔΗΜΗΤΡΙΟΣ,8,ΜΑΝΤΙΚΟΣ ΔΗΜΗΤΡΙΟΣ,11,12.4,136.5,20.0,1.8,8.0,37.0,21.6,4.0,29.0,13.8,0.0,0.0,0,0.0,10.0,10.0,4.0,4.0,1.0,4.0,16.0,39.4,15.7,1.0,0.2,0.5,30,50.0,4.5,2.6,0,0,0,0,0,0.0,0,-12.95,-11.38,-1.57,2.8,5.0,5.0,4.0,80,3.0,0.0,0,28.0,4.0,14.3,2.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0
ΛΑΥΡΙΟ BODERM,ΔΕΙΜΕΖΗΣ ΔΗΜΗΤΡΙΟΣ,16,ΔΕΙΜΕΖΗΣ ΔΗΜΗΤΡΙΟΣ,11,3.9,42.6,19.0,1.7,8.0,11.0,72.7,0.0,2.0,0,3.0,5.0,60,7.0,8.0,15.0,2.0,1.0,0.0,4.0,11.0,9.8,12.2,1.0,0.1,0.8,5,24.0,2.2,1.2,0,0,0,0,0,0.0,0,-1.79,-4.42,2.63,4.2,3.4,9.0,8.0,88.9,0.0,0.0,0,2.0,0.0,0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,ΡΟΥΜΕΛΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,5,ΡΟΥΜΕΛΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,11,0.9,10.3,5.0,0.5,1.0,5.0,20,0.0,1.0,0,3.0,6.0,50,0.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,9.3,46.2,0.3,0.0,0.1,2,7.0,0.6,0.4,0,0,0,0,0,0.0,0,-29.81,-30.28,0.47,3.0,4.3,4.0,1.0,25,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,ΑΔΑΜΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ,1/11/23,ΑΔΑΜΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ,11,0.7,7.6,4.0,0.4,0.0,1.0,0,0.0,1.0,0,4.0,6.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,3.5,24.6,0.2,0.0,0.2,273,277.0,25.2,14.7,0,0,0,0,0,0.0,0,-3.11,-7.41,4.3,3.4,4.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,ΜΠΟΥΣΜΠΟΥΡΑΣ ΕΥΑΓΓΕΛΟΣ,5/7,ΜΠΟΥΣΜΠΟΥΡΑΣ ΕΥΑΓΓΕΛΟΣ,11,2.0,21.7,4.0,0.4,1.0,6.0,16.7,1.0,4.0,25,1.0,2.0,50,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,8.5,20.2,0.2,0.2,0.1,48,52.0,4.7,2.6,0,0,0,0,0,0.0,0,-8.13,-7.83,-0.3,2.5,3.9,2.0,0.0,0,0.0,0.0,0,4.0,1.0,25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
VIKOS ΦALCONS,ΧΡΥΣΑΝΘΑΚΗΣ ΘΕΟΔΩΡΟΣ,11,ΧΡΥΣΑΝΘΑΚΗΣ ΘΕΟΔΩΡΟΣ,11,0.8,9.3,2.0,0.2,1.0,2.0,50,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.9,11.6,0.1,0.1,0.0,5,7.0,0.6,0.4,0,0,0,0,0,0.0,0,5.05,0.35,4.7,2.6,3.7,1.0,1.0,100,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΕVERTECH ΠΑΠΑΓΟΥ,DIMANOCHIE SOMTOCHUKWU JESSE,10,DIMANOCHIE SOMTOCHUKWU JESSE,10,23.7,237.0,123.0,12.3,45.0,82.0,54.9,0.0,0.0,0,33.0,57.0,57.9,36.0,49.0,85.0,2.0,5.0,20.0,19.0,27.0,86.5,19.7,6.4,0.1,4.4,9,132.0,13.2,6.8,16,2.7,5,13,74.6,12.7,6,1.25,-2.63,3.88,5.0,3.5,67.0,43.0,64.2,8.0,2.0,25,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,19.0,35.0,12.0,21.0
