Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
ΕVERTECH ΠΑΠΑΓΟΥ,"ADDERTON JARRETT BRYCE, DIMANOCHIE SOMTOCHUKWU JESSE, ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ, ΜΕΡΜΙΓΚΗΣ ΙΩΑΝΝΗΣ, ΜΠΙΛΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",ΓΣ ΣΟΦΑΔΩΝ,"BOTHWELL MICHAEL CLAYTON, ΕΥΣΤΑΘΙΑΔΗΣ ΙΩΑΝΝΗΣ-ΠΑΝΑΓΙΩΤΗΣ, ΚΑΠΕΤΑΚΗΣ ΕΥΔΟΞΙΟΣ, ΜΑΥΡΟΕΙΔΑΚΟΣ ΕΥΑΓΓΕΛΟΣ, ΧΑΤΖΗΣ ΔΗΜΗΤΡΙΟΣ",1,608,10.1,16.0,17,6,14,42.9,3,5,60,2,4,50,1,4,5,5,3,0,3,4,17,6,15,40,3,8,37.5,2,2,100,3,7,10,6,0,0,3,5,17.7,14.8,96.1,115.2,-19.1,115.2,96.1,19.1,0,6,3,50,3,0,0,5,3,60,6,3,50,1,0,0,8,3,37.5,0,0,0,3,0,0,0,3,3,2,2,2,2,0
ΑΟ ΑΙΓΑΛΕΩ,"BRADFORD CHRISTIAN-ALEXANDER, ELMORE NAVAR MCCORDE, ΚΟΥΡΤΙΔΗΣ ΧΡΥΣΟΒΑΛΑΝΤΗΣ-ΤΡΙΑΝΤΑΦΥΛΛΟΣ, ΝΤΙΠΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΧΟΥΧΟΥΜΗΣ ΝΙΚΟΛΑΟΣ",ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"ST HILAIRE DEREK CEDOR, VICTOR CRAIG, ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΑΣΟΝΑΣ, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ, ΝΙΚΟΛΑΙΔΗΣ ΑΠΟΣΤΟΛΟΣ",1,466,7.8,15.7,19,7,14,50,0,4,0,5,5,100,1,3,4,3,2,0,2,2,23,9,14,64.3,4,5,80,1,2,50,3,6,9,5,2,2,2,3,17.1,14.2,110.9,161.9,-51,161.9,110.9,51,-4,8,6,75,1,1,100,4,0,0,9,5,55.6,0,0,0,5,4,80,0,0,0,2,0,0,0,2,2,8,4,4,2,2
ΕVERTECH ΠΑΠΑΓΟΥ,"ADDERTON JARRETT BRYCE, DIMANOCHIE SOMTOCHUKWU JESSE, ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ, ΜΕΡΜΙΓΚΗΣ ΙΩΑΝΝΗΣ, ΜΠΙΛΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, CARTWRIGHT MAALIK JAJUAN, ΓΙΑΝΝΙΚΟΣ ΑΝΔΡΕΑΣ, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",1,485,8.1,15.5,12,5,15,33.3,0,5,0,2,2,100,4,5,9,3,4,1,4,2,9,3,8,37.5,1,5,20,2,2,100,0,5,5,4,2,0,7,3,15.1,15.9,79.3,56.7,22.7,56.7,79.3,-22.7,3,10,5,50,0,0,0,5,0,0,1,1,100,1,1,100,5,1,20,0,0,0,4,0,0,0,7,4,4,4,0,0,3
ΑΟ ΑΙΓΑΛΕΩ,"CARTWRIGHT MAALIK JAJUAN, VOYLES KEVON LEANDRE, ΔΕΙΜΕΖΗΣ ΔΗΜΗΤΡΙΟΣ, ΚΟΥΦΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΝΙΚΟΛΑΙΔΗΣ ΙΩΑΝΝΗΣ",ΛΑΥΡΙΟ BODERM,"KUXHAUSEN ANDRU-JOSEPH, ΜΑΤΑΛΙΩΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ, ΠΡΟΙΣΚΟΣ ΑΛΕΞΑΝΔΡΟΣ, ΣΤΑΣΙΝΟΣ ΒΑΣΙΛΕΙΟΣ-ΟΡΦΕΑΣ, ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ",1,519,8.7,15.1,16,6,15,40,1,3,33.3,3,5,60,3,4,7,6,2,1,1,2,23,9,14,64.3,5,10,50,0,0,0,1,7,8,8,1,1,2,4,15.3,14.9,104.5,154.1,-49.6,154.1,104.5,49.6,-7,9,4,44.4,2,1,50,3,1,33.3,2,2,100,2,2,100,10,5,50,0,0,0,1,0,0,0,2,0,5,1,2,5,2
ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, CARTWRIGHT MAALIK JAJUAN, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"SMITH KENDALL CLAY, VARNER II LESLEY-CORTEZ, ΚΑΛΙΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΧΑΡΙΛΑΟΣ, ΠΕΤΑΝΙΔΗΣ ΚΥΡΙΑΚΟΣ",1,522,8.7,15.1,21,9,13,69.2,1,2,50,2,4,50,0,5,5,3,1,0,1,5,15,5,15,33.3,2,6,33.3,3,4,75,5,5,10,3,1,0,3,4,15.8,14.4,133.2,104.1,29.2,104.1,133.2,-29.2,6,8,6,75,3,2,66.7,2,1,50,6,3,50,2,0,0,6,2,33.3,0,0,0,1,0,0,0,3,2,2,4,10,5,2
ΕVERTECH ΠΑΠΑΓΟΥ,"ADDERTON JARRETT BRYCE, DIMANOCHIE SOMTOCHUKWU JESSE, ΚΑΡΑΜΑΛΕΓΚΟΣ ΗΛΙΑΣ, ΜΕΡΜΙΓΚΗΣ ΙΩΑΝΝΗΣ, ΜΠΙΛΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ",ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,"ROBINSON TRENT DANIEL, WISNIEWSKI DAVID EMIL, ΣΤΑΥΡΑΚΟΥΚΑΣ ΒΑΣΙΛΕΙΟΣ, ΦΥΤΡΟΣ ΙΩΑΝΝΗΣ, ΧΑΤΖΗΝΙΚΟΛΑΣ ΙΩΑΝΝΗΣ",1,427,7.1,15.1,14,5,11,45.5,1,3,33.3,3,5,60,1,4,5,4,3,1,2,1,13,6,12,50,1,3,33.3,0,0,0,1,7,8,2,1,0,5,5,14.4,15.7,97.2,82.7,14.5,82.7,97.2,-14.5,1,8,4,50,0,0,0,3,1,33.3,6,5,83.3,2,0,0,3,1,33.3,0,0,0,2,0,0,0,5,2,5,5,2,2,2
ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, KOMAGUM JONATHAN, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΠΑΠΑΡΕΓΚΑΣ ΝΙΚΟΛΑΟΣ, ΣΑΜΑΡΤΖΙΚ ΒΟΥΚΑΝ",ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, DRASKOVIC MILOVAN, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",1,458,7.6,15.0,21,8,14,57.1,4,8,50,1,2,50,2,7,9,3,1,3,2,1,10,5,18,27.8,0,0,0,0,2,0,4,3,7,4,2,0,2,2,14.3,15.8,146.7,63.2,83.5,63.2,146.7,-83.5,11,4,3,75,2,1,50,8,4,50,12,5,41.7,3,0,0,0,0,0,0,0,0,2,0,0,0,2,4,4,2,6,0,0
ΑΓΕ ΧΑΛΚΙΔΑΣ,"BRYANT ZACKERY DENZEL, ΚΑΝΟΝΙΔΗΣ ΑΝΔΡΕΑΣ, ΜΕΛΙΣΣΑΡΑΤΟΣ ΠΕΤΡΟΣ-ΧΑΡΑΛΑΜΠΟΣ, ΜΙΧΑΗΛ ΑΠΟΣΤΟΛΟΣ, ΣΑΜΑΡΤΖΙΚ ΒΟΥΚΑΝ",ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"RICHARD MAKYE, ΒΟΥΛΓΑΡΟΠΟΥΛΟΣ ΕΥΣΤΡΑΤΙΟΣ, ΚΟΗΣ ΠΑΝΑΓΙΩΤΗΣ, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ, ΜΠΕΛΗ ΟΡΕΣΤΗΣ",1,470,7.8,15.0,6,3,15,20,0,7,0,0,0,0,1,8,9,3,1,1,1,2,12,4,14,28.6,1,6,16.7,3,4,75,1,9,10,2,1,2,1,3,14.7,15.6,40.8,77.1,-36.3,77.1,40.8,36.3,-6,5,3,60,1,0,0,6,0,0,6,3,50,0,0,0,6,1,16.7,0,0,0,1,0,0,0,1,0,0,0,2,0,0
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"ST HILAIRE DEREK CEDOR, VICTOR CRAIG, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ, ΝΙΚΟΛΑΙΔΗΣ ΑΠΟΣΤΟΛΟΣ, ΣΙΟΥΝΤΡΗΣ ΣΠΥΡΙΔΩΝ",ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"SLATER II COLIN EDWARDEUX, VARNER II LESLEY-CORTEZ, ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΧΑΡΙΛΑΟΣ, ΠΕΤΑΝΙΔΗΣ ΚΥΡΙΑΚΟΣ, ΠΙΛΑΒΙΟΣ ΑΛΦΡΕΔΟΣ",1,498,8.3,14.0,11,5,10,50,1,4,25,0,2,0,2,8,10,2,0,0,2,2,10,4,17,23.5,1,4,25,1,2,50,1,4,5,2,2,2,0,5,11.1,16.3,99.1,61.2,37.9,61.2,99.1,-37.9,1,3,3,100,3,1,33.3,4,1,25,6,1,16.7,7,2,28.6,4,1,25,0,0,0,2,0,0,0,0,2,5,0,0,3,1
ΑΟ ΔΑΦΝΗΣ,"ANGLE JOSHUA PHILLIP, CARTWRIGHT MAALIK JAJUAN, ΤΖΙΒΕΛΕΚΑΣ ΙΩΑΝΝΗΣ, ΤΟΠΑΛΙ ΑΝΤΡΙΑΝΟ, ΦΙΛΙΠΠΑΚΟΣ ΠΑΝΑΓΙΩΤΗΣ",ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"ST HILAIRE DEREK CEDOR, VICTOR CRAIG, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ, ΣΙΟΥΝΤΡΗΣ ΣΠΥΡΙΔΩΝ, ΣΚΟΡΔΟΣ ΑΓΓΕΛΟΣ",1,441,7.3,14.0,16,6,11,54.5,3,5,60,1,1,100,1,6,7,5,2,2,3,1,10,5,14,35.7,0,5,0,0,0,0,2,4,6,3,3,1,3,2,13.4,14.6,119.7,68.5,51.1,68.5,119.7,-51.1,6,3,3,100,3,0,0,5,3,60,5,5,100,2,0,0,5,0,0,0,0,0,3,0,0,0,3,0,6,6,2,4,4
