Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
ΛΑΥΡΙΟ BODERM,"ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ, ANDERSON TREY DIMITRI, ΜΑΤΑΛΙΩΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ, LEFFEW DAKOTA, ΣΙΓΑΛΑΣ ΑΝΤΩΝΙΟΣ","ΛΑΥΡΙΟ BODERM|19,3,30,55,7",1,2.0,120.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,5,3.0,100.0,79.1,20.9,1.5,-2
VIKOS ΦALCONS,"ΑΡΝΟΚΟΥΡΟΣ ΓΕΩΡΓΙΟΣ, JONES JR RUSSEL STEVEN, ΣΙΜΙΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ, ΓΡΑΒΑΣ ΔΗΜΗΤΡΙΟΣ","VIKOS ΦALCONS|19,2,3,56,8",4,2.0,119.0,5,2,5,40.0,0,3,0.0,1,2,50.0,0,0,0,1,0,0,0,0,4,5.9,85.0,95.2,-10.2,2.52,1
ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA,"ROBINSON TRENT DANIEL, ΧΑΤΖΗΝΙΚΟΛΑΣ ΙΩΑΝΝΗΣ, ΣΤΑΥΡΑΚΟΥΚΑΣ ΒΑΣΙΛΕΙΟΣ, ALLEN TERRELL GLENN, WISNIEWSKI DAVID EMIL","ΔΟΞΑ ΛΕΥΚΑΔΑΣ ΒΙΚΟΣ COLA|1,11,13,2,35",1,2.0,120.0,6,2,5,40.0,0,1,0.0,2,2,100.0,0,0,0,1,0,0,0,0,4,5.9,102.0,100.0,2.0,3.0,2
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"ΠΕΤΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ, RICHARD MAKYE, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ, REECE CAMRON, ΚΟΥΦΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ|10,2,3,5,6",1,2.0,120.0,3,1,3,33.3,1,3,33.3,0,2,0.0,0,0,0,1,0,0,1,0,10,4.9,61.5,183.8,-122.3,1.5,-7
ΨΥΧΙΚΟΥ ΑΕ,"ΓΚΟΛΑΝΤΑΣ ΧΡΙΣΤΟΦΟΡΟΣ, ΔΗΜΑΚΟΣ ΙΩΑΝΝΗΣ, ΜΠΟΥΡΝΕΛΕΣ ΓΕΩΡΓΙΟΣ, ΑΝΤΩΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ, ΚΑΡΡΑΣ ΘΕΟΔΩΡΟΣ","ΨΥΧΙΚΟΥ ΑΕ|1,22,4,7,9",1,2.0,121.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,1,0,2,2.0,150.0,50.0,100.0,1.49,1
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,"ΠΟΖΟΓΛΟΥ ΝΙΚΟΛΑΣ, ΣΥΛΛΑΣ ΛΟΥΚΑ ΝΙΚΟΛΑΟΣ, ΡΟΖΑΚΗΣ ΑΙΜΙΛΙΟΣ, ΒΗΣΣΑΡΙΟΥ ΤΗΛΕΜΑΧΟΣ, ΕΥΣΤΡΑΤΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ","ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ|11,3,31,7,91",1,1.9,116.0,4,1,2,50.0,0,0,0,2,2,100.0,0,0,0,0,0,0,1,0,0,3.9,103.1,0.0,103.1,2.07,4
ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ,"ΑΜΠΑΡΑΣ ΘΩΜΑΣ, ΚΑΛΑΙΤΖΙΔΗΣ ΔΗΜΗΤΡΙΟΣ, DUBAR DARLINSTONE MILES, ΠΟΥΡΛΙΔΑΣ ΒΑΣΙΛΕΙΟΣ, ΝΩΤΗΣ ΓΕΩΡΓΙΟΣ","ΑΕΠΣ ΜΑΧΗΤΕΣ ΠΕΙΡΑΜΑΤΙΚΟ|1,15,42,6,9",2,1.9,112.0,4,1,3,33.3,0,1,0.0,2,5,40.0,0,0,0,0,0,0,0,0,0,5.2,76.9,0.0,76.9,2.14,4
ΛΑΥΡΙΟ BODERM,"ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ, ΚΑΜΑΤΕΡΟΣ ΑΝΑΣΤΑΣΙΟΣ, ΚΑΛΟΓΗΡΟΣ ΑΝΔΡΕΑΣ, ANDERSON TREY DIMITRI, ΣΤΑΣΙΝΟΣ ΒΑΣΙΛΕΙΟΣ-ΟΡΦΕΑΣ","ΛΑΥΡΙΟ BODERM|19,21,26,3,5",1,1.9,114.0,4,2,5,40.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,4,5.0,80.0,80.0,0.0,2.11,0
ΓΣ ΝΙΚΗ ΒΟΛΟΥ,"ΔΗΜΟΣ ΠΑΝΑΓΙΩΤΗΣ, ΚΑΡΑΓΕΩΡΓΙΟΥ ΑΝΤΩΝΙΟΣ, ΣΠΥΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ, JOHNSON TYLER-ANTOINO, ΜΠΑΚΕΑΣ ΘΕΟΔΩΡΟΣ","ΓΣ ΝΙΚΗ ΒΟΛΟΥ|13,19,21,3,33",1,1.9,111.0,0,0,3,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,2,0,2,5.0,0.0,51.5,-51.5,0.0,-2
ΛΑΥΡΙΟ BODERM,"KUXHAUSEN ANDRU-JOSEPH, ΜΑΚΑΡΑΤΖΗΣ ΓΕΩΡΓΙΟΣ, ΠΡΟΙΣΚΟΣ ΑΛΕΞΑΝΔΡΟΣ, ΤΟΛΙΑΣ ΒΑΣΙΛΕΙΟΣ, ΚΑΜΑΤΕΡΟΣ ΑΝΑΣΤΑΣΙΟΣ","ΛΑΥΡΙΟ BODERM|0,1,11,19,21",1,1.9,114.0,3,1,3,33.3,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,3,4.0,75.0,69.4,5.6,1.58,0
