Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
SK Slavia Praha,"R. Jones, J. Matušík, D. Böhm, M. Dáňa, R. Pumprla","SK Slavia Praha|15,16,7,88,9",9,R. Pumprla,88,M. Dáňa,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Zvolánek, K. Týml, J. Svoboda","Sršni Photomate Písek|11,13,31,33,77",33,K. Týml,31,J. Zvolánek,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Zvolánek, K. Týml, J. Karlovský","Sršni Photomate Písek|11,13,31,33,41",33,K. Týml,31,J. Zvolánek,1,3,1,0,1,1.0,3.0
BK Opava,"C. Brown Jr, R. Kouřil, J. Šiřina, M. Vyroubal, J. Švandrlík","BK Opava|13,21,24,25,8",24,J. Šiřina,8,J. Švandrlík,1,3,1,0,1,1.0,3.0
BK Opava,"C. Brown Jr, J. Šiřina, M. Vyroubal, J. Slavík, J. Švandrlík","BK Opava|13,24,25,33,8",13,C. Brown Jr,25,M. Vyroubal,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"J. Haiblík, K. Týml, J. Karlovský, J. Šurý, P. Šlechta","Sršni Photomate Písek|13,33,41,55,8",55,J. Šurý,13,J. Haiblík,1,3,1,0,1,1.0,3.0
BK Opava,"C. Brown Jr, Š. Puršl, R. Kouřil, L. Jurečka, J. Šiřina","BK Opava|13,20,21,23,24",13,C. Brown Jr,23,L. Jurečka,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, L. Palyza, K. Cole, E. Cato, L. Greer","NH Ostrava|11,23,24,25,3",3,L. Greer,23,L. Palyza,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, K. Kavan, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|1,11,20,24,8",1,W. Person Jr,8,J. Švandrlík,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Edwards, M. Šturanović, T. Pomikálek","BK ARMEX ENERGY Děčín|0,13,20,47,5",13,F. Kroutil,5,T. Pomikálek,1,3,1,0,1,1.0,3.0
