Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Sršni Photomate Písek,K. Týml,33,K. Týml,19,26.7,507.8,332.0,17.5,100.0,199.0,50.3,43.0,106.0,40.6,89.0,110.0,80.9,17.0,48.0,65.0,47.0,20.0,5.0,33.0,40.0,252.9,25.3,33.3,4.7,6.5,13,345.0,18.2,34.6,27,3.4,17,10,63.1,25.4,8,6.59,2.99,3.6,2.6,1.6,80.0,52.0,65,12.0,4.0,33.3,106.0,43.0,40.6,20.0,10.0,0.0,3.0,21.0,115.0,58.0
Sršni Photomate Písek,M. Svoboda,71,M. Svoboda,19,29.2,554.7,329.0,17.3,118.0,190.0,62.1,9.0,29.0,31,84.0,140.0,60,37.0,95.0,132.0,35.0,18.0,13.0,37.0,40.0,241.5,22.1,30.2,3.2,12.1,5,334.0,17.6,30.7,16,4.0,6,9,80.3,11.0,4,4.36,0.53,3.83,4.2,2.4,144.0,102.0,70.8,17.0,7.0,41.2,29.0,9.0,31,10.0,19.0,0.0,8.0,52.0,70.0,61.0
BK ARMEX ENERGY Děčín,J. Edwards,20,J. Edwards,19,26.8,508.7,263.0,13.8,95.0,227.0,41.9,22.0,75.0,29.3,51.0,74.0,68.9,41.0,107.0,148.0,16.0,13.0,5.0,29.0,46.0,237.7,24.5,27.3,1.7,15.4,3,266.0,14.0,27.6,46,4.6,28,9,72.0,36.0,10,-0.29,-2.5,2.21,4.5,3.5,56.0,32.0,57.1,95.0,40.0,42.1,75.0,22.0,29.3,4.0,15.0,0.0,10.0,51.0,43.0,39.0
Sršni Photomate Písek,J. Karlovský,41,J. Karlovský,19,21.7,413.2,246.0,12.9,85.0,160.0,53.1,14.0,38.0,36.8,62.0,75.0,82.7,25.0,61.0,86.0,37.0,13.0,6.0,38.0,61.0,197.8,24.3,30.3,4.6,10.6,2,248.0,13.1,30.6,13,2.2,12,5,45.8,16.2,6,2.05,-1.65,3.7,3.6,2.2,83.0,47.0,56.6,39.0,24.0,61.5,38.0,14.0,36.8,14.0,18.0,1.0,5.0,52.0,41.0,46.0
BK ARMEX ENERGY Děčín,T. Pomikálek,5,T. Pomikálek,19,23.6,449.1,181.0,9.5,62.0,143.0,43.4,24.0,67.0,35.8,33.0,45.0,73.3,34.0,59.0,93.0,22.0,5.0,2.0,22.0,59.0,144.8,16.9,21.3,2.6,10.9,2,183.0,9.6,21.5,19,1.7,17,8,46.3,25.5,11,-0.96,-3.34,2.38,3.8,3.4,44.0,27.0,61.4,32.0,11.0,34.4,67.0,24.0,35.8,6.0,9.0,0.0,7.0,37.0,15.0,31.0
NH Ostrava,L. Palyza,23,L. Palyza,19,22.1,420.2,166.0,8.7,47.0,132.0,35.6,27.0,78.0,34.6,45.0,56.0,80.4,11.0,43.0,54.0,32.0,17.0,3.0,12.0,39.0,151.3,18.8,20.5,4.0,6.7,10,176.0,9.3,21.8,17,1.9,11,8,58.5,16.5,9,0.47,-1.67,2.14,2.7,3.4,19.0,11.0,57.9,34.0,9.0,26.5,78.0,27.0,34.6,5.0,5.0,0.0,2.0,18.0,48.0,32.0
Sršni Photomate Písek,J. Svoboda,77,J. Svoboda,19,19.6,371.6,163.0,8.6,49.0,132.0,37.1,22.0,77.0,28.6,43.0,62.0,69.4,12.0,47.0,59.0,34.0,8.0,0.0,39.0,59.0,178.8,24.4,22.3,4.7,8.1,6,169.0,8.9,23.2,5,0.8,11,0,22.7,16.0,6,-5.55,-6.85,1.31,3.0,3.6,44.0,25.0,56.8,11.0,2.0,18.2,77.0,22.0,28.6,13.0,15.0,0.0,11.0,33.0,33.0,25.0
BK ARMEX ENERGY Děčín,J. Štěrba,16,J. Štěrba,19,23.2,441.3,145.0,7.6,41.0,111.0,36.9,17.0,60.0,28.3,46.0,70.0,65.7,20.0,61.0,81.0,29.0,9.0,4.0,24.0,36.0,140.0,16.7,17.4,3.5,9.7,12,157.0,8.3,18.8,21,2.3,13,23,45.4,27.1,9,-1.24,-4.37,3.13,3.3,3.6,33.0,16.0,48.5,18.0,8.0,44.4,60.0,17.0,28.3,12.0,5.0,0.0,7.0,17.0,26.0,29.0
NH Ostrava,M. Čank,19,M. Čank,19,21.5,407.9,144.0,7.6,46.0,114.0,40.4,21.0,57.0,36.8,31.0,35.0,88.6,11.0,30.0,41.0,27.0,7.0,0.0,24.0,34.0,136.7,17.5,18.4,3.4,5.2,4,148.0,7.8,18.9,6,1.0,7,2,38.1,8.9,6,-3.17,-3.44,0.27,2.6,3.5,41.0,20.0,48.8,16.0,5.0,31.2,57.0,21.0,36.8,9.0,10.0,0.0,5.0,16.0,39.0,27.0
BK ARMEX ENERGY Děčín,M. Šturanović,47,M. Šturanović,19,16.1,306.6,126.0,6.6,55.0,87.0,63.2,1.0,4.0,25,15.0,31.0,48.4,30.0,50.0,80.0,23.0,9.0,14.0,26.0,54.0,92.8,15.9,21.7,4.0,13.8,11,137.0,7.2,23.6,13,1.6,11,2,54.7,12.9,8,1.18,-4.42,5.6,4.9,2.7,56.0,38.0,67.9,27.0,16.0,59.3,4.0,1.0,25,8.0,9.0,2.0,7.0,37.0,16.0,20.0
