Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, D. Davis, A. Rand, M. Šturanović","BK ARMEX ENERGY Děčín|0,13,2,24,47",1,1.3,76.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,1.9,0.0,104.2,-104.2,0.0,-2
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, J. Holmes, K. Filewich","BK Olomoucko|0,1,10,13,14",2,1.2,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.0,0.0,224.5,-224.5,0.0,-5
BK GAPA Hradec Králové,"M. Popović, A. Petric, D. Škranc, K. Brewton, K. Chatman","BK GAPA Hradec Králové|10,11,12,2,5",3,1.2,70.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,1,0,5,1.8,55.4,180.8,-125.4,0.86,-4
BK ARMEX ENERGY Děčín,"D. Davis, J. Edwards, L. Bryan Jr, T. Pomikálek, T. Slowiak","BK ARMEX ENERGY Děčín|2,20,22,5,7",1,1.2,71.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9,0.0,134.7,-134.7,0.0,-3
SK Slavia Praha,"R. Jones, D. Böhm, T. Bladen, M. Dáňa, R. Pumprla","SK Slavia Praha|15,7,8,88,9",1,1.2,73.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,6,1.9,104.2,312.5,-208.3,1.64,-4
Sršni Photomate Písek,"V. Sýkora, M. Kozák, M. Svoboda, P. Šlechta, M. Burda","Sršni Photomate Písek|10,11,71,8,9",1,1.2,70.0,4,2,4,50.0,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,4.8,83.3,0.0,83.3,3.43,4
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Edwards, L. Bryan Jr, T. Pomikálek, T. Slowiak","BK ARMEX ENERGY Děčín|13,20,22,5,7",1,1.2,70.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.9,69.4,52.1,17.4,1.71,0
USK Praha,"J. Montgomery, O. Švec, T. Tainamo, E. Edigin, M. Šafařík","USK Praha|0,16,25,41,5",1,1.2,73.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,5,2.9,0.0,151.4,-151.4,0.0,-5
ERA Basketball Nymburk,"S. Rice, M. Svoboda, W. Dreamer, J. Lawrence, F. Rylich","ERA Basketball Nymburk|10,11,12,40,73",1,1.2,70.0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,2,0,3,3.2,0.0,80.5,-80.5,0.0,-3
BK KVIS Pardubice,"R. Moffatt, R. Bonham, A. Lukeš, K. Švrdlík, J. Tůma","BK KVIS Pardubice|13,3,7,9,98",1,1.2,71.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,108.5,-108.5,0.0,-3
BK KVIS Pardubice,"L. Kovář, R. Bonham, J. Bryant, A. Lukeš, K. Švrdlík","BK KVIS Pardubice|21,3,4,7,9",1,1.2,71.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,236.7,-236.7,0.0,-1
BK Opava,"W. Person Jr, C. Brown Jr, J. Šiřina, J. Švandrlík, F. Zbránek","BK Opava|1,13,24,8,9",1,1.2,73.0,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,1,3.8,78.1,36.2,42.0,2.47,2
ERA Basketball Nymburk,"J. Bohačík, J. Brickus, J. Shumate, J. Lawrence, V. Hruban","ERA Basketball Nymburk|17,2,32,40,77",1,1.2,72.0,2,1,2,50.0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,1,0,0,3.3,60.6,0.0,60.6,1.67,2
NH Ostrava,"A. Číž, M. Svoboda, K. Cole, E. Cato, L. Greer","NH Ostrava|11,20,24,25,3",1,1.2,70.0,3,1,1,100.0,0,0,0,1,2,50.0,0,0,0,1,0,0,1,0,1,2.8,108.5,55.4,53.1,2.57,2
Sršni Photomate Písek,"V. Sýkora, M. Kozák, K. Týml, M. Svoboda, P. Šlechta","Sršni Photomate Písek|10,11,33,71,8",2,1.2,74.0,4,0,1,0.0,0,1,0.0,4,6,66.7,0,0,0,0,0,0,1,0,3,4.5,89.8,72.3,17.5,3.24,1
PUMPA Basket Brno,"Š. Svoboda, V. Půlpán, R. Williams, K. Kalu, M. Stráněl","PUMPA Basket Brno|11,18,33,34,7",1,1.2,70.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,1.71,2
BK Opava,"C. Brown Jr, P. Dubový, J. Šiřina, J. Švandrlík, F. Zbránek","BK Opava|13,16,24,8,9",1,1.2,75.0,11,4,4,100.0,3,3,100.0,0,0,0,0,0,0,0,0,0,1,0,1,4.8,229.2,44.9,184.3,8.8,10
BK Opava,"C. Brown Jr, Š. Puršl, R. Kouřil, M. Vyroubal, J. Slavík","BK Opava|13,20,21,25,33",1,1.2,74.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.9,0.0,78.1,-78.1,0.0,-3
PUMPA Basket Brno,"P. Křivánek, K. Kalu, M. Rychtecký, M. Stráněl, R. Farský","PUMPA Basket Brno|12,34,4,7,8",1,1.2,75.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,4,1.9,0.0,170.8,-170.8,0.0,-4
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Edwards, M. Šturanović, T. Pomikálek","BK ARMEX ENERGY Děčín|0,13,20,47,5",1,1.2,73.0,4,1,2,50.0,1,1,100.0,1,1,100.0,0,0,0,1,0,0,0,0,0,2.3,170.8,0.0,170.8,3.29,4
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, A. Lukeš","BK KVIS Pardubice|13,23,3,4,7",1,1.2,74.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,1,0,0,1,0,3,2.9,104.2,108.5,-4.3,2.43,0
SK Slavia Praha,"P. Macháč, R. Jones, J. Matušík, R. Mrázek, D. Böhm","SK Slavia Praha|14,15,16,22,7",1,1.2,72.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,151.4,-151.4,0.0,-5
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, J. Young, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|10,18,2,4,44",2,1.2,71.0,5,0,0,0,0,0,0,5,5,100.0,0,0,0,2,0,0,1,0,7,3.1,162.8,121.5,41.2,4.23,-2
BK Opava,"K. Kavan, C. Brown Jr, R. Kouřil, M. Vyroubal, J. Slavík","BK Opava|11,13,21,25,33",1,1.2,74.0,4,1,2,50.0,0,0,0,2,4,50.0,0,0,0,0,0,0,0,0,0,3.6,110.8,0.0,110.8,3.24,4
Sršni Photomate Písek,"M. Kozák, K. Týml, J. Šimonek, M. Svoboda, P. Šlechta","Sršni Photomate Písek|11,33,7,71,8",1,1.2,72.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.9,0.0,72.3,-72.3,0.0,-1
BK GAPA Hradec Králové,"M. Popović, A. Petric, J. Bubeníček, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,11,16,24,5",1,1.1,63.0,4,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,208.3,0.0,208.3,3.81,4
BK Olomoucko,"M. Nelson, J. Andre, D. Žák, A. Goga, J. Svojanovský","BK Olomoucko|0,10,22,4,51",1,1.1,66.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,1.9,0.0,69.4,-69.4,0.0,-2
NH Ostrava,"M. Čank, M. Svoboda, L. Palyza, L. Greer, D. Heinzl","NH Ostrava|19,20,23,3,7",1,1.1,63.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,208.3,104.2,104.2,1.9,0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, T. Mikyska, T. Merta, K. Chatman","BK GAPA Hradec Králové|11,12,13,23,5",1,1.1,68.0,4,2,2,100.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.9,138.9,0.0,138.9,3.53,4
PUMPA Basket Brno,"P. Křivánek, J. Groves, R. Williams, K. Kalu, V. Ivánek","PUMPA Basket Brno|12,20,33,34,44",1,1.1,65.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.9,104.2,55.4,48.8,1.85,1
BK Olomoucko,"K. Elvis, J. Holmes, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|1,13,14,22,9",2,1.1,68.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,208.3,110.8,97.5,1.76,0
USK Praha,"J. Montgomery, S. Macht, O. Švec, T. Tainamo, E. Edigin","USK Praha|0,11,16,25,41",1,1.1,67.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.9,104.2,0.0,104.2,1.79,2
BK KVIS Pardubice,"L. Kovář, R. Bonham, J. Bryant, M. Nábělek, K. Švrdlík","BK KVIS Pardubice|21,3,4,5,9",1,1.1,67.0,4,1,4,25.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,0,7,5.6,70.9,182.3,-111.4,3.58,-3
Sršni Photomate Písek,"J. Zvolánek, K. Týml, J. Karlovský, M. Svoboda, M. Burda","Sršni Photomate Písek|31,33,41,71,9",1,1.1,66.0,3,1,1,100.0,0,0,0,1,1,100.0,0,0,0,1,0,0,1,0,5,2.3,128.1,95.7,32.3,2.73,-2
PUMPA Basket Brno,"V. Půlpán, J. Groves, M. Rychtecký, M. Stráněl, R. Farský","PUMPA Basket Brno|18,20,4,7,8",1,1.1,67.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,2,0,3,2.9,104.2,104.2,0.0,2.69,0
ERA Basketball Nymburk,"M. Svoboda, J. Bohačík, J. Brickus, J. Lawrence, V. Hruban","ERA Basketball Nymburk|11,17,2,40,77",1,1.1,65.0,2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,69.4,208.3,-138.9,1.85,0
BK Opava,"C. Brown Jr, R. Kouřil, J. Šiřina, M. Vyroubal, J. Švandrlík","BK Opava|13,21,24,25,8",1,1.1,65.0,4,2,3,66.7,0,1,0.0,0,0,0,0,0,0,3,0,0,0,0,3,2.9,138.9,312.5,-173.6,3.69,1
SLUNETA  Ústí nad Labem,"I. Davidson, J. Young, T. Vyoral, L. Pecka, F. Kábrt","SLUNETA  Ústí nad Labem|18,2,4,44,8",1,1.1,69.0,1,0,1,0.0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,0,1.4,72.3,0.0,72.3,0.87,1
BK GAPA Hradec Králové,"K. Brewton, T. Merta, M. Roub, T. Tkadlec, K. Chatman","BK GAPA Hradec Králové|2,23,24,3,5",1,1.1,65.0,0,0,4,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.0,0.0,0.0,0.0,0
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, J. Groves, M. Stráněl, R. Farský","PUMPA Basket Brno|11,12,20,7,8",1,1.1,66.0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,1,0,2,1.8,0.0,69.4,-69.4,0.0,-2
Sršni Photomate Písek,"J. Haiblík, J. Zvolánek, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|13,31,71,77,8",1,1.1,67.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.9,0.0,104.2,-104.2,0.0,-4
SLUNETA  Ústí nad Labem,"A. Pecháček, J. Young, T. Vyoral, F. Kábrt, D. Žikla","SLUNETA  Ústí nad Labem|0,2,4,8,9",2,1.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0.1,0.0,72.3,-72.3,0.0,-1
SK Slavia Praha,"M. Ježek, R. Jones, R. Mrázek, D. Böhm, M. Dáňa","SK Slavia Praha|12,15,22,7,88",1,1.0,58.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1.9,104.2,144.7,-40.5,2.07,-2
SK Slavia Praha,"R. Jones, R. Mrázek, D. Böhm, M. Dáňa, R. Pumprla","SK Slavia Praha|15,22,7,88,9",3,1.0,59.0,9,3,4,75.0,1,2,50.0,2,5,40.0,0,0,0,0,0,0,3,0,11,8.8,101.9,130.8,-28.9,9.15,-2
Sršni Photomate Písek,"V. Sýkora, K. Týml, J. Karlovský, M. Svoboda, M. Burda","Sršni Photomate Písek|10,33,41,71,9",1,1.0,60.0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.0,0.0,0.0,0.0,0
ERA Basketball Nymburk,"M. Svoboda, O. Sehnal, M. Santos - Silva, F. Rylich, V. Hruban","ERA Basketball Nymburk|11,19,7,73,77",1,1.0,58.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
BK KVIS Pardubice,"R. Moffatt, R. Bonham, J. Bryant, A. Lukeš, K. Švrdlík","BK KVIS Pardubice|13,3,4,7,9",1,1.0,58.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
BK KVIS Pardubice,"R. Moffatt, L. Kovář, Z. Key, R. Bonham, J. Tůma","BK KVIS Pardubice|13,21,23,3,98",1,1.0,58.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,104.2,104.2,0.0,2.07,0
ERA Basketball Nymburk,"S. Rice, M. Svoboda, W. Dreamer, O. Sehnal, V. Hruban","ERA Basketball Nymburk|10,11,12,19,77",1,1.0,58.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,2,1.9,104.2,104.2,0.0,2.07,0
Sršni Photomate Písek,"M. Kozák, K. Týml, J. Šurý, M. Svoboda, J. Svoboda","Sršni Photomate Písek|11,33,55,71,77",2,1.0,58.0,2,1,1,100.0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,2,1.8,110.8,208.3,-97.5,2.07,0
BK Olomoucko,"M. Nelson, J. Holmes, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|0,13,14,22,9",1,1.0,58.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,4,1.9,0.0,138.9,-138.9,0.0,-4
ERA Basketball Nymburk,"M. Svoboda, W. Dreamer, J. Bohačík, O. Sehnal, J. Lawrence","ERA Basketball Nymburk|11,12,17,19,40",1,1.0,59.0,1,0,1,0.0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,3,1.8,55.4,156.2,-100.8,1.02,-2
BK Olomoucko,"M. Nelson, K. Elvis, J. Holmes, K. Filewich, A. Goga","BK Olomoucko|0,1,13,14,4",1,1.0,58.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,104.2,-104.2,0.0,-2
Sršni Photomate Písek,"J. Haiblík, J. Zvolánek, K. Týml, J. Karlovský, J. Šurý","Sršni Photomate Písek|13,31,33,41,55",1,1.0,62.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,1.9,156.2,0.0,156.2,2.9,3
BK Opava,"K. Kavan, C. Brown Jr, L. Jurečka, J. Šiřina, M. Vyroubal","BK Opava|11,13,23,24,25",1,1.0,61.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,6,0.4,236.7,256.1,-19.4,0.98,-5
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, J. Potoček, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|10,18,31,4,44",1,1.0,58.0,2,0,2,0.0,0,2,0.0,2,2,100.0,0,0,0,0,0,0,0,0,4,2.8,72.3,151.0,-78.6,2.07,-2
SK Slavia Praha,"M. Ježek, R. Jones, T. Bladen, M. Dáňa, R. Pumprla","SK Slavia Praha|12,15,8,88,9",1,0.9,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,85.4,-85.4,0.0,-2
BK Olomoucko,"M. Nelson, K. Elvis, D. Žák, A. Goga, J. Svojanovský","BK Olomoucko|0,1,22,4,51",1,0.9,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
BK GAPA Hradec Králové,"A. Petric, T. Mikyska, K. Brewton, T. Merta, K. Chatman","BK GAPA Hradec Králové|11,13,2,23,5",1,0.9,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.0,0.0,173.6,-173.6,0.0,-5
BK KVIS Pardubice,"R. Moffatt, R. Bonham, J. Bryant, K. Švrdlík, J. Tůma","BK KVIS Pardubice|13,3,4,9,98",2,0.9,52.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1.9,0.0,236.7,-236.7,0.0,-4
USK Praha,"D. Vlk, O. Švec, T. Tainamo, M. Šafařík, C. Eduardo","USK Praha|13,16,25,5,7",1,0.9,53.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,0.0,0.0,0.0,0
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Potoček, F. Kábrt, D. Žikla","SLUNETA  Ústí nad Labem|0,10,31,8,9",1,0.9,53.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Young, L. Pecka, F. Kábrt","SLUNETA  Ústí nad Labem|0,10,2,44,8",1,0.9,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.0,0.0,156.2,-156.2,0.0,-3
Sršni Photomate Písek,"V. Sýkora, M. Kozák, J. Šurý, M. Svoboda, J. Svoboda","Sršni Photomate Písek|10,11,55,71,77",1,0.9,53.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,1,0,4,1.9,156.2,138.9,17.4,3.4,-1
ERA Basketball Nymburk,"S. Rice, O. Sehnal, J. Brickus, M. Kříž, J. Lawrence","ERA Basketball Nymburk|10,19,2,31,40",1,0.9,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
USK Praha,"J. Montgomery, T. Henderson Jr., D. Vlk, J. Soldán, C. Eduardo","USK Praha|0,1,13,23,7",1,0.9,54.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,312.5,-312.5,0.0,-3
USK Praha,"J. Montgomery, D. Vlk, T. Tainamo, M. Šafařík, C. Eduardo","USK Praha|0,13,25,5,7",1,0.9,52.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.9,0.0,55.4,-55.4,0.0,-1
BK GAPA Hradec Králové,"M. Popović, J. Bubeníček, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,16,2,24,5",1,0.9,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0.1,0.0,104.2,-104.2,0.0,-3
BK Opava,"C. Brown Jr, P. Dubový, Š. Puršl, R. Kouřil, J. Švandrlík","BK Opava|13,16,20,21,8",1,0.9,56.0,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,0,1,0,0,2.9,104.2,0.0,104.2,3.21,3
Sršni Photomate Písek,"M. Kozák, K. Týml, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|11,33,71,77,8",2,0.9,53.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2.9,0.0,93.8,-93.8,0.0,-4
BK Opava,"K. Kavan, C. Brown Jr, Š. Puršl, J. Šiřina, M. Vyroubal","BK Opava|11,13,20,24,25",1,0.9,57.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,0.0,0.0,0.0,0
PUMPA Basket Brno,"Š. Svoboda, T. Jansa, D. Jelínek, K. Kalu, R. Farský","PUMPA Basket Brno|11,19,25,34,8",1,0.9,52.0,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,0,2,2.8,72.3,104.2,-31.8,2.31,0
PUMPA Basket Brno,"Š. Svoboda, T. Jansa, M. Rychtecký, M. Stráněl, R. Farský","PUMPA Basket Brno|11,19,4,7,8",1,0.9,56.0,2,0,1,0.0,0,0,0,2,3,66.7,0,0,0,0,0,0,0,0,3,2.2,89.8,312.5,-222.7,2.14,-1
BK GAPA Hradec Králové,"C. John, K. Brewton, M. Roub, L. Nikkarinen, K. Chatman","BK GAPA Hradec Králové|10,2,24,4,5",1,0.9,54.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,0.0,0.0,0.0,0
USK Praha,"S. Macht, O. Švec, T. Tainamo, E. Edigin, M. Šafařík","USK Praha|11,16,25,41,5",1,0.8,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0.0,166.2,-166.2,0.0,-3
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Šurý, J. Svoboda, M. Burda","Sršni Photomate Písek|11,13,55,77,9",1,0.8,49.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
Sršni Photomate Písek,"V. Sýkora, M. Kozák, K. Týml, M. Svoboda, J. Svoboda","Sršni Photomate Písek|10,11,33,71,77",2,0.8,45.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,2.9,69.4,69.4,0.0,2.67,0
BK Olomoucko,"K. Elvis, J. Andre, K. Filewich, D. Žák, A. Goga","BK Olomoucko|1,10,14,22,4",2,0.8,51.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,312.5,-312.5,0.0,-3
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, R. Williams, K. Kalu, V. Ivánek","PUMPA Basket Brno|11,12,33,34,44",1,0.8,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
SK Slavia Praha,"R. Jones, R. Mrázek, D. Böhm, T. Bladen, R. Pumprla","SK Slavia Praha|15,22,7,8,9",1,0.8,50.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,0.0,208.3,-208.3,0.0,-2
Sršni Photomate Písek,"V. Sýkora, J. Karlovský, J. Šurý, M. Svoboda, P. Šlechta","Sršni Photomate Písek|10,41,55,71,8",2,0.8,51.0,3,1,1,100.0,0,0,0,1,1,100.0,0,0,0,0,0,0,1,0,1,2.3,128.1,72.3,55.7,3.53,2
ERA Basketball Nymburk,"J. Brickus, J. Shumate, J. Lawrence, F. Rylich, V. Hruban","ERA Basketball Nymburk|2,32,40,73,77",1,0.8,46.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.9,104.2,0.0,104.2,2.61,2
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, T. Vyoral, L. Pecka, F. Kábrt","SLUNETA  Ústí nad Labem|0,10,4,44,8",1,0.8,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
BK KVIS Pardubice,"R. Moffatt, L. Kovář, Z. Key, R. Bonham, J. Bryant","BK KVIS Pardubice|13,21,23,3,4",1,0.8,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
ERA Basketball Nymburk,"M. Svoboda, J. Bohačík, J. Brickus, J. Shumate, J. Lawrence","ERA Basketball Nymburk|11,17,2,32,40",1,0.8,49.0,5,2,3,66.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,173.6,0.0,173.6,6.12,5
ERA Basketball Nymburk,"J. Bohačík, J. Brickus, J. Lawrence, F. Rylich, V. Hruban","ERA Basketball Nymburk|17,2,40,73,77",1,0.8,51.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,104.2,0.0,104.2,2.35,2
BK ARMEX ENERGY Děčín,"M. Houška, J. Štěrba, D. Davis, J. Edwards, T. Pomikálek","BK ARMEX ENERGY Děčín|15,16,2,20,5",1,0.8,51.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,104.2,-104.2,0.0,-2
PUMPA Basket Brno,"Š. Svoboda, V. Půlpán, J. Groves, K. Kalu, R. Farský","PUMPA Basket Brno|11,18,20,34,8",1,0.8,48.0,1,0,1,0.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1.4,72.3,0.0,72.3,1.25,1
NH Ostrava,"A. Číž, M. Čank, L. Palyza, L. Greer, D. Heinzl","NH Ostrava|11,19,23,3,7",1,0.8,50.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,104.2,0.0,104.2,2.4,2
BK Olomoucko,"J. Andre, J. Holmes, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|10,13,14,22,9",1,0.8,50.0,6,2,2,100.0,1,1,100.0,1,2,50.0,0,0,0,0,0,0,0,0,2,2.8,217.0,104.2,112.8,7.2,4
ERA Basketball Nymburk,"M. Svoboda, O. Sehnal, J. Shumate, M. Santos - Silva, F. Rylich","ERA Basketball Nymburk|11,19,32,7,73",1,0.8,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
USK Praha,"J. Montgomery, O. Švec, F. Fuxa, E. Edigin, M. Šafařík","USK Praha|0,16,21,41,5",1,0.7,43.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,208.3,55.4,152.9,2.79,1
SK Slavia Praha,"N. Noumeros, R. Jones, J. Matušík, R. Mrázek, D. Böhm","SK Slavia Praha|13,15,16,22,7",1,0.7,39.0,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,156.2,0.0,156.2,4.62,3
SLUNETA  Ústí nad Labem,"N. Johnson, J. Young, J. Potoček, F. Kábrt, D. Žikla","SLUNETA  Ústí nad Labem|10,2,31,8,9",1,0.7,43.0,7,3,4,75.0,0,0,0,1,2,50.0,0,0,0,0,0,0,2,0,8,6.6,106.0,107.4,-1.4,9.77,-1
SK Slavia Praha,"M. Ježek, R. Jones, J. Matušík, M. Dáňa, R. Pumprla","SK Slavia Praha|12,15,16,88,9",1,0.7,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.0,0.0,179.6,-179.6,0.0,-4
