Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
BK KVIS Pardubice,"R. Moffatt, L. Kovář, R. Bonham, A. Lukeš, J. Tůma","BK KVIS Pardubice|13,21,3,7,98",2,1.9,117.0,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,4,3.8,78.1,107.4,-29.3,1.54,-1
BK GAPA Hradec Králové,"K. Brewton, T. Merta, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|2,23,24,44,5",1,1.9,112.0,0,0,3,0.0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,5,2.9,0.0,86.8,-86.8,0.0,-5
Sršni Photomate Písek,"V. Sýkora, K. Týml, J. Karlovský, M. Svoboda, P. Šlechta","Sršni Photomate Písek|10,33,41,71,8",1,1.9,112.0,4,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3.8,104.2,161.1,-56.9,2.14,-2
NH Ostrava,"A. Číž, L. Palyza, K. Cole, E. Cato, L. Greer","NH Ostrava|11,23,24,25,3",1,1.9,114.0,1,0,1,0.0,0,0,0,1,1,100.0,0,0,0,2,0,0,1,0,6,2.3,42.7,92.5,-49.8,0.53,-5
BK Opava,"W. Person Jr, K. Kavan, C. Brown Jr, J. Šiřina, M. Vyroubal","BK Opava|1,11,13,24,25",1,1.9,112.0,7,3,6,50.0,1,2,50.0,0,0,0,0,0,0,2,0,0,1,0,5,6.7,104.2,120.6,-16.4,3.75,2
BK GAPA Hradec Králové,"L. Nikkarinen, D. Škranc, K. Brewton, M. Roub, T. Dvořák","BK GAPA Hradec Králové|11,12,2,24,44",1,1.9,117.0,6,3,5,60.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4.8,125.0,121.1,3.9,3.08,2
BK GAPA Hradec Králové,"C. John, K. Brewton, T. Merta, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,2,23,24,5",1,1.9,111.0,4,1,4,25.0,0,2,0.0,2,2,100.0,0,0,0,0,0,0,0,0,0,4.7,85.4,0.0,85.4,2.16,4
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, D. Heinzl","NH Ostrava|11,19,20,23,7",2,1.8,107.0,1,0,1,0.0,0,0,0,1,2,50.0,0,0,0,2,0,0,1,0,8,2.8,36.2,166.7,-130.5,0.56,-7
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Bryan Jr, L. Feštr","BK ARMEX ENERGY Děčín|13,16,20,22,44",1,1.8,110.0,3,0,2,0.0,0,1,0.0,3,6,50.0,0,0,0,0,0,0,1,0,6,5.4,55.4,161.1,-105.7,1.64,-3
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, J. Šiřina, J. Slavík","BK Opava|1,13,20,24,33",1,1.8,110.0,6,2,3,66.7,1,1,100.0,1,1,100.0,0,0,0,1,0,0,1,0,2,4.3,140.8,69.4,71.3,3.27,4
Sršni Photomate Písek,"V. Sýkora, M. Kozák, J. Šurý, M. Svoboda, P. Šlechta","Sršni Photomate Písek|10,11,55,71,8",1,1.8,107.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9,69.4,0.0,69.4,1.12,2
BK KVIS Pardubice,"R. Moffatt, J. Bryant, M. Nábělek, K. Švrdlík, J. Tůma","BK KVIS Pardubice|13,4,5,9,98",1,1.8,107.0,0,0,4,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3.8,0.0,69.4,-69.4,0.0,-2
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, J. Edwards, L. Bryan Jr","BK ARMEX ENERGY Děčín|13,16,2,20,22",1,1.8,109.0,4,2,3,66.7,0,1,0.0,0,0,0,0,0,0,2,0,0,0,0,5,2.9,138.9,173.6,-34.7,2.2,-1
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Zvolánek, K. Týml, J. Svoboda","Sršni Photomate Písek|11,13,31,33,77",1,1.8,109.0,6,2,5,40.0,2,5,40.0,0,0,0,0,0,0,1,0,0,1,0,0,5.8,104.2,0.0,104.2,3.3,6
BK ARMEX ENERGY Děčín,"P. Alexander, J. Štěrba, D. Davis, J. Edwards, T. Pomikálek","BK ARMEX ENERGY Děčín|0,16,2,20,5",2,1.8,108.0,2,1,3,33.3,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,3,3.8,52.1,94.1,-42.0,1.11,-1
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|16,2,20,44,47",2,1.8,108.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2.9,0.0,109.4,-109.4,0.0,-5
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, T. Vyoral, L. Pecka, F. Kábrt","SLUNETA  Ústí nad Labem|10,18,4,44,8",2,1.8,107.0,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,1,0,0,0,0,5,2.8,253.2,173.6,79.6,3.93,2
BK Opava,"W. Person Jr, D. Motyčka, J. Šiřina, J. Švandrlík, F. Zbránek","BK Opava|1,14,24,8,9",1,1.7,104.0,3,1,4,25.0,1,3,33.3,0,0,0,0,0,0,1,0,0,0,0,8,3.8,78.1,175.1,-96.9,1.73,-5
NH Ostrava,"A. Číž, S. Godwin, M. Čank, L. Palyza, L. Greer","NH Ostrava|11,14,19,23,3",1,1.7,101.0,5,2,4,50.0,0,2,0.0,1,2,50.0,0,0,0,0,0,0,1,0,2,5.6,88.6,52.1,36.5,2.97,3
BK GAPA Hradec Králové,"C. John, T. Merta, M. Roub, L. Nikkarinen, K. Chatman","BK GAPA Hradec Králové|10,23,24,4,5",1,1.7,101.0,2,1,3,33.3,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,4,2.9,69.4,85.4,-15.9,1.19,-2
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Zvolánek, K. Týml, M. Svoboda","Sršni Photomate Písek|11,13,31,33,71",1,1.7,103.0,2,1,2,50.0,0,1,0.0,0,3,0.0,0,0,0,1,0,0,2,0,2,5.1,39.2,52.1,-12.9,1.17,0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Bryan Jr, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,20,22,7",2,1.6,94.0,0,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,3.3,0.0,52.1,-52.1,0.0,-2
BK ARMEX ENERGY Děčín,"M. Grill, F. Kroutil, J. Štěrba, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|11,13,16,44,47",1,1.6,93.0,2,1,2,50.0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,1,0,2,3.3,60.6,104.2,-43.6,1.29,0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, T. Pomikálek, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,2,5,7",1,1.6,94.0,2,1,3,33.3,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,3.3,60.6,0.0,60.6,1.28,2
BK GAPA Hradec Králové,"A. Petric, D. Škranc, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|11,12,24,44,5",1,1.6,94.0,4,1,2,50.0,0,0,0,2,2,100.0,0,0,0,1,0,0,1,0,6,3.7,107.4,217.0,-109.6,2.55,-2
BK Opava,"K. Kavan, D. Motyčka, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|11,14,20,24,8",1,1.6,96.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,4,2.9,69.4,138.9,-69.4,1.25,-2
Sršni Photomate Písek,"M. Kozák, J. Zvolánek, K. Týml, J. Karlovský, J. Šurý","Sršni Photomate Písek|11,31,33,41,55",1,1.6,93.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2.9,0.0,159.4,-159.4,0.0,-9
BK KVIS Pardubice,"L. Kovář, Z. Key, J. Bryant, A. Lukeš, J. Tůma","BK KVIS Pardubice|21,23,4,7,98",2,1.6,96.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.9,0.0,138.9,-138.9,0.0,-4
BK GAPA Hradec Králové,"C. John, K. Brewton, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|10,2,24,44,5",1,1.6,97.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,3,1.9,156.2,113.2,43.0,1.86,0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, D. Žák, A. Goga","BK Olomoucko|0,1,10,22,4",1,1.5,88.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,41.7,-41.7,0.0,-2
BK Olomoucko,"M. Nelson, K. Elvis, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|0,1,14,22,9",1,1.5,91.0,3,1,2,50.0,1,2,50.0,0,2,0.0,0,0,0,1,0,0,0,0,4,2.8,108.5,121.1,-12.6,1.98,-1
ERA Basketball Nymburk,"S. Rice, M. Svoboda, O. Sehnal, M. Kříž, V. Hruban","ERA Basketball Nymburk|10,11,19,31,77",1,1.5,89.0,0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.8,0.0,42.7,-42.7,0.0,-2
BK Olomoucko,"M. Nelson, J. Andre, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|0,10,14,22,9",1,1.5,88.0,8,2,5,40.0,1,3,33.3,3,3,100.0,0,0,0,0,0,0,0,0,0,6.1,131.9,0.0,131.9,5.45,8
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, R. Williams, K. Kalu, M. Rychtecký","PUMPA Basket Brno|11,12,33,34,4",1,1.5,90.0,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,0,2,3.7,187.9,104.2,83.8,4.67,5
NH Ostrava,"A. Číž, S. Godwin, M. Čank, M. Svoboda, L. Palyza","NH Ostrava|11,14,19,20,23",1,1.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.9,0.0,53.7,-53.7,0.0,-2
SK Slavia Praha,"M. Ježek, R. Jones, D. Böhm, T. Bladen, M. Dáňa","SK Slavia Praha|12,15,7,8,88",1,1.5,89.0,4,2,6,33.3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,5,5.8,69.4,260.4,-191.0,2.7,-1
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,2,44,47",2,1.5,88.0,5,2,5,40.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,5,4.8,104.2,130.2,-26.0,3.41,0
PUMPA Basket Brno,"Š. Svoboda, R. Williams, K. Kalu, M. Stráněl, R. Farský","PUMPA Basket Brno|11,33,34,7,8",1,1.5,89.0,3,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0,1,0,0,2,0,0,4.3,70.4,0.0,70.4,2.02,3
