Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Sheffield Sharks Senior Men,S. Hanson-Young,10/12,S. Hanson-Young,17,32.3,549.2,254.0,14.9,78.0,247.0,31.6,45.0,155.0,29,53.0,72.0,73.6,8.0,87.0,95.0,73.0,19.0,0.0,54.0,24.0,311.7,27.5,18.1,5.2,6.8,148,402.0,23.6,28.7,12,1.5,16,6,32.2,23.6,8,0.18,-1.36,1.55,2.0,1.4,61.0,23.0,37.7,31.0,10.0,32.3,155.0,45.0,29,31.0,17.0,0.0,6.0,46.0,66.0,49.0
Sheffield Sharks Senior Men,O. Baldwin,1/31/6/66/7/8,O. Baldwin,17,28.8,489.2,223.0,13.1,82.0,188.0,43.6,11.0,41.0,26.8,48.0,77.0,62.3,45.0,156.0,201.0,30.0,20.0,26.0,64.0,43.0,231.2,22.9,15.9,2.1,14.3,153,376.0,22.1,26.8,11,1.8,11,6,40.3,16.6,6,0.89,-3.12,4.01,5.0,2.3,102.0,57.0,55.9,44.0,14.0,31.8,41.0,11.0,26.8,22.0,31.0,1.0,10.0,49.0,53.0,47.0
Liverpool Senior Men,K. Ulett-Waul,5,K. Ulett-Waul,17,33.0,560.9,201.0,11.8,74.0,177.0,41.8,18.0,67.0,26.9,35.0,56.0,62.5,12.0,37.0,49.0,65.0,21.0,0.0,44.0,33.0,224.3,18.5,13.3,4.3,3.2,158,359.0,21.1,23.7,21,2.1,20,6,46.4,29.6,10,-1.19,-2.98,1.79,1.7,2.7,89.0,54.0,60.7,20.0,2.0,10,67.0,18.0,26.9,19.0,20.0,0.0,5.0,36.0,94.0,43.0
Leicester Warriors Senior Men,M. Nelson,9,M. Nelson,17,27.8,471.9,186.0,10.9,62.0,172.0,36,15.0,58.0,25.9,47.0,77.0,61,23.0,45.0,68.0,18.0,26.0,3.0,42.0,46.0,215.9,21.7,12.7,1.2,4.6,38,224.0,13.2,15.3,24,2.7,22,9,46.2,31.0,9,-4.86,-6.08,1.22,3.1,3.7,97.0,42.0,43.3,16.0,5.0,31.2,58.0,15.0,25.9,14.0,24.0,0.0,4.0,29.0,28.0,52.0
Liverpool Senior Men,D. Sofia,1/10/11/14/9,D. Sofia,17,25.7,437.5,171.0,10.1,66.0,139.0,47.5,9.0,33.0,27.3,30.0,60.0,50,38.0,99.0,137.0,43.0,30.0,11.0,61.0,51.0,180.9,19.1,11.3,2.8,9.0,178,349.0,20.5,23.1,26,3.2,14,9,72.4,24.0,8,0.86,-4.08,4.93,3.9,2.8,54.0,40.0,74.1,52.0,17.0,32.7,33.0,9.0,27.3,17.0,30.0,0.0,14.0,25.0,39.0,41.0
Sheffield Sharks Senior Men,D. Kom,2/34/8,D. Kom,17,23.5,398.9,155.0,9.1,57.0,172.0,33.1,25.0,79.0,31.6,16.0,27.0,59.3,18.0,31.0,49.0,37.0,17.0,6.0,54.0,30.0,211.1,25.6,11.0,2.6,3.5,133,288.0,16.9,20.5,8,1.1,9,2,40.5,13.9,7,-3.99,-4.82,0.83,2.3,2.7,53.0,19.0,35.8,40.0,13.0,32.5,79.0,25.0,31.6,25.0,22.0,0.0,7.0,26.0,45.0,30.0
Birmingham City University Senior Men,E. Haywood,4,E. Haywood,17,14.6,248.4,94.0,5.5,29.0,90.0,32.2,17.0,59.0,28.8,19.0,32.0,59.4,5.0,23.0,28.0,30.0,11.0,0.0,28.0,36.0,122.0,22.2,6.3,2.0,1.9,70,164.0,9.6,11.0,3,1.0,4,0,37.5,5.0,3,-2.18,-5.64,3.46,2.2,3.2,19.0,8.0,42.1,12.0,4.0,33.3,59.0,17.0,28.8,15.0,10.0,0.0,3.0,23.0,21.0,29.0
Liverpool Senior Men,L. Rogerson-Evans,0/00/6/8,K. Forsythe; L. Rogerson-Evans,16,40.5,647.9,334.0,20.9,129.0,302.0,42.7,42.0,138.0,30.4,34.0,53.0,64.2,23.0,99.0,122.0,63.0,28.0,11.0,47.0,42.0,335.3,23.9,22.1,4.2,8.1,178,512.0,32.0,33.8,34,3.1,33,10,45.5,46.4,11,3.42,-0.03,3.45,3.0,2.3,112.0,72.0,64.3,52.0,15.0,28.8,138.0,42.0,30.4,18.0,20.0,0.0,9.0,53.0,146.0,61.0
Oxford Hoops Senior Men,P. Wrencher Jr,33,P. Wrencher Jr,16,34.0,544.2,288.0,18.0,105.0,251.0,41.8,4.0,24.0,16.7,74.0,104.0,71.2,80.0,114.0,194.0,25.0,10.0,3.0,30.0,16.0,236.9,21.9,22.3,1.9,15.0,51,339.0,21.2,26.2,10,2.5,11,3,40.6,14.3,4,0.89,2.2,-1.31,4.3,2.3,154.0,73.0,47.4,72.0,27.0,37.5,24.0,4.0,16.7,10.0,15.0,2.0,3.0,80.0,61.0,50.0
Worcester Wolves Senior Men,E. Burgess,21/23,E. Burgess,16,29.4,470.2,281.0,17.6,121.0,206.0,58.7,4.0,12.0,33.3,35.0,54.0,64.8,67.0,96.0,163.0,24.0,23.0,11.0,30.0,34.0,185.0,19.2,21.3,1.8,12.3,60,341.0,21.3,25.8,28,3.5,20,6,61.8,23.6,8,8.27,3.0,5.26,5.0,1.8,137.0,94.0,68.6,56.0,22.0,39.3,12.0,4.0,33.3,11.0,12.0,0.0,7.0,87.0,56.0,74.0
Sheffield Arrows Senior Men,D. Soares,10/23,D. Soares,16,37.1,593.9,226.0,14.1,87.0,181.0,48.1,33.0,94.0,35.1,19.0,42.0,45.2,39.0,125.0,164.0,75.0,35.0,25.0,35.0,40.0,187.7,14.8,16.5,5.5,12.0,175,401.0,25.1,29.3,8,2.0,7,7,39.7,12.1,4,7.01,1.51,5.51,3.7,2.4,80.0,52.0,65,6.0,2.0,33.3,94.0,33.0,35.1,16.0,12.0,1.0,6.0,45.0,73.0,43.0
Leicester Warriors Senior Men,A. Kalugin-Ugo,10,A. Kalugin-Ugo,16,28.3,453.3,169.0,10.6,64.0,158.0,40.5,12.0,48.0,25,29.0,62.0,46.8,32.0,94.0,126.0,72.0,31.0,5.0,59.0,31.0,203.8,21.3,11.5,4.9,8.6,152,321.0,20.1,21.9,16,2.0,20,7,34.7,29.1,8,0.0,-3.68,3.68,3.3,2.1,92.0,48.0,52.2,17.0,3.0,17.6,48.0,12.0,25,27.0,26.0,0.0,6.0,48.0,53.0,53.0
Sheffield Arrows Senior Men,M. Ibrahim,14/26/44/50,M. Ibrahim,16,23.9,382.3,156.0,9.8,63.0,122.0,51.6,12.0,31.0,38.7,18.0,32.0,56.2,33.0,60.0,93.0,17.0,4.0,7.0,30.0,34.0,127.8,15.7,11.4,1.2,6.8,86,242.0,15.1,17.7,4,1.3,2,1,82.0,2.4,3,-0.74,-2.05,1.32,4.1,3.4,71.0,44.0,62,20.0,7.0,35,31.0,12.0,38.7,6.0,17.0,2.0,5.0,47.0,26.0,21.0
Sheffield Sharks Senior Men,C. Andrews,21/22,C. Andrews,16,19.9,317.7,130.0,8.1,53.0,103.0,51.5,0.0,0.0,0,24.0,46.0,52.2,58.0,57.0,115.0,12.0,12.0,9.0,19.0,35.0,80.9,12.3,9.3,0.9,8.2,26,156.0,9.8,11.1,6,1.5,3,3,69.4,5.3,4,0.9,-0.93,1.83,4.8,2.9,69.0,40.0,58,34.0,13.0,38.2,0.0,0.0,0,6.0,11.0,0.0,2.0,62.0,25.0,32.0
Sheffield Arrows Senior Men,S. Matewe,12/14/15/26,S. Matewe,16,21.4,342.7,118.0,7.4,48.0,128.0,37.5,11.0,42.0,26.2,11.0,21.0,52.4,13.0,39.0,52.0,13.0,6.0,4.0,17.0,27.0,135.6,18.5,8.6,1.0,3.8,74,192.0,12.0,14.1,23,4.6,16,3,66.4,19.3,5,-4.07,-4.69,0.62,3.3,4.5,56.0,30.0,53.6,30.0,7.0,23.3,42.0,11.0,26.2,7.0,6.0,0.0,4.0,21.0,32.0,20.0
Cardiff Met Archers Senior Men I,L. Scotland,6/7,L. Scotland,16,20.9,333.9,104.0,6.5,37.0,129.0,28.7,13.0,47.0,27.7,17.0,22.0,77.3,13.0,60.0,73.0,17.0,17.0,1.0,27.0,28.0,146.6,21.8,8.2,1.3,5.8,103,207.0,12.9,16.3,8,2.0,6,2,58.1,7.9,4,-6.17,-7.06,0.9,3.6,4.0,30.0,8.0,26.7,51.0,16.0,31.4,47.0,13.0,27.7,14.0,9.0,0.0,4.0,21.0,31.0,27.0
Cardiff Met Archers Senior Men I,M. James,5,M. James,16,23.1,368.9,94.0,5.9,31.0,110.0,28.2,11.0,54.0,20.4,21.0,38.0,55.3,9.0,46.0,55.0,29.0,16.0,1.0,34.0,35.0,145.7,19.6,7.4,2.3,4.3,61,155.0,9.7,12.2,9,1.8,9,1,47.7,10.4,5,-7.54,-8.26,0.72,2.8,3.8,43.0,16.0,37.2,13.0,4.0,30.8,54.0,11.0,20.4,20.0,4.0,1.0,9.0,16.0,17.0,20.0
Worcester Wolves Senior Men,G. Stergiopoulos,13/9,G. Stergiopoulos,16,20.5,327.3,85.0,5.3,30.0,94.0,31.9,15.0,53.0,28.3,10.0,18.0,55.6,17.0,49.0,66.0,39.0,28.0,3.0,25.0,25.0,105.5,15.7,6.4,3.0,5.0,120,205.0,12.8,15.5,10,1.7,14,2,33.6,17.9,6,3.2,-3.83,7.03,2.8,3.5,33.0,15.0,45.5,8.0,0.0,0,53.0,15.0,28.3,17.0,5.0,0.0,3.0,20.0,21.0,36.0
