# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 294
# Total stints used: 11903
# Garbage time stints excluded: 421
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
BSW Sixers,1,Sean William Ludwig,389,2.13,-0.68,1.45
Itzehoe Eagles,0,Sydnee Ochieng Shaka Bijlsma,680,0.45,0.97,1.42
Porsche BBA Ludwigsburg,12,Abdulhay Kömürkara,492,-0.32,1.69,1.37
BBC Coburg,17,Ole Theiß,451,1.89,-0.57,1.32
BG Hessing Leitershofen,3,Zion Antonio Richardson,1344,0.2,1.1,1.3
Baskets Juniors TSG Westerstede,7,Fritz Hemschemeier,763,1.8,-0.5,1.3
OrangeAcademy,11,Meissa Faye,1014,-0.74,2.0,1.26
TV Langen,22,Alexander Lagerman,811,0.28,0.96,1.25
SKYLINERS Juniors,4,Desmond Tyson Watson,517,1.92,-0.69,1.22
EN BASKETS Schwelm,9,Marius Stoll,1337,0.11,1.02,1.13
Hertener Löwen,11,Christian Matthew Hinckson,944,-0.02,1.13,1.11
RASTA Vechta II,7,Moritz Dresing,862,-1.73,2.83,1.1
BG Hessing Leitershofen,1,Brendan Gregori,1004,1.83,-0.76,1.07
TKS 49ers,20,Jannes Hundt,480,-0.04,1.08,1.04
SC Rist Wedel,3,Aleksandar Postic,865,0.05,0.97,1.02
Ahorn Camp Baskets,22,Oskar Humpert,901,-1.03,2.02,0.99
SC Rist Wedel,4,Tomas Atli Bjarkason,827,0.52,0.4,0.92
Dresden Titans,11,Duje Putnik,1053,1.04,-0.13,0.91
Itzehoe Eagles,4,Jonathan Elzie,432,-0.8,1.69,0.89
BBC Coburg,6,Erik Neunhoeffer,581,0.53,0.36,0.89
Itzehoe Eagles,11,Finn Fleute,1466,3.05,-2.23,0.82
Ahorn Camp Baskets,21,Paul Stupperich,270,0.04,0.73,0.77
SC Rist Wedel,5,Niklas Krause,946,-1.05,1.73,0.68
FC Bayern Basketball II,24,Andrija Susic,913,-0.1,0.76,0.66
Hertener Löwen,20,Dario Fiorentino,1186,-1.55,2.19,0.63
SKYLINERS Juniors,5,Jamie Edoka,995,-1.98,2.58,0.6
Dresden Titans,55,Georg Kupke,478,-0.61,1.2,0.59
TSV Neustadt temps Shooters,2,Aimé Olma,1448,0.24,0.35,0.59
Baskets Juniors TSG Westerstede,12,Simon Kohlhoff,799,0.91,-0.33,0.59
RASTA Vechta II,24,Roy Krupnikas,1144,-1.23,1.78,0.56
Hertener Löwen,44,Müslim Akil Özmeral,841,1.23,-0.71,0.53
VR-Bank Würzburg Baskets Akademie,32,David Gerhard,1031,2.38,-1.93,0.44
CATL Basketball Löwen,1,Michael Tyrone Mitchell Jr.,942,-1.04,1.48,0.44
Ahorn Camp Baskets,3,Dennis Diala,1063,-0.37,0.79,0.42
SKYLINERS Juniors,7,Joscha Zentgraf,680,0.06,0.34,0.4
Seawolves Academy,5,Jussi Knorr,369,0.8,-0.41,0.4
TV Langen,5,Niklas Pons,1325,0.09,0.27,0.36
TKS 49ers,18,Leonard Paul Hampl,1041,-3.87,4.2,0.32
Porsche BBA Ludwigsburg,11,Yohann Tchouaffe,676,0.4,-0.11,0.29
BSW Sixers,10,Toby Okwuokei,1537,0.66,-0.42,0.24
SC Rist Wedel,11,Al-Fayed Alegbe-Issifou,764,1.05,-0.81,0.24
Iserlohn Kangaroos,3,Sadiq Ajagbe,794,-1.17,1.39,0.22
CATL Basketball Löwen,8,Musa Abra,1070,-0.57,0.79,0.22
Dresden Titans,10,Samuel Leonard Schally,317,-1.34,1.5,0.15
Seawolves Academy,4,Svante Schmundt,872,-0.71,0.84,0.13
TKS 49ers,8,Yannick Hildebrandt,539,1.41,-1.28,0.13
ETB Miners,25,Leon Kalinic,690,-1.12,1.18,0.06
LOK BERNAU,0,Anthony Watkins,1156,-1.06,1.1,0.03
EN BASKETS Schwelm,8,Robert Peter Merz,928,0.61,-0.59,0.02
Porsche BBA Ludwigsburg,17,Julis Baumer,712,-0.99,0.97,-0.02
TV Langen,63,Leon Fertig,289,0.72,-0.78,-0.06
Baskets Juniors TSG Westerstede,15,Finn Stuehlmeyer,251,0.11,-0.17,-0.06
OrangeAcademy,6,Felix Kiehlneker,255,0.28,-0.39,-0.11
FC Bayern Basketball II,25,Gob Makuag Gabriel,307,-0.31,0.18,-0.13
TSV Neustadt temps Shooters,8,Leonard Toshio Musahl,481,0.86,-1.04,-0.18
BG Hessing Leitershofen,9,Emmanuel Ansah,327,-1.01,0.82,-0.19
Baskets Juniors TSG Westerstede,25,Luca Mevius,339,-0.12,-0.08,-0.21
ETB Miners,11,Gabriel Jung,1138,-3.32,3.11,-0.21
SC Rist Wedel,10,Nelson Jamal Martin,825,-1.61,1.36,-0.25
Hertener Löwen,14,Tarik Jakupovic,441,0.0,-0.31,-0.31
TSV Neustadt temps Shooters,4,Amar Licina,858,-0.42,0.11,-0.32
FC Bayern Basketball II,23,Desmond Obed Yiamu,921,-0.54,0.18,-0.36
Dresden Titans,2,Scott Edward Stone,939,1.78,-2.16,-0.38
TSV Oberhaching Tropics,5,Philipp Bode,1009,0.94,-1.35,-0.41
LOK BERNAU,7,Anton Nufer,751,0.2,-0.64,-0.44
VR-Bank Würzburg Baskets Akademie,8,Eduard Rantz,289,-0.69,0.25,-0.44
Baskets Juniors TSG Westerstede,17,Ore Ewert,464,-1.28,0.83,-0.45
SKYLINERS Juniors,13,Ivan Crnjac,642,0.9,-1.36,-0.45
SKYLINERS Juniors,35,Lukas Smazak,832,0.33,-0.78,-0.45
Porsche BBA Ludwigsburg,13,Kenan Youdom,690,-2.11,1.48,-0.63
BSW Sixers,2,Max Nwokedi,415,-0.13,-0.51,-0.63
TV Langen,9,Henk Droste,1159,0.61,-1.26,-0.64
FC Bayern Basketball II,34,Ágúst Godi Kjartansson,747,1.84,-2.49,-0.65
Dragons Rhöndorf,16,Benjamin Sadikovic,1126,-0.41,-0.25,-0.66
TSV Oberhaching Tropics,6,Niklas Schüler,852,1.47,-2.18,-0.71
FC Bayern Basketball II,1,Niko Jerkic,406,-0.25,-0.46,-0.72
Baskets Juniors TSG Westerstede,10,Lazar Klaric,344,-2.18,1.45,-0.73
VR-Bank Würzburg Baskets Akademie,23,Marko Petric,1159,-1.34,0.57,-0.77
TKS 49ers,9,Alexander Schmidt,494,-2.4,1.6,-0.8
BG Hessing Leitershofen,7,Emmanuel Timothy Womala,771,0.32,-1.2,-0.88
TKS 49ers,16,Jenö Pildner,1177,-1.79,0.91,-0.88
OrangeAcademy,12,Milo Alexander Murray,344,-2.78,1.87,-0.91
CATL Basketball Löwen,44,Samuel Elias Nellessen,1029,0.51,-1.44,-0.93
SKYLINERS Juniors,10,Alvin Onyia,1144,-0.3,-0.64,-0.94
Porsche BBA Ludwigsburg,14,David Engelhart,665,-1.64,0.66,-0.98
BBC Coburg,7,Julian Günther,367,-3.62,2.59,-1.03
TSV Neustadt temps Shooters,64,Max Brackmann,540,-1.12,0.09,-1.03
FC Bayern Basketball II,17,Kilian Maurice Fischer,608,-2.16,1.12,-1.04
Hertener Löwen,22,Faton Jetullahi,1190,-0.85,-0.21,-1.06
Seawolves Academy,14,Jonas Zilinskas,1172,-0.1,-0.97,-1.07
Dresden Titans,14,Osasere Best Otakho,866,-1.16,0.06,-1.1
OrangeAcademy,21,Barna Buglyó,344,-1.34,0.22,-1.12
Hertener Löwen,10,Gilbert Kofi Gyamfi,957,-2.18,1.06,-1.12
BG Hessing Leitershofen,24,Jason George,334,-0.74,-0.41,-1.15
BG Hessing Leitershofen,15,Jannik Westermeir,1196,-0.75,-0.4,-1.15
EN BASKETS Schwelm,2,Luka Zajic,880,-1.09,-0.06,-1.15
RASTA Vechta II,55,Joel Moketo Lungelu,614,-2.01,0.86,-1.16
TKS 49ers,6,Lukas Daniel Wagner,1019,-0.99,-0.32,-1.3
SKYLINERS Juniors,14,Dusan Nikolic,702,-0.1,-1.25,-1.35
Dragons Rhöndorf,14,Fynn Dobiecki,250,-2.08,0.71,-1.38
