Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Todd Jacob Wolfe, David Lee Early, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,3,32,33,4",32,David Lee Early,3,Todd Jacob Wolfe,1,3,1,0,1,1.0,3.0
BC Prievidza,"Anderson Sage Tolbert Iii, Dávid Novák, Joseph Toussaint, Davontrey Shauni Zhmere Thomas, Noah Craig Reynolds","BC Prievidza|1,10,15,4,9",15,Joseph Toussaint,4,Davontrey Shauni Zhmere Thomas,1,3,1,0,1,1.0,3.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,11,Joshua Stephen Jefferson,1,3,1,0,1,1.0,3.0
Iskra Svit,"Róbert Rožánek, Šimon Turza, Messiah Jahnee - Jermain Mallory, Jasean Jatar Jackson, Nikola Petojevic","Iskra Svit|17,20,23,7,8",17,Róbert Rožánek,20,Šimon Turza,1,3,1,0,1,1.0,3.0
MBK Baník Handlová,"Peter Kováčik, Jovan Šljivančanin, Marko Gutalj, Djimon Tyler Henson, Deng Thowat Deang","MBK Baník Handlová|10,13,14,18,3",14,Marko Gutalj,13,Jovan Šljivančanin,1,3,1,0,1,1.0,3.0
Iskra Svit,"Sevon Marquise Witt, Róbert Rožánek, Rocket Watts, Šimon Turza, Messiah Jahnee - Jermain Mallory","Iskra Svit|1,17,2,20,23",23,Messiah Jahnee - Jermain Mallory,2,Rocket Watts,1,3,1,0,1,1.0,3.0
BC Komárno,"Samuel Volárik, Kimani Esque Tyrone Lawrence, Elijah Gregory Ormiston, Tyron Desean Henry, Yuri Shamar Covington","BC Komárno|11,14,20,3,5",14,Kimani Esque Tyrone Lawrence,11,Samuel Volárik,1,3,1,0,1,1.0,3.0
Iskra Svit,"Július Matušek, Mark Anthony Watts Jr, Šimon Turza, Messiah Jahnee - Jermain Mallory, Jasean Jatar Jackson","Iskra Svit|15,2,20,23,7",7,Jasean Jatar Jackson,20,Šimon Turza,1,3,1,0,1,1.0,3.0
Iskra Svit,"Július Matušek, Mark Anthony Watts Jr, Šimon Turza, Messiah Jahnee - Jermain Mallory, Jasean Jatar Jackson","Iskra Svit|15,2,20,23,7",23,Messiah Jahnee - Jermain Mallory,7,Jasean Jatar Jackson,1,3,1,0,1,1.0,3.0
Patrioti Levice,"Aatu Albert Kivimäki, William Glen Carius, Keith Andre Wesson Jr, Gabriel Jerome Dorsey, Novak Musić","Patrioti Levice|12,25,5,7,8",5,Keith Andre Wesson Jr,7,Gabriel Jerome Dorsey,1,3,1,0,1,1.0,3.0
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Adam Monček, Todd Jacob Wolfe, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,10,3,33,4",33,Filip Halada,0,Derrick Deshaun Carter-Hollinger Iii,1,3,1,0,1,1.0,3.0
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Adam Monček, Todd Jacob Wolfe, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,10,3,33,4",3,Todd Jacob Wolfe,33,Filip Halada,1,3,1,0,1,1.0,3.0
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Adam Monček, Todd Jacob Wolfe, David Lee Early, Clarence Edward Rupert Iii","Košice Wolves|0,10,3,32,4",4,Clarence Edward Rupert Iii,0,Derrick Deshaun Carter-Hollinger Iii,1,3,1,0,1,1.0,3.0
BC Komárno,"Kimani Esque Tyrone Lawrence, Tyron Desean Henry, Tyler Terell Millin, Carrington Roderick Wiggins, Martin Pospišil","BC Komárno|14,3,30,4,7",7,Martin Pospišil,4,Carrington Roderick Wiggins,1,3,1,0,1,1.0,3.0
Iskra Svit,"Sevon Marquise Witt, Július Matušek, Lukáš Jendrichovský, Daniel Blaško, Nikola Petojevic","Iskra Svit|1,15,21,6,8",21,Lukáš Jendrichovský,15,Július Matušek,1,3,1,0,1,1.0,3.0
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Atin Carl Wright, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi","BKM Mimel Lučenec|0,10,3,7,8",0,Donavan Ashley Yap Jr,10,Atin Carl Wright,1,3,1,0,1,1.0,3.0
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Atin Carl Wright, Eric Dean Lewis Boone Jr, Matúš Skubeň, Jalil Omar Beaubrun","BKM Mimel Lučenec|0,10,3,4,7",3,Eric Dean Lewis Boone Jr,10,Atin Carl Wright,1,3,1,0,1,1.0,3.0
BC Prievidza,"Anderson Sage Tolbert Iii, Dávid Novák, Naje' Abdean Smith, Jaaden Allister Luke Lewis, Noah Craig Reynolds","BC Prievidza|1,10,23,55,9",23,Naje' Abdean Smith,10,Dávid Novák,1,3,1,0,1,1.0,3.0
BC Prievidza,"Dávid Novák, Naje' Abdean Smith, Davontrey Shauni Zhmere Thomas, Jaaden Allister Luke Lewis, Noah Craig Reynolds","BC Prievidza|10,23,4,55,9",55,Jaaden Allister Luke Lewis,4,Davontrey Shauni Zhmere Thomas,1,3,1,0,1,1.0,3.0
MBK Baník Handlová,"Austin Calvin Johnson, Tairell Domonique Fletcher, Djimon Tyler Henson, Juraj Láštic, Deng Thowat Deang","MBK Baník Handlová|0,1,18,24,3",1,Tairell Domonique Fletcher,18,Djimon Tyler Henson,1,3,1,0,1,1.0,3.0
Iskra Svit,"Dávid Harabin, Július Matušek, Šimon Turza, Tyrin Ja´Quain Atwood, Jasean Jatar Jackson","Iskra Svit|13,15,20,24,7",24,Tyrin Ja´Quain Atwood,15,Július Matušek,1,3,1,0,1,1.0,3.0
Nitra Blue Wings,"Tristan Ekong Ikpe, Oleksandr Belikov, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek","Nitra Blue Wings|0,13,19,4,77",19,Guy Evers Kennedy Ragland Jr,4,Jordan Lamont Jones,1,3,1,0,1,1.0,3.0
BC Slovan Bratislava,"David Abrhám, Milan Szabó, Shamiel Shawn Stevenson, Marko Radovanović, Lester Fezell Medford Jr","BC Slovan Bratislava|14,21,4,6,8",8,Lester Fezell Medford Jr,4,Shamiel Shawn Stevenson,1,3,1,0,1,1.0,3.0
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Atin Carl Wright, Eric Dean Lewis Boone Jr, Jayden Xavier Brown, Jalil Omar Beaubrun","BKM Mimel Lučenec|0,10,3,5,7",0,Donavan Ashley Yap Jr,3,Eric Dean Lewis Boone Jr,1,3,1,0,1,1.0,3.0
BC Komárno,"Samuel Volárik, Kimani Esque Tyrone Lawrence, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Tyler Terell Millin","BC Komárno|11,14,2,20,30",11,Samuel Volárik,2,Corey Kaydon Mckeithan,1,3,1,0,1,1.0,3.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Samuel Kincel, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,42,8",26,Juraj Páleník,11,Joshua Stephen Jefferson,1,3,1,0,1,1.0,3.0
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Tevin Michael Smith, Eric Dean Lewis Boone Jr, Jayden Xavier Brown, Jalil Omar Beaubrun","BKM Mimel Lučenec|0,11,3,5,7",0,Donavan Ashley Yap Jr,11,Tevin Michael Smith,1,3,1,0,1,1.0,3.0
Košice Wolves,"Jalen Makanaokeakua Gaffney, Todd Jacob Wolfe, Filip Halada, Clarence Edward Rupert Iii, Avelon Luke John Jr","Košice Wolves|12,3,33,4,7",12,Jalen Makanaokeakua Gaffney,7,Avelon Luke John Jr,1,3,1,0,1,1.0,3.0
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek","Nitra Blue Wings|0,11,19,4,77",11,Dimitrius Paul Underwood,4,Jordan Lamont Jones,1,3,1,0,1,1.0,3.0
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek","Nitra Blue Wings|0,11,19,4,77",4,Jordan Lamont Jones,77,Lukáš Bolek,1,3,1,0,1,1.0,3.0
Košice Wolves,"Jalen Makanaokeakua Gaffney, Todd Jacob Wolfe, Filip Halada, Clarence Edward Rupert Iii, Avelon Luke John Jr","Košice Wolves|12,3,33,4,7",4,Clarence Edward Rupert Iii,33,Filip Halada,1,3,1,0,1,1.0,3.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,26,Juraj Páleník,1,3,1,0,1,1.0,3.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",62,Marko Stevanović,11,Joshua Stephen Jefferson,1,3,1,0,1,1.0,3.0
Košice Wolves,"Adam Monček, Jalen Makanaokeakua Gaffney, Todd Jacob Wolfe, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|10,12,3,33,4",10,Adam Monček,12,Jalen Makanaokeakua Gaffney,1,3,1,0,1,1.0,3.0
BC Prievidza,"Marek Jašš, Naje' Abdean Smith, Fahro Alihodzic, Davontrey Shauni Zhmere Thomas, James Edward Bishop Iv","BC Prievidza|13,23,25,4,5",5,James Edward Bishop Iv,23,Naje' Abdean Smith,1,3,1,0,1,1.0,3.0
BC Prievidza,"Marek Jašš, Naje' Abdean Smith, Fahro Alihodzic, Davontrey Shauni Zhmere Thomas, James Edward Bishop Iv","BC Prievidza|13,23,25,4,5",23,Naje' Abdean Smith,5,James Edward Bishop Iv,1,3,1,0,1,1.0,3.0
BC Prievidza,"Marek Jašš, Naje' Abdean Smith, Fahro Alihodzic, Davontrey Shauni Zhmere Thomas, James Edward Bishop Iv","BC Prievidza|13,23,25,4,5",13,Marek Jašš,4,Davontrey Shauni Zhmere Thomas,1,3,1,0,1,1.0,3.0
BC Prievidza,"Anderson Sage Tolbert Iii, Marek Jašš, Naje' Abdean Smith, Davontrey Shauni Zhmere Thomas, James Edward Bishop Iv","BC Prievidza|1,13,23,4,5",4,Davontrey Shauni Zhmere Thomas,5,James Edward Bishop Iv,1,3,1,0,1,1.0,3.0
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Boris Bojanovský, William Glen Carius, Keith Andre Wesson Jr, Novak Musić","Patrioti Levice|0,15,25,5,8",0,Rickey Isaiah Justin Mc Gill,5,Keith Andre Wesson Jr,1,3,1,0,1,1.0,3.0
Spišskí Rytieri,"Joshua Stephen Jefferson, Isaiah Malik Hill, Tomáš Mrviš, Samuel Kincel, Caleb Jamerson Kenney","Spišskí Rytieri|11,3,33,42,8",8,Caleb Jamerson Kenney,11,Joshua Stephen Jefferson,1,3,1,0,1,1.0,3.0
