# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 196
# Qualified players exported: 110
# Total stints used: 4754
# Garbage time stints excluded: 185
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Patrioti Levice,5,Keith Andre Wesson Jr,1525,3.81,3.68,7.48
Patrioti Levice,0,Rickey Isaiah Justin Mc Gill,1749,5.23,0.96,6.19
Nitra Blue Wings,0,Tristan Ekong Ikpe,1738,1.8,4.34,6.14
BC Komárno,11,Samuel Volárik,1288,0.66,4.81,5.47
Patrioti Levice,15,Boris Bojanovský,683,1.04,4.4,5.45
BC Slovan Bratislava,8,Lester Fezell Medford Jr,1540,3.74,1.61,5.35
BC Prievidza,23,Naje' Abdean Smith,1032,1.02,3.39,4.41
Nitra Blue Wings,19,Guy Evers Kennedy Ragland Jr,1466,1.2,2.8,4.0
Patrioti Levice,25,William Glen Carius,950,0.72,3.11,3.83
BKM Mimel Lučenec,7,Jalil Omar Beaubrun,1700,3.87,-0.24,3.63
Patrioti Levice,12,Aatu Albert Kivimäki,882,3.11,0.41,3.52
BC Prievidza,4,Davontrey Shauni Zhmere Thomas,1517,0.94,2.08,3.02
Iskra Svit,7,Jasean Jatar Jackson,1842,4.45,-1.43,3.02
BC Komárno,20,Elijah Gregory Ormiston,1400,1.87,1.0,2.87
BC Komárno,30,Tyler Terell Millin,985,1.84,0.8,2.64
BC Komárno,1,Aaron Jamal Naseem Gray,1643,0.06,2.55,2.61
BKM Mimel Lučenec,13,Tervell Tyshawn Beck,1350,2.49,0.07,2.56
BC Slovan Bratislava,20,Tomáš Pavelka,704,0.75,1.78,2.53
BC Prievidza,1,Anderson Sage Tolbert Iii,1450,2.5,0.01,2.5
Iskra Svit,8,Samuel Thomas Hines Jr,617,0.84,1.47,2.31
BC Komárno,2,Corey Kaydon Mckeithan,936,2.88,-0.6,2.28
BC Prievidza,17,Dalibor Hlivák,707,0.63,1.56,2.19
BC Slovan Bratislava,5,Matej Majerčák,465,1.85,0.28,2.13
BC Slovan Bratislava,25,Viktor Kovačević,489,-1.16,3.27,2.11
Nitra Blue Wings,12,Brandon Matthew Horvath,304,1.24,0.82,2.05
Nitra Blue Wings,9,Jeremiah Kenyatta Bailey,263,2.0,0.02,2.03
BC Slovan Bratislava,3,Raynere Zynique Thornton,1019,0.21,1.8,2.0
Nitra Blue Wings,30,Ľubomír Urban,388,0.83,1.0,1.83
BC Prievidza,11,Maroš Zelizňák,540,-1.62,3.24,1.62
BKM Mimel Lučenec,3,Eric Dean Lewis Boone Jr,1780,1.5,-0.12,1.38
Iskra Svit,98,Tyrin Ja´Quain Atwood,1448,-0.97,2.27,1.29
Spišskí Rytieri,62,Marko Stevanović,1490,3.87,-2.58,1.29
Spišskí Rytieri,33,Tomáš Mrviš,778,-1.26,2.51,1.25
Spišskí Rytieri,26,Juraj Páleník,1405,1.79,-0.57,1.23
Iskra Svit,1,Sevon Marquise Witt,1296,0.2,1.02,1.22
Košice Wolves,7,Avelon Luke John Jr,704,-0.77,1.96,1.19
BC Prievidza,5,James Edward Bishop Iv,570,-1.55,2.62,1.08
MBK Baník Handlová,3,Deng Thowat Deang,467,1.49,-0.47,1.02
BC Slovan Bratislava,14,David Abrhám,1440,2.34,-1.35,0.99
BC Slovan Bratislava,4,Shamiel Shawn Stevenson,1135,-0.47,1.4,0.92
MBK Baník Handlová,10,Peter Kováčik,1092,0.57,0.34,0.92
Patrioti Levice,8,Novak Musić,520,0.87,-0.07,0.81
BC Prievidza,15,Joseph Toussaint,1197,-0.2,0.98,0.78
MBK Baník Handlová,14,Marko Gutalj,464,-2.6,3.29,0.69
Iskra Svit,98,Maishe Ramel Dailey,327,-2.52,3.18,0.67
MBK Baník Handlová,11,Jordan Lamont Harris,1232,-1.21,1.77,0.56
BC Slovan Bratislava,22,Robert Paul Howard,261,0.13,0.36,0.48
BKM Mimel Lučenec,6,Shaun Gregory Willett,281,-0.03,0.48,0.45
Nitra Blue Wings,4,Jordan Lamont Jones,1724,0.02,0.41,0.43
MBK Baník Handlová,34,Jordan Lee Glover,371,-2.04,2.47,0.42
