Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Nitra Blue Wings,Jordan Lamont Jones,4,Jordan Lamont Jones,30,29.9,897.2,563.0,18.8,214.0,443.0,48.3,50.0,140.0,35.7,85.0,111.0,76.6,33.0,85.0,118.0,127.0,55.0,1.0,81.0,68.0,518.2,30.6,33.4,7.5,7.0,18,581.0,19.4,34.5,47,4.7,30,13,65.8,35.7,10,6.31,1.16,5.16,1.5,1.0,157.0,96.0,61.1,146.0,68.0,46.6,140.0,50.0,35.7,36.0,39.0,0.0,6.0,70.0,139.0,132.0
Iskra Svit,Jasean Jatar Jackson,7,Jasean Jatar Jackson; Jason Jackson,30,32.4,971.2,556.0,18.5,193.0,446.0,43.3,55.0,147.0,37.4,115.0,135.0,85.2,17.0,78.0,95.0,172.0,33.0,11.0,100.0,76.0,564.9,31.3,30.7,9.5,5.2,34,590.0,19.7,32.6,82,6.3,64,20,56.3,81.8,13,0.89,0.39,0.5,1.5,1.0,71.0,38.0,53.5,228.0,100.0,43.9,147.0,55.0,37.4,61.0,28.0,0.0,11.0,64.0,139.0,81.0
Košice Wolves,Filip Halada,33,Filip Halada,30,30.3,908.7,395.0,13.2,145.0,347.0,41.8,46.0,140.0,32.9,59.0,86.0,68.6,36.0,98.0,134.0,48.0,23.0,5.0,40.0,50.0,373.3,21.7,23.0,2.8,7.8,8,403.0,13.4,23.5,16,2.3,16,4,45.0,18.8,7,-3.51,-4.61,1.1,3.2,3.0,110.0,61.0,55.5,94.0,37.0,39.4,136.0,44.0,32.4,16.0,18.0,1.0,5.0,49.0,129.0,61.0
Nitra Blue Wings,Guy Evers Kennedy Ragland Jr,19,Guy Evers Kennedy Ragland Jr,30,25.9,778.0,316.0,10.5,124.0,264.0,47,43.0,147.0,29.3,25.0,34.0,73.5,57.0,113.0,170.0,47.0,35.0,27.0,41.0,95.0,252.4,17.2,21.6,3.2,11.6,6,322.0,10.7,22.0,15,1.5,21,0,35.7,23.0,10,3.3,-2.45,5.76,4.0,3.2,64.0,46.0,71.9,51.0,33.0,64.7,147.0,43.0,29.3,19.0,12.0,0.0,10.0,77.0,61.0,73.0
Nitra Blue Wings,Tristan Ekong Ikpe,0,Tristan Ekong Ikpe,30,30.8,923.1,314.0,10.5,118.0,246.0,48,8.0,41.0,19.5,70.0,108.0,64.8,93.0,139.0,232.0,58.0,40.0,30.0,57.0,80.0,247.2,14.2,18.1,3.3,13.4,2,316.0,10.5,18.2,11,1.2,15,2,34.6,18.9,9,1.65,-3.64,5.29,4.2,3.6,113.0,69.0,61.1,91.0,40.0,44,41.0,8.0,19.5,32.0,12.0,0.0,13.0,67.0,76.0,54.0
MBK Baník Handlová,Jakub Petráš,32,Jakub Petráš,30,20.8,624.6,247.0,8.2,98.0,172.0,57,5.0,29.0,17.2,46.0,78.0,59,60.0,77.0,137.0,29.0,16.0,10.0,20.0,79.0,159.7,13.9,21.5,2.5,11.9,2,249.0,8.3,21.7,27,3.0,17,2,75.5,20.9,9,0.63,-2.4,3.04,4.4,3.0,82.0,53.0,64.6,61.0,40.0,65.6,29.0,5.0,17.2,4.0,7.0,0.0,9.0,63.0,27.0,46.0
BC Slovan Bratislava,David Abrhám,14,David Abrhám,30,26.3,789.1,238.0,7.9,81.0,174.0,46.6,51.0,122.0,41.8,25.0,30.0,83.3,14.0,31.0,45.0,53.0,14.0,1.0,21.0,71.0,186.4,12.8,16.3,3.6,3.1,0,238.0,7.9,16.3,4,0.8,6,4,25.8,8.8,5,0.88,-1.97,2.85,2.1,3.5,37.0,21.0,56.8,15.0,9.0,60,122.0,51.0,41.8,16.0,4.0,0.0,1.0,25.0,42.0,40.0
MBK Baník Handlová,Juraj Láštic,24,Juraj Láštic,30,17.1,512.4,151.0,5.0,53.0,118.0,44.9,22.0,65.0,33.8,23.0,31.0,74.2,17.0,33.0,50.0,16.0,16.0,1.0,19.0,73.0,128.3,13.6,16.0,1.7,5.3,0,151.0,5.0,16.0,3,1.5,5,0,30.0,5.0,2,-3.04,-5.83,2.8,2.8,3.9,37.0,22.0,59.5,16.0,9.0,56.2,65.0,22.0,33.8,13.0,4.0,0.0,2.0,21.0,30.0,38.0
MBK Baník Handlová,Viliam Ďurečko,74,Viliam Ďurečko,30,7.2,217.5,26.0,0.9,9.0,37.0,24.3,7.0,28.0,25,1.0,2.0,50,7.0,9.0,16.0,10.0,6.0,0.0,9.0,39.0,38.3,9.6,6.5,2.5,4.0,0,26.0,0.9,6.5,0,0.0,1,0,0.0,1.0,1,-8.02,-10.17,2.15,2.5,4.9,4.0,2.0,50,5.0,0.0,0,28.0,7.0,25,4.0,3.0,0.0,2.0,7.0,6.0,9.0
Nitra Blue Wings,Adam Galko,6,Adam Galko,30,4.9,145.7,24.0,0.8,9.0,35.0,25.7,4.0,25.0,16,2.0,3.0,66.7,6.0,19.0,25.0,11.0,4.0,1.0,7.0,6.0,35.8,13.0,8.8,4.0,9.1,0,24.0,0.8,8.8,0,0.0,1,0,0.0,1.0,1,-3.75,-7.13,3.38,3.0,4.5,5.0,2.0,40,5.0,3.0,60,25.0,4.0,16,3.0,2.0,0.0,2.0,6.0,5.0,7.0
Spišskí Rytieri,Isaiah Malik Hill,3,Isaiah Malik Hill,29,31.5,914.2,517.0,17.8,166.0,399.0,41.6,64.0,167.0,38.3,121.0,151.0,80.1,17.0,74.0,91.0,165.0,26.0,2.0,83.0,94.0,510.2,30.0,30.4,9.7,5.4,21,538.0,18.6,31.6,32,2.5,40,14,34.7,53.2,13,-0.4,0.28,-0.68,1.5,1.3,69.0,40.0,58,160.0,59.0,36.9,164.0,62.0,37.8,51.0,19.0,0.0,13.0,54.0,110.0,74.0
Spišskí Rytieri,Caleb Jamerson Kenney,8,Caleb Jamerson Kenney,29,32.9,953.4,455.0,15.7,189.0,303.0,62.4,1.0,3.0,33.3,76.0,104.0,73.1,88.0,185.0,273.0,57.0,22.0,34.0,56.0,77.0,304.1,17.1,25.7,3.2,15.4,8,463.0,16.0,26.1,35,2.7,26,11,56.7,34.8,13,2.01,0.1,1.9,5.0,2.7,131.0,100.0,76.3,161.0,84.0,52.2,3.0,1.0,33.3,25.0,18.0,1.0,12.0,82.0,85.0,62.0
BC Slovan Bratislava,Lester Fezell Medford Jr,8,Lester Fezell Medford Jr,29,28.6,829.4,369.0,12.7,126.0,294.0,42.9,61.0,157.0,38.9,56.0,80.0,70,12.0,81.0,93.0,145.0,48.0,5.0,80.0,89.0,381.3,25.0,24.1,9.5,6.1,18,387.0,13.3,25.2,34,3.4,20,13,66.1,28.7,10,2.78,-1.3,4.09,1.3,1.9,60.0,28.0,46.7,77.0,37.0,48.1,157.0,61.0,38.9,48.0,25.0,0.0,7.0,29.0,101.0,72.0
