Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Martin Koller, Tyler Terell Millin",7,14.4,9,3,5,60.0,2,4,50.0,1,3,33.3,1,2,3,1,0,0,0,0,5,0,9,1.3,32.9,106.1,116.1,-10.0,80.0,71.2,33.3,0.0,1,1,100,0,0,0,4,2,50,0,0,0,0,0,3,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Martin Koller, Tyler Terell Millin",3,14.2,8,3,6,50.0,2,4,50.0,0,0,0,0,4,4,0,0,0,1,2,7,0,8,2.7,29.0,101.5,65.0,36.5,66.7,66.7,0.0,14.3,2,1,50,0,0,0,4,2,50,0,1,0,0,0,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Samuel Volárik",4,14.2,13,6,8,75.0,1,3,33.3,0,0,0,2,1,3,0,0,0,0,0,6,0,13,3.2,54.2,133.5,103.8,29.7,81.2,81.2,0.0,0.0,4,4,100,1,1,100,3,1,33.3,0,0,0,0,6,2,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Owen Louis Lobsinger, Samuel Volárik",4,13.7,0,0,2,0.0,0,1,0.0,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0.0,0.0,92.8,128.6,-35.9,0.0,0.0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Samuel Volárik, Tyler Donovan Stevenson",3,12.8,6,2,4,50.0,0,0,0,2,2,100.0,0,1,1,0,2,0,2,2,7,0,6,2.0,22.4,115.6,110.8,4.8,50.0,61.5,0.0,29.1,1,0,0,3,2,66.7,0,0,0,0,1,0,1,2,2,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Samuel Volárik",4,12.3,6,2,3,66.7,0,1,0.0,2,4,50.0,0,3,3,0,2,0,1,2,6,0,6,1.5,24.8,103.5,115.2,-11.7,66.7,63.0,0.0,17.4,1,1,100,1,1,100,1,0,0,1,0,0,0,0,3,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Kimani Esque Tyrone Lawrence, Samuel Volárik, Tyron Desean Henry, Yuri Shamar Covington",4,11.4,4,2,3,66.7,0,0,0,0,0,0,0,3,3,1,2,0,2,2,5,0,4,1.0,17.6,83.5,92.7,-9.3,66.7,66.7,50.0,33.3,3,2,66.7,0,0,0,0,0,0,0,2,0,0,0,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Máté Balogh, Samuel Volárik, Tyler Terell Millin",5,11.2,3,1,2,50.0,1,2,50.0,0,0,0,1,2,3,0,1,2,0,0,1,0,3,0.6,13.4,93.8,101.3,-7.6,75.0,75.0,0.0,0.0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Martin Pospišil, Tyler Terell Millin",6,10.5,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,0.3,9.9,84.1,113.8,-29.8,100.0,100.0,100.0,33.3,1,1,100,0,0,0,0,0,0,1,0,0,0,0,2,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Martin Koller, Samuel Volárik",4,10.2,8,3,6,50.0,2,5,40.0,0,0,0,1,2,3,2,0,0,0,0,5,0,8,2.0,42.4,143.2,84.0,59.2,66.7,66.7,66.7,0.0,1,1,100,0,0,0,5,2,40,0,0,0,0,0,2,0
