Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
BC Prievidza,"Anderson Sage Tolbert Iii, Marek Jašš, Naje' Abdean Smith, Davontrey Shauni Zhmere Thomas, James Edward Bishop Iv","BC Prievidza|1,13,23,4,5",1,2.9,171.0,15,7,7,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,5,6.7,223.2,67.1,156.1,5.26,10
BC Komárno,"Samuel Volárik, Kimani Esque Tyrone Lawrence, Corey Kaydon Mckeithan, Tyler Terell Millin, Carrington Roderick Wiggins","BC Komárno|11,14,2,30,4",1,2.9,171.0,9,3,5,60.0,0,0,0,3,3,100.0,0,0,0,1,0,0,0,0,13,6.1,148.3,182.0,-33.7,3.16,-4
BC Prievidza,"Anderson Sage Tolbert Iii, Naje' Abdean Smith, Davontrey Shauni Zhmere Thomas, Jaaden Allister Luke Lewis, Noah Craig Reynolds","BC Prievidza|1,23,4,55,9",1,2.9,172.0,15,4,6,66.7,1,3,33.3,6,7,85.7,0,0,0,1,0,0,0,0,7,8.7,172.1,164.2,7.9,5.23,8
BC Slovan Bratislava,"Jordan Rashaun Watson, Stefan Pot, Christian Tyler James, Robert Paul Howard, Lester Fezell Medford Jr","BC Slovan Bratislava|0,11,2,22,8",1,2.9,172.0,14,5,8,62.5,1,3,33.3,3,3,100.0,0,0,0,1,0,0,0,0,5,8.9,156.5,97.9,58.6,4.88,9
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Adam Monček, David Lee Early, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,10,32,33,4",2,2.8,169.0,8,3,4,75.0,1,2,50.0,1,1,100.0,0,0,0,3,0,0,0,0,11,4.3,187.7,163.7,24.0,2.84,-3
Iskra Svit,"Sevon Marquise Witt, Július Matušek, Róbert Rožánek, Mark Anthony Watts Jr, Daniel Blaško","Iskra Svit|1,15,17,2,6",1,2.8,168.0,2,1,5,20.0,0,3,0.0,0,0,0,0,0,0,0,0,0,3,0,6,7.7,26.0,78.1,-52.1,0.71,-4
Spišskí Rytieri,"Juraj Páleník, Isaiah Malik Hill, Tomáš Mrviš, Samuel Kincel, Caleb Jamerson Kenney","Spišskí Rytieri|26,3,33,42,8",2,2.8,168.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4.8,0.0,83.3,-83.3,0.0,-4
BC Slovan Bratislava,"Jordan Rashaun Watson, Milan Szabó, Raynere Zynique Thornton, Shamiel Shawn Stevenson, Lester Fezell Medford Jr","BC Slovan Bratislava|0,21,3,4,8",1,2.8,168.0,11,5,5,100.0,1,1,100.0,0,0,0,0,0,0,4,0,0,0,0,3,4.8,229.2,39.7,189.5,3.93,8
BC Prievidza,"Marek Jašš, Joseph Toussaint, Naje' Abdean Smith, Davontrey Shauni Zhmere Thomas, Jaaden Allister Luke Lewis","BC Prievidza|13,15,23,4,55",1,2.8,167.0,7,3,4,75.0,1,1,100.0,0,0,0,0,0,0,1,0,0,2,0,3,5.8,121.5,48.5,73.0,2.51,4
BC Prievidza,"Anderson Sage Tolbert Iii, Babafemi Odukale Jr, Joseph Toussaint, Dalibor Hlivák, Davontrey Shauni Zhmere Thomas","BC Prievidza|1,11,15,17,4",1,2.6,159.0,5,2,4,50.0,0,1,0.0,1,2,50.0,0,0,0,1,0,0,0,0,5,4.7,106.7,95.7,11.0,1.89,0
Nitra Blue Wings,"Dimitrius Paul Underwood, Oleksandr Belikov, Guy Evers Kennedy Ragland Jr, Ľubomír Urban, Jordan Lamont Jones","Nitra Blue Wings|11,13,19,30,4",1,2.6,157.0,10,3,5,60.0,2,4,50.0,2,2,100.0,0,0,0,2,0,0,0,0,5,5.6,177.2,75.7,101.5,3.82,5
MBK Baník Handlová,"Djimon Tyler Henson, Jakub Petráš, Jordan Lee Glover, Petar Dragović, Viliam Ďurečko","MBK Baník Handlová|18,32,34,43,74",1,2.6,157.0,2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3.8,52.1,53.7,-1.6,0.76,0
