Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Eisbären Bremerhaven,25,Dominique Kevin Johnson,,1,4.5,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,100.0,0,-1.14,-1.42,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBB Baskets,28,Alieu Ceesay,,22,19.9,436.9,98,4.5,33,84,39.3,6,27,22.2,26,38,68.4,21,47,68,19,13,3,22,53,42.9,48.6,13.0,79.9,5.8,1.6,6.0,12.5,9.4,7.1,1.5,0.7,17.9,0.45,-1.15,-2.01,0.86,49,25,51,8,2,25,0,0,0,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SBB Baskets Wolmirstedt,28,Alieu Ceesay,,6,25.3,152.0,41,6.8,17,37,45.9,1,9,11.1,6,10,60.0,4,21,25,8,11,1,8,16,47.3,49.5,15.1,83.0,9.0,2.0,3.3,16.4,10.1,9.3,3.8,0.8,16.2,0.27,-1.15,-2.13,0.98,22,14,63.6,6,2,33.3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VfL SparkassenStars Bochum,12,Matthew Douglas Strange,,27,9.0,244.1,70,2.6,23,66,34.8,20,59,33.9,4,4,100.0,6,10,16,7,3,0,10,38,50.0,51.7,14.9,90.0,3.4,2.9,2.9,5.5,4.1,4.3,0.7,0.0,12.9,0.06,-1.21,-0.64,-0.57,5,2,40,2,1,50,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nürnberg Falcons BC,44,Lars Lagerpusch,,24,10.0,240.9,96,4.0,34,63,54.0,0,1,0.0,28,41,68.3,9,26,35,13,3,3,18,42,54.0,59.2,19.2,96.9,5.3,0.1,4.9,12.9,9.1,9.0,0.7,1.4,18.2,0.65,-1.29,-1.54,0.25,46,30,65.2,16,4,25,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PS Karlsruhe LIONS,6,Gabriel Kuku,,25,17.0,423.9,104,4.2,39,93,41.9,14,58,24.1,12,19,63.2,13,15,28,16,11,2,19,54,49.5,51.3,13.1,86.4,5.5,3.1,3.7,4.3,4.0,6.0,1.4,0.5,15.8,0.2,-1.29,-1.74,0.44,31,23,74.2,4,2,50,0,0,0,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RheinStars Köln,11,Timothy Nehemiah Davis,,25,6.6,164.3,52,2.1,19,60,31.7,12,41,29.3,2,3,66.7,9,17,26,12,7,0,3,17,41.7,42.4,17.9,80.8,2.7,2.2,6.5,13.0,9.7,11.5,2.2,0.0,4.7,0.05,-1.29,-0.69,-0.61,7,3,42.9,12,4,33.3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers Tübingen,8,Felix Per Edwardsson,,28,16.8,469.2,102,3.6,36,97,37.1,27,80,33.8,3,4,75.0,17,47,64,25,9,5,14,56,51.0,51.6,11.1,90.5,4.7,3.7,4.3,12.5,8.2,8.5,1.0,1.0,12.4,0.04,-1.3,-1.92,0.61,15,9,60,2,0,0,0,0,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VfL SparkassenStars Bochum,6,Aurel Bucur,,25,0.6,15.3,6,0.2,1,3,33.3,1,3,33.3,3,3,100.0,0,2,2,0,0,0,1,2,50.0,69.4,16.2,112.8,0.3,0.2,0.0,17.6,8.1,0.0,0.0,0.0,18.8,1.0,-1.4,-0.75,-0.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer Giants Leverkusen,26,David Koch,,3,1.6,4.9,6,2.0,2,4,50.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,75.0,75.0,37.8,150.0,2.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,-0.5,-0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uni Baskets Münster,1,Timetric Jerome Hodges,,11,23.8,261.3,54,4.9,17,51,33.3,6,26,23.1,14,21,66.7,15,24,39,24,7,1,12,18,39.2,44.8,13.3,74.8,6.6,3.2,7.6,10.9,9.3,15.1,1.5,0.4,16.6,0.41,-1.44,-1.61,0.17,21,11,52.4,4,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VfL SparkassenStars Bochum,13,Mats Neumann,,13,0.2,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.45,-0.77,-0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBB Baskets,21,Benjamin Koppke,,16,5.2,83.9,20,1.2,9,18,50.0,1,2,50.0,1,4,25.0,6,6,12,3,2,1,0,8,52.8,50.6,10.8,101.2,1.6,0.2,8.9,8.3,8.6,6.3,1.2,1.3,0.0,0.22,-1.47,-1.53,0.06,15,7,46.7,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC Bayreuth,20,Leo Friedlein,,8,0.3,2.5,4,0.5,2,3,66.7,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,66.7,66.7,52.6,133.3,0.6,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.49,-2.04,0.55,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS Karlsruhe LIONS,2,Joshua Olenyi,,17,2.1,36.0,6,0.4,3,6,50.0,0,0,0,0,0,0,4,4,8,5,4,2,3,10,50.0,50.0,11.5,66.7,0.5,0.0,13.3,13.1,13.2,22.3,5.8,5.8,33.3,0.0,-1.61,-1.88,0.27,6,3,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nürnberg Falcons BC,4,Joscha Eckert,,27,6.1,164.5,28,1.0,9,28,32.1,6,18,33.3,4,6,66.7,3,10,13,8,11,1,11,27,42.9,45.7,11.7,67.2,1.4,0.9,2.3,7.3,4.9,7.1,3.5,0.6,26.4,0.21,-1.63,-1.86,0.23,9,3,33.3,1,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EPG Baskets Koblenz,6,Ömer Girgin,,9,0.1,1.2,3,0.3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,150.0,150.0,35.3,300.0,0.4,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.73,-0.85,-0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RheinStars Köln,17,Friedrich Beyer,,5,3.9,19.5,3,0.6,1,2,50.0,0,0,0,1,2,50.0,1,2,3,1,0,1,0,3,50.0,52.1,7.1,104.2,0.8,0.0,6.0,15.3,10.1,8.7,0.0,5.5,0.0,1.0,-1.74,-1.11,-0.63,1,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS Karlsruhe LIONS,1,Lynval William Alexander Ellis,,8,13.7,109.9,52,6.5,14,52,26.9,7,21,33.3,17,20,85.0,6,8,14,12,2,0,10,15,33.7,42.8,29.3,73.4,8.7,3.5,6.3,9.6,7.9,19.1,1.0,0.0,14.1,0.38,-1.74,-1.51,-0.23,19,4,21.1,12,3,25,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uni Baskets Münster,27,Curtis Tarell Jones Jr,,8,19.9,159.2,84,10.5,35,78,44.9,6,31,19.4,8,13,61.5,1,19,20,10,3,0,11,7,48.7,50.2,28.4,88.7,14.4,5.3,0.7,15.1,7.6,15.0,1.0,0.0,11.6,0.17,-1.79,-1.22,-0.57,27,19,70.4,20,10,50,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uni Baskets Münster,21,Deshon Davion Taylor,,5,19.5,97.3,42,8.4,9,30,30.0,7,17,41.2,17,21,81.0,1,9,10,10,2,0,8,15,41.7,53.5,24.5,88.9,11.9,4.8,1.3,12.2,6.7,19.9,1.1,0.0,16.9,0.7,-1.82,-1.88,0.06,12,2,16.7,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBB Baskets Wolmirstedt,0,Joshua Bonga,,6,22.9,137.4,55,9.2,19,51,37.3,8,27,29.6,9,18,50.0,3,17,20,15,2,1,7,16,45.1,46.7,22.3,83.4,12.1,5.9,2.8,14.7,8.9,20.3,0.8,0.9,10.6,0.35,-1.82,-0.92,-0.91,19,10,52.6,5,1,20,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
