# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 288
# Qualified players exported: 211
# Total stints used: 9049
# Garbage time stints excluded: 343
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
GIESSEN 46ers,7,Kyle Anthony Castlin,1482,-0.46,1.17,0.7
GIESSEN 46ers,13,Jonathan Maier,594,-2.0,2.69,0.69
Bozic Estriche Knights Kirchheim,15,Nil Failenschmid Clavera,948,1.57,-0.9,0.67
Nürnberg Falcons BC,28,Tom Stoiber,880,-1.29,1.88,0.59
BG Göttingen,1,Adam Ramstedt,712,-1.13,1.7,0.57
Bozic Estriche Knights Kirchheim,19,Aeneas Jung,847,-1.66,2.19,0.54
GIESSEN 46ers,5,Devon Goodman,418,-0.88,1.39,0.51
SBB Baskets,6,Martin Bogdanov,1067,-1.98,2.44,0.46
BBC Bayreuth,55,Lenny Liedtke,1162,1.3,-0.85,0.45
HAKRO Merlins Crailsheim,22,Antonio Dewane Madlock JR,820,-1.41,1.83,0.43
EPG Baskets Koblenz,3,Calvin Wishart,1305,2.71,-2.38,0.33
BBC Bayreuth,6,Moritz Plescher,862,0.55,-0.25,0.3
RheinStars Köln,34,Hall B Elisias,427,-0.44,0.73,0.29
Artland Dragons,15,Linus Trettin,311,-0.46,0.72,0.26
RheinStars Köln,0,Cedric Cezell Russell Jr,1015,2.1,-1.84,0.26
VfL SparkassenStars Bochum,3,Marios Giotis,529,0.52,-0.26,0.26
Nürnberg Falcons BC,5,Tim Köpple,884,0.96,-0.75,0.21
RheinStars Köln,10,Haris Hujic,689,-0.02,0.19,0.17
Nürnberg Falcons BC,33,Brandton Dean Chatfield,806,-1.86,2.02,0.16
Uni Baskets Münster,22,Cosmo Grühn,809,-0.4,0.54,0.14
HAKRO Merlins Crailsheim,2,Keyshaun Darrius Langley,484,0.5,-0.36,0.13
Eisbären Bremerhaven,31,Hendrik Warner,670,-3.9,4.01,0.12
GIESSEN 46ers,3,Aiden Warnholtz,953,1.23,-1.17,0.06
Nürnberg Falcons BC,4,Joscha Eckert,253,-1.89,1.95,0.06
Bayer Giants Leverkusen,51,Sören Urbansky,716,0.23,-0.21,0.02
