Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Eisbären Bremerhaven,Lorenz Brenneke,11,Lorenz Brenneke,9,20.4,183.5,105.0,11.7,45.0,66.0,68.2,0.0,0.0,0,15.0,31.0,48.4,20.0,30.0,50.0,10.0,5.0,7.0,15.0,26.0,71.7,21.0,5.0,0.5,2.4,21,126.0,14.0,6.0,4,1.3,2,4,53.2,3.8,3,1.94,-1.79,3.73,5.0,2.8,63.0,44.0,69.8,3.0,1.0,33.3,0.0,0.0,0,10.0,0.0,2.0,5.0,0.0,1.0,24.0,18.0,14.0
BG Göttingen,Wesley Nelson Dreamer,35,Wesley Nelson Dreamer,9,21.7,195.7,72.0,8.0,26.0,66.0,39.4,14.0,39.0,35.9,6.0,16.0,37.5,10.0,30.0,40.0,16.0,3.0,3.0,12.0,15.0,72.0,19.2,3.3,0.7,1.9,40,112.0,12.4,5.2,15,2.1,12,4,54.5,18.8,7,0.13,-2.95,3.08,3.7,4.2,24.0,12.0,50,3.0,0.0,0,0.0,0.0,0,4.0,0.0,6.0,5.0,0.0,0.0,16.0,5.0,8.0
Paderborn Baskets,Eyassu Worku,24,Eyassu Worku,9,12.4,111.5,67.0,7.4,28.0,58.0,48.3,8.0,18.0,44.4,3.0,5.0,60,1.0,10.0,11.0,13.0,7.0,0.0,11.0,15.0,67.4,32.1,3.3,0.6,0.5,23,90.0,10.0,4.4,2,1.0,5,0,20.0,5.0,2,0.53,-2.06,2.59,1.9,2.1,18.0,14.0,77.8,22.0,6.0,27.3,0.0,0.0,0,11.0,4.0,6.0,3.0,0.0,2.0,5.0,7.0,8.0
SBB Baskets,Modestas Paulauskas,10/21,Modestas Paulauskas,9,9.9,89.0,37.0,4.1,14.0,25.0,56,3.0,8.0,37.5,6.0,10.0,60,8.0,21.0,29.0,2.0,2.0,1.0,6.0,14.0,26.3,15.5,2.2,0.1,1.7,10,47.0,5.2,2.8,4,1.3,3,0,66.7,4.0,3,-1.38,-3.87,2.49,4.6,3.6,16.0,11.0,68.8,1.0,0.0,0,0.0,0.0,0,5.0,0.0,1.0,4.0,0.0,1.0,16.0,5.0,3.0
VfL SparkassenStars Bochum,Max Brackmann,64,Max Brackmann,9,5.9,53.3,10.0,1.1,4.0,10.0,40,0.0,0.0,0,2.0,2.0,100,8.0,5.0,13.0,1.0,0.0,2.0,6.0,21.0,8.5,8.4,0.5,0.0,0.6,2,12.0,1.3,0.6,0,0,0,0,0,0.0,0,-15.29,-16.15,0.86,5.0,4.7,10.0,4.0,40,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,4.0
EPG Baskets Koblenz,Ömer Girgin,6,Ömer Girgin,9,0.1,1.2,3.0,0.3,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.5,0.1,0.0,0.0,0,3.0,0.3,0.1,0,0,0,0,0,0.0,0,81.84,67.35,14.49,3.0,3.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
BG Göttingen,Emil Bode,5,Emil Bode,9,0.1,1.2,3.0,0.3,1.0,2.0,50,1.0,2.0,50,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,42.2,0.1,0.0,0.0,0,3.0,0.3,0.1,0,0,0,0,0,0.0,0,66.87,70.25,-3.39,3.2,3.7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Tigers Tübingen,Aaron Ayooluwa Ogunjobi,25,Aaron Ayooluwa Ogunjobi,9,0.3,3.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.9,33.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-48.53,-44.78,-3.75,3.2,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tigers Tübingen,Jordan Nathaniel Johnson,11,Jordan Nathaniel Johnson,8,31.7,253.8,148.0,18.5,49.0,121.0,40.5,15.0,48.0,31.2,35.0,47.0,74.5,2.0,29.0,31.0,39.0,6.0,0.0,30.0,16.0,162.9,33.5,6.9,1.8,1.4,93,241.0,30.1,11.2,5,2.5,4,4,43.4,5.8,2,-1.84,-2.98,1.14,2.2,1.8,52.0,29.0,55.8,21.0,5.0,23.8,0.0,0.0,0,24.0,6.0,10.0,18.0,0.0,0.0,14.0,42.0,24.0
Uni Baskets Münster,Curtis Tarell Jones Jr,27,Curtis Tarell Jones Jr,8,19.9,159.2,84.0,10.5,35.0,78.0,44.9,6.0,31.0,19.4,8.0,13.0,61.5,1.0,19.0,20.0,10.0,3.0,0.0,11.0,7.0,90.0,31.0,4.1,0.5,1.0,17,101.0,12.6,4.9,4,2.0,4,0,50.0,4.0,2,-3.6,-3.63,0.03,2.6,2.9,27.0,19.0,70.4,20.0,10.0,50,0.0,0.0,0,18.0,3.0,3.0,7.0,0.0,1.0,5.0,10.0,12.0
