Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Zorg en Zekerheid Leiden,"Jibbe SICKING, Lucas KRUITHOF, Nate ROBERTS, Stan VAN DEN ELZEN, Tyreek SCOTT-GRAYSON",Landstede Hammers,"Boyd VAN DER VUURST, Coen STOLK, Devin WHITFIELD, Jalen THOMAS, Troy Drake DOBBS",1,80,1.3,2.5,2,1,2,50,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2.0,3.0,100,0,100,0,100,-100,2,0,0,0,1,1,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
Stella Artois Leuven Bears,"James BLACKMON, Kelton TALFORD, Roel BUCUMI, Tytan ANDERSON, Wilson PRUITT",Kangoeroes Basket Mechelen,"Augustas PECIUKEVICIUS, Leander DEDROOG, Mojeed EWUOSHO, Zaba BANGALA, Zan KOSIC",1,85,1.4,2.5,2,1,2,50,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,3.0,2.0,66.7,0,66.7,0,66.7,-66.7,2,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0
Stella Artois Leuven Bears,"Guillaume DE MOL, Kelton TALFORD, Roel BUCUMI, Tytan ANDERSON, Wilson PRUITT",Kangoeroes Basket Mechelen,"Joshua HEATH, Leander DEDROOG, Yannick DAMMEN, Zaba BANGALA, Zan KOSIC",1,101,1.7,2.5,4,2,2,100,0,0,0,0,0,0,0,1,1,2,1,0,0,0,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,1,1,2.0,3.0,200,100,100,100,200,-100,1,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
Stella Artois Leuven Bears,"Guillaume DE MOL, Kelton TALFORD, Tytan ANDERSON, Wen MUKUBU, Wilson PRUITT",Kangoeroes Basket Mechelen,"Joshua HEATH, Leander DEDROOG, Nick STAMPLEY, Yannick DAMMEN, Zaba BANGALA",1,68,1.1,2.5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,2,3,66.7,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2.0,3.0,0,133.3,-133.3,133.3,0,133.3,-4,0,0,0,1,0,0,0,0,0,0,0,0,3,2,66.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2
Filou Oostende,"Aleksandre MERKVILADZE, Joppe MENNES, Max FIEDLER, Pierre-Antoine GILLET, Simon BUYSSE",Rotterdam City Basketball,"Jakari SPENCE, James GRAHAM, Lars NILSEN, Tjall DE VAAL, Tydus VERHOEVEN",1,70,1.2,2.5,6,3,3,100,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0,200,0,200,0,200,-200,6,0,0,0,3,3,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
Filou Oostende,"Andre GUSTAVSON, Moussa SYLLA, Noam YAACOV, Simon BUYSSE, Tim WAERNIERS",Rotterdam City Basketball,"Jakari SPENCE, James GRAHAM, Noah SLINGERLAND, Tjall DE VAAL, Tydus VERHOEVEN",1,74,1.2,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,100,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.0,3.0,0,133.3,-133.3,133.3,0,133.3,-4,0,0,0,1,0,0,0,0,0,0,0,0,2,2,100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Val-Dieu Spirou Basket,"Dontrez STYLES, Eric NOTTAGE, Juwan GARY, Njegos SIKIRAS, Zeb JACKSON",Brussels Basketball,"Alexandre LIBERT, Arne SCHREVENS, Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD",1,92,1.5,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,2,3,66.7,2,3,66.7,0,0,0,0,1,1,2,1,0,0,0,2.0,3.0,0,200,-200,200,0,200,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Val-Dieu Spirou Basket,"Adedayo POLET, Dontrez STYLES, Enoch BOAKYE, Eric NOTTAGE, Juwan GARY",Brussels Basketball,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD, Tonko VUKO",1,93,1.6,2.5,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6,2,4,50,2,2,100,0,0,0,1,0,1,2,1,0,0,0,2.0,2.9,100,204.8,-104.8,204.8,100,104.8,-4,0,0,0,1,1,100,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3
Windrose Giants Antwerp,"Andrew FUNK, Elias LASISI, Niels DE RIDDER, Rasheed BELLO, Vincent KESTELOOT",LWD Basket,"Bram TER WEEME, Maik BOUWER, Reinder BRANDSMA, Shakael PRYCE, Tristan DE ZWART FORSYTH",1,90,1.5,2.5,2,1,2,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,3,66.7,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3.0,1.9,66.7,207.3,-140.6,207.3,66.7,140.6,-2,0,0,0,2,1,50,0,0,0,1,1,100,2,1,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
Windrose Giants Antwerp,"Elias LASISI, Joel MURRAY, Kaden ANDERSON, Rasheed BELLO, Yoeri SCHOEPEN",LWD Basket,"Maik BOUWER, Matt FRIERSON, Sam MAILLET, Shakael PRYCE, Tristan DE ZWART FORSYTH",1,65,1.1,2.5,4,2,4,50,0,0,0,0,0,0,1,2,3,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.9,2.0,136.5,0,136.5,0,136.5,-136.5,4,1,1,100,3,1,33.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
