Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Den Helder Suns,"Bryan ANTOINE, Carter GILMORE, Drew STOVER, Reginald MESIDOR, Siem UIJTENDAAL",1,1069,12.3,27,11,34,32.4,2,13,15.4,3,4,75,6,7,13,6,1,1,5,9,34,75.8,76.4,75.2,31.4,31.9,35.3,37.8,54.5,27.3,58.3,10.7,11.8,38.2,79.3,50,18,32,56.2,2,7,28.6,12,13,92.3,5,16,21,16,1,1,2,6,33,59.4,66.3,5,41.7,21.9,149.4,2,2,100,19,7,36.8,0,0,0,1,3,0,1,-70.1,2,2,100,23,14,60.9,0,0,0,1,1,0,0,5,3,2,7,21,7
Hubo Limburg United,"Aubin GATERETSE, Jalen BLACKMON, Marijn VERVERS, Noah BAUMANN, Wout LEEMANS",1,912,12.3,42,18,30,60,1,6,16.7,5,6,83.3,5,13,18,17,3,1,5,3,32,82,83.7,80.3,28.7,29.9,61.7,64.3,94.4,45.5,72.2,9.2,20,20,132.1,27,11,29,37.9,4,12,33.3,1,2,50,5,6,11,6,4,0,6,4,31,44.8,45.2,16.7,27.8,41.4,88.4,2,2,100,22,15,68.2,0,0,0,4,1,0,0,43.6,1,1,100,16,6,37.5,0,0,0,3,2,0,1,5,20,8,3,8,4
Stella Artois Leuven Bears,"Guillaume DE MOL, Kelton TALFORD, Roel BUCUMI, Tytan ANDERSON, Wilson PRUITT",1,819,6.3,24,9,23,39.1,2,6,33.3,4,6,66.7,4,6,10,7,5,0,4,8,25,72.2,73.4,71,32.7,33.8,43.5,46.8,77.8,30.8,60,10.9,26.1,26.1,95.9,23,7,17,41.2,4,5,80,5,8,62.5,4,9,13,5,2,2,8,7,24,52.9,56,28.1,40,29.4,94.9,3,3,100,14,4,28.6,0,0,0,1,2,0,0,1,0,0,0,12,3,25,0,0,0,1,6,0,0,5,7,8,3,10,2
Okapi Aalst,"Dante Jr MADDOX, Eddie COLBERT III, Ivan MARAS, Niels VAN DEN EYNDE, Siebe LEDEGEN",1,743,5.0,33,13,18,72.2,2,4,50,5,5,100,2,10,12,6,0,1,5,7,23,76.9,74.5,79.4,32.2,30.2,77.8,81.7,46.2,40,66.7,16,27.8,22.2,143.1,27,9,26,34.6,3,11,27.3,6,6,100,5,3,8,7,3,0,2,5,25,40.4,47.1,6.5,33.3,42.3,109.9,1,1,100,13,10,76.9,0,0,0,0,4,0,1,33.2,0,0,0,15,6,40,0,0,0,0,1,0,1,2,11,0,6,5,4
Landstede Hammers,"Boyd VAN DER VUURST, Coen STOLK, Devin WHITFIELD, Jalen THOMAS, Troy Drake DOBBS",1,680,7.3,23,8,14,57.1,5,8,62.5,2,2,100,2,6,8,7,1,0,8,4,20,68.8,71.7,65.9,33.5,36.4,75,77.3,87.5,40,66.7,26.8,14.3,57.1,113.2,22,10,19,52.6,1,6,16.7,1,2,50,3,3,6,4,5,1,2,5,19,55.3,55.3,9.1,33.3,31.6,117.8,0,0,0,6,3,50,0,0,0,5,3,0,0,-4.6,2,2,100,11,7,63.6,0,0,0,2,0,0,0,4,2,2,4,7,7
Kangoeroes Basket Mechelen,"Augustas PECIUKEVICIUS, Joshua HEATH, Nick STAMPLEY, Yannick DAMMEN, Zaba BANGALA",1,654,0.0,20,7,12,58.3,1,1,100,5,8,62.5,2,6,8,2,2,4,5,5,19,65.5,69.7,61.4,34.4,39.1,62.5,64.4,28.6,28.6,46.2,22.2,66.7,8.3,105.3,16,4,21,19,1,10,10,7,8,87.5,7,5,12,2,2,0,2,6,17,21.4,32.6,7.5,53.8,47.6,95.7,1,1,100,10,5,50,0,0,0,2,2,0,1,9.6,3,2,66.7,8,1,12.5,0,0,0,1,1,0,0,3,4,2,5,0,7
Donar Groningen,"Austin LUKE, Damian FORREST, Evan TAYLOR, Malik MILLER, Wietze NOSSEK",1,569,6.8,23,9,15,60,5,9,55.6,0,0,0,1,8,9,8,4,0,5,1,19,79.4,79.8,79,30.1,30.4,76.7,76.7,88.9,16.7,80,17.9,0,60,121.5,14,5,15,33.3,2,7,28.6,2,2,100,2,5,7,4,5,0,5,4,19,40,44.1,23.9,20,46.7,74.7,1,1,100,5,3,60,0,0,0,1,4,0,0,46.8,0,0,0,8,3,37.5,0,0,0,2,3,0,0,2,9,3,3,7,7
Zorg en Zekerheid Leiden,"Dimitri MACONDA, Jibbe SICKING, Lucas KRUITHOF, Nate ROBERTS, Stan VAN DEN ELZEN",1,623,7.3,15,7,16,43.8,1,7,14.3,0,0,0,2,2,4,3,3,2,5,3,18,69.6,70.3,68.9,34.1,34.8,46.9,46.9,42.9,28.6,33.3,20.8,0,43.8,82.2,31,11,18,61.1,7,11,63.6,2,2,100,4,5,9,9,1,0,4,2,18,80.6,82.1,17.5,66.7,61.1,173.3,0,0,0,9,6,66.7,0,0,0,4,0,0,0,-91.1,0,0,0,7,4,57.1,0,0,0,1,3,0,0,2,0,2,10,5,5
Union Mons-Hainaut,"Greg MILTON III, Maks KLANJSCEK, Malik WHITAKER, Matic MIKUS, Matteo VERSTRAETE",1,562,0.0,23,6,12,50,1,3,33.3,10,12,83.3,1,5,6,1,0,1,2,5,18,74.7,78.9,70.5,30.4,34.0,54.2,66.6,16.7,12.5,71.4,9.9,100,25,124.5,21,6,14,42.9,2,7,28.6,7,9,77.8,2,7,9,4,2,1,1,9,17,50,58.5,5.3,28.6,50,127.2,0,0,0,9,5,55.6,0,0,0,1,1,0,0,-2.7,2,2,100,5,2,40,0,0,0,0,1,0,0,2,6,2,4,2,3
Union Mons-Hainaut,"Garrett HIEN, Greg MILTON III, Lual DIING, Maks KLANJSCEK, Malik WHITAKER",1,574,2.7,26,9,15,60,6,11,54.5,2,2,100,3,5,8,5,3,0,5,7,18,73.8,73.9,73.8,32.5,32.5,80,81.9,55.6,50,100,19.3,13.3,73.3,147.1,19,6,11,54.5,2,6,33.3,5,6,83.3,0,3,3,7,2,0,4,1,18,63.6,69.6,22.7,0,54.5,107.7,0,0,0,4,3,75,0,0,0,1,3,0,1,39.4,2,2,100,3,2,66.7,0,0,0,2,2,0,0,6,5,8,0,3,8
