# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 594
# Qualified players exported: 181
# Total stints used: 5321
# Garbage time stints excluded: 178
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Barça,21,Will Clyburn,515,-0.24,0.41,0.17
Río Breogán,22,Danko Brankovic,528,1.18,-1.02,0.17
Dreamland Gran Canaria,13,Pierre Pelos,576,0.6,-0.46,0.14
Hiopos Lleida,7,G. Golomán,425,-0.98,1.11,0.13
Real Madrid,16,Usman Garuba,392,1.55,-1.47,0.08
BAXI Manresa,11,Agustín Ubal,574,0.18,-0.14,0.04
BAXI Manresa,6,Ferran Bassas,324,1.03,-1.06,-0.03
Bàsquet Girona,5,Derek Needham,681,-1.4,1.34,-0.05
Dreamland Gran Canaria,18,Mike Tobey,661,0.3,-0.35,-0.05
UCAM Murcia,31,Dylan Ennis,831,0.57,-0.75,-0.19
Valencia Basket,2,Josep Puerto,416,-0.48,0.22,-0.26
Real Madrid,23,Sergio Llull,582,-0.05,-0.24,-0.29
Barça,44,Joel Parra,595,-0.13,-0.18,-0.31
Valencia Basket,8,Jean Montero,535,1.34,-1.66,-0.32
Recoletas Salud San Pablo Burgos,11,Dani Díez,357,-0.56,0.16,-0.39
Hiopos Lleida,14,Mikel Sanz,535,-0.75,0.32,-0.43
Barça,0,Kevin Punter,656,0.06,-0.49,-0.43
Kosner Baskonia,2,Kobi Simmons,257,-0.99,0.54,-0.45
Río Breogán,0,Bakary Dibba,558,-0.3,-0.16,-0.46
La Laguna Tenerife,19,Giorgi Shermadini,726,1.22,-1.7,-0.48
La Laguna Tenerife,42,Aaron Doornekamp,727,1.13,-1.65,-0.52
MoraBanc Andorra,11,Stan Okoye,326,0.03,-0.66,-0.63
Unicaja,55,Kendrick Perry,458,-1.2,0.48,-0.72
BAXI Manresa,19,Louis Olinde,723,-0.6,-0.13,-0.72
Recoletas Salud San Pablo Burgos,7,Juan Rubio,272,-1.34,0.61,-0.73
UCAM Murcia,99,Toni Nakic,670,0.19,-0.94,-0.76
Coviran Granada,13,Matt Thomas,575,0.03,-0.81,-0.79
Kosner Baskonia,25,Clement Frisch,299,-0.65,-0.16,-0.81
Joventut Badalona,16,Guillem Vives,386,-2.24,1.38,-0.86
La Laguna Tenerife,9,Marcelinho Huertas,655,2.78,-3.67,-0.88
Coviran Granada,2,Jonathan Rousselle,512,0.33,-1.28,-0.95
Surne Bilbao,13,Bassala Bagayoko,298,-2.31,1.35,-0.96
Surne Bilbao,11,Darrun Hilliard,550,-0.57,-0.42,-0.99
Dreamland Gran Canaria,21,Louis Labeyrie,524,-2.4,1.39,-1.01
MoraBanc Andorra,24,Kyle Kuric,317,0.32,-1.33,-1.01
Joventut Badalona,88,Adam Hanga,647,-1.42,0.37,-1.05
Surne Bilbao,2,Margiris Normantas,500,-0.82,-0.24,-1.06
Casademont Zaragoza,7,Miguel González,411,-1.76,0.62,-1.14
Recoletas Salud San Pablo Burgos,56,Jhivvan Jackson,887,-0.47,-0.68,-1.14
Recoletas Salud San Pablo Burgos,8,Pablo Almazán,297,-1.82,0.63,-1.19
Real Madrid,24,Andrés Feliz,389,2.52,-3.73,-1.21
Surne Bilbao Basket,19,Melwin Pantzar,250,-1.12,-0.12,-1.24
Dreamland Gran Canaria,9,Nico Brussino,776,-0.57,-0.74,-1.31
Valencia Basket,6,López-Arostegui,308,-3.44,2.12,-1.31
Recoletas Salud San Pablo Burgos,6,Jon Axel Gudmundsson,623,-2.48,1.15,-1.34
Real Madrid,0,Trey Lyles,474,0.55,-1.89,-1.34
Río Breogán,18,Jordan Sakho,503,1.1,-2.46,-1.37
Real Madrid,14,Gabriel Deck,409,0.51,-2.18,-1.67
Barça,3,Myles Cale,550,-0.5,-1.17,-1.67
Río Breogán,1,Keandre Cook,715,0.89,-2.59,-1.7
BAXI Manresa,29,Pierre Oriola,342,-0.21,-1.52,-1.73
Kosner Baskonia,0,Markus Howard,282,-2.08,0.32,-1.76
