Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BC Luleå,"Felix Broström, Robert Carpenter, Caleb McGill, Gustav Hansson, Gustav Hansson",11,4186,131,44,104,42.3,16,47,34,27,39,69.2,20,38,58,25,17,3,20,0,116,70.2,69.8,70.7,34.4,34.0,50,54.1,56.8,30.3,80.9,12,37.5,45.2,107.6,136,52,98,53.1,13,42,31,19,22,86.4,9,46,55,29,10,5,25,0,117,59.7,63.2,18.8,19.1,42.9,110.3,-2.7,32,16,50,2,2,100,0,0,0,9,5,0,6,42,30,71.4,1,1,100,0,0,0,11,6,0,8
Högsbo Basket,"Amen Jenkins Cheeseman, Isaiah Hill, Tony Vitali, Jesper Hallberg, Anes Zekovic",15,4426,159,55,120,45.8,17,48,35.4,32,35,91.4,23,34,57,32,9,5,17,0,114,70.6,69.5,71.8,34.5,33.4,52.9,58.7,58.2,34.8,57.6,9.2,29.2,40,124.1,172,65,124,52.4,19,46,41.3,23,32,71.9,25,43,68,33,9,11,21,0,127,60.1,62.3,13.2,42.4,37.1,130,-5.9,55,31,56.4,0,0,0,0,0,0,5,5,1,6,45,31,68.9,1,1,100,0,0,0,7,1,1,12
BC Luleå,"Robert Carpenter, Caleb McGill, Gustav Hansson, Antonio Daye, Gustav Hansson",6,4099,172,62,110,56.4,21,45,46.7,27,34,79.4,16,50,66,35,13,5,16,0,112,72.1,72.9,71.2,32.9,33.7,65.9,68.8,56.5,32,73.5,9.1,30.9,40.9,138.1,110,39,102,38.2,16,42,38.1,16,26,61.5,18,34,52,25,9,4,26,0,103,46.1,48.5,18.6,26.5,41.2,90.5,47.7,43,28,65.1,0,0,0,0,0,0,7,1,1,7,43,19,44.2,1,0,0,0,0,0,8,8,0,10
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Anton  Lindqvist, Dartaye Ruffin",14,3841,139,52,100,52,21,42,50,14,22,63.6,11,38,49,32,10,5,14,0,98,71.7,70.4,73.1,34.1,32.8,62.5,63.4,61.5,21.6,70.4,9,22,42,123.4,145,50,100,50,22,48,45.8,23,36,63.9,16,40,56,31,8,3,17,0,103,61,62.6,12.8,29.6,48,123.9,-0.5,36,20,55.6,1,1,100,0,0,0,6,5,0,3,25,16,64,1,1,100,0,0,0,6,6,0,5
Södertälje BBK,"Zaccharie Mortant, Mason Daniel Madsen, Mattias Herlitz, Ibrahim Magassa, Nicholas Spires",15,3459,109,40,89,44.9,14,39,35.9,15,19,78.9,12,49,61,25,7,7,14,0,97,69.1,68.7,69.4,34.9,34.6,52.8,56,62.5,23.5,79,10.3,21.3,43.8,110.1,86,27,85,31.8,8,35,22.9,24,32,75,13,39,52,17,4,7,14,0,88,36.5,43.4,12.4,21,41.2,85.9,24.1,35,22,62.9,0,0,0,0,0,0,6,1,0,7,28,13,46.4,0,0,0,0,0,0,6,2,2,4
BC Luleå,"Tobias Sjöberg, Felix Broström, Caleb McGill, Gustav Hansson, Gustav Hansson",10,3678,122,44,98,44.9,11,41,26.8,23,31,74.2,15,45,60,31,9,4,22,0,92,75.1,77.5,72.8,31.0,33.0,50.5,54.6,70.5,25.9,75,13.4,31.6,41.8,102.8,125,46,102,45.1,16,45,35.6,17,24,70.8,15,43,58,24,12,0,14,0,93,52.9,55.5,11.1,25,44.1,112,-9.2,34,22,64.7,1,1,100,0,0,0,6,9,1,6,42,23,54.8,0,0,0,0,0,0,8,3,0,3
Södertälje BBK,"Zaccharie Mortant, Mason Daniel Madsen, Ibrahim Magassa, Nicholas Spires, Lukas Novakovic",10,2989,100,35,83,42.2,12,33,36.4,18,25,72,13,32,45,27,9,1,16,0,92,75.5,77.2,73.8,31.1,32.5,49.4,53.2,77.1,27.1,68.1,11.7,30.1,39.8,104.1,98,33,76,43.4,10,35,28.6,22,31,71,15,35,50,24,5,5,17,0,89,50,54.7,15.9,31.9,46.1,106.6,-2.5,25,9,36,0,0,0,0,0,0,4,3,0,9,22,15,68.2,1,0,0,0,0,0,6,4,0,7
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Josef Fahrenholtz",7,4287,113,41,81,50.6,10,32,31.2,21,24,87.5,8,42,50,24,9,3,11,0,89,54.9,52.7,57,45.5,42.1,56.8,61.7,58.5,19.5,82.4,8.7,29.6,39.5,119.9,104,36,85,42.4,11,42,26.2,21,25,84,9,33,42,14,4,3,15,0,88,48.8,54.2,13.5,17.6,49.4,102.2,17.7,28,20,71.4,0,0,0,0,0,0,3,3,0,5,26,15,57.7,0,0,0,0,0,0,6,4,0,5
Högsbo Basket,"Amen Jenkins Cheeseman, Tony Vitali, Jonathan Peleg, Jesper Hallberg, Anes Zekovic",4,2896,118,45,82,54.9,9,30,30,19,22,86.4,10,30,40,25,5,9,18,0,85,81.3,81.8,80.9,29.3,29.7,60.4,64.4,55.6,27.8,61.2,13.4,26.8,36.6,119.6,112,46,92,50,5,18,27.8,15,22,68.2,19,26,45,22,9,1,15,0,81,52.7,55.1,12.9,38.8,19.6,114.8,4.8,29,23,79.3,0,0,0,0,0,0,6,5,2,5,52,31,59.6,1,1,100,0,0,0,1,4,2,8
Nässjö Basket,"Mirko Djeric, Steven Strong Jr, Anton  Lindqvist, Dartaye Ruffin, Anton Johansson",12,3059,92,33,81,40.7,5,24,20.8,21,31,67.7,12,42,54,17,7,6,15,0,82,76.2,76.2,76.2,31.5,31.5,43.8,48.6,51.5,24.5,79.2,11.8,38.3,29.6,94.8,99,32,83,38.6,15,44,34.1,20,26,76.9,11,37,48,18,7,3,14,0,82,47.6,52.4,12.9,20.8,53,101.9,-7.2,30,21,70,0,0,0,0,0,0,2,4,1,8,27,13,48.1,0,0,0,0,0,0,7,2,1,4
