Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Newcastle Eagles,14,Maceo Jack,,27,30.9,833.1,423,15.7,149,317,47.0,27,90,30.0,98,120,81.7,17,97,114,54,22,10,49,68,51.3,57.2,22.8,101.0,19.4,4.1,2.1,12.7,7.2,11.4,1.3,1.1,11.7,0.38,3.01,1.26,1.75,118,77,65.3,109,45,41.3,90,27,30,11,30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,11,Ryan Mikesell,,7,20.8,145.6,53,7.6,18,47,38.3,8,25,32.0,9,10,90.0,4,12,16,12,2,0,7,20,46.8,51.6,18.6,90.8,10.3,4.9,2.9,9.3,6.0,14.8,0.7,0.0,12.0,0.21,2.97,-0.33,3.29,13,6,46.2,9,4,44.4,25,8,32,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,7,Zak Irvin,,24,19.7,472.6,148,6.2,67,115,58.3,4,13,30.8,10,18,55.6,23,91,114,25,22,1,24,30,60.0,60.2,13.9,100.7,7.8,0.7,5.0,19.3,12.3,7.9,2.4,0.2,16.3,0.16,2.95,1.05,1.9,79,53,67.1,23,10,43.5,13,4,30.8,6,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,8,Deion Hammond,,21,26.8,562.4,239,11.4,85,207,41.1,54,136,39.7,15,17,88.2,5,55,60,29,26,5,20,63,54.1,55.7,19.1,101.9,14.1,8.0,0.9,10.7,5.7,8.6,2.3,0.8,8.5,0.08,2.83,0.99,1.83,25,14,56,46,17,37,136,54,39.7,8,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia Gladiators,40,Ethan Wright,,23,24.8,571.2,296,12.9,111,243,45.7,35,101,34.7,39,49,79.6,36,88,124,58,35,6,44,41,52.9,55.9,24.3,95.9,16.8,5.7,6.4,16.6,11.4,19.0,3.2,1.0,14.3,0.2,2.78,1.26,1.52,123,70,56.9,19,6,31.6,101,35,34.7,25,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia Gladiators,22,Charles Jett Speelman,,1,30.3,30.3,17,17.0,6,11,54.5,3,4,75.0,2,2,100.0,1,2,3,0,2,0,3,2,68.2,71.5,21.4,114.2,20.5,4.8,3.1,6.3,4.7,0.0,3.1,0.0,20.2,0.18,2.77,1.7,1.07,4,2,50,3,1,33.3,4,3,75,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,23,Jalen Deloach,,20,18.6,371.4,156,7.8,60,99,60.6,3,13,23.1,33,67,49.3,29,77,106,28,8,15,29,53,62.1,60.7,19.3,99.1,10.1,0.8,8.5,20.4,14.7,12.3,1.1,4.3,18.4,0.68,2.75,0.53,2.21,63,47,74.6,23,10,43.5,13,3,23.1,7,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester Riders,41,Nathaniel Martin,,15,25.5,382.9,128,8.5,52,91,57.1,0,0,0,24,45,53.3,39,69,108,26,7,6,14,32,57.1,57.8,15.0,102.6,11.2,0.0,11.0,20.9,15.8,11.5,1.0,1.6,11.2,0.49,2.64,1.61,1.03,58,37,63.8,33,15,45.5,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,24,Nick Kern Jr,,24,20.1,483.1,262,10.9,103,195,52.8,2,17,11.8,54,94,57.4,24,68,92,48,13,8,41,52,53.3,55.4,26.4,94.5,14.2,0.9,5.5,13.9,9.9,17.9,1.4,1.8,14.8,0.48,2.5,0.73,1.77,124,76,61.3,54,25,46.3,17,2,11.8,16,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,24,Matthew Zona,,28,12.8,358.3,168,6.0,61,139,43.9,30,84,35.7,16,28,57.1,27,52,79,14,14,14,15,58,54.7,55.5,19.6,101.0,7.3,3.6,7.3,15.0,11.0,5.9,1.9,3.5,9.0,0.2,2.32,1.75,0.57,34,23,67.6,21,8,38.1,84,30,35.7,3,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,99,Gus Okafor,,18,24.0,431.2,192,10.7,59,147,40.1,25,66,37.9,49,75,65.3,20,57,77,36,7,4,13,37,48.6,53.3,20.5,99.5,13.2,4.5,4.8,14.6,9.6,13.8,0.8,0.8,6.7,0.51,2.29,1.27,1.02,43,21,48.8,38,13,34.2,66,25,37.9,2,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
