# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 443
# Qualified players exported: 198
# Total stints used: 8252
# Garbage time stints excluded: 303
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Phoenix Hagen,11,Marvin Omonigho Omuvwie,584,6.0,2.24,8.24
Artland Dragons,9,Connor Van Anthony,1121,3.98,2.87,6.85
BBC Bayreuth,22,Leroy Ikenna Ikejiaku,468,1.73,4.72,6.45
BG Göttingen,44,Julius Böhmer,968,2.17,4.1,6.27
Bozic Estriche Knights Kirchheim,11,Tyrel Maurice Morgan,789,2.78,3.42,6.2
HAKRO Merlins Crailsheim,4,Brock Boone Gardner,921,3.74,1.78,5.53
VfL SparkassenStars Bochum,1,Antonio Deshon Williams,1044,2.24,3.22,5.46
Tigers Tübingen,21,Connor McDonald Nelson,303,3.61,1.55,5.16
EPG Baskets Koblenz,0,Decorian Jeffries,892,3.38,1.5,4.88
Phoenix Hagen,19,Marinus Lucas N'Guessan,612,1.54,3.04,4.58
PS Karlsruhe LIONS,5,Tyrese Williams,830,3.07,1.43,4.5
Eisbären Bremerhaven,3,Jacob David Biss,888,2.0,2.38,4.37
Artland Dragons,25,Benjamin Forrest Burnham,1218,3.05,1.23,4.28
Phoenix Hagen,30,Jeffrey Carroll,874,3.81,-0.05,3.76
HAKRO Merlins Crailsheim,0,Tyreese Blunt,1070,1.28,2.31,3.59
BG Göttingen,0,Nils Owen Schmitz,733,2.24,1.31,3.55
Phoenix Hagen,4,Bjarne Kraushaar,958,3.23,0.15,3.38
Bayer Giants Leverkusen,3,Luca Finn Kahl,765,0.52,2.84,3.36
RheinStars Köln,23,Michael Jordan Miller,865,-0.32,3.55,3.23
GIESSEN 46ers,18,Till Gloger,713,0.8,2.42,3.22
GIESSEN 46ers,47,Abu Kigab,256,2.37,0.81,3.19
BG Göttingen,9,Kevin Buckingham,363,3.65,-0.5,3.15
Phoenix Hagen,2,Dennis Nawrocki,751,2.12,1.02,3.15
EPG Baskets Koblenz,11,Devonte Jasai McCall,525,2.64,0.36,2.99
HAKRO Merlins Crailsheim,26,Marvin Ogunsipe,928,0.94,2.05,2.98
Eisbären Bremerhaven,2,Raphael Falkenthal,506,-0.37,3.34,2.96
Eisbären Bremerhaven,7,Adrian Breitlauch,785,2.77,0.14,2.92
Bozic Estriche Knights Kirchheim,3,Charles Tyrone Harris Jr.,707,1.75,0.78,2.53
Bozic Estriche Knights Kirchheim,15,Nil Failenschmid Clavera,840,1.54,0.86,2.4
HAKRO Merlins Crailsheim,12,Xavier Trent Johnson,412,0.75,1.57,2.32
Nürnberg Falcons BC,2,Carter Dean Whitt,758,2.25,-0.02,2.23
Bayer Giants Leverkusen,21,John Williams Jr,939,0.64,1.58,2.22
Artland Dragons,3,Amir Jabbar Hinton,1199,3.08,-0.95,2.13
Paderborn Baskets,2,Branden Michael Maughmer,830,1.82,0.24,2.06
HAKRO Merlins Crailsheim,22,Antonio Dewane Madlock JR,734,-0.33,2.38,2.05
SBB Baskets,28,Alieu Ceesay,621,2.38,-0.41,1.97
HAKRO Merlins Crailsheim,10,Gianni Otto,488,1.37,0.59,1.96
RheinStars Köln,4,Zachary Richard Watson,459,0.63,1.3,1.93
Eisbären Bremerhaven,0,Elijah Jahi Miller,1106,1.46,0.44,1.89
GIESSEN 46ers,7,Kyle Anthony Castlin,1280,-0.03,1.91,1.88
BG Göttingen,20,Janis Jünemann,448,-2.09,3.93,1.84
Phoenix Hagen,21,Tim Uhlemann,715,1.29,0.51,1.8
GIESSEN 46ers,12,Robin Benzing,987,1.51,0.28,1.79
Bozic Estriche Knights Kirchheim,9,Tylan James Pope,951,2.88,-1.1,1.78
VfL SparkassenStars Bochum,8,Kilian Dietz,426,-0.84,2.56,1.72
GIESSEN 46ers,14,Luis Elias König Figge,649,1.07,0.63,1.7
HAKRO Merlins Crailsheim,1,Jose Gabriel de Oliveira Neto,803,-0.24,1.91,1.67
Eisbären Bremerhaven,90,Jannis von Seckendorff,832,1.9,-0.24,1.66
RheinStars Köln,11,Timothy Nehemiah Davis,311,-1.14,2.79,1.65
PS Karlsruhe LIONS,25,David Opowu Ejah,1142,0.68,0.94,1.62
RheinStars Köln,10,Haris Hujic,585,0.03,1.58,1.62
VfL SparkassenStars Bochum,7,Lars Kamp,899,1.17,0.37,1.54
SBB Baskets,24,Nigel Pruitt,408,2.3,-0.77,1.52
Tigers Tübingen,24,JaCobi Allen Wood,552,-0.48,1.91,1.43
Phoenix Hagen,10,Fabian Bleck,774,-2.0,3.39,1.39
Artland Dragons,7,Timo Lanmüller,1105,1.14,0.23,1.36
Uni Baskets Münster,1,Timetric Jerome Hodges,426,0.87,0.48,1.34
Paderborn Baskets,71,Jonathan Klussmann,982,3.07,-1.76,1.31
PS Karlsruhe LIONS,23,Maurice Marko Pluskota,1027,1.28,0.0,1.29
BG Göttingen,3,Jordan Sears,1088,-0.07,1.33,1.26
HAKRO Merlins Crailsheim,9,Anthony Malik Gaines,1045,-0.08,1.31,1.22
GIESSEN 46ers,55,Simon Krajcovic,946,-1.12,2.27,1.15
Nürnberg Falcons BC,5,Tim Köpple,727,1.78,-0.64,1.14
VfL SparkassenStars Bochum,11,Dravon Mangum,963,0.66,0.44,1.11
Uni Baskets Münster,22,Cosmo Grühn,664,-0.37,1.47,1.11
BG Göttingen,1,Adam Ramstedt,631,-0.96,2.02,1.06
HAKRO Merlins Crailsheim,99,Vincent Malik Shahid,531,0.79,0.25,1.04
Phoenix Hagen,0,Marcus Henri Graves,982,0.81,0.16,0.98
BG Göttingen,10,Hendrik Helge Drescher,992,-0.23,1.18,0.94
SBB Baskets,6,Martin Bogdanov,848,-1.49,2.4,0.91
VfL SparkassenStars Bochum,9,Jonas Grof,1065,-0.12,1.01,0.89
GIESSEN 46ers,5,Devon Goodman,410,-0.42,1.31,0.89
VfL SparkassenStars Bochum,0,Myreon Lamar Jones JR,1197,0.13,0.76,0.89
PS Karlsruhe LIONS,4,Isaiah Rayshaud Hart,818,-0.54,1.4,0.86
Eisbären Bremerhaven,31,Hendrik Warner,667,-3.04,3.81,0.77
RheinStars Köln,15,Björn Rohwer,869,2.18,-1.42,0.76
Nürnberg Falcons BC,28,Tom Stoiber,685,-0.29,1.01,0.71
Nürnberg Falcons BC,16,Julius Wolf,754,2.15,-1.44,0.71
EPG Baskets Koblenz,9,Jonas Niedermanner,976,-0.83,1.54,0.71
Eisbären Bremerhaven,6,Carlos Deshawn Carter,915,1.81,-1.11,0.7
Phoenix Hagen,77,Anzac Joseph Dennis Rissetto,427,-0.26,0.93,0.68
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll,1184,1.35,-0.75,0.6
Tigers Tübingen,10,Isaiah Jevon Sanders,394,-0.53,1.11,0.58
Bayer Giants Leverkusen,51,Sören Urbansky,583,0.23,0.28,0.51
Bozic Estriche Knights Kirchheim,4,Gian Bahattin Aydinoglu,714,-2.91,3.4,0.49
GIESSEN 46ers,25,Viktor Kovacevic,269,-0.7,1.17,0.47
BBC Bayreuth,55,Lenny Liedtke,1040,1.41,-0.98,0.43
BBC Bayreuth,6,Moritz Plescher,845,0.63,-0.24,0.39
BG Göttingen,21,Zach Jackson,964,1.65,-1.26,0.38
Phoenix Hagen,8,Devin Lawrence Schmidt,885,-0.39,0.74,0.36
Tigers Tübingen,17,Lukas Max Milner,773,0.51,-0.19,0.32
