Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Essex Rebels,H. Gent,36,H. Gent,20,14.1,281.8,64.0,3.2,28.0,61.0,45.9,1.0,2.0,50,7.0,18.0,38.9,28.0,38.0,66.0,8.0,8.0,4.0,18.0,34.0,56.6,10.0,11.3,1.4,11.7,0,64.0,3.2,11.3,2,1.0,0,4,56.8,2.8,2,-6.17,-7.96,1.79,4.3,4.9,55.0,26.0,47.3,4.0,1.0,25,2.0,1.0,50,1.0,11.0,1.0,5.0,9.0,14.0,14.0
Essex Rebels,M. Wol-Cummings,0,M. Wol-Cummings,20,8.1,162.4,45.0,2.2,15.0,41.0,36.6,5.0,13.0,38.5,10.0,12.0,83.3,10.0,7.0,17.0,9.0,4.0,0.0,10.0,12.0,44.4,13.7,13.8,2.8,5.2,2,47.0,2.4,14.4,5,2.5,3,2,64.4,3.9,2,-5.45,-6.34,0.89,2.7,4.3,24.0,10.0,41.7,4.0,0.0,0,13.0,5.0,38.5,3.0,6.0,0.0,1.0,10.0,8.0,9.0
Essex Rebels,M. Brown,2,M. Brown,19,35.5,673.7,453.0,23.8,162.0,330.0,49.1,42.0,108.0,38.9,87.0,102.0,85.3,24.0,73.0,97.0,112.0,73.0,4.0,72.0,46.0,406.0,30.1,33.5,8.3,7.2,24,477.0,25.1,35.3,35,5.0,25,9,60.4,33.0,7,8.39,1.99,6.4,1.6,1.0,169.0,100.0,59.2,53.0,20.0,37.7,108.0,42.0,38.9,33.0,28.0,0.0,11.0,76.0,175.0,125.0
Nottingham Hoods,T. Williams,0/1/55/9,T. Williams,19,35.1,667.7,425.0,22.4,163.0,365.0,44.7,35.0,144.0,24.3,64.0,96.0,66.7,22.0,86.0,108.0,105.0,47.0,10.0,47.0,38.0,415.0,32.0,32.6,8.0,8.3,17,442.0,23.3,33.9,34,5.7,21,10,66.9,28.4,6,6.48,0.98,5.51,2.5,1.5,174.0,112.0,64.4,47.0,16.0,34,144.0,35.0,24.3,24.0,15.0,0.0,8.0,47.0,154.0,98.0
London Cavaliers,D. Braster,23,D. Braster,19,31.4,596.9,353.0,18.6,151.0,291.0,51.9,17.0,62.0,27.4,34.0,53.0,64.2,40.0,127.0,167.0,52.0,15.0,11.0,61.0,40.0,321.9,28.1,30.8,4.5,14.6,12,365.0,19.2,31.8,19,2.7,19,4,45.8,26.8,7,2.34,-0.97,3.31,3.8,2.3,158.0,102.0,64.6,71.0,32.0,45.1,62.0,17.0,27.4,27.0,19.0,0.0,15.0,63.0,112.0,73.0
Newcastle Knights,S. Trunley,10,S. Trunley,19,35.3,671.0,337.0,17.7,118.0,283.0,41.7,64.0,168.0,38.1,37.0,45.0,82.2,33.0,56.0,89.0,82.0,27.0,0.0,33.0,40.0,290.7,21.6,25.2,6.1,6.6,24,361.0,19.0,26.9,53,6.6,38,7,64.5,43.1,8,2.72,0.83,1.89,2.3,2.8,55.0,30.0,54.5,60.0,24.0,40,168.0,64.0,38.1,12.0,15.0,0.0,6.0,57.0,78.0,55.0
London Cavaliers,J. Manning,10,J. Manning,19,34.6,657.2,331.0,17.4,118.0,256.0,46.1,59.0,135.0,43.7,36.0,45.0,80,15.0,68.0,83.0,82.0,18.0,8.0,64.0,35.0,311.8,24.7,26.2,6.5,6.6,8,339.0,17.8,26.9,24,4.0,19,0,63.2,24.0,6,3.03,0.61,2.42,2.1,1.8,85.0,46.0,54.1,36.0,13.0,36.1,135.0,59.0,43.7,41.0,20.0,1.0,2.0,30.0,134.0,56.0
Derby Trailblazers,J. Pathmarajah,22,J. Pathmarajah,19,31.7,602.3,313.0,16.5,121.0,272.0,44.5,19.0,53.0,35.8,52.0,68.0,76.5,12.0,53.0,65.0,87.0,32.0,6.0,43.0,44.0,319.6,27.4,26.8,7.5,5.6,15,328.0,17.3,28.1,22,2.4,21,7,45.7,29.1,9,-0.09,-2.81,2.73,1.9,2.7,149.0,79.0,53,70.0,23.0,32.9,53.0,19.0,35.8,21.0,18.0,0.0,4.0,46.0,116.0,76.0
Yorkshire Dragons,N. Lewis,93,N. Lewis,19,29.0,551.1,287.0,15.1,94.0,247.0,38.1,31.0,114.0,27.2,68.0,83.0,81.9,7.0,65.0,72.0,120.0,45.0,6.0,65.0,58.0,327.9,29.4,25.8,10.8,6.5,7,294.0,15.5,26.4,8,1.6,6,7,44.1,10.1,5,2.46,-2.16,4.61,1.3,1.3,94.0,45.0,47.9,39.0,18.0,46.2,114.0,31.0,27.2,39.0,19.0,1.0,6.0,23.0,105.0,94.0
Milton Keynes Breakers,X. Wilson,21,X. Wilson,19,26.3,500.6,283.0,14.9,122.0,245.0,49.8,10.0,33.0,30.3,29.0,43.0,67.4,49.0,95.0,144.0,56.0,28.0,24.0,38.0,40.0,242.8,24.9,29.3,5.8,14.9,12,295.0,15.5,30.5,14,2.3,20,2,33.5,22.9,6,6.9,-1.12,8.02,4.4,2.7,134.0,87.0,64.9,78.0,25.0,32.1,33.0,10.0,30.3,17.0,20.0,0.0,1.0,69.0,42.0,47.0
London Cavaliers,A. Roberts,4,A. Roberts,19,34.8,661.0,282.0,14.8,106.0,224.0,47.3,47.0,109.0,43.1,23.0,31.0,74.2,20.0,77.0,97.0,78.0,15.0,7.0,45.0,36.0,252.1,19.8,22.2,6.1,7.6,3,285.0,15.0,22.5,9,1.1,13,1,33.5,14.4,8,2.83,-0.01,2.84,2.4,2.3,85.0,47.0,55.3,30.0,12.0,40,109.0,47.0,43.1,27.0,12.0,0.0,6.0,34.0,71.0,31.0
Milton Keynes Breakers,J. Spencer,23,J. Spencer,19,32.8,623.2,279.0,14.7,87.0,201.0,43.3,34.0,103.0,33,71.0,79.0,89.9,8.0,118.0,126.0,145.0,28.0,4.0,60.0,44.0,276.2,22.8,23.2,12.0,10.5,21,300.0,15.8,24.9,32,4.6,19,10,68.4,29.4,7,6.48,-1.17,7.65,2.2,1.3,68.0,41.0,60.3,29.0,11.0,37.9,103.0,34.0,33,37.0,14.0,0.0,9.0,34.0,79.0,69.0
