Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Cheshire Phoenix,Skyler White,99,Skyler White,25,24.7,618.1,322.0,12.9,108.0,248.0,43.5,66.0,163.0,40.5,40.0,56.0,71.4,32.0,96.0,128.0,45.0,20.0,20.0,26.0,72.0,256.0,20.1,15.6,2.2,6.2,103,425.0,17.0,20.6,38,3.2,21,12,72.3,27.3,12,3.05,-0.41,3.46,4.0,3.0,40.0,24.0,60,44.0,17.0,38.6,163.0,66.0,40.5,10.0,13.0,0.0,3.0,41.0,74.0,41.0
Cheshire Phoenix,Michael Diggins,2,Michael Diggins,25,24.1,602.6,277.0,11.1,110.0,236.0,46.6,29.0,95.0,30.5,28.0,39.0,71.8,41.0,72.0,113.0,24.0,17.0,15.0,27.0,53.0,229.6,18.5,13.4,1.2,5.5,59,336.0,13.4,16.3,30,3.3,19,2,75.5,24.9,9,-1.18,-3.19,2.01,3.9,4.0,95.0,66.0,69.5,46.0,15.0,32.6,95.0,29.0,30.5,8.0,12.0,0.0,7.0,59.0,71.0,43.0
Cheshire Phoenix,Jaxon Brenchley,23,Jaxon Brenchley,25,26.6,666.1,251.0,10.0,91.0,198.0,46,32.0,94.0,34,37.0,51.0,72.5,32.0,73.0,105.0,66.0,25.0,5.0,19.0,36.0,199.1,14.5,12.2,3.2,5.1,161,412.0,16.5,20.0,21,2.6,18,8,48.8,23.5,8,1.68,-1.49,3.18,2.7,3.3,83.0,52.0,62.7,21.0,7.0,33.3,94.0,32.0,34,9.0,9.0,0.0,1.0,48.0,84.0,38.0
Cheshire Phoenix,Laquincy Rideau,3,Laquincy Rideau,25,26.3,657.0,242.0,9.7,83.0,223.0,37.2,27.0,86.0,31.4,49.0,70.0,70,33.0,79.0,112.0,134.0,44.0,5.0,67.0,97.0,276.3,20.4,11.7,6.5,5.4,323,565.0,22.6,27.4,39,3.0,32,10,53.6,41.4,13,-1.18,-4.98,3.8,2.0,2.6,100.0,46.0,46,36.0,9.0,25,86.0,27.0,31.4,33.0,12.0,0.0,22.0,30.0,103.0,65.0
Cheshire Phoenix,Matthew Zona,24,Matthew Zona,25,12.6,316.1,146.0,5.8,54.0,121.0,44.6,24.0,70.0,34.3,14.0,26.0,53.8,23.0,43.0,66.0,10.0,13.0,14.0,13.0,54.0,117.5,18.1,7.1,0.5,3.2,23,169.0,6.8,8.2,8,2.0,3,2,103.1,3.9,4,-0.69,-3.79,3.11,4.4,4.0,32.0,22.0,68.8,19.0,8.0,42.1,70.0,24.0,34.3,3.0,3.0,0.0,7.0,26.0,16.0,12.0
Cheshire Phoenix,Patrick Robinson,13,Patrick Robinson,24,25.7,617.2,472.0,19.7,162.0,277.0,58.5,20.0,52.0,38.5,128.0,177.0,72.3,30.0,57.0,87.0,96.0,21.0,4.0,49.0,39.0,358.9,28.2,22.9,4.7,4.2,255,727.0,30.3,35.3,45,3.5,39,17,48.4,49.5,13,7.09,3.62,3.47,2.2,1.0,167.0,116.0,69.5,58.0,26.0,44.8,52.0,20.0,38.5,16.0,25.0,0.0,8.0,37.0,123.0,71.0
Newcastle Eagles,Maceo Jack,14,Maceo Jack,24,30.7,737.8,355.0,14.8,123.0,277.0,44.4,24.0,86.0,27.9,85.0,103.0,82.5,15.0,83.0,98.0,46.0,19.0,10.0,45.0,60.0,338.2,22.7,18.2,2.4,5.0,111,466.0,19.4,23.8,51,3.9,35,13,62.6,46.7,13,-2.63,-4.89,2.26,3.2,3.2,104.0,65.0,62.5,87.0,34.0,39.1,86.0,24.0,27.9,11.0,27.0,0.0,7.0,35.0,118.0,73.0
Bristol Flyers,Joseph Anderson,22,Joseph Anderson,24,30.6,733.8,330.0,13.8,123.0,286.0,43,52.0,159.0,32.7,32.0,41.0,78,11.0,52.0,63.0,113.0,46.0,1.0,37.0,29.0,316.8,23.0,18.1,6.2,3.5,257,587.0,24.5,32.2,34,4.9,24,12,58.1,32.3,7,3.76,-1.23,4.99,1.2,1.8,67.0,47.0,70.1,60.0,24.0,40,159.0,52.0,32.7,26.0,9.0,0.0,2.0,31.0,105.0,72.0
Bristol Flyers,William Yoakum,3,William Yoakum,24,25.6,615.1,301.0,12.5,115.0,227.0,50.7,27.0,75.0,36,44.0,60.0,73.3,26.0,64.0,90.0,27.0,33.0,10.0,24.0,48.0,241.3,20.9,16.5,1.5,4.9,54,355.0,14.8,19.5,28,4.0,15,6,79.4,18.6,7,2.82,-2.7,5.52,3.2,2.8,117.0,78.0,66.7,35.0,10.0,28.6,75.0,27.0,36,5.0,14.0,0.0,5.0,47.0,98.0,67.0
Cheshire Phoenix,Frankie Policelli,5,Frankie Policelli,24,24.8,594.0,300.0,12.5,96.0,233.0,41.2,66.0,174.0,37.9,42.0,51.0,82.4,24.0,116.0,140.0,25.0,30.0,10.0,29.0,56.0,250.0,20.4,14.6,1.2,6.8,51,351.0,14.6,17.0,20,2.0,18,5,49.5,22.2,10,2.22,-1.16,3.39,3.9,3.5,32.0,19.0,59.4,27.0,11.0,40.7,174.0,66.0,37.9,9.0,9.0,0.0,11.0,53.0,119.0,73.0
