Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Nottingham Hoods,14,M. Savery-Richards,,17,19.0,322.6,92,5.4,32,77,41.6,3,11,27.3,25,34,73.5,24,46,70,15,13,1,18,52,43.5,50.0,14.7,83.7,6.7,0.8,7.2,15.2,11.0,6.8,2.0,0.3,16.4,0.44,0.24,-1.41,1.66,30,18,60,36,11,30.6,11,3,27.3,4,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,7,F. Mughal,,2,11.0,22.0,2,1.0,1,6,16.7,0,2,0.0,0,0,0,1,0,1,1,0,0,0,1,16.7,16.7,11.5,33.3,1.3,1.3,4.3,0.0,2.1,6.0,0.0,0.0,0.0,0.0,0.19,-0.9,1.09,1,1,100,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loughborough Riders,13,T. Akinsuku,,18,23.1,415.5,156,8.7,63,113,55.8,0,4,0.0,30,60,50.0,35,96,131,27,10,16,32,50,55.8,56.0,18.0,91.0,10.6,0.3,8.3,22.2,15.3,10.6,1.2,3.1,18.7,0.53,0.12,-1.18,1.3,93,59,63.4,16,4,25,4,0,0,4,19,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,23,L. Maitland,,17,6.8,115.4,29,1.7,10,20,50.0,9,17,52.9,0,0,0,2,3,5,8,6,1,7,11,72.5,72.5,10.2,107.4,2.1,1.3,1.7,2.8,2.2,10.1,2.6,0.8,25.9,0.0,0.03,-0.95,0.98,1,1,100,2,0,0,17,9,52.9,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
London Cavaliers,5,O. Pond-Mckenzie,,17,4.7,80.2,16,0.9,6,21,28.6,4,15,26.7,0,0,0,1,9,10,4,3,1,3,4,38.1,38.1,12.9,66.7,1.2,1.1,1.3,10.3,6.0,6.6,1.9,1.2,12.5,0.0,0.01,0.09,-0.08,3,0,0,3,2,66.7,15,4,26.7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London Cavaliers,6,D. Defreitas-Smith Jr,,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemel Storm,9,J. Bielak,,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,12,P. Cantwell,,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,15,J. Dawes,,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemel Storm,1,A. Sylla,,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
