Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
MBK Baník Handlová,71,"Mc Laughlin, Jeremy Lamar",,20,27.2,544.9,239,11.9,105,187,56.1,8,18,44.4,21,33,63.6,45,46,91,17,15,4,24,58,58.3,59.3,19.0,106.0,15.7,1.2,8.4,10.0,9.2,6.2,1.5,0.8,10.6,0.18,1.42,0.24,1.17,90,56,62.2,76,39,51.3,18,8,44.4,6,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,11,"Volárik, Samuel",,28,23.9,668.7,163,5.8,69,159,43.4,11,52,21.2,14,24,58.3,36,62,98,42,36,7,36,88,46.9,48.1,13.4,79.3,7.3,2.3,5.6,9.4,7.5,8.9,2.7,1.1,17.5,0.15,1.41,-1.14,2.55,71,41,57.7,34,16,47.1,52,11,21.2,18,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,13,"Šljivančanin, Jovan",,5,21.9,109.4,51,10.2,20,49,40.8,4,18,22.2,7,15,46.7,6,24,30,8,8,1,8,5,44.9,45.9,27.2,80.2,14.0,5.0,5.7,24.8,14.8,13.7,4.0,1.0,12.6,0.31,1.39,-0.64,2.03,21,11,52.4,10,5,50,18,4,22.2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,10,"Novák, Dávid",,25,13.9,346.3,81,3.2,28,80,35.0,8,29,27.6,17,30,56.7,14,36,50,13,11,7,19,26,40.0,43.5,14.2,72.2,4.2,1.5,4.1,10.5,7.3,5.6,1.7,1.9,16.9,0.38,1.31,-1.22,2.53,36,13,36.1,15,7,46.7,29,8,27.6,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,13,"Beck, Tervell Tyshawn",,26,28.1,731.1,247,9.5,97,180,53.9,14,40,35.0,39,50,78.0,46,42,88,28,13,7,42,59,57.8,61.1,15.0,101.2,12.4,2.0,6.5,6.1,6.3,6.0,0.9,0.9,17.2,0.28,1.3,1.2,0.1,48,33,68.8,91,49,53.8,40,14,35,12,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Košice Wolves,11,"Montgomery, Ezekiel La'quan-Abe",,7,32.5,227.3,110,15.7,41,109,37.6,16,49,32.7,12,17,70.6,9,27,36,17,5,1,5,14,45.0,47.2,24.9,90.5,20.9,9.3,4.0,13.3,8.4,14.8,1.2,0.5,4.1,0.16,1.27,0.51,0.76,24,17,70.8,36,8,22.2,49,16,32.7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,3,"Jackson Jr, Cleveland Alan",,3,21.9,65.6,32,10.7,9,27,33.3,4,15,26.7,10,13,76.9,2,9,11,12,2,0,7,4,40.7,48.9,27.0,80.6,14.0,6.6,3.0,18.1,9.4,32.0,1.6,0.0,17.6,0.48,1.25,-0.07,1.33,6,3,50,6,2,33.3,15,4,26.7,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Iskra Svit,0,"Yap Jr, Donavan Ashley",,3,24.6,73.9,39,13.0,14,32,43.8,3,15,20.0,8,8,100.0,2,9,11,10,2,0,5,10,48.4,54.9,25.3,96.2,16.1,6.2,2.7,11.1,7.2,25.9,1.4,0.0,12.3,0.25,1.25,0.57,0.68,3,2,66.7,14,9,64.3,15,3,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,3,"Deang, Deng Thowat",,10,26.2,261.9,139,13.9,54,100,54.0,13,28,46.4,18,25,72.0,18,35,53,4,6,3,22,33,60.5,62.6,23.6,104.5,18.8,3.8,7.1,14.8,10.8,3.2,1.2,1.2,16.5,0.25,1.24,0.11,1.13,27,19,70.4,44,21,47.7,28,13,46.4,4,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,51,"Golian, Maroš",,8,12.0,96.2,45,5.6,21,39,53.8,0,2,0.0,3,6,50.0,12,20,32,2,4,3,4,23,53.8,54.0,21.9,98.6,7.4,0.3,14.3,21.3,18.0,3.8,2.2,3.1,8.8,0.15,1.21,-0.62,1.82,17,10,58.8,20,11,55,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,5,"Majerčák, Matej",,28,9.5,264.6,77,2.8,28,65,43.1,20,53,37.7,1,2,50.0,6,18,24,40,10,1,26,35,58.5,58.4,16.1,83.8,3.6,2.5,2.6,6.6,4.8,22.8,2.0,0.4,28.3,0.03,1.19,-0.38,1.56,8,7,87.5,4,1,25,53,20,37.7,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,6,"Radovanović, Marko",,23,19.8,456.5,157,6.8,61,146,41.8,18,58,31.0,17,22,77.3,23,90,113,43,15,5,43,72,47.9,50.4,20.1,79.0,9.0,3.3,5.9,18.8,13.0,14.7,1.7,1.1,21.6,0.15,1.19,-1.04,2.23,43,22,51.2,44,21,47.7,58,18,31,25,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Iskra Svit,2,"Watts Jr, Mark Anthony",,5,16.8,83.8,49,9.8,17,41,41.5,7,18,38.9,8,8,100.0,4,12,16,4,5,0,4,4,50.0,55.0,26.5,101.0,12.7,4.7,5.1,14.8,10.0,9.6,3.2,0.0,8.2,0.2,1.14,1.12,0.02,1,1,100,22,9,40.9,18,7,38.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,13,"Jašš, Marek",,17,7.6,129.6,22,1.3,8,22,36.4,6,17,35.3,0,0,0,10,14,24,5,4,1,8,14,50.0,50.0,9.9,73.3,1.6,1.3,8.0,10.5,9.3,5.4,1.6,0.7,26.7,0.0,1.02,-1.19,2.21,5,2,40,0,0,0,17,6,35.3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,5,"Olabode, Adeniyi Gabriel",,8,18.9,151.0,50,6.2,22,52,42.3,1,19,5.3,5,10,50.0,7,20,27,17,7,1,10,16,43.3,44.3,19.0,75.3,7.5,2.8,4.9,12.3,8.8,16.7,2.3,0.7,15.1,0.19,0.96,-1.01,1.96,19,16,84.2,13,5,38.5,19,1,5.3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,32,"Petráš, Jakub",,30,20.8,624.6,247,8.2,98,172,57.0,5,29,17.2,46,78,59.0,60,77,137,29,16,10,20,79,58.4,59.9,16.7,109.1,10.9,1.3,9.8,14.3,11.9,8.7,1.4,1.7,8.8,0.45,0.82,-0.45,1.27,82,53,64.6,61,40,65.6,29,5,17.2,4,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,7,"Hričo, Patrik",,26,2.3,59.9,16,0.6,7,15,46.7,1,5,20.0,1,1,100.0,2,5,7,4,4,0,3,6,50.0,51.8,13.4,86.8,0.8,0.2,3.4,8.4,5.9,10.6,3.5,0.0,16.3,0.07,0.79,-1.31,2.09,9,5,55.6,1,1,100,5,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
