Canonical,Team,Numbers,Variations
"Evans Iii, Jacob Nicholas",BC Slovan Bratislava,1,"Evans Iii, Jacob Nicholas"
"Abrhám, David",BC Slovan Bratislava,14,"Abrhám, David"
"Pavelka, Tomáš",BC Slovan Bratislava,20,"Pavelka, Tomáš"
"Kovačević, Viktor",BC Slovan Bratislava,25,"Kovačević, Viktor"
"Golian, Maroš",BC Slovan Bratislava,51,"Golian, Maroš"
"Majerčák, Matej",BC Slovan Bratislava,5,"Majerčák, Matej"
"Radovanović, Marko",BC Slovan Bratislava,6,"Radovanović, Marko"
"Medford Jr, Lester Fezell",BC Slovan Bratislava,8,"Medford Jr, Lester Fezell"
"Hudec, Róbert",BC Slovan Bratislava,9,"Hudec, Róbert"
"Židzik, Ivan",BC Slovan Bratislava,19,"Židzik, Ivan"
"Szabó, Milan",BC Slovan Bratislava,21,"Szabó, Milan"
"Zelizňák, Maroš",BC Slovan Bratislava,11/33,"Zelizňák, Maroš"
"Yap Jr, Donavan Ashley",BKM Lučenec,0,"Yap Jr, Donavan Ashley"
"Boone Jr, Eric Dean Lewis",BKM Lučenec,3,"Boone Jr, Eric Dean Lewis"
"Beaubrun, Jalil Omar",BKM Lučenec,7,"Beaubrun, Jalil Omar"
"Siládi, Matej",BKM Lučenec,8,"Siládi, Matej"
"Wright, Atin Carl",BKM Lučenec,10,"Wright, Atin Carl"
"Ďurian, Šimon",BKM Lučenec,1/14,"Ďurian, Šimon"
"Skubeň, Matúš",BKM Lučenec,0/4,"Skubeň, Matúš"
"Brown, Jayden Xavier",BKM Lučenec,5,"Brown, Jayden Xavier"
"Gantt Jr, Greg Allen",BKM Lučenec,11,"Gantt Jr, Greg Allen"
"Kulčár, Lukáš",BKM Lučenec,34,"Kulčár, Lukáš"
"Witt, Sevon Marquise",Iskra Svit,1,"Witt, Sevon Marquise; Witt, Sai"
"Watts, Rocket",Iskra Svit,2,"Watts, Rocket"
"Matušek, Július",Iskra Svit,15,"Matušek, Július"
"Turza, Šimon",Iskra Svit,20,"Turza, Šimon"
"Blaško, Daniel",Iskra Svit,6,"Blaško, Daniel"
"Petojevic, Nikola",Iskra Svit,8,"Petojevic, Nikola"
"Harabin, Dávid",Iskra Svit,13,"Harabin, Dávid"
"Rožánek, Róbert",Iskra Svit,17,"Rožánek, Róbert"
"Mallory, Messiah Jahnee - Jermain",Iskra Svit,22/23,"Mallory, Messiah Jahnee - Jermain"
"Hill, Isaiah Malik",Spišskí Rytieri,3,"Hill, Isaiah Malik"
"Kenney, Caleb Jamerson",Spišskí Rytieri,8,"Kenney, Caleb Jamerson"
"Jefferson, Joshua Stephen",Spišskí Rytieri,11,"Jefferson, Joshua Stephen"
"Fahrenholtz, Josef John",Spišskí Rytieri,24,"Fahrenholtz, Josef John"
"Páleník, Juraj",Spišskí Rytieri,26,"Páleník, Juraj"
"Sokolovskyi, Dmytro",Spišskí Rytieri,1/17,"Sokolovskyi, Dmytro"
"Zuščák, Matej",Spišskí Rytieri,12,"Zuščák, Matej"
"Antoni, Adam",Spišskí Rytieri,16,"Antoni, Adam"
"Mrviš, Tomáš",Spišskí Rytieri,33,"Mrviš, Tomáš"
"Kincel, Samuel",Spišskí Rytieri,42,"Kincel, Samuel"
"Balogáč, Jan",Spišskí Rytieri,78,"Balogáč, Jan"
"Johnson, Austin Calvin",MBK Baník Handlová,0,"Johnson, Austin Calvin"
"Mcbride, Bryce Davien",MBK Baník Handlová,4,"Mcbride, Bryce Davien"
"Sljivancanin, Jovan",MBK Baník Handlová,13,"Sljivancanin, Jovan"
"Gutalj, Marko",MBK Baník Handlová,14,"Gutalj, Marko"
"Láštic, Juraj",MBK Baník Handlová,24,"Láštic, Juraj"
"Deang, Deng Thowat",MBK Baník Handlová,3,"Deang, Deng Thowat"
"Kováčik, Peter",MBK Baník Handlová,10,"Kováčik, Peter"
"Vranský, Marko",MBK Baník Handlová,14/25,"Vranský, Marko"
"Petráš, Jakub",MBK Baník Handlová,32,"Petráš, Jakub"
"Ďurečko, Viliam",MBK Baník Handlová,74,"Ďurečko, Viliam"
"Jones, Jordan Lamont",Nitra Blue Wings,4,"Jones, Jordan Lamont"
"Galko, Adam",Nitra Blue Wings,6,"Galko, Adam"
"Belikov, Oleksandr",Nitra Blue Wings,13/31,"Belikov, Oleksandr"
"Ragland Jr, Guy Evers Kennedy",Nitra Blue Wings,19,"Ragland Jr, Guy Evers Kennedy"
"Bolek, Lukáš",Nitra Blue Wings,3/77,"Bolek, Lukáš"
"Ikpe, Tristan Ekong",Nitra Blue Wings,0,"Ikpe, Tristan Ekong"
"Chlupis, Martin",Nitra Blue Wings,17/3,"Chlupis, Martin"
"Teličák, Radoslav",Nitra Blue Wings,8,"Teličák, Radoslav"
"Underwood, Dimitrius Paul",Nitra Blue Wings,11,"Underwood, Dimitrius Paul"
"Gergely, Ladislav",Nitra Blue Wings,17,"Gergely, Ladislav"
"Urban, Ľubomír",Nitra Blue Wings,30/33,"Urban, Ľubomír"
"Foltín, Marek",Nitra Blue Wings,11/56,"Foltín, Marek"
"Carter-Hollinger Iii, Derrick Deshaun",Košice Wolves,0,"Carter-Hollinger Iii, Derrick Deshaun"
"Wolfe, Todd Jacob",Košice Wolves,3,"Wolfe, Todd Jacob"
"Rupert Iii, Clarence Edward",Košice Wolves,4,"Rupert Iii, Clarence Edward"
"Early, David Lee",Košice Wolves,32,"Early, David Lee"
"Halada, Filip",Košice Wolves,33,"Halada, Filip"
"Makula, Matúš",Košice Wolves,2,"Makula, Matúš"
"Seman, Róbert",Košice Wolves,5,"Seman, Róbert"
"Nagy, Alex",Košice Wolves,8,"Nagy, Alex"
"Monček, Adam",Košice Wolves,10,"Monček, Adam"
"Petráš, Samuel",Košice Wolves,13,"Petráš, Samuel"
"Batka, Michal",Košice Wolves,14,"Batka, Michal"
"Peresunko, Oleksandr",Košice Wolves,21,"Peresunko, Oleksandr"
