Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
MHP RIESEN Ludwigsburg,"Baumer J., Buchanan T., Hughes E., Polas Bartolo Y., Wohlfarth-Bottermann J.",MLP Academics Heidelberg,"Ersek E., Horne D., Keßen M., Würzner N., Zipser P.",1,91,1.5,2.6,4,2,4,50,0,2,0,0,0,0,1,1,2,2,1,1,0,0,1,0,2,0,0,1,0,1,1,100,1,1,2,0,0,0,1,1,2.9,2.4,136.5,42.2,94.3,42.2,136.5,-94.3,3,2,2,100,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
MHP RIESEN Ludwigsburg,"Baumer J., Buchanan T., Hughes E., Kellman K., Polas Bartolo Y.",MLP Academics Heidelberg,"Ersek E., Horne D., Keßen M., Würzner N., Zipser P.",1,74,1.2,2.6,2,1,3,33.3,0,1,0,0,0,0,1,1,2,1,1,0,0,2,3,1,2,50,0,1,0,1,2,50,1,1,2,0,0,0,1,0,1.9,3.3,103.6,89.7,13.9,89.7,103.6,-13.9,-1,2,1,50,0,0,0,1,0,0,1,1,100,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,3,0,0
ROSTOCK SEAWOLVES,"Bowden J., Crockett Jr. T., Klassen O., Lansdowne D., Lockhart D., Schwartz D.",FC Bayern München Basketball,"Gabriel W., Hollatz J., Jessup J., Obst A., da Silva O.",1,68,1.1,2.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,3,66.7,0,0,0,3,3,100,1,1,2,1,0,1,0,0,2.0,3.2,0,215.4,-215.4,215.4,0,215.4,-7,1,0,0,0,0,0,0,0,0,3,2,66.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5
ratiopharm ulm,"Diakite M., Garavaglia D., Jensen T., Osborne M., Simon J., Smith M.",Fitness First Würzburg Baskets,"Edigin Jr E., Ivey B., Mintz D., Pjanic A., Stove J.",1,116,1.9,2.6,1,0,2,0,0,1,0,1,2,50,1,3,4,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2.2,3.0,46.2,0,46.2,0,46.2,-46.2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratiopharm ulm,"Anigbata A., Osborne M., Simon J., Smith M., Weidemann N.",RASTA Vechta,"Bamba T., Brown T., Coplin B., Ferner J., Herkenhoff P.",1,96,1.6,2.6,2,1,5,20,0,2,0,0,0,0,2,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,1,100,0,2,2,0,0,0,1,0,2.9,2.4,69.9,41,28.9,41,69.9,-28.9,1,2,1,50,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
RASTA Vechta,"Coplin B., Ferner J., Pleiß T., van Slooten L.",Veolia Towers Hamburg,"Maronka Z., Perrin Z., Rich Igbineweka O., Thorpe Jr. L., Wimberg N.",1,60,1.0,2.6,4,1,1,100,0,0,0,2,2,100,0,2,2,1,0,0,0,1,3,0,2,0,0,2,0,3,3,100,0,0,0,0,0,0,0,2,1.9,3.3,212.8,90.4,122.4,90.4,212.8,-122.4,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ALBA BERLIN,"Agbakoko N., Bean J., Griesel S., Hermannsson M., Kayil J.",Science City Jena,"Bank L., Carter C., Herrera A., Osobor G., Washington E., Wieskamp J.",1,55,0.9,2.6,2,0,1,0,0,0,0,2,3,66.7,1,3,4,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,1,0,1,0,1,0,0,3,2.2,2.9,88.9,0,88.9,0,88.9,-88.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Science City Jena,"Bank L., Braxton JR K., Christen R., Osobor G., Washington E.",NINERS Chemnitz,"Kajami-Keane K., Mushidi K., Schilling G., Sibande N., Sow A.",1,55,0.9,2.6,1,0,2,0,0,0,0,1,3,33.3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,4,0,0,0,2,1,3.3,1.9,30.1,0,30.1,0,30.1,-30.1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
FC Bayern München Basketball,"Baldwin K., Giffey N., Hollatz J., Jessup J., Kratzer L.",MLP Academics Heidelberg,"Ersek E., Keßen M., Osunniyi O., Seric M., Würzner N.",1,76,1.3,2.6,3,1,2,50,1,1,100,0,0,0,0,1,1,0,0,0,0,1,6,1,2,50,1,1,100,3,4,75,1,1,2,1,0,0,0,0,2.0,3.2,150,186,-36,186,150,36,-3,1,0,0,0,0,0,1,1,100,0,0,0,1,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Telekom Baskets Bonn,"Birts T., Comithier A., Cooks Z., Jongkuch K., Jostmann M.",ALBA BERLIN,"Agbakoko N., Griesel S., Kayil J., Wood M.",1,111,1.9,2.6,4,2,3,66.7,0,0,0,0,0,0,1,2,3,2,0,0,0,0,2,1,3,33.3,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1.9,3.0,207.3,66.7,140.6,66.7,207.3,-140.6,2,2,2,100,1,0,0,0,0,0,1,1,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veolia Towers Hamburg,"Edler Davis J., Grey J., Maronka Z., Martin N., Perrin Z., Wimberg N.",BMA365 Bamberg Baskets,"Demonia D., Ensminger Z., Heckmann P., Watson I., Williams C.",1,77,1.3,2.6,2,1,2,50,0,0,0,0,0,0,1,1,2,0,0,0,1,1,6,2,3,66.7,1,2,50,1,2,50,1,0,1,0,1,0,0,1,1.9,3.3,103.6,179.4,-75.7,179.4,103.6,75.7,-4,1,1,100,1,0,0,0,0,0,1,1,100,0,0,0,2,1,50,1,0,0,0,0,0,0,0,2,0,0,2,1,1
BMA365 Bamberg Baskets,"Balint R., Crowley A., Demonia D., Döntgens F., Williams C.",NINERS Chemnitz,"Beran Jr R., Davis C., Minchev Y., Mushidi K., Schilling G.",1,61,1.0,2.6,5,1,4,25,1,3,33.3,2,2,100,2,1,3,1,0,0,0,1,3,1,2,50,0,0,0,1,1,100,0,1,1,0,0,0,0,0,2.7,2.4,182.5,123,59.5,123,182.5,-59.5,2,1,0,0,0,0,0,3,1,33.3,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
BMA365 Bamberg Baskets,"Balint R., Demonia D., Döntgens F., Petkovic A., Watson I.",NINERS Chemnitz,"Beran Jr R., Minchev Y., Schilling G., Sibande N.",1,85,1.4,2.6,3,0,1,0,0,1,0,3,4,75,0,1,1,1,0,0,0,1,4,1,2,50,1,2,50,1,2,50,1,1,2,2,0,0,0,1,2.8,2.3,108.7,170.6,-61.9,170.6,108.7,61.9,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,2,1,0,0,0
