Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Leicester Riders,Travis Evee,3,Travis Evee,17,22.7,385.6,168.0,9.9,53.0,129.0,41.1,29.0,73.0,39.7,33.0,42.0,78.6,5.0,26.0,31.0,57.0,20.0,1.0,39.0,23.0,174.2,23.6,12.8,4.3,2.4,113,281.0,16.5,21.4,16,2.3,20,4,36.8,23.8,7,-0.57,-2.68,2.12,1.5,2.4,38.0,18.0,47.4,18.0,6.0,33.3,73.0,29.0,39.7,18.0,13.0,0.0,8.0,13.0,32.0,31.0
Leicester Riders,Spencer Johnson,20,Spencer Johnson,17,28.0,475.8,167.0,9.8,59.0,128.0,46.1,18.0,49.0,36.7,31.0,41.0,75.6,27.0,73.0,100.0,36.0,15.0,4.0,28.0,19.0,141.2,15.5,12.7,2.7,7.6,69,236.0,13.9,18.0,18,2.6,13,2,64.8,16.9,7,-0.1,-3.05,2.95,3.4,3.6,48.0,28.0,58.3,31.0,13.0,41.9,49.0,18.0,36.7,13.0,11.0,0.0,4.0,28.0,46.0,33.0
Manchester Basketball,Matthew Nicholson,34,Matthew Nicholson,17,20.8,353.2,113.0,6.6,43.0,62.0,69.4,0.0,0.0,0,27.0,60.0,45,37.0,75.0,112.0,10.0,13.0,22.0,12.0,44.0,60.9,8.8,8.4,0.7,8.3,22,135.0,7.9,10.0,5,1.2,5,3,39.6,7.3,4,0.46,-3.28,3.74,5.0,4.0,50.0,39.0,78,12.0,4.0,33.3,0.0,0.0,0,4.0,2.0,1.0,5.0,31.0,2.0,19.0
Leicester Riders,Olutomiwa Sulaiman,10,Olutomiwa Sulaiman; Tomiwa Sulaiman,17,16.0,271.2,92.0,5.4,34.0,75.0,45.3,10.0,29.0,34.5,14.0,18.0,77.8,18.0,40.0,58.0,20.0,9.0,8.0,16.0,23.0,77.7,15.0,7.0,1.5,4.4,38,130.0,7.6,9.9,13,2.2,7,5,70.7,9.2,6,-0.2,-3.87,3.66,4.0,3.8,32.0,20.0,62.5,14.0,4.0,28.6,29.0,10.0,34.5,3.0,8.0,0.0,5.0,23.0,10.0,20.0
Leicester Riders,Flynn Boardman-Raffet,77,Flynn Boardman-Raffet,17,14.7,250.7,90.0,5.3,32.0,67.0,47.8,5.0,26.0,19.2,21.0,31.0,67.7,13.0,21.0,34.0,18.0,6.0,1.0,11.0,17.0,75.5,15.7,6.9,1.4,2.6,45,135.0,7.9,10.3,16,3.2,6,8,84.0,9.5,5,-2.07,-4.14,2.07,2.9,3.7,35.0,24.0,68.6,6.0,3.0,50,26.0,5.0,19.2,3.0,5.0,0.0,3.0,19.0,15.0,6.0
Manchester Basketball,Kyle Carey,1,Kyle Carey,17,11.8,200.7,65.0,3.8,25.0,59.0,42.4,14.0,40.0,35,1.0,2.0,50,1.0,12.0,13.0,6.0,5.0,4.0,8.0,21.0,64.2,16.3,4.8,0.4,1.0,11,76.0,4.5,5.7,0,0.0,1,0,0.0,1.0,1,-4.3,-5.68,1.39,2.8,4.4,14.0,8.0,57.1,5.0,3.0,60,40.0,14.0,35,6.0,1.0,0.0,1.0,13.0,22.0,18.0
Bristol Flyers,Milos Dugalic,25,Milos Dugalic,17,15.4,261.1,64.0,3.8,22.0,78.0,28.2,6.0,26.0,23.1,14.0,24.0,58.3,15.0,42.0,57.0,17.0,11.0,3.0,21.0,32.0,90.8,18.5,4.0,1.1,3.6,38,102.0,6.0,6.4,4,1.0,5,2,34.0,6.9,4,-7.46,-11.28,3.83,3.7,4.9,47.0,16.0,34,5.0,0.0,0,26.0,6.0,23.1,12.0,5.0,0.0,4.0,11.0,10.0,12.0
London Lions,Ciaran Sandy,3,Ciaran Sandy,17,12.2,207.0,63.0,3.7,22.0,51.0,43.1,7.0,24.0,29.2,12.0,20.0,60,5.0,27.0,32.0,12.0,12.0,7.0,5.0,24.0,57.4,15.4,4.4,0.8,2.2,32,95.0,5.6,6.6,1,1.0,2,2,17.4,2.9,1,4.37,-3.99,8.36,3.5,4.2,15.0,8.0,53.3,12.0,7.0,58.3,24.0,7.0,29.2,2.0,2.0,0.0,1.0,14.0,13.0,24.0
Newcastle Eagles,Darius Defoe,13,Darius Defoe,17,8.5,144.4,43.0,2.5,17.0,37.0,45.9,1.0,5.0,20,8.0,10.0,80,2.0,8.0,10.0,8.0,3.0,1.0,10.0,26.0,47.4,16.3,2.4,0.4,0.6,20,63.0,3.7,3.5,0,0.0,2,0,0.0,2.0,2,-8.38,-10.28,1.9,2.7,4.1,5.0,4.0,80,27.0,12.0,44.4,5.0,1.0,20,3.0,1.0,0.0,6.0,2.0,8.0,4.0
Caledonia Gladiators,Kyle Jimenez,6,Kyle Jimenez,17,16.2,275.6,38.0,2.2,13.0,37.0,35.1,3.0,14.0,21.4,9.0,12.0,75,11.0,22.0,33.0,64.0,7.0,0.0,25.0,35.0,54.0,10.3,2.8,4.6,2.4,149,187.0,11.0,13.6,3,1.5,3,2,38.7,4.9,2,-6.26,-7.21,0.95,1.7,2.4,16.0,10.0,62.5,7.0,0.0,0,14.0,3.0,21.4,14.0,9.0,0.0,2.0,2.0,4.0,7.0
