RK,PLAYER,TEAM,POSS,HYBRID,O-HYBRID,D-HYBRID,BPM,OBPM,DBPM,RAPM,ORAPM,DRAPM,BPM_WT,RAPM_WT
40,#Michael Graham,Surrey 89ers,743,-0.24,-0.08,-0.16,0.0,0.0,0.0,-0.82,-0.32,-0.49,0.709,0.291
41,#Matthew Ragsdale,Caledonia Gladiators,906,-0.24,0.25,-0.58,0.0,0.0,0.0,-0.71,0.81,-1.52,0.659,0.341
42,#Ria'n Holland,Caledonia Gladiators,695,-0.28,-0.04,-0.27,0.0,0.0,0.0,-1.01,-0.15,-0.86,0.724,0.276
43,#Jordan Ratinho,B. Braun Sheffield Sharks,912,-0.3,-0.17,-0.12,0.0,0.0,0.0,-0.87,-0.55,-0.32,0.657,0.343
44,#Ronald Polite Iii,Surrey 89ers,1047,-0.32,-0.11,-0.22,0.0,0.0,0.0,-0.86,-0.32,-0.55,0.63,0.37
45,#Jonathan Brown,Bristol Flyers,683,-0.33,-0.24,-0.07,0.0,0.0,0.0,-1.21,-0.99,-0.22,0.727,0.273
46,#Rodney Glasgow Jr,B. Braun Sheffield Sharks,527,-0.34,-0.15,-0.2,0.0,0.0,0.0,-1.53,-0.79,-0.74,0.775,0.225
47,#Joseph Anderson,Bristol Flyers,1184,-0.44,-0.47,0.08,0.0,0.0,0.0,-1.19,-1.37,0.18,0.63,0.37
48,#Kino Lily Jr,Surrey 89ers,1198,-0.45,-0.21,-0.25,0.0,0.0,0.0,-1.21,-0.61,-0.61,0.63,0.37
49,#Gus Okafor,Newcastle Eagles,590,-0.49,0.0,-0.58,0.0,0.0,0.0,-2.02,0.01,-2.04,0.756,0.244
50,#Tayo Ogedengbe,Surrey 89ers,638,-0.55,-0.09,-0.52,0.0,0.0,0.0,-2.11,-0.38,-1.73,0.741,0.259
51,#Kevin Allen,Caledonia Gladiators,547,-0.56,-0.27,-0.28,0.0,0.0,0.0,-2.41,-1.37,-1.04,0.769,0.231
52,#Zachary Anderson,Bristol Flyers,1174,-0.6,-0.47,-0.1,0.0,0.0,0.0,-1.63,-1.38,-0.25,0.63,0.37
53,#Ethan Wright,Caledonia Gladiators,880,-0.61,-0.15,-0.5,0.0,0.0,0.0,-1.84,-0.51,-1.33,0.667,0.333
54,#Michael Diggins,Cheshire Phoenix,1019,-0.61,0.25,-0.98,0.0,0.0,0.0,-1.66,0.73,-2.38,0.63,0.37
55,#Patrick Smith Jr,Manchester Basketball,785,-0.64,0.19,-0.96,0.0,0.0,0.0,-2.1,0.71,-2.8,0.696,0.304
56,#Zak Irvin,Manchester Basketball,545,-0.73,-0.3,-0.44,0.0,0.0,0.0,-3.16,-1.52,-1.64,0.77,0.23
57,#Fraser Malcolm,Caledonia Gladiators,731,-0.75,-0.57,-0.13,0.0,0.0,0.0,-2.6,-2.21,-0.39,0.713,0.287
58,#Travis Evee,Leicester Riders,719,-0.83,-0.64,-0.13,0.0,0.0,0.0,-2.92,-2.51,-0.41,0.716,0.284
59,#Deion Hammond,Newcastle Eagles,818,-0.87,0.09,-1.09,0.0,0.0,0.0,-2.76,0.31,-3.07,0.686,0.314
60,#Ray'sean Taylor,Newcastle Eagles,1168,-0.9,-0.73,-0.12,0.0,0.0,0.0,-2.43,-2.14,-0.3,0.63,0.37
61,#Charles Jet Speelman,Caledonia Gladiators,784,-1.27,-0.26,-1.11,0.0,0.0,0.0,-4.19,-0.95,-3.24,0.696,0.304
