Canonical,Team,Numbers,Variations
Nojus Vaivada,Šakių Vytis-VDU,2,Nojus Vaivada
Augustinas Mikštas,Šakių Vytis-VDU,12,Augustinas Mikštas
Titas Januševičius,Šakių Vytis-VDU,22,Titas Januševičius
Gabrielius Čelka,Šakių Vytis-VDU,24,Gabrielius Čelka
Rokas Norutis,Šakių Vytis-VDU,1,Rokas Norutis
Paulius Velutis,Šakių Vytis-VDU,3,Paulius Velutis
Gabrielius Mažeika,Šakių Vytis-VDU,6,Gabrielius Mažeika
Kajus Leliukas,Šakių Vytis-VDU,13,Kajus Leliukas
Nojus Lebskas,Šakių Vytis-VDU,18,Nojus Lebskas
Jokūbas Rubinas,Šakių Vytis-VDU,23,Jokūbas Rubinas
Ovidijus Kaminskis,Telšių Telšiai,1,Ovidijus Kaminskis
Ignas Razutis,Telšių Telšiai,3,Ignas Razutis
Vilius Pocius,Telšių Telšiai,6,Vilius Pocius
Deividas Rasys,Telšių Telšiai,22,Deividas Rasys
Laurynas Kaveckis,Telšių Telšiai,90,Laurynas Kaveckis
Arūnas Rimkus,Telšių Telšiai,4,Arūnas Rimkus
Vytautas Meištas,Telšių Telšiai,11/22,Vytautas Meištas
Tomas Balčiūnas,Telšių Telšiai,24/44,Tomas Balčiūnas
Žygimantas Šimonis,Marijampolės Sūduva-Mantinga,0,Žygimantas Šimonis
Ignas Labutis,Marijampolės Sūduva-Mantinga,7,Ignas Labutis
Ernestas Sederevičius,Marijampolės Sūduva-Mantinga,14,Ernestas Sederevičius
Ernestas Jaškus,Marijampolės Sūduva-Mantinga,37,Ernestas Jaškus
Domantas Vilys,Marijampolės Sūduva-Mantinga,88,Domantas Vilys
Martynas Zigmantavičius,Marijampolės Sūduva-Mantinga,4,Martynas Zigmantavičius
Justas Grigas,Marijampolės Sūduva-Mantinga,8,Justas Grigas
Tautvydas Kliučinykas,Marijampolės Sūduva-Mantinga,22,Tautvydas Kliučinykas
Matas Jucikas,Marijampolės Sūduva-Mantinga,25,Matas Jucikas
Karolis Brusokas,Ukmergės Stekas,10,Karolis Brusokas
Kipras Urbanavičius,Ukmergės Stekas,22,Kipras Urbanavičius
Robert Subotkevič,Ukmergės Stekas,23,Robert Subotkevič
Dastinas Morkūnas,Ukmergės Stekas,26,Dastinas Morkūnas
Dominykas Bučas,Ukmergės Stekas,33,Dominykas Bučas
Webster Fredrick Simeus,Ukmergės Stekas,5,Webster Fredrick Simeus
Kostas Jonuška,Ukmergės Stekas,12,Kostas Jonuška
Aurimas Buškevičius,Ukmergės Stekas,13,Aurimas Buškevičius
Gvidas Kontrimas,Kretingos Kretinga-Rivile,3,Gvidas Kontrimas
Tautvydas Rudys,Kretingos Kretinga-Rivile,8,Tautvydas Rudys
Deivydas Kazlauskas,Kretingos Kretinga-Rivile,9,Deivydas Kazlauskas
Arnas Adomavičius,Jurbarko Jurbarkas-Karys-Manvesta,5,Arnas Adomavičius
Karolis Guščikas,Jurbarko Jurbarkas-Karys-Manvesta,10,Karolis Guščikas
Karolis Kokoška,Jurbarko Jurbarkas-Karys-Manvesta,17,Karolis Kokoška
Justas Tamulis,Jurbarko Jurbarkas-Karys-Manvesta,55,Justas Tamulis
Karolis Babušis,Jurbarko Jurbarkas-Karys-Manvesta,99,Karolis Babušis
Gintautas Matulis,Jurbarko Jurbarkas-Karys-Manvesta,6,Gintautas Matulis
Šarūnas Valunta,Jurbarko Jurbarkas-Karys-Manvesta,9,Šarūnas Valunta
Arijus Volbikas,Jurbarko Jurbarkas-Karys-Manvesta,23,Arijus Volbikas
Titas Bilevičius,Jurbarko Jurbarkas-Karys-Manvesta,34,Titas Bilevičius
Troy Marshall Barnies,Palangos Olimpas,1,Troy Marshall Barnies
Paulius Danisevičius,Palangos Olimpas,3,Paulius Danisevičius
Nojus Pabrieža,Palangos Olimpas,12,Nojus Pabrieža
Matas Narvilas,Palangos Olimpas,34,Matas Narvilas
Jonas Zabitis,Palangos Olimpas,91,Jonas Zabitis
Ernestas Bružas,Palangos Olimpas,11,Ernestas Bružas
Justas Sadauskas,Palangos Olimpas,17,Justas Sadauskas
Marius Runkauskas,Palangos Olimpas,22,Marius Runkauskas
Daniel Neil Titus,Palangos Olimpas,40,Daniel Neil Titus
Modestas Jurkaitis,Plungės Olimpas,8,Modestas Jurkaitis
Tadas Budrys,Plungės Olimpas,11,Tadas Budrys
Thomas Deangelo Miles,Plungės Olimpas,22,Thomas Deangelo Miles
Rokas Kreišmontas,Plungės Olimpas,23,Rokas Kreišmontas
Tautvydas Baltrušaitis,Plungės Olimpas,24/90,Tautvydas Baltrušaitis
Najeeb Ali Muhammad,Plungės Olimpas,1,Najeeb Ali Muhammad
Motiejus Maziliauskas,Plungės Olimpas,2,Motiejus Maziliauskas
Arijus Adomauskas,Plungės Olimpas,10,Arijus Adomauskas
Arnas Vaištaras,Plungės Olimpas,18,Arnas Vaištaras
Julius Bračkus,Plungės Olimpas,27,Julius Bračkus
Tomas Galeckas,Kauno r. Omega-Tauras-LSU,5,Tomas Galeckas
Vytautas Šulskis,Kauno r. Omega-Tauras-LSU,8,Vytautas Šulskis
Šarūnas Vasiliauskas,Kauno r. Omega-Tauras-LSU,12,Šarūnas Vasiliauskas
Augustas Navickas,Kauno r. Omega-Tauras-LSU,11/23,Augustas Navickas
Tauris Aliukonis,Kauno r. Omega-Tauras-LSU,44,Tauris Aliukonis
Nedas Vydmantas,Kauno r. Omega-Tauras-LSU,3,Nedas Vydmantas
Robertas Keliačius,Kauno r. Omega-Tauras-LSU,4,Robertas Keliačius
Simas Šliogeris,Kauno r. Omega-Tauras-LSU,6,Simas Šliogeris
Neidas Linartas,Kauno r. Omega-Tauras-LSU,7,Neidas Linartas
Linas Krivickas,Kauno r. Omega-Tauras-LSU,22,Linas Krivickas
Matas Gratkauskas,Šilutės Šilutė-PDS.lt,24,Matas Gratkauskas
Tadas Kararinas,Šilutės Šilutė-PDS.lt,6,Tadas Kararinas
Arnas Erlickis,Klaipėdos Neptūnas-Akvaservis,1,Arnas Erlickis
Simas Šarakauskas,Klaipėdos Neptūnas-Akvaservis,7,Simas Šarakauskas
Tadas Rinkevičius,Klaipėdos Neptūnas-Akvaservis,11,Tadas Rinkevičius
Rytis Šakaitis,Klaipėdos Neptūnas-Akvaservis,12,Rytis Šakaitis
Eimantas Žilius,Klaipėdos Neptūnas-Akvaservis,31,Eimantas Žilius
