Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Jurbarko Jurbarkas-Karys-Manvesta,Šarūnas Valunta,9,Šarūnas  Valunta,40,23.4,937.9,349.0,8.7,132.0,310.0,42.6,47.0,134.0,35.1,38.0,68.0,55.9,31.0,99.0,130.0,150.0,27.0,1.0,75.0,111.0,368.6,20.5,11.3,4.9,4.2,324,673.0,16.8,21.9,35,2.5,27,4,60.8,32.8,14,-0.62,-4.93,4.32,2.2,2.7,0.0,0.0,0,176.0,85.0,48.3,134.0,47.0,35.1,0.0,20.0,0.0,0.0,0.0,75.0,39.0,78.0,69.0
Palangos Olimpas,Nojus Pabrieža,12,Nojus  Pabrieža,40,21.1,842.4,336.0,8.4,132.0,250.0,52.8,9.0,40.0,22.5,63.0,107.0,58.9,76.0,157.0,233.0,38.0,27.0,32.0,35.0,101.0,245.8,15.7,11.2,1.3,7.8,80,416.0,10.4,13.9,14,1.4,14,4,44.4,18.8,10,0.55,-2.59,3.15,5.0,3.5,0.0,0.0,0,210.0,123.0,58.6,40.0,9.0,22.5,0.0,1.0,0.0,0.0,0.0,35.0,74.0,25.0,61.0
Klaipėdos Neptūnas-Akvaservis,Simas Šarakauskas,7,Simas  Šarakauskas,40,17.7,708.2,259.0,6.5,95.0,217.0,43.8,12.0,55.0,21.8,57.0,97.0,58.8,28.0,95.0,123.0,91.0,18.0,0.0,69.0,57.0,288.7,21.8,8.6,3.0,4.1,193,452.0,11.3,15.0,21,2.1,14,10,57.1,20.4,10,-2.37,-5.9,3.53,2.6,2.8,0.0,0.0,0,162.0,83.0,51.2,55.0,12.0,21.8,0.0,3.0,0.0,0.0,0.0,69.0,40.0,72.0,35.0
Plungės Olimpas,Arnas Vaištaras,18,Arnas  Vaištaras,40,16.3,651.3,243.0,6.1,95.0,231.0,41.1,26.0,94.0,27.7,27.0,35.0,77.1,24.0,52.0,76.0,32.0,21.0,4.0,49.0,79.0,260.5,20.9,7.8,1.0,2.5,72,315.0,7.9,10.2,21,1.8,19,3,51.7,23.3,12,-6.19,-7.27,1.08,3.1,4.0,0.0,0.0,0,137.0,69.0,50.4,94.0,26.0,27.7,0.0,1.0,0.0,0.0,0.0,49.0,34.0,42.0,72.0
Kėdainių sporto centras,Augustas Žilinskas,30,Augustas  Žilinskas,40,18.4,734.1,230.0,5.8,76.0,166.0,45.8,17.0,69.0,24.6,61.0,96.0,63.5,52.0,95.0,147.0,40.0,18.0,7.0,35.0,79.0,183.6,12.4,7.1,1.2,4.5,93,323.0,8.1,9.9,8,1.3,5,6,52.4,9.6,6,-1.82,-5.24,3.43,3.6,4.0,0.0,0.0,0,97.0,59.0,60.8,69.0,17.0,24.6,0.0,1.0,0.0,0.0,0.0,35.0,62.0,56.0,33.0
Ukmergės Stekas,Kipras Urbanavičius,22,Kipras  Urbanavičius,40,22.7,909.5,214.0,5.3,68.0,193.0,35.2,26.0,102.0,25.5,52.0,82.0,63.4,8.0,44.0,52.0,135.0,34.0,0.0,85.0,104.0,293.8,16.7,6.8,4.3,1.7,309,523.0,13.1,16.6,41,3.4,29,19,54.9,43.4,12,-7.52,-7.59,0.07,1.2,2.8,0.0,0.0,0,91.0,42.0,46.2,102.0,26.0,25.5,0.0,9.0,0.0,0.0,0.0,85.0,17.0,53.0,37.0
Kauno r. Omega-Tauras-LSU,Linas Krivickas,22,Linas  Krivickas,40,12.7,507.6,101.0,2.5,35.0,108.0,32.4,30.0,93.0,32.3,1.0,2.0,50,15.0,38.0,53.0,47.0,24.0,0.0,13.0,44.0,102.6,10.6,3.3,1.5,1.7,99,200.0,5.0,6.5,6,2.0,4,0,75.0,4.0,3,-2.06,-4.4,2.34,2.3,4.3,0.0,0.0,0,15.0,5.0,33.3,93.0,30.0,32.3,0.0,10.0,0.0,0.0,0.0,13.0,9.0,13.0,19.0
Kauno r. Omega-Tauras-LSU,Šarūnas Vasiliauskas,12,Šarūnas  Vasiliauskas,39,30.4,1185.8,699.0,17.9,208.0,503.0,41.4,107.0,295.0,36.3,176.0,201.0,87.6,11.0,80.0,91.0,228.0,47.0,0.0,114.0,83.0,666.7,29.5,22.7,7.4,3.0,429,1128.0,28.9,36.7,90,4.3,72,31,52.5,87.6,21,2.26,1.65,0.61,1.4,1.0,0.0,0.0,0,208.0,101.0,48.6,295.0,107.0,36.3,0.0,46.0,0.0,0.0,0.0,114.0,94.0,155.0,165.0
Plungės Olimpas,Tadas Budrys,11,Tadas  Budrys,39,28.9,1126.6,636.0,16.3,260.0,478.0,54.4,38.0,115.0,33,78.0,130.0,60,131.0,271.0,402.0,91.0,29.0,7.0,107.0,127.0,490.8,22.7,20.5,2.9,13.0,184,820.0,21.0,26.5,52,2.9,37,15,59.6,54.6,18,1.07,-1.11,2.18,5.0,2.0,0.0,0.0,0,363.0,222.0,61.2,115.0,38.0,33,0.0,1.0,0.0,0.0,0.0,107.0,167.0,69.0,117.0
Mažeikių M Basket,Coltie Keanu Young,4,Coltie Keanu  Young,39,28.6,1114.3,615.0,15.8,228.0,548.0,41.6,120.0,348.0,34.5,39.0,54.0,72.2,34.0,144.0,178.0,99.0,50.0,8.0,101.0,90.0,613.2,28.8,20.6,3.3,6.0,199,814.0,20.9,27.3,57,2.9,44,10,58.9,54.4,20,1.24,-1.61,2.85,2.8,2.6,0.0,0.0,0,200.0,108.0,54,347.0,119.0,34.3,0.0,57.0,0.0,0.0,0.0,101.0,50.0,181.0,139.0
