Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Šakių Vytis-VDU,"Rokas Jocys, Augustinas Mikštas, Kajus Leliukas, Nojus Vaivada, Jokūbas Rubinas","Šakių Vytis-VDU|11,12,13,2,23",1,0.6,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,0.0,227.3,-227.3,0.0,-2
Kauno r. Omega-Tauras-LSU,"Ignas Juškevičius, Nedas Vydmantas, Tomas Galeckas, Simas Šliogeris, Vytautas Šulskis","Kauno r. Omega-Tauras-LSU|11,3,5,6,8",1,0.6,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0.0,150.0,-150.0,0.0,-3
Plungės Olimpas,"Arijus Adomauskas, Petras Piekus, Rokas Kreišmontas, Colin Gabriel Golson Jr, Modestas Jurkaitis","Plungės Olimpas|10,21,23,4,8",1,0.6,34.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,200.0,-200.0,0.0,-2
Alytaus Alytus,"Dmytro Tykhonov, De Angelo William Stewart, Martynas Pocevičius, Augustinas Venckus, Tautvydas Baltrušaitis","Alytaus Alytus|15,3,30,8,90",1,0.6,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Šilutės Šilutė-PDS.lt,"Frederick Fitzgerald Gates Jr, Laurynas Balkūnas, Lukas Kazlauskas, Tadas Kararinas, Adas Šimonis","Šilutės Šilutė-PDS.lt|10,11,13,6,7",1,0.6,35.0,4,2,2,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2.0,200.0,200.0,0.0,6.86,2
Jurbarko Jurbarkas-Karys-Manvesta,"Karolis Kokoška, Arnas Adomavičius, Justas Tamulis, Gintautas Matulis","Jurbarko Jurbarkas-Karys-Manvesta|17,5,55,6",1,0.5,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Vilkaviškio Perlas Go,"Mantvydas Žukauskas, Theodore Kieth Gadsden Jr, Gabriel Bennett Quillan, Armandas Bancevičius, Titas Pažarauskas","Vilkaviškio Perlas Go|19,21,33,4,5",1,0.5,29.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
Kauno Žalgiris-2,"Majus Bulanovas, Ignas Štombergas, Dominykas Grunkis, Nojus Mištautas, Dominykas Daubaris","Kauno Žalgiris-2|12,16,55,66,8",1,0.5,31.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,100.0,0.0,100.0,3.87,2
Telšių Telšiai,"Ovidijus Kaminskis, Vytautas Meištas, Jared Steven Small, Arūnas Rimkus, Laurynas Kaveckis","Telšių Telšiai|1,11,31,4,90",1,0.5,29.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,69.4,-69.4,0.0,-1
Palangos Olimpas,"Ernestas Bružas, Nojus Pabrieža, Laurynas Mikalauskas, Paulius Danisevičius, Matas Narvilas","Palangos Olimpas|11,12,13,3,34",1,0.5,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Palangos Olimpas,"Ernestas Bružas, Nojus Pabrieža, Justas Sadauskas, Mindaugas Stašys, Tadas Kymantas","Palangos Olimpas|11,12,17,5,7",1,0.5,28.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,300.0,0.0,300.0,6.43,3
