Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Marijampolės Sūduva-Mantinga,"Augustas Majauskas, Augustas Navickas, Ernestas Jaškus, Justas Grigas, Martynas Zigmantavičius",1,9,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,266.7,266.7,266.7,9.0,9.0,0,0,0,0,0,0,0,100,0,2,1,1,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,100,100,0,0,0,200,0,0,0,0,0,0,1,0,0,0,0,0,0,-200,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,2,0
Jurbarko Jurbarkas-Karys-Manvesta,"Almantas Liepuonis, Arijus Volbikas, Arnas Adomavičius, Karolis Guščikas, Karolis Kokoška",1,36,0.0,2,1,4,25,0,2,0,0,0,0,2,0,2,0,0,0,0,0,1,59.7,52.7,66.7,45.6,36.0,25,25,0,100,0,0,0,50,253.2,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,1,150,150,0,0,100,300,0,0,0,2,1,50,2,0,0,0,0,0,0,-46.8,0,0,0,0,0,0,1,1,100,0,0,0,0,2,0,0,0,0,0
Jurbarko Jurbarkas-Karys-Manvesta,"Arijus Volbikas, Gintautas Matulis, Justas Tamulis, Karolis Guščikas, Šarūnas Valunta",1,50,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,69.1,48,90.2,50.0,26.6,0,0,0,0,100,0,0,100,0,2,0,1,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,2,0,53.2,0,0,0,106.4,0,0,0,0,0,0,1,0,0,0,0,0,0,-106.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jurbarko Jurbarkas-Karys-Manvesta,"Almantas Liepuonis, Gintautas Matulis, Justas Nausėdas, Karolis Babušis, Karolis Kokoška",1,38,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,63.2,63.2,63.2,38.0,38.0,0,0,0,0,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jurbarko Jurbarkas-Karys-Manvesta,"Gintautas Matulis, Justas Nausėdas, Karolis Babušis, Karolis Guščikas, Titas Bilevičius",1,29,0.0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,1,77.8,72.8,82.8,33.0,29.0,0,113.6,0,0,0,0,0,0,227.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Vilkaviškio Perlas Go,"Gabriel Bennett Quillan, Jorell Ty Saterfield, Mantvydas Žukauskas, Theodore Kieth Gadsden Jr, Vytautas Meištas",1,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,94.3,171.4,17.1,14.0,140.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilkaviškio Perlas Go,"Aurimas Buškevičius, Gustas Kučinskas, Jorell Ty Saterfield, Mantvydas Žukauskas, Žygimantas Skučas",1,50,0.0,3,1,1,100,1,1,100,0,0,0,0,1,1,1,0,1,0,0,1,69.1,48,90.2,50.0,26.6,150,150,100,0,100,0,0,100,300,2,0,1,0,0,0,0,2,2,100,0,0,0,0,0,0,0,2,2,0,53.2,0,0,0,106.4,0,0,0,0,0,0,1,1,100,0,0,0,0,193.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palangos Olimpas,"Ernestas Bružas, Jonas Zabitis, Laurynas Mikalauskas, Matas Narvilas, Paulius Danisevičius",1,29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,77.8,82.8,72.8,29.0,33.0,0,0,0,0,0,100,0,0,0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,1,0,0,1,1,0,113.6,0,0,0,227.3,0,0,0,0,0,0,0,0,0,0,0,0,1,-227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Kretingos Kretinga-Rivile,"Aringas Brazauskas, Jalen Warren, Julius Kazakauskas, Mantvydas Staniulis, Tautvydas Rudys",1,42,0.0,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,55.1,57.1,53.1,42.0,45.2,100,100,100,0,0,0,0,0,200,3,1,2,50,1,2,50,0,0,0,1,0,1,1,0,0,0,0,1,75,75,0,100,100,322.6,0,0,0,1,1,100,0,0,0,0,0,0,0,-122.6,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,3,0,0
Kretingos Kretinga-Rivile,"Gytis Mačionis, Jalen Warren, Justas Žiubrys, Mantvydas Staniulis, Tautvydas Rudys",1,4,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,564,600,528,4.0,4.5,0,0,0,0,0,0,0,100,0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,1,0,113.6,0,0,0,227.3,0,0,0,0,0,0,1,0,0,0,0,0,0,-227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
