Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Val-Dieu Spirou Basket,"Christopher LYKES, Dontrez STYLES, Jules ROTSAERT, Njegos SIKIRAS, Zeb JACKSON",1,17,0.0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,77.6,141.2,14.1,17.0,170.0,100,100,0,0,0,0,0,0,200,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Okapi Aalst,"Daan PIETERS, Dante Jr MADDOX, Eddie COLBERT III, Ivan MARAS, Jasper UNAL",1,28,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,85.7,85.7,85.7,28.0,28.0,0,0,0,0,0,0,0,100,0,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,1,150,150,0,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Mons-Hainaut,"Garrett HIEN, Lual DIING, Maks KLANJSCEK, Matteo VERSTRAETE, Sacha GODIMUS",1,38,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,87.2,63.2,111.2,38.0,21.6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,75,0,1,1,1,0,0,0,0,2,0,85.2,0,0,0,170.5,0,0,0,1,0,0,0,0,0,0,0,0,0,-170.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Hubo Limburg United,"Aubin GATERETSE, Jonas DELALIEUX, Marijn VERVERS, Oshean BRATHWAITE, Thibault VANDERHAEGEN",1,37,0.0,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,93.4,64.9,121.9,37.0,19.7,100,100,100,0,0,0,0,0,200,4,1,1,100,0,0,0,2,2,100,0,0,0,0,0,0,0,1,2,100,106.4,0,0,0,212.8,0,0,0,1,1,100,0,0,0,0,0,0,0,-12.8,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,2,0,0,0
Filou Oostende,"Aaron ESTRADA, Jordan SCHAKEL, Max FIEDLER, Moussa SYLLA, Vince T'JONCKE",1,39,0.0,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,57.2,57.2,57.2,41.9,41.9,50,50,0,100,0,0,0,0,215.1,2,1,2,50,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,50,50,0,100,50,215.1,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,2,0,0,0,0,0
Filou Oostende,"Aaron ESTRADA, Joppe MENNES, Jordan SCHAKEL, Moussa SYLLA, Vince T'JONCKE",1,40,0.0,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,84.3,55.8,112.8,43.0,21.3,50,50,0,100,0,0,0,0,215.1,4,1,1,100,0,0,0,2,2,100,0,0,0,2,0,0,0,0,2,100,106.4,0,0,0,212.8,1,1,100,1,0,0,0,0,0,0,0,0,0,2.3,0,0,0,1,1,100,0,0,0,0,0,0,0,2,0,0,2,2,0
Landstede Hammers,"Boyd VAN DER VUURST, Coen STOLK, Grayson Alexander CARTER, Jasper OLSTHOORN, Troy Drake DOBBS",1,32,0.0,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,1,1,70.5,75,66,32.0,36.4,150,150,100,0,0,0,0,100,300,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,1,0,56.8,0,0,0,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,186.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landstede Hammers,"Coen STOLK, Devin WHITFIELD, Grayson Alexander CARTER, Jasper OLSTHOORN, Troy Drake DOBBS",1,36,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.7,66.7,66.7,36.0,36.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filou Oostende,"Jordan SCHAKEL, Moussa SYLLA, Pierre-Antoine GILLET, Silas MELSON, Simon BUYSSE",1,22,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,109.1,109.1,109.1,22.0,22.0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Landstede Hammers,"Devin WHITFIELD, Grayson Alexander CARTER, Jasper OLSTHOORN, Leon WILLIAMS, Nelson Ellis HASKIN",1,70,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.3,34.3,34.3,70.0,70.0,0,0,0,0,0,0,0,0,0,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,1,1,150,150,0,0,100,300,0,0,0,1,0,0,0,0,0,0,0,0,0,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
