# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 251
# Qualified players exported: 173
# Total stints used: 6050
# Garbage time stints excluded: 286
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Stella Artois Leuven Bears,1,James BLACKMON,649,1.61,-1.31,0.3
Val-Dieu Spirou Basket,19,Lionel COLSON,319,1.88,-1.64,0.24
Heroes Den Bosch,21,Menno DIJKSTRA,732,-0.02,0.18,0.15
Filou Oostende,15,Max FIEDLER,495,1.62,-1.5,0.12
Val-Dieu Spirou Basket,23,Christopher LYKES,499,-1.12,1.23,0.11
LWD Basket,3,Matt FRIERSON,790,2.08,-2.01,0.07
Den Helder Suns,7,Carter GILMORE,1271,-0.03,0.09,0.06
Den Helder Suns,10,Jonas VISSER,601,-2.85,2.9,0.05
Zorg en Zekerheid Leiden,10,Roeland SCHAFTENAAR,638,-0.31,0.19,-0.12
Okapi Aalst,6,Glenn TEMMERMAN,659,-0.94,0.78,-0.16
Stella Artois Leuven Bears,11,Roel BUCUMI,961,-1.12,0.96,-0.16
Heroes Den Bosch,13,Troy KOEHLER,579,-2.07,1.89,-0.19
Hubo Limburg United,33,Nicholas MUSZYNSKI,741,-1.0,0.81,-0.2
PrismaWorx BAL,14,Niels VAN HOLST,535,0.69,-0.93,-0.24
Val-Dieu Spirou Basket,4,Juwan GARY,1023,0.22,-0.51,-0.29
PrismaWorx BAL,7,Kenyuoe ONDAAN,834,-1.83,1.39,-0.44
Union Mons-Hainaut,0,Greg MILTON III,1039,0.34,-0.82,-0.47
Val-Dieu Spirou Basket,13,Lukijan ZECEVIC,343,-0.22,-0.26,-0.47
Val-Dieu Spirou Basket,3,Dontrez STYLES,1101,-0.11,-0.43,-0.54
Okapi Aalst,0,Eddie COLBERT III,1354,0.06,-0.65,-0.59
Okapi Aalst,10,Siebe LEDEGEN,1202,1.4,-2.03,-0.63
Filou Oostende,8,Joppe MENNES,875,0.99,-1.66,-0.67
Den Helder Suns,2,Siem UIJTENDAAL,662,-1.57,0.89,-0.68
Rotterdam City Basketball,17,Tydus VERHOEVEN,455,-2.25,1.45,-0.8
Windrose Giants Antwerp,11,Joel MURRAY,561,-1.4,0.6,-0.8
House of Talents Spurs Kortrijk,7,Jules ISEBAERT,443,-1.42,0.58,-0.84
Hubo Limburg United,7,Noah BAUMANN,407,0.52,-1.4,-0.88
PrismaWorx BAL,33,Kjell DE GRAAF,830,-1.12,0.22,-0.9
Landstede Hammers,11,Troy Drake DOBBS,850,0.65,-1.56,-0.91
Stella Artois Leuven Bears,17,Stef SCHAUVLIEGER,482,-3.69,2.75,-0.95
Hubo Limburg United,9,Jonas DELALIEUX,412,0.05,-1.01,-0.95
Filou Oostende,23,Aleksandre MERKVILADZE,315,0.57,-1.58,-1.01
Donar Groningen,4,Malik MILLER,664,-1.12,0.05,-1.06
Landstede Hammers,9,Devin WHITFIELD,1172,-0.77,-0.46,-1.23
Donar Groningen,21,Tim HOEVE,368,-1.15,-0.15,-1.3
Heroes Den Bosch,90,Charlon KLOOF,329,-2.03,0.7,-1.33
Stella Artois Leuven Bears,14,Roby ROGIERS,563,-3.38,1.99,-1.39
Union Mons-Hainaut,14,Matic MIKUS,657,-0.17,-1.24,-1.42
Landstede Hammers,20,Nelson Ellis HASKIN,781,-0.31,-1.12,-1.43
Brussels Basketball,5,Alexandre LIBERT,832,-0.88,-0.59,-1.47
Filou Oostende,16,Haris BRATANOVIC,767,-0.91,-0.61,-1.52
Brussels Basketball,10,Louis HAZARD,954,-1.39,-0.31,-1.7
Kangoeroes Basket Mechelen,22,Leander DEDROOG,836,-0.54,-1.29,-1.82
Heroes Den Bosch,4,Xavier CORK,461,-1.72,-0.11,-1.83
Stella Artois Leuven Bears,6,Victor VANDERSTRAETEN,411,-2.8,0.88,-1.92
Den Helder Suns,42,Drew STOVER,975,0.31,-2.24,-1.93
Val-Dieu Spirou Basket,12,Maxime BILOLO KATUALA,380,0.34,-2.29,-1.95
Den Helder Suns,1,Reginald MESIDOR,1324,-0.68,-1.32,-2.0
LWD Basket,0,Sam MAILLET,792,0.06,-2.2,-2.14
Landstede Hammers,15,Klavs DUBULTS,602,-1.89,-0.32,-2.21
LWD Basket,28,Tristan DE ZWART FORSYTH,838,0.65,-2.92,-2.27
Union Mons-Hainaut,13,Maks KLANJSCEK,1329,2.46,-4.74,-2.28
House of Talents Spurs Kortrijk,9,Bram BOGAERTS,987,-2.17,-0.12,-2.29
PrismaWorx BAL,17,Ryan MUHR,775,-1.13,-1.21,-2.34
