Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Val-Dieu Spirou Basket,Lionel COLSON,19,Lionel COLSON,13,15.0,195.0,65.0,5.0,26.0,57.0,45.6,0.0,1.0,0,13.0,28.0,46.4,26.0,33.0,59.0,4.0,5.0,1.0,10.0,34.0,51.2,13.7,4.2,0.3,3.8,10,75.0,5.8,4.9,2,1.0,2,0,50.0,2.0,2,-6.19,-6.41,0.23,4.7,4.6,10.0,7.0,70,46.0,19.0,41.3,0.0,0.0,0,6.0,0.0,0.0,7.0,0.0,0.0,19.0,10.0,14.0
Windrose Giants Antwerp,Letto VAN DROM,8,Letto VAN DROM,13,12.5,163.0,63.0,4.8,24.0,38.0,63.2,15.0,26.0,57.7,0.0,1.0,0,12.0,19.0,31.0,6.0,5.0,3.0,5.0,30.0,30.2,9.5,3.6,0.3,1.8,14,77.0,5.9,4.4,0,0.0,1,0,0.0,1.0,1,6.81,0.19,6.62,3.8,3.3,6.0,5.0,83.3,6.0,4.0,66.7,0.0,0.0,0,3.0,2.0,0.0,4.0,0.0,1.0,11.0,16.0,18.0
PrismaWorx BAL,Romano SIBILO,2,Romano SIBILO,13,9.5,124.0,51.0,3.9,18.0,38.0,47.4,12.0,31.0,38.7,3.0,6.0,50,2.0,5.0,7.0,6.0,8.0,0.0,11.0,17.0,47.7,20.2,3.1,0.4,0.4,13,64.0,4.9,3.8,0,0.0,0,1,0.0,1.4,1,-2.91,-5.08,2.17,2.0,2.8,0.0,0.0,0,7.0,6.0,85.7,0.0,0.0,0,0.0,0.0,6.0,3.0,0.0,2.0,3.0,6.0,2.0
Donar Groningen,Dele ADETUNJI,11,Dele ADETUNJI,13,7.8,101.0,28.0,2.2,9.0,19.0,47.4,3.0,10.0,30,7.0,7.0,100,1.0,3.0,4.0,5.0,3.0,0.0,6.0,13.0,26.0,13.3,1.9,0.3,0.3,13,41.0,3.2,2.8,0,0,0,0,0,0.0,0,-3.41,-6.36,2.96,2.3,3.9,1.0,1.0,100,8.0,5.0,62.5,0.0,0.0,0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,8.0,4.0
Den Helder Suns,Rantonits BALSA,22,Rantonits BALSA,13,5.3,69.0,24.0,1.8,8.0,16.0,50,2.0,8.0,25,6.0,12.0,50,1.0,14.0,15.0,2.0,1.0,0.0,2.0,9.0,21.4,15.9,1.5,0.1,0.9,5,29.0,2.2,1.8,0,0,0,0,0,0.0,0,-4.49,-7.41,2.92,3.7,3.9,0.0,0.0,0,8.0,6.0,75,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0
Union Mons-Hainaut,Fortune KATIKI,27,Fortune KATIKI,13,6.2,80.0,19.0,1.5,7.0,11.0,63.6,0.0,3.0,0,5.0,8.0,62.5,4.0,9.0,13.0,0.0,1.0,1.0,4.0,13.0,13.9,9.1,1.1,0.0,0.8,0,19.0,1.5,1.1,0,0,0,0,0,0.0,0,-7.17,-7.33,0.16,4.1,4.5,1.0,1.0,100,7.0,6.0,85.7,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,9.0,4.0
House of Talents Spurs Kortrijk,Ithiel HORTON,21,Ithiel HORTON,12,20.8,249.0,192.0,16.0,69.0,139.0,49.6,35.0,71.0,49.3,19.0,23.0,82.6,10.0,44.0,54.0,14.0,6.0,0.0,11.0,21.0,144.1,30.3,12.0,0.9,3.4,30,222.0,18.5,13.8,8,4.0,5,0,80.0,5.0,2,9.56,5.89,3.67,3.7,1.8,2.0,1.0,50,66.0,33.0,50,0.0,0.0,0,1.0,8.0,3.0,5.0,0.0,2.0,16.0,53.0,44.0
Heroes Den Bosch,Xavier CORK,4,Xavier CORK,12,20.8,249.0,131.0,10.9,53.0,93.0,57,2.0,11.0,18.2,23.0,35.0,65.7,21.0,48.0,69.0,17.0,8.0,10.0,27.0,31.0,109.8,23.5,8.7,1.1,4.6,39,170.0,14.2,11.3,14,3.5,8,2,78.8,8.9,4,0.23,-4.03,4.27,4.9,3.2,18.0,14.0,77.8,64.0,37.0,57.8,0.0,0.0,0,5.0,0.0,9.0,12.0,0.0,0.0,30.0,16.0,23.0
Den Helder Suns,Siem UIJTENDAAL,2,Siem UIJTENDAAL,12,28.4,341.0,121.0,10.1,41.0,131.0,31.3,24.0,67.0,35.8,15.0,23.0,65.2,9.0,39.0,48.0,24.0,12.0,3.0,15.0,21.0,141.2,21.2,7.4,1.5,2.9,51,172.0,14.3,10.5,4,1.0,12,0,16.7,14.0,4,-4.13,-6.26,2.13,2.8,4.0,2.0,2.0,100,62.0,15.0,24.2,0.0,0.0,0,2.0,3.0,6.0,6.0,0.0,2.0,7.0,33.0,16.0
Hubo Limburg United,Nicolas TIMBERLAKE,25,Nicolas TIMBERLAKE,12,16.8,202.0,103.0,8.6,28.0,63.0,44.4,8.0,28.0,28.6,39.0,48.0,81.2,3.0,26.0,29.0,13.0,8.0,2.0,12.0,26.0,89.4,23.2,6.1,0.8,1.7,27,130.0,10.8,7.8,4,4.0,2,1,82.0,2.4,1,1.61,-2.78,4.39,2.9,3.3,2.0,1.0,50,33.0,19.0,57.6,0.0,0.0,0,0.0,0.0,9.0,2.0,0.0,0.0,16.0,41.0,18.0
