Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,Spot Up,#1Dirk Williams,53,18.0%,75%,38,0.717,91%,Excellent,49,13,36,26.5%,34.7%,0.98,0.69,-0.29,37.4%,51,3.8%,3.8%,0.08,1.9%,28.3%,13,5,8,38.5%,36,8,28,22.2%,0.73
Sheffield Sharks,Spot Up,#3Rodney Chatman,48,16.3%,86%,30,0.625,93%,Excellent,43,11,32,25.6%,33.7%,0.97,0.67,-0.30,34.5%,43,10.4%,2.1%,0.02,2.1%,22.9%,10,4,6,40.0%,33,7,26,21.2%,0.77
Sheffield Sharks,Spot Up,#4William Lee,38,12.9%,68%,37,0.974,49%,Average,33,14,19,42.4%,54.5%,0.98,1.09,+0.11,52.6%,35,7.9%,7.9%,0.15,7.9%,39.5%,10,6,4,60.0%,23,8,15,34.8%,0.70
Sheffield Sharks,Spot Up,#9Jordan Ratinho,33,11.2%,54%,44,1.333,8%,Poor,32,17,15,53.1%,67.2%,0.94,1.34,+0.40,67.8%,32,3.0%,3.0%,0.03,3.0%,51.5%,13,8,5,61.5%,19,9,10,47.4%,0.59
Sheffield Sharks,Spot Up,#24Nick Kern,33,11.2%,74%,33,1.000,46%,Average,28,12,16,42.9%,53.6%,0.98,1.07,+0.09,56.3%,29,12.1%,6.1%,0.11,3.0%,39.4%,11,6,5,54.5%,17,6,11,35.3%,0.61
Sheffield Sharks,Spot Up,#23Jalen Deloach,31,10.5%,95%,27,0.871,71%,Very Good,25,7,18,28.0%,42.0%,0.95,0.84,-0.11,47.3%,29,6.5%,12.9%,0.32,12.9%,35.5%,7,0,7,0.0%,18,7,11,38.9%,0.72
Sheffield Sharks,Spot Up,#11Rodney Glasgow,21,7.1%,33%,19,0.905,66%,Very Good,20,8,12,40.0%,47.5%,0.94,0.95,+0.01,47.5%,20,4.8%,0.0%,0.00,0.0%,38.1%,6,5,1,83.3%,14,3,11,21.4%,0.70
Sheffield Sharks,Spot Up,#2Prentiss Nixon,20,6.8%,36%,11,0.550,97%,Excellent,19,4,15,21.1%,28.9%,0.95,0.58,-0.37,27.7%,20,0.0%,5.0%,0.11,5.0%,20.0%,4,1,3,25.0%,15,3,12,20.0%,0.79
Sheffield Sharks,Spot Up,#15Mike Ochereobia,15,5.1%,45%,25,1.667,1%,Poor,14,9,5,64.3%,82.1%,1.04,1.64,+0.60,84.0%,15,0.0%,6.7%,0.14,6.7%,66.7%,6,4,2,66.7%,8,5,3,62.5%,0.57
Sheffield Sharks,Spot Up,#5Mervin James,2,0.7%,-,0,0.000,-,-,2,0,2,0.0%,0.0%,0.71,0.00,-0.71,0.0%,2,0.0%,0.0%,0.00,0.0%,0.0%,2,0,2,0.0%,0,0,0,-,0.00
Sheffield Sharks,Spot Up,Transition,172,16.4%,11%,186,1.081,56%,Good,134,68,66,50.7%,58.6%,1.24,1.17,-0.07,61.7%,151,11.6%,11.6%,0.28,9.9%,49.4%,80,47,33,58.8%,54,21,33,38.9%,0.40
Sheffield Sharks,P&R Ball Handler,#3Rodney Chatman,29,20.6%,41%,13,0.448,96%,Excellent,20,5,15,25.0%,27.5%,0.92,0.55,-0.37,31.1%,21,27.6%,3.4%,0.10,3.4%,20.7%,13,4,9,30.8%,7,1,6,14.3%,0.35
