Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, M. Nábělek, A. Lukeš",2,183,2,1,5,20,0,2,0,0,1,0,0,2,2,0,0,0,3,1,8,102,106.3,97.7,22.6,24.6,20,18.4,0,0,50,35.5,20,40,24.7,13,4,8,50,1,2,50,4,4,100,2,4,6,2,2,0,0,1,7,56.2,66.6,0,50,25,174.5,-149.8,3,1,33.3,0,0,0,2,0,0,2,1,0,0,3,3,100,3,0,0,2,1,50,0,0,0,0
BK KVIS Pardubice,"P. Šťovíček, M. Svojanovský, L. Kovář, J. Bryant, M. Nábělek",1,242,17,6,8,75,3,4,75,2,2,100,0,2,2,3,1,0,0,1,8,88.7,84.5,92.9,28.4,25.8,93.8,95.7,50,0,100,0,25,50,199.4,12,5,6,83.3,0,1,0,2,4,50,0,2,2,2,0,1,2,1,9,83.3,77.3,20.5,0,16.7,128.1,71.3,4,3,75,0,0,0,4,3,75,0,0,0,0,4,4,100,0,0,0,1,0,0,1,1,0,0
BK KVIS Pardubice,"L. Kovář, Z. Key, R. Bonham, M. Nábělek, A. Lukeš",3,238,15,6,9,66.7,1,2,50,2,2,100,1,2,3,4,0,0,0,1,8,86.5,86,87.1,27.9,27.5,72.2,75.9,66.7,33.3,66.7,0,22.2,22.2,176,6,2,5,40,2,4,50,0,0,0,1,2,3,2,0,0,5,2,8,60,60,50,33.3,80,69.4,106.5,6,5,83.3,1,0,0,2,1,50,0,0,0,0,0,0,0,1,0,0,4,2,50,2,3,0,0
BK KVIS Pardubice,"L. Kovář, R. Bonham, J. Bryant, M. Nábělek, K. Švrdlík",4,229,6,2,6,33.3,0,1,0,2,2,100,2,3,5,1,0,0,4,4,8,84.9,89.3,80.5,26.9,29.8,33.3,43.6,50,50,75,33.7,33.3,16.7,70.4,12,5,9,55.6,2,5,40,0,0,0,1,2,3,2,2,0,0,3,7,66.7,66.7,0,25,55.6,156.2,-85.9,4,2,50,1,0,0,1,0,0,2,1,0,1,3,3,100,1,0,0,5,2,40,0,0,0,0
BK KVIS Pardubice,"Z. Key, J. Bryant, A. Lukeš, K. Švrdlík, J. Tůma",3,310,11,4,6,66.7,1,1,100,2,2,100,1,4,5,3,0,1,3,5,8,75.1,66,84.1,36.4,28.5,75,79.9,75,50,66.7,23.3,33.3,16.7,129,13,5,10,50,1,4,25,2,3,66.7,2,1,3,3,1,0,2,7,10,55,57.4,15,33.3,40,119.6,9.4,4,2,50,1,1,100,1,1,100,1,1,0,1,6,4,66.7,0,0,0,4,1,25,0,1,0,1
BK Olomoucko,"K. Elvis, J. Andre, M. Kvapil, D. Žák, A. Goga",3,311,10,4,9,44.4,2,6,33.3,0,0,0,0,1,1,2,0,0,0,2,8,71.6,66.7,76.5,36.0,31.4,55.6,55.6,50,0,20,0,0,66.7,115.7,18,7,12,58.3,2,5,40,2,3,66.7,4,4,8,1,0,0,1,2,9,66.7,67.6,7,80,41.7,181.7,-65.9,1,1,100,2,1,50,6,2,33.3,0,0,0,0,6,5,83.3,1,0,0,5,2,40,0,0,0,1
BK Olomoucko,"K. Elvis, J. Andre, D. Žák, A. Goga, O. Šiška",3,225,6,3,7,42.9,0,1,0,0,0,0,1,1,2,2,3,0,3,5,8,92.6,92.2,93,26.0,25.8,42.9,42.9,66.7,25,50,25,0,14.3,69.4,8,1,3,33.3,0,2,0,6,7,85.7,1,3,4,1,2,0,4,1,8,33.3,65.8,39.7,50,66.7,91.8,-22.3,4,2,50,2,1,50,1,0,0,3,0,0,0,1,1,100,0,0,0,2,0,0,3,1,0,0
BK Olomoucko,"J. Andre, M. Kvapil, J. Holmes, A. Goga, O. Šiška",2,370,7,2,9,22.2,1,3,33.3,2,2,100,1,4,5,1,1,0,0,5,8,56.7,55.3,58,43.4,41.4,27.8,35.4,50,14.3,66.7,0,22.2,33.3,82.1,13,4,9,44.4,3,6,50,2,3,66.7,2,6,8,4,0,1,1,4,8,61.1,63,8.8,33.3,66.7,145.3,-63.2,1,0,0,5,1,20,3,1,33.3,0,0,0,0,2,1,50,1,0,0,6,3,50,1,0,0,0
BK Olomoucko,"J. Andre, J. Holmes, A. Goga, J. Svojanovský, O. Šiška",3,271,17,6,10,60,4,6,66.7,1,2,50,2,2,4,4,0,0,0,3,8,62.7,75.5,50,31.8,48.0,80,78.1,66.7,50,40,0,20,60,199.4,11,4,8,50,2,4,50,1,2,50,3,2,5,3,0,0,0,2,5,62.5,61.9,0,60,50,194.9,4.5,3,2,66.7,1,0,0,6,4,66.7,0,0,0,0,3,1,33.3,1,1,100,4,2,50,0,0,0,0
BK Olomoucko,"J. Andre, K. Filewich, D. Žák, J. Oupoh, O. Šiška",2,208,8,2,5,40,0,0,0,4,5,80,0,2,2,0,1,0,2,2,8,89.7,101.9,77.5,23.6,31.0,40,55.6,0,0,66.7,21.7,100,0,90.6,9,4,7,57.1,1,2,50,0,0,0,1,4,5,4,1,0,1,0,6,64.3,64.3,12.5,33.3,28.6,133.9,-43.3,4,2,50,1,0,0,0,0,0,1,1,0,0,4,2,50,1,1,100,2,1,50,1,0,0,0
BK Opava,"W. Person Jr, K. Kavan, C. Brown Jr, R. Kouřil, J. Švandrlík",5,264,2,0,5,0,0,1,0,2,2,100,1,2,3,0,0,0,4,2,8,75.1,77.5,72.6,31.0,33.1,0,17,0,33.3,66.7,40.5,40,20,23.5,11,4,7,57.1,1,1,100,2,3,66.7,1,2,3,1,2,0,1,1,7,64.3,66.1,10.7,33.3,14.3,137.7,-114.3,0,0,0,4,0,0,1,0,0,1,2,0,1,3,2,66.7,3,1,33.3,1,1,100,1,0,0,0
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, M. Vyroubal, I. Gray",1,257,13,3,5,60,1,2,50,6,9,66.7,1,4,5,2,1,0,1,3,8,90.4,80.3,100.4,29.9,23.9,70,72.5,66.7,25,100,8.4,180,40,151.1,10,3,7,42.9,0,3,0,4,5,80,0,3,3,1,1,0,2,6,10,42.9,54.3,17.9,0,42.9,93,58.1,1,1,100,2,1,50,2,1,50,0,1,0,0,4,3,75,0,0,0,3,0,0,0,1,0,1
BK Opava,"W. Person Jr, C. Brown Jr, M. Vyroubal, I. Gray, J. Švandrlík",1,245,9,4,7,57.1,0,1,0,1,2,50,1,4,5,3,0,0,2,2,8,79.4,83.5,75.2,28.7,31.9,57.1,57.1,75,33.3,100,15.5,28.6,14.3,105.6,4,2,6,33.3,0,1,0,0,0,0,0,2,2,0,1,0,2,0,7,33.3,33.3,25,0,16.7,52.1,53.5,5,3,60,1,1,100,1,0,0,1,0,0,1,4,2,50,1,0,0,1,0,0,0,2,0,0
BK Opava,"W. Person Jr, C. Brown Jr, J. Slavík, I. Gray, J. Švandrlík",2,300,10,3,7,42.9,1,4,25,3,6,50,2,2,4,1,1,0,1,4,8,66.8,66.4,67.3,36.2,35.7,50,51.9,33.3,40,40,8.6,85.7,57.1,120.6,7,2,7,28.6,1,4,25,2,4,50,3,3,6,1,0,0,3,6,8,35.7,40,25.5,60,57.1,83.2,37.3,3,2,66.7,0,0,0,4,1,25,0,1,0,0,2,1,50,1,0,0,4,1,25,2,0,0,1
BK Opava,"W. Person Jr, D. Motyčka, Š. Puršl, J. Šiřina, M. Vyroubal",5,331,12,4,9,44.4,2,5,40,2,3,66.7,4,3,7,2,0,0,3,1,8,61.8,64.9,58.7,37.0,40.9,55.6,58.1,50,66.7,50,19.6,33.3,55.6,134.1,13,5,11,45.5,2,6,33.3,1,1,100,3,2,5,3,2,0,0,1,8,54.5,56.8,0,50,54.5,160.4,-26.3,2,0,0,2,2,100,5,2,40,1,1,0,1,4,3,75,1,0,0,6,2,33.3,0,0,0,0
BK Opava,"K. Kavan, C. Brown Jr, D. Motyčka, J. Šiřina, M. Vyroubal",2,232,11,4,7,57.1,2,3,66.7,1,2,50,1,2,3,4,3,0,2,3,8,92.6,88.2,96.9,27.2,24.8,71.4,69.8,100,33.3,100,14.4,28.6,42.9,129,6,1,3,33.3,0,2,0,4,4,100,0,2,2,0,1,0,5,0,9,33.3,63,51.2,0,66.7,64,65,3,2,66.7,1,0,0,3,2,66.7,0,1,0,1,0,0,0,1,1,100,2,0,0,4,0,0,1
