Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Tapiolan Honka,2,Alvar Peltoniemi,,29,33.1,959.9,461,15.9,152,368,41.3,80,211,37.9,77,97,79.4,51,130,181,39,37,18,45,95,52.2,56.1,19.6,101.2,19.1,8.7,5.0,12.9,8.9,6.1,1.9,1.8,9.9,0.26,5.61,2.92,2.69,102,52,51,40,11,27.5,211,80,37.9,21,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahti Basketball,0,Jehloni James,,28,27.9,782.4,411,14.7,157,301,52.2,45,113,39.8,52,94,55.3,42,125,167,39,17,54,55,59,59.6,60.0,21.0,103.4,18.2,5.0,5.1,15.6,10.3,7.7,1.1,6.4,13.8,0.31,5.51,3.08,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KTP-Basket,31,Joona Tuomala,,26,25.6,666.2,286,11.0,91,234,38.9,57,174,32.8,47,58,81.0,40,51,91,27,25,6,17,72,51.1,55.1,18.1,103.4,14.4,8.8,5.8,7.7,6.7,6.8,2.0,0.9,6.1,0.25,5.51,2.42,3.09,36,22,61.1,18,9,50,174,57,32.8,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Kauhajoki,1,Skyler Flatten,,4,27.3,109.0,66,16.5,18,46,39.1,10,26,38.5,20,21,95.2,3,10,13,9,1,0,6,7,50.0,59.7,24.5,107.8,20.9,8.2,2.4,8.6,5.4,16.6,0.5,0.0,9.8,0.46,5.47,3.48,1.99,17,8,47.1,3,0,0,26,10,38.5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobrat,25,Tamenang Choh,,14,33.5,469.3,321,22.9,122,222,55.0,13,38,34.2,64,94,68.1,25,105,130,56,14,15,50,23,57.9,60.9,30.0,102.4,29.3,3.5,5.6,23.3,14.5,23.4,1.5,3.1,16.0,0.42,5.42,4.11,1.31,111,80,72.1,63,22,34.9,38,13,34.2,24,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampereen Pyrintö,21,Riku Laine,,29,27.8,805.2,343,11.8,123,274,44.9,39,126,31.0,58,75,77.3,50,112,162,93,23,5,37,97,52.0,55.9,19.1,99.7,15.5,5.7,6.2,14.7,10.4,18.8,1.5,0.6,10.8,0.27,5.38,2.42,2.97,95,60,63.2,36,13,36.1,126,39,31,24,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KTP-Basket,5,Tucker Richardson,,4,22.6,90.2,41,10.2,14,32,43.8,4,13,30.8,9,11,81.8,1,14,15,13,4,1,7,9,50.0,55.6,20.4,93.5,12.6,4.0,1.1,14.3,7.9,23.5,2.2,1.0,16.0,0.34,5.33,1.11,4.22,13,7,53.8,5,3,60,13,4,30.8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampereen Pyrintö,1,Jared Billups,,26,30.7,798.7,379,14.6,131,338,38.8,12,59,20.3,105,152,69.1,43,162,205,91,33,29,54,65,40.5,46.8,25.7,82.6,19.1,3.0,5.4,21.5,13.2,19.1,2.2,3.8,11.8,0.45,5.3,1.58,3.72,133,66,49.6,136,46,33.8,59,12,20.3,25,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Kataja Basket,3,Jared Kimbrough,,25,24.5,612.3,239,9.6,98,151,64.9,1,2,50.0,42,61,68.9,64,117,181,29,16,24,33,84,65.2,67.2,15.2,113.4,12.4,0.1,10.4,20.0,15.1,8.0,1.4,3.7,15.7,0.4,5.11,2.4,2.72,102,72,70.6,36,17,47.2,2,1,50,11,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampereen Pyrintö,77,Ioannis Chatzinikolas,,4,14.7,58.7,27,6.8,9,15,60.0,4,9,44.4,5,10,50.0,0,10,10,11,4,0,4,3,73.3,69.6,17.5,115.4,8.7,2.9,0.0,17.3,8.9,26.0,3.5,0.0,17.1,0.67,4.99,1.8,3.19,4,3,75,1,1,100,9,4,44.4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
