Canonical,Team,Numbers,Variations
A. Zecevic,Surne Bilbao Basket,12,A. Zecevic
Harald Frey,Surne Bilbao,3,H. Frey
Kendrick Perry,Unicaja,55,K. Perry
Chris Duarte,Unicaja,27,C. Duarte
Darrun Hilliard,Surne Bilbao,11,D. Hilliard
Olek Balcerowski,Unicaja,2,O. Balcerowski
Tyson Pérez,Unicaja,0,T. Pérez
Margiris Normantas,Surne Bilbao,2,M. Normantas
Luke Petrasek,Surne Bilbao,18,L. Petrasek
Nihad Djedovic,Unicaja,14,N. Djedovic
Tryggvi Hlinason,Surne Bilbao,32,T. Hlinason
Justin Jaworski,Surne Bilbao,7,J. Jaworski
Stefan Lazarevic,Surne Bilbao,73,S. Lazarevic
Martin Krampelj,Surne Bilbao,10,M. Krampelj
Tyler Kalinoski,Unicaja,4,T. Kalinoski
Melwin Pantzar,Surne Bilbao,19,M. Pantzar
David Kravish,Unicaja,45,D. Kravish
Amar Sylla,Surne Bilbao,20,A. Sylla
Alberto Díaz,Unicaja,9,A. Díaz
Killian Tillie,Unicaja,33,K. Tillie
Jonathan Barreiro,Unicaja,7,J. Barreiro
Emir Sulejmanovic,Unicaja,19,E. Sulejmanovic
Xavier Castañeda,MoraBanc Andorra,1,X. Castañeda
Aleix Font,Surne Bilbao,22,A. Font
J. Samuels,Recoletas Salud San Pablo Burgos,0,J. Samuels
Luke Fischer,Recoletas Salud San Pablo Burgos,40,L. Fischer
Sergi Martínez,Bàsquet Girona,23,S. Martínez
Otis Livingston,Bàsquet Girona,11,O. Livingston
Jon Axel Gudmundsson,Recoletas Salud San Pablo Burgos,6,J. Gudmundsson
Derek Needham,Bàsquet Girona,5,D. Needham
Leo Meindl,Recoletas Salud San Pablo Burgos,23,L. Meindl
Mark Hughes,Bàsquet Girona,8,M. Hughes
Jhivvan Jackson,Recoletas Salud San Pablo Burgos,56,J. Jackson
Pepe Vildoza,Bàsquet Girona,10,P. Vildoza
Juan Fernández,Bàsquet Girona,21,J. Fernández
Pep Busquets,Bàsquet Girona,4,P. Busquets
Guillem Ferrando,Bàsquet Girona,9,G. Ferrando
Dani Díez,Recoletas Salud San Pablo Burgos,11,D. Díez
Gonzalo Corbalán,Recoletas Salud San Pablo Burgos,10,G. Corbalán
Pablo Almazán,Recoletas Salud San Pablo Burgos,8,P. Almazán
Raul Neto,Recoletas Salud San Pablo Burgos,19,R. Neto
Mindaugas Susinskas,Bàsquet Girona,29,M. Susinskas
Yannick Nzosa,Recoletas Salud San Pablo Burgos,3,Y. Nzosa
Martinas Geben,Bàsquet Girona,12,M. Geben
Nikola Maric,Bàsquet Girona,25,N. Maric
Sergi García,Recoletas Salud San Pablo Burgos,17,S. García
Silvio de Sousa,Recoletas Salud San Pablo Burgos,22,S. de Sousa
Bruno Fitipaldo,La Laguna Tenerife,6,B. Fitipaldo
Grant Golden,BAXI Manresa,33,G. Golden
Louis Olinde,BAXI Manresa,19,L. Olinde
Retin Obasohan,BAXI Manresa,32,R. Obasohan
Giorgi Shermadini,La Laguna Tenerife,19,G. Shermadini
Marcelinho Huertas,La Laguna Tenerife,9,M. Huertas
Dani Pérez,BAXI Manresa,55,D. Pérez
Rokas Giedraitis,La Laguna Tenerife,31,R. Giedraitis
Aaron Doornekamp,La Laguna Tenerife,42,A. Doornekamp
Marcis Steinbergs,BAXI Manresa,12,M. Steinbergs
Fran Guerra,La Laguna Tenerife,35,F. Guerra
Hugo Benitez,BAXI Manresa,2,H. Benitez
Agustín Ubal,BAXI Manresa,11,A. Ubal
Jaime Fernández,La Laguna Tenerife,3,J. Fernández
Kaodirichi Akobundu,BAXI Manresa,0,K. Akobundu
Thomas Scrubb,La Laguna Tenerife,11,T. Scrubb
Tim Abromaitis,La Laguna Tenerife,21,T. Abromaitis
Max Gaspà,BAXI Manresa,4,M. Gaspà
Joan Sastre,La Laguna Tenerife,15,J. Sastre
Kostas Kostadinov,MoraBanc Andorra,15,K. Kostadinov
Alfonso Plummer,BAXI Manresa,99,A. Plummer
Archange Izaw-Bolavie,BAXI Manresa,47,A. Izaw-Bolavie
G. Golomán,Hiopos Lleida,7,G. Golomán
D. Drežnjak,Río Breogán,24,D. Drežnjak
Melvin Ejim,Hiopos Lleida,3,M. Ejim
Caleb Agada,Hiopos Lleida,4,C. Agada
James Batemon,Hiopos Lleida,1,J. Batemon
DeWayne Russell,Río Breogán,4,D. Russell
Arturs Kurucs,Río Breogán,47,A. Kurucs
Atoumane Diagne,Hiopos Lleida,12,A. Diagne
Keandre Cook,Río Breogán,1,K. Cook
Danko Brankovic,Río Breogán,22,D. Brankovic
Corey Walden,Hiopos Lleida,2,C. Walden
Mikel Sanz,Hiopos Lleida,14,M. Sanz
Francis Alonso,Río Breogán,10,F. Alonso
Dominik Mavra,Río Breogán,19,D. Mavra
Kristers Zoriks,Hiopos Lleida,6,K. Zoriks
Jordan Sakho,Río Breogán,18,J. Sakho
Bakary Dibba,Río Breogán,0,B. Dibba
Oriol Paulí,Hiopos Lleida,5,O. Paulí
Cameron Krutwig,Hiopos Lleida,25,C. Krutwig
Dragan Apic,Río Breogán,8,D. Apic
Aleksandar Aranitovic,Río Breogán,17,A. Aranitovic
Millán Jiménez,Hiopos Lleida,16,M. Jiménez
A. Torres,Joventut Badalona,20,A. Torres
Cameron Hunt,Asisa Joventut,24,C. Hunt
Babatunde Olumuyiwa,Coviran Granada,7,B. Olumuyiwa
Sam Dekker,Joventut Badalona,17,S. Dekker
Adam Hanga,Asisa Joventut,88,A. Hanga
Luka Bozic,Coviran Granada,29,L. Bozic
Matt Thomas,Coviran Granada,13,M. Thomas
Guillem Vives,Asisa Joventut,16,G. Vives
Elias Valtonen,Coviran Granada,11,E. Valtonen
Micah Speight,Coviran Granada,3,M. Speight
Simon Birgander,Asisa Joventut,35,S. Birgander
Jovan Kljajic,Coviran Granada,23,J. Kljajic
Ante Tomic,Asisa Joventut,44,A. Tomic
Ricky Rubio,Asisa Joventut,9,R. Rubio
Henri Drell,Asisa Joventut,0,H. Drell
Beqa Burjanadze,Coviran Granada,77,B. Burjanadze
Zach Hankins,Coviran Granada,35,Z. Hankins
Yannick Kraag,Asisa Joventut,1,Y. Kraag
Jonathan Rousselle,Coviran Granada,2,J. Rousselle
Travis Munnings,Coviran Granada,22,T. Munnings
Ludde Hakanson,Asisa Joventut,12,L. Hakanson
Miguel Allen,Joventut Badalona,21,M. Allen
W. Tavares,Real Madrid,22,W. Tavares
Nico Brussino,Dreamland Gran Canaria,9,N. Brussino
David Kramer,Real Madrid,1,D. Kramer
Facu Campazzo,Real Madrid,7,F. Campazzo
Isaiah Wong,Dreamland Gran Canaria,2,I. Wong
Mario Hezonja,Real Madrid,11,M. Hezonja
Trey Lyles,Real Madrid,0,T. Lyles
Mike Tobey,Dreamland Gran Canaria,18,M. Tobey
Pierre Pelos,Dreamland Gran Canaria,13,P. Pelos
Andrew Albicy,Dreamland Gran Canaria,6,A. Albicy
Alberto Abalde,Real Madrid,6,A. Abalde
Louis Labeyrie,Dreamland Gran Canaria,21,L. Labeyrie
Sergio Llull,Real Madrid,23,S. Llull
Kur Kuath,Dreamland Gran Canaria,23,K. Kuath
Braian Angola,Dreamland Gran Canaria,24,B. Angola
Ziga Samar,Dreamland Gran Canaria,5,Z. Samar
Bruno Fernando,Real Madrid,20,B. Fernando
Miquel Salvó,Dreamland Gran Canaria,10,M. Salvó
Andrés Feliz,Real Madrid,24,A. Feliz
Izan Almansa,Real Madrid,13,I. Almansa
Chuma Okeke,Real Madrid,8,C. Okeke
Gunars Grinvalds,Real Madrid,33,G. Grinvalds
L. Langarita,Casademont Zaragoza,5,L. Langarita
D.J. Stephens,Casademont Zaragoza,20,D.J. Stephens
Luwawu-Cabarrot,Baskonia,9,Luwawu-Cabarrot
Bojan Dubljevic,Casademont Zaragoza,14,B. Dubljevic
Trent Forrest,Kosner Baskonia,11,T. Forrest
Santi Yusta,Casademont Zaragoza,4,S. Yusta
Trae Bell-Haynes,Casademont Zaragoza,2,T. Bell-Haynes
Luka Samanic,Baskonia,99,L. Samanic
Mamadi Diakite,Kosner Baskonia,1,M. Diakite
Matteo Spagnolo,Kosner Baskonia,10,M. Spagnolo
Khalifa Diop,Kosner Baskonia,18,K. Diop
Rafael Villar,Kosner Baskonia,4,R. Villar
Markus Howard,Kosner Baskonia,0,M. Howard
Clement Frisch,Kosner Baskonia,25,C. Frisch
Joel Soriano,Casademont Zaragoza,12,J. Soriano
Marco Spissu,Casademont Zaragoza,0,M. Spissu
Miguel González,Casademont Zaragoza,7,M. González
Hamidou Diallo,Kosner Baskonia,6,H. Diallo
Joaquín Rodríguez,Casademont Zaragoza,15,J. Rodríguez
Stefan Joksimovic,Kosner Baskonia,77,S. Joksimovic
Erik Stevenson,Casademont Zaragoza,3,E. Stevenson
M. Diagné,UCAM Murcia,21,M. Diagné
Artem Pustovyi,MoraBanc Andorra,99,A. Pustovyi
Dylan Ennis,UCAM Murcia,31,D. Ennis
Sander Raieste,UCAM Murcia,2,S. Raieste
Kyle Kuric,MoraBanc Andorra,24,K. Kuric
David DeJulius,UCAM Murcia,5,D. DeJulius
Emanuel Cate,UCAM Murcia,15,E. Cate
Yves Pons,MoraBanc Andorra,35,Y. Pons
Rafa Luz,MoraBanc Andorra,5,R. Luz
Toni Nakic,UCAM Murcia,99,T. Nakic
Michael Forrest,UCAM Murcia,1,M. Forrest
Morris Udeze,MoraBanc Andorra,0,M. Udeze
Howard Sant-Roos,UCAM Murcia,8,H. Sant-Roos
Chumi Ortega,MoraBanc Andorra,13,C. Ortega
Devontae Cacok,UCAM Murcia,0,D. Cacok
Aaron Best,MoraBanc Andorra,3,A. Best
Wilhelm Falk,UCAM Murcia,13,W. Falk
Ferran Bassas,BAXI Manresa,6,F. Bassas
Jonah Radebaugh,UCAM Murcia,12,J. Radebaugh
Justin Mckoy,MoraBanc Andorra,22,J. McKoy
Rubén Guerrero,MoraBanc Andorra,32,R. Guerrero
Zach Hicks,UCAM Murcia,24,Z. Hicks
Aaron Ganal,MoraBanc Andorra,8,A. Ganal
Jaime Pradilla,Valencia Basket,4,J. Pradilla
Myles Cale,Barça,3,M. Cale
Nate Reuvers,Valencia Basket,3,N. Reuvers
Willy Hernangómez,Barça,14,W. Hernangómez
Juani Marcos,Barça,2,J. Marcos
Tornike Shengelia,Barça,23,T. Shengelia
Sergio de Larrea,Valencia Basket,5,S. de Larrea
Kevin Punter,Barça,0,K. Punter
Kameron Taylor,Valencia Basket,1,K. Taylor
Brancou Badio,Valencia Basket,0,B. Badio
Youssoupha Fall,Barça,19,Y. Fall
Neal Sako,Valencia Basket,12,N. Sako
Matt Costello,Valencia Basket,24,M. Costello
Josep Puerto,Valencia Basket,2,J. Puerto
Darius Thompson,Valencia Basket,13,D. Thompson
Joel Parra,Barça,44,J. Parra
Darío Brizuela,Barça,8,D. Brizuela
Omari Moore,Valencia Basket,10,O. Moore
Isaac Nogués,Valencia Basket,32,I. Nogués
Will Clyburn,Barça,21,W. Clyburn
Jan Vesely,Barça,6,J. Vesely
Tomas Satoransky,Barça,13,T. Satoransky
Sander Hollanders,Bàsquet Girona,7,S. Hollanders
Stan Okoye,MoraBanc Andorra,11,S. Okoye
Wesley Van Beck,La Laguna Tenerife,4,W. Van Beck
J. Webb,Unicaja,3,J. Webb
Iván Aurrecoechea,Coviran Granada,15,I. Aurrecoechea
Mihajlo Andric,Río Breogán,37,M. Andric
Ike Iroegbu,Valencia Basket,18,I. Iroegbu
Juan Rubio,Recoletas Salud San Pablo Burgos,7,J. Rubio
Markquis Nowell,Kosner Baskonia,3,M. Nowell
Tadas Sedekerskis,Kosner Baskonia,8,T. Sedekerskis
Gabriel Deck,Real Madrid,14,G. Deck
Rodions Kurucs,Kosner Baskonia,7,R. Kurucs
Gabriele Procida,Real Madrid,9,G. Procida
Usman Garuba,Real Madrid,16,U. Garuba
Eric Vila,Dreamland Gran Canaria,4,E. Vila
Ferran Mauri,Joventut Badalona,32,F. Mauri
Theo Maledon,Real Madrid,12,T. Maledon
López-Arostegui,Valencia Basket,6,López-Arostegui
John Shurna,Hiopos Lleida,22,J. Shurna
Sayon Keita,Barça,41,S. Keita
Lluís Costa,Coviran Granada,15,L. Costa
Maxi Fjellerup,Bàsquet Girona,2,M. Fjellerup
Kobi Simmons,Kosner Baskonia,2,K. Simmons
B. Errasti,Surne Bilbao Basket,5,B. Errasti
Bassala Bagayoko,Surne Bilbao,13,B. Bagayoko
Jean Montero,Valencia Basket,8,J. Montero
Gustav Knudsen,BAXI Manresa,18,G. Knudsen
A. Butajevas,Unicaja,56,A. Butajevas
Shannon Evans,MoraBanc Andorra,0,S. Evans
Lucas Maniema,Dreamland Gran Canaria,1,L. Maniema
Erik Quintela,Río Breogán,23,E. Quintela
Braxton Key,Valencia Basket,7,B. Key
Nico Laprovittola,Barça,20,N. Laprovittola
Yankuba Sima,Valencia Basket,77,Y. Sima
Michael Ruzic,Asisa Joventut,23,M. Ruzic
Alex Len,Real Madrid,25,A. Len
Youssouf Traoré,Casademont Zaragoza,23,Y. Traoré
Pierre Oriola,BAXI Manresa,29,P. Oriola
Devin Robinson,Casademont Zaragoza,0,D. Robinson
D. García,UCAM Murcia,6,D. García
Ethan Happ,Recoletas Salud San Pablo Burgos,27,E. Happ
Chase Audige,Unicaja,1,C. Audige
William Howard,Coviran Granada,25,W. Howard
Christ Koumadje,Casademont Zaragoza,21,C. Koumadje
Gerard Fernández,BAXI Manresa,42,G. Fernández
Dylan Bordón,La Laguna Tenerife,16,D. Bordón
Héctor Alderete,La Laguna Tenerife,33,H. Alderete
Nikola Kusturica,Barça,43,N. Kusturica
Gytis Radzevicius,Kosner Baskonia,17,G. Radzevicius
Augustine Rubit,Unicaja,21,A. Rubit
Edu Durán,Coviran Granada,16,E. Durán
Pere Tomàs,Coviran Granada,19,P. Tomàs
R. López,UCAM Murcia,16,R. López
F. Torreblanca,BAXI Manresa,44,F. Torreblanca
Miles Norris,Barça,5,M. Norris
Dani González,Barça,47,D. González
E. Kabaca,Casademont Zaragoza,8,E. Kabaca
Carlos Alías,Casademont Zaragoza,17,C. Alías
Kassius Robertson,Dreamland Gran Canaria,30,K. Robertson
Carlos Alocén,Dreamland Gran Canaria,12,C. Alocén
Eugene Omoruyi,Kosner Baskonia,5,E. Omoruyi
J. Pérez,Coviran Granada,24,J. Pérez
Amida Brimah,Coviran Granada,37,A. Brimah
R. Rodríguez,Recoletas Salud San Pablo Burgos,5,R. Rodríguez
Eli Brooks,BAXI Manresa,24,E. Brooks
Matija Lukic,Casademont Zaragoza,9,M. Lukic
Amar Alibegovic,Coviran Granada,14,A. Alibegovic
O. Cerdá,Coviran Granada,34,O. Cerdá
Mehdy Ngouama,Coviran Granada,93,M. Ngouama
M. Bella,Recoletas Salud San Pablo Burgos,2,M. Bella
Alonso Reyes,BAXI Manresa,12/8,A. Reyes
Augusto Lima,Recoletas Salud San Pablo Burgos,32,A. Lima
L. Sánchez,BAXI Manresa,43,L. Sánchez
Pauly Paulicap,BAXI Manresa,22,P. Paulicap
Guillem Naspler,BAXI Manresa,45,G. Naspler
Lucas Sánchez,BAXI Manresa,41,Player 41
Kelan Martin,UCAM Murcia,30,K. Martin
E. Amosov,Real Madrid,17,E. Amosov
U. Madariaga,Surne Bilbao,9,U. Madariaga
L. Medal,Coviran Granada,1,L. Medal
Manuel Trujillo,Unicaja,22,M. Trujillo
Josh Richardson,Casademont Zaragoza,11,J. Richardson
Pol Rios,Hiopos Lleida,50,P. Rios
Ibou Dabo,Hiopos Lleida,52,I. Dabo
Pau Torrens,Hiopos Lleida,55,P. Torrens
Justin Cobbs,Unicaja,11,J. Cobbs
H. Ruiz,Asisa Joventut,11,H. Ruiz
Diego Niebla,Joventut Badalona,34,D. Niebla
K. De Castro,Surne Bilbao,4,K. De Castro
J. Fernández,Casademont Zaragoza,10,J. Fernández
Isaiah Washington,Casademont Zaragoza,5,I. Washington
P. Sevilla,UCAM Murcia,20,P. Sevilla
I. Soler,Bàsquet Girona,16,I. Soler
A. Velasco,Surne Bilbao,8,A. Velasco
