Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Manchester Magic Senior Men I,1,N. Togo,,5,15.5,77.5,29,5.8,11,28,39.3,2,13,15.4,5,12,41.7,1,9,10,22,5,0,9,4,42.9,43.6,23.1,68.6,7.2,3.2,1.2,10.1,5.7,42.8,3.2,0.0,21.3,0.43,7.29,2.65,4.64,11,7,63.6,3,2,66.7,13,2,15.4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking Abbey Senior Men I,4,L. Sayles,,7,27.3,190.9,89,12.7,32,81,39.5,9,38,23.7,16,26,61.5,12,22,34,15,13,1,18,14,45.1,48.1,23.9,80.6,16.3,6.9,5.2,9.6,7.4,16.1,3.5,0.6,16.3,0.32,7.23,2.4,4.83,22,17,77.3,16,5,31.2,33,8,24.2,8,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnet Bulldogs Senior Men,9,A. A,,1,9.6,9.6,5,5.0,2,2,100.0,1,1,100.0,0,0,0,2,2,4,1,0,0,1,1,125.0,125.0,12.8,166.7,6.0,1.2,15.7,19.3,17.3,26.5,0.0,0.0,33.3,0.0,7.07,5.17,1.9,1,1,100,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Magic Senior Men I,6,S. Gordon,,14,21.4,299.7,107,7.6,48,103,46.6,1,9,11.1,10,15,66.7,30,46,76,14,19,4,19,24,47.1,48.8,18.3,83.2,9.8,0.8,8.9,12.9,10.9,7.9,3.3,1.3,14.8,0.15,7.06,2.68,4.37,79,43,54.4,15,4,26.7,9,1,11.1,4,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking Abbey Senior Men I,30,D. Orija,,6,26.7,160.0,67,11.2,21,61,34.4,12,40,30.0,13,17,76.5,1,21,22,12,7,5,11,9,44.3,48.9,19.8,84.3,13.4,8.0,0.5,9.4,5.3,12.7,2.2,3.0,13.8,0.28,7.04,2.27,4.77,17,8,47.1,4,1,25,40,12,30,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Solent Kestrels Senior Men,4,J. Ofman,,10,19.0,189.6,100,10.0,40,116,34.5,9,46,19.6,11,16,68.8,26,32,58,12,6,1,10,8,38.4,40.6,27.9,75.2,12.4,5.7,10.8,14.6,12.6,11.0,1.5,0.5,7.5,0.14,7.03,3.89,3.14,46,24,52.2,23,7,30.4,41,8,19.5,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Worcester Wolves Senior Men,2,D. Antonio,,14,24.0,335.8,115,8.2,46,120,38.3,15,53,28.3,8,17,47.1,31,25,56,23,27,5,17,25,44.6,45.1,17.4,79.6,10.1,4.7,7.7,6.4,7.1,11.1,4.0,1.5,11.8,0.14,7.02,3.11,3.91,54,27,50,13,4,30.8,53,15,28.3,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions Senior Men II,14,I. Temilola,,3,28.4,85.3,31,10.3,13,25,52.0,0,1,0.0,5,9,55.6,10,27,37,4,4,7,5,7,52.0,53.5,16.7,91.3,13.1,0.4,10.0,21.7,16.5,8.2,2.4,7.1,14.7,0.36,6.98,2.27,4.71,15,10,66.7,9,3,33.3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worcester Wolves Senior Men,9,E. Yeboah,,11,23.1,253.9,136,12.4,50,120,41.7,16,45,35.6,20,38,52.6,7,43,50,20,22,2,28,21,48.3,49.7,26.8,82.6,15.2,5.0,2.4,15.4,8.8,13.7,4.4,0.8,17.0,0.32,6.96,2.59,4.37,52,25,48.1,21,7,33.3,45,16,35.6,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myerscough Basketball Academy Senior Men I,7,D. Azancot,,14,21.0,294.1,141,10.1,53,142,37.3,20,57,35.1,15,21,71.4,5,25,30,41,20,0,26,12,44.4,46.6,24.3,79.6,12.8,5.2,1.4,6.8,4.1,27.0,3.4,0.0,14.7,0.15,6.78,3.77,3.02,37,17,45.9,48,16,33.3,57,20,35.1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
