Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Trepça,"A. Arslanagic, B. Tuna, D. Kapiti, M. Amzil, S. Henry",1,62,0.0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,55.7,37.2,74.3,64.6,32.3,0,0,0,100,100,50,0,0,0,2,1,2,50,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,50,50,0,0,50,104.2,1,0,0,0,0,0,0,0,0,0,1,0,0,-104.2,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rahoveci 029,"A. Berisha, A. Patty, B. Rexha, I. Umipig, K. Pullian",1,39,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,59.1,59.1,59.1,40.6,40.6,0,0,0,0,0,0,0,0,0,3,1,2,50,1,2,50,0,0,0,1,1,2,1,0,1,0,0,1,75,75,0,100,100,312.5,1,0,0,0,0,0,0,0,0,0,0,0,0,-312.5,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,3,0,3
Bora,"A. Hunter, A. Mekic, G. Zeqiri, R. Ukaj, S. Jules",1,47,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,70.6,49,92.2,49.0,26.0,0,0,0,0,33.3,0,0,100,0,4,1,3,33.3,1,2,50,1,2,50,2,1,3,0,0,0,0,0,2,50,51.5,0,66.7,66.7,221.6,0,0,0,0,0,0,1,0,0,0,0,0,0,-221.6,0,0,0,1,0,0,2,1,50,0,0,0,0,0,0,0,4,0,0
Rahoveci 029,"A. Patty, B. Rexha, E. Peci, F. Rugova, K. Pullian",1,32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,72,72,72,33.3,33.3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bashkimi,"J. Baily, K. Anderson, M. Ismaili, M. Janjeva, T. Bickerstaff",1,34,0.0,1,0,0,0,0,0,0,1,2,50,1,0,1,1,0,0,1,0,1,63.7,59.6,67.8,40.2,35.4,0,56.8,0,100,0,34.7,0,0,118.4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50,100,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Rahoveci 029,"A. Berisha, A. Patty, B. Rexha, E. Peci, J. Roche",1,36,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88.3,64,112.6,37.5,21.3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,100,0,1,1,0,0,0,0,0,2,0,113.6,0,0,0,236.7,0,0,0,1,0,0,0,0,0,0,0,0,0,-236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bora,"A. Hot, A. Hunter, C. Payton, J. Zeqiri, R. Ukaj",1,39,0.7,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,59.1,59.1,59.1,40.6,40.6,0,0,0,50,0,0,0,50,0,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,100,100,0,0,0,208.3,1,0,0,0,0,0,1,0,0,0,0,0,0,-208.3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bora,"G. Zeqiri, J. Zeqiri, R. Ukaj, S. Jules, T. Cheese",1,33,0.0,1,0,0,0,0,0,0,1,1,100,0,1,1,0,0,0,1,1,1,81,100.5,61.4,23.9,39.1,0,113.6,0,0,100,69.4,0,0,72.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bora,"A. Hot, A. Mekic, C. Payton, G. Zeqiri, S. Jules",1,33,0.0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,1,69.8,69.8,69.8,34.4,34.4,0,0,0,50,100,0,0,50,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,100,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bora,"A. Hot, A. Hunter, A. Mekic, R. Ukaj, T. Cheese",1,30,0.0,3,1,1,100,1,1,100,0,0,0,0,1,1,1,0,0,0,0,1,76.8,76.8,76.8,31.2,31.2,150,150,100,0,100,0,0,100,312.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,1,1,100,0,0,0,0,312.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
