Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Vëllaznimi,"Z. Reid, S. Zekiqi, R. Dahsyla, T. Todd, J. Hellems",8,4688,140,48,134,35.8,13,51,25.5,31,40,77.5,24,42,66,18,18,1,26,35,147,75.7,75.5,75.9,31.8,31.6,40.7,46.2,37.5,26.4,68.9,13.3,29.9,38.1,94.9,163,57,115,49.6,25,52,48.1,24,35,68.6,19,67,86,30,16,9,43,35,148,60.4,62.5,24.8,31.1,45.2,110,-15,60,30,50,23,5,21.7,51,13,25.5,6,14,0,4,44,25,56.8,19,7,36.8,52,25,48.1,18,17,3,4
Vëllaznimi,"Y. Anei, S. Zekiqi, D. Wilson, R. Dahsyla, J. Hellems",8,4864,182,64,113,56.6,18,43,41.9,36,44,81.8,14,47,61,30,18,9,35,32,147,70.7,72.6,68.8,33.0,34.9,64.6,68.8,46.9,28,67.1,17.7,38.9,38.1,123.6,145,54,122,44.3,21,58,36.2,16,21,76.2,23,36,59,38,20,0,37,38,139,52.9,55.2,22,32.9,47.5,104,19.6,43,34,79.1,27,12,44.4,43,18,41.9,15,11,2,4,49,29,59.2,15,4,26.7,58,21,36.2,19,12,2,4
Rahoveci 029,"K. Pullian, B. Rexha, N. Mcloud, F. Rugova, I. Umipig",6,4686,150,58,132,43.9,13,47,27.7,21,39,53.8,21,50,71,33,15,3,20,24,142,72.6,72.8,72.4,32.9,33.2,48.9,50.3,56.9,25.6,64.9,9.9,29.5,35.6,105.5,156,57,131,43.5,21,55,38.2,21,30,70,27,61,88,34,9,7,30,36,141,51.5,54.1,17.2,35.1,42,110.4,-4.9,55,33,60,29,12,41.4,47,13,27.7,5,9,2,3,48,26,54.2,28,10,35.7,55,21,38.2,9,17,0,3
Sigal Prishtina,"A. Bailey, A. Lomax, A. Morina, V. Kakruki, E. Clarance",7,4412,144,57,108,52.8,13,40,32.5,17,23,73.9,12,46,58,40,17,4,29,28,129,69.5,70.6,68.4,34.0,35.1,58.8,61,70.2,24,62.2,15.5,21.3,37,111,124,49,122,40.2,15,56,26.8,11,16,68.8,28,38,66,34,12,4,30,23,125,46.3,48,18.9,37.8,45.9,98.6,12.4,48,37,77.1,20,7,35,40,13,32.5,9,8,5,4,45,26,57.8,21,8,38.1,56,15,26.8,9,14,1,5
Golden Eagle Ylli,"A. Çallakaj, B. Huffman, L. Thomas, T. Allen, G. Morina",6,3782,116,45,93,48.4,10,30,33.3,16,23,69.6,15,54,69,30,2,8,25,26,108,69,68.9,69.1,34.8,34.8,53.8,56.2,66.7,30,71.1,15.8,24.7,32.3,106.8,106,39,113,34.5,14,44,31.8,14,19,73.7,22,35,57,21,15,4,14,29,108,40.7,43.7,10.3,28.9,38.9,97.4,9.4,48,30,62.5,15,5,33.3,30,10,33.3,10,11,2,1,35,14,40,34,11,32.4,44,14,31.8,4,6,0,3
GO+Peja,"J. Johnson, D. Berisha, A. Herndon, M. Mala, T. Green",7,3422,101,37,94,39.4,15,48,31.2,12,19,63.2,14,38,52,25,6,3,23,21,106,73.6,75,72.1,32.0,33.3,47.3,49.3,67.6,23.7,67.9,15.3,20.2,51.1,94.5,111,45,100,45,11,40,27.5,10,14,71.4,18,45,63,25,10,3,19,23,102,50.5,52.3,15.2,32.1,40,107.9,-13.4,37,20,54.1,9,2,22.2,48,15,31.2,13,5,0,3,41,25,61,19,9,47.4,40,11,27.5,8,7,1,2
Trepça,"M. Tmusic, S. Jones, M. Amzil, A. Vining, K. Hasbrouck",8,3572,154,54,101,53.5,23,45,51.1,23,33,69.7,18,42,60,35,17,1,13,24,106,71.4,71.3,71.5,33.7,33.6,64.9,66.7,64.8,34.6,67.7,8,32.7,44.6,145.1,73,29,93,31.2,8,38,21.1,7,11,63.6,20,34,54,15,2,3,33,37,106,35.5,37.3,25.2,32.3,40.9,68.6,76.5,41,23,56.1,15,8,53.3,45,23,51.1,5,4,1,2,38,20,52.6,17,1,5.9,38,8,21.1,14,11,2,5
Sigal Prishtina,"A. Bailey, A. Azemi, D. Burns, K. Kramer, D. Polloshka",7,3607,129,46,92,50,12,35,34.3,25,36,69.4,18,36,54,33,10,6,20,27,105,68.4,70.2,66.7,34.2,36.0,56.5,59.8,71.7,38.3,70.6,12.4,39.1,38,122.3,116,43,90,47.8,11,34,32.4,19,26,73.1,15,29,44,25,12,3,18,29,100,53.9,57.2,15.1,29.4,37.8,115.7,6.6,44,29,65.9,13,5,38.5,35,12,34.3,11,5,1,2,39,25,64.1,17,7,41.2,34,11,32.4,6,7,2,2
Bora,"A. Hunter, S. Jules, L. Thomas, A. Hot, R. Memedi",6,3820,116,47,94,50,12,37,32.4,10,14,71.4,13,45,58,29,7,4,17,35,99,63.1,62.8,63.3,38.2,37.9,56.4,57.9,61.7,26.5,72.6,11.6,14.9,39.4,116,107,40,101,39.6,5,37,13.5,22,25,88,17,36,53,22,11,2,10,21,100,42.1,47.8,8.2,27.4,36.6,106.2,9.9,37,30,81.1,20,5,25,37,12,32.4,7,8,0,2,40,25,62.5,24,10,41.7,37,5,13.5,6,3,1,0
Rahoveci 029,"K. Pullian, J. Roche, B. Rexha, F. Rugova, I. Umipig",6,3391,110,46,101,45.5,15,49,30.6,3,6,50,19,38,57,24,13,4,17,19,97,68.1,69.1,67.1,34.8,35.8,53,53.1,52.2,34.5,67.9,11.8,5.9,48.5,112.7,92,33,88,37.5,12,39,30.8,14,20,70,18,36,54,23,8,3,20,15,94,44.3,47.5,17.1,32.1,44.3,97,15.7,34,22,64.7,18,9,50,49,15,30.6,7,4,2,2,30,14,46.7,19,7,36.8,39,12,30.8,13,5,1,1
Rahoveci 029,"K. Pullian, B. Rexha, J. Mccorrmick, F. Rugova, A. Thomas",5,3056,97,34,83,41,14,39,35.9,15,20,75,14,28,42,19,14,0,18,28,91,71.5,72.2,70.9,33.2,33.9,49.4,52.8,55.9,26.9,70,14,24.1,47,105.5,87,31,67,46.3,7,26,26.9,18,25,72,12,38,50,15,12,5,28,26,90,51.5,55.8,26.4,30,38.8,96.4,9.1,32,16,50,12,4,33.3,39,14,35.9,9,6,0,2,32,21,65.6,9,3,33.3,26,7,26.9,15,8,1,3
Sigal Prishtina,"A. Bailey, A. Azemi, G. Hoti, D. Burns, K. Kramer",4,2783,95,35,74,47.3,12,30,40,13,16,81.2,14,26,40,25,12,4,21,23,84,70.9,72.9,68.9,32.9,34.8,55.4,58.6,71.4,33.3,70.3,16.5,21.6,40.5,112.4,85,29,66,43.9,10,27,37,17,21,81,11,28,39,20,10,2,19,19,79,51.5,56.5,20.2,29.7,40.9,106.4,6,34,18,52.9,10,5,50,30,12,40,9,8,0,2,23,13,56.5,16,6,37.5,27,10,37,10,7,1,1
Bashkimi,"M. Armstead, I. Cousins, D. Lake, L. Zeqiri, K. Anderson",6,2500,95,37,71,52.1,13,28,46.4,8,10,80,11,29,40,22,11,2,19,22,80,75.2,76.9,73.5,31.2,32.7,61.3,63,59.5,31.4,72.5,16.3,14.1,39.4,118.7,70,27,64,42.2,7,20,35,9,13,69.2,11,24,35,13,8,5,21,18,76,47.7,50.2,23.1,27.5,31.2,91.5,27.2,26,16,61.5,17,8,47.1,28,13,46.4,5,6,0,4,32,16,50,12,4,33.3,20,7,35,10,9,0,1
Golden Eagle Ylli,"D. Sabeckis, S. Bamforth, E. Kastrati, T. Smith, D. Thomas",5,2918,78,28,68,41.2,13,34,38.2,9,16,56.2,19,23,42,21,5,4,22,28,74,60.8,61.6,59.9,38.9,40.0,50.7,52,75,45.2,56.1,18.6,23.5,50,104.1,84,30,70,42.9,9,33,27.3,15,18,83.3,18,23,41,17,9,4,16,26,72,49.3,53.9,17,43.9,47.1,115.3,-11.1,20,9,45,14,6,42.9,34,13,38.2,11,8,1,1,25,16,64,11,4,36.4,33,9,27.3,9,3,3,1
Bora,"A. Hunter, S. Jules, A. Mekic, A. Hot, J. Zeqiri",6,2504,85,31,73,42.5,11,32,34.4,12,16,75,19,24,43,24,5,4,13,16,71,66.1,68.1,64.1,35.2,37.5,50,53.1,77.4,42.2,77.4,11.1,21.9,43.8,119.6,83,34,65,52.3,9,23,39.1,6,6,100,7,26,33,15,7,6,9,13,66,59.2,61.4,11.7,22.6,35.4,124.2,-4.6,35,17,48.6,6,3,50,32,11,34.4,7,3,2,1,30,19,63.3,12,6,50,23,9,39.1,6,2,0,1
Bora,"S. Jules, A. Mekic, J. Zeqiri, G. Singleton, R. Memedi",4,2205,63,21,60,35,7,25,28,14,18,77.8,9,22,31,14,6,3,14,24,70,77.5,76.2,78.8,31.5,30.4,40.8,46.4,66.7,22.5,61.1,14.6,30,41.7,90,102,33,68,48.5,12,30,40,24,26,92.3,14,31,45,23,6,3,10,16,72,57.4,64.2,11.2,38.9,44.1,140.8,-50.8,26,13,50,9,1,11.1,25,7,28,6,3,0,3,34,20,58.8,4,1,25,30,12,40,6,3,1,0
Sigal Prishtina,"A. Bailey, A. Lomax, D. Burns, A. Morina, V. Kakruki",5,2448,86,29,66,43.9,9,26,34.6,19,27,70.4,16,20,36,19,15,1,12,19,70,70,69.5,70.4,34.5,34.1,50.8,55.2,65.5,40,71.4,11,40.9,39.4,121.3,56,22,49,44.9,3,16,18.8,9,11,81.8,8,24,32,13,4,4,29,25,71,48,52,35,28.6,32.7,77.9,43.3,21,14,66.7,19,6,31.6,26,9,34.6,5,4,2,1,27,18,66.7,6,1,16.7,16,3,18.8,9,13,2,3
