# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 424
# Qualified players exported: 296
# Total stints used: 12255
# Garbage time stints excluded: 425
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
ETB Miners,4,Quashawn Tyrese Lane,1392,7.81,1.01,8.82
EN BASKETS Schwelm,21,Henning Gustrau,823,2.1,5.25,7.35
BG Hessing Leitershofen,33,Tom-Niclas Alte,1062,3.69,2.92,6.62
TSV Neustadt temps Shooters,7,Elias Marei,1314,2.33,4.24,6.57
OrangeAcademy,4,Teo Milicic,646,1.82,3.72,5.54
Seawolves Academy,11,Jalen Page,1468,3.91,1.55,5.46
Baskets Juniors TSG Westerstede,0,Jon'll Larenz Fugett,1445,5.61,-0.17,5.44
FC Bayern Basketball II,6,Nikolas Sermpezis,776,0.09,5.33,5.42
Itzehoe Eagles,65,Christopher Herget,774,1.76,3.61,5.37
Dresden Titans,25,Sebastian Heck,1171,2.02,3.19,5.21
LOK BERNAU,34,Akim-Jamal Jonah,1072,3.39,1.74,5.13
Dresden Titans,77,Simeon Dimitrov,1326,4.93,0.15,5.08
Dresden Titans,24,Wisdom Equere Uboh,383,3.08,1.97,5.05
LOK BERNAU,15,Marco Rahn,1142,1.98,3.02,5.0
ETB Miners,30,Marc William Friederici,1062,2.66,2.26,4.92
TSV Neustadt temps Shooters,10,Matej Jelovcic,1584,2.88,1.95,4.83
Dragons Rhöndorf,2,Juhwan Harris-Dyson,1285,1.69,2.92,4.62
Iserlohn Kangaroos,32,Tyson Leitao,1230,2.47,2.12,4.59
BBC Coburg,13,Darius Dawson,1312,2.24,2.26,4.51
BSW Sixers,8,Felix Zacharias,624,2.12,2.32,4.44
BBC Coburg,12,Dylan Fasoyiro,1181,4.33,0.07,4.4
OrangeAcademy,10,Endurance Aiyamenkhue,1024,1.77,2.58,4.35
Dragons Rhöndorf,3,Duje Dujmovic,1276,2.67,1.46,4.13
SKYLINERS Juniors,9,Leif Zentgraf,953,3.45,0.46,3.9
Porsche BBA Ludwigsburg,20,Simon Feneberg,1187,1.6,2.18,3.78
SV Fellbach Flashers,13,Jonathan Gerlinger,522,4.22,-0.44,3.78
Hertener Löwen,9,David Ewald,1233,1.83,1.9,3.73
SKYLINERS Juniors,6,Moses Pölking,419,3.21,0.51,3.72
BBC Coburg,8,Nico Wenzl,1251,2.26,1.22,3.48
Itzehoe Eagles,42,Tobias Möller,944,2.47,0.98,3.45
LOK BERNAU,24,Guy Artman Nahmias,1344,2.13,1.18,3.31
BBC Coburg,10,Tim Herzog,730,1.37,1.94,3.31
BBC Coburg,5,Nico Höllerl,1188,0.91,2.38,3.3
SV Fellbach Flashers,0,Mark Adrian Golder,724,1.94,1.33,3.26
Iserlohn Kangaroos,13,Christopher Schultz,1456,1.45,1.79,3.25
ETB Miners,26,Jonathan Almstedt,859,1.14,2.1,3.24
Porsche BBA Ludwigsburg,8,Lukas Modic,535,0.99,2.21,3.2
TSV Oberhaching Tropics,10,Levi Weng,441,1.1,1.96,3.06
LOK BERNAU,18,Meo Martin,891,-0.07,3.11,3.03
TV Langen,13,Aminu Abibu,1010,3.14,-0.12,3.02
CATL Basketball Löwen,5,Luca Förster,613,1.51,1.47,2.97
SV Fellbach Flashers,9,Nik Philip Schlipf,1299,1.72,1.23,2.95
EN BASKETS Schwelm,7,Zyon Ezekiel Patterson,1531,3.14,-0.25,2.89
OrangeAcademy,36,Marko Dordevic,1064,1.43,1.46,2.89
Baskets Juniors TSG Westerstede,8,Beni Fungula,1360,0.84,2.01,2.85
Baskets Juniors TSG Westerstede,9,Alan Boger,596,4.64,-1.82,2.82
Iserlohn Kangaroos,19,David Pavljak,480,0.79,2.02,2.81
Hertener Löwen,8,Bryant Allen,1191,1.33,1.46,2.79
LOK BERNAU,8,Shawn Anthony Scott II,628,2.02,0.72,2.75
SV Fellbach Flashers,77,Jeremy Julian Kolev,463,2.55,0.14,2.7
Ahorn Camp Baskets,2,Joshua Kreilein,289,0.53,2.13,2.66
Seawolves Academy,10,Matthes Tilsen,915,2.05,0.61,2.66
Itzehoe Eagles,13,Toni Nickel,1152,0.37,2.23,2.6
Ahorn Camp Baskets,0,Daryl Woodmore,1205,2.19,0.36,2.55
OrangeAcademy,44,Zoran Milicic,883,1.31,1.17,2.48
OrangeAcademy,1,Joel Cwik,1013,1.47,0.95,2.42
ETB Miners,2,Jegor Cymbal,625,0.61,1.77,2.38
Ahorn Camp Baskets,11,Christoph Rupp,1101,-0.68,3.05,2.37
EN BASKETS Schwelm,9,Marius Stoll,1464,0.44,1.92,2.36
BG Hessing Leitershofen,0,Brian Christopher Dawson,1527,1.82,0.51,2.33
Iserlohn Kangaroos,2,Glynn Hubbard III,916,2.11,0.19,2.3
SV Fellbach Flashers,7,Tyseem Lamel Lyles,1384,1.18,1.08,2.26
ETB Miners,12,Niclas Jonathan Sperber,1060,1.54,0.69,2.23
BSW Sixers,11,Robert Joseph Holmes,1437,1.77,0.44,2.21
FC Bayern Basketball II,13,Marco Frank,898,-0.71,2.91,2.2
Porsche BBA Ludwigsburg,0,Maxwell Dongmo Temoka,786,1.1,1.1,2.2
TSV Oberhaching Tropics,9,Peter Zeis,630,1.3,0.88,2.18
ETB Miners,5,Benjamin Uzoma,985,-0.3,2.46,2.16
Iserlohn Kangaroos,44,Luca Michels,956,2.81,-0.71,2.1
SC Rist Wedel,29,Linus Hoffmann,1004,2.22,-0.16,2.05
BG Hessing Leitershofen,3,Zion Antonio Richardson,1433,0.62,1.35,1.97
Baskets Juniors TSG Westerstede,16,Johann Helwig,660,1.5,0.44,1.94
TKS 49ers,2,Carl Thure Peters,717,0.92,0.99,1.91
Baskets Juniors TSG Westerstede,29,Colin Schroeder,1154,2.3,-0.46,1.84
Seawolves Academy,15,Daniel Lopez Dittert,289,1.0,0.81,1.81
VR-Bank Würzburg Baskets Akademie,11,Jonas März,615,3.09,-1.35,1.74
LOK BERNAU,3,Leo Döring,381,-1.52,3.18,1.66
ETB Miners,10,Mychael Paulo,1293,-0.31,1.96,1.65
Porsche BBA Ludwigsburg,4,Sebastian Kuhn,261,0.34,1.25,1.59
TSV Oberhaching Tropics,20,Nikola Alexander Jekov,1116,4.22,-2.68,1.54
Porsche BBA Ludwigsburg,12,Abdulhay Kömürkara,512,-0.35,1.86,1.51
Itzehoe Eagles,2,Walter J McBride,1447,2.55,-1.05,1.5
BSW Sixers,1,Sean William Ludwig,389,2.15,-0.69,1.45
Itzehoe Eagles,0,Sydnee Ochieng Shaka Bijlsma,702,0.68,0.7,1.38
BBC Coburg,17,Ole Theiß,451,1.91,-0.56,1.35
SV Fellbach Flashers,8,Jakob Hanzalek,1078,2.13,-0.81,1.31
Hertener Löwen,11,Christian Matthew Hinckson,970,-0.01,1.29,1.28
OrangeAcademy,11,Meissa Faye,1091,-0.92,2.17,1.25
Baskets Juniors TSG Westerstede,7,Fritz Hemschemeier,816,1.68,-0.54,1.14
RASTA Vechta II,7,Moritz Dresing,862,-1.71,2.84,1.12
SC Rist Wedel,3,Aleksandar Postic,865,0.14,0.97,1.11
SKYLINERS Juniors,4,Desmond Tyson Watson,517,2.14,-1.04,1.09
BBC Coburg,6,Erik Neunhoeffer,588,0.82,0.27,1.09
TV Langen,22,Alexander Lagerman,811,0.25,0.84,1.09
TKS 49ers,20,Jannes Hundt,480,-0.01,1.07,1.06
EN BASKETS Schwelm,8,Robert Peter Merz,1043,0.4,0.63,1.03
SC Rist Wedel,4,Tomas Atli Bjarkason,827,0.58,0.41,1.0
TSV Neustadt temps Shooters,2,Aimé Olma,1519,0.6,0.33,0.92
Itzehoe Eagles,4,Jonathan Elzie,432,-0.72,1.62,0.9
Ahorn Camp Baskets,22,Oskar Humpert,901,-1.08,1.96,0.89
BG Hessing Leitershofen,1,Brendan Gregori,1114,1.95,-1.18,0.76
EN BASKETS Schwelm,12,Jascal Niclas Knörig,946,-3.38,4.12,0.75
SC Rist Wedel,5,Niklas Krause,946,-1.04,1.73,0.69
RASTA Vechta II,24,Roy Krupnikas,1144,-1.14,1.82,0.68
