Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
HAKRO Merlins Crailsheim,"Anthony Malik Gaines, Brock Boone Gardner, Charles Tyrone Harris Jr., Gianni Otto, Jose Gabriel de Oliveira Neto",Bozic Estriche Knights Kirchheim,"Gian Bahattin Aydinoglu, Lucas Mayer, Nicholas Gerard Spinoso, Phillip Montreal Russelll, Tylan James Pope",1,441,7.3,13.9,12,5,12,41.7,0,3,0,2,3,66.7,1,6,7,2,2,0,2,4,12,5,12,41.7,1,2,50,1,3,33.3,2,7,9,2,0,0,2,5,14.4,13.4,83.4,89.2,-5.8,89.2,83.4,5.8,0,7,4,57.1,2,1,50,0,0,0,6,3,50,4,1,25,0,0,0,1,1,0,0,1,1,0,0,0,7,1,3,2,2
Bayer Giants Leverkusen,"Dennis Heinzmann, Donte Nicholas, Kobe Langley, Luca Finn Kahl, Ricardo Lynch",Artland Dragons,"Amir Jabbar Hinton, Benjamin Forrest Burnham, Connor Van Anthony, Fynn Lastring, Timo Lanmüller",1,463,7.7,13.8,13,6,15,40,1,2,50,0,0,0,3,6,9,4,0,1,1,4,19,7,15,46.7,2,6,33.3,3,4,75,3,6,9,4,0,1,1,4,12.8,14.9,101.6,127.5,-25.8,127.5,101.6,25.8,-6,5,3,60,8,2,25,0,0,0,1,1,100,8,4,50,0,0,0,1,0,0,0,1,0,0,0,4,2,0,2,7,0
Tigers Tübingen,"Bernard Joel Pelote III, Isaiah Jevon Sanders, Kaya Kaan Hakan Bayram, Melkisedek Kwaku Moreaux, Silas Kaan Osezua Oriane",Bayer Giants Leverkusen,"Dennis Heinzmann, Donte Nicholas, John Williams Jr, Ricardo Lynch, Sebastian Brach",1,484,8.1,13.6,18,7,12,58.3,3,5,60,1,2,50,2,9,11,5,0,1,3,6,8,4,13,30.8,0,4,0,0,0,0,0,4,4,2,2,0,0,2,14.1,13.0,127.7,61.5,66.2,61.5,127.7,-66.2,10,5,3,60,2,1,50,0,0,0,8,4,50,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,2,2
Tigers Tübingen,"Bernard Joel Pelote III, Kaya Kaan Hakan Bayram, Melkisedek Kwaku Moreaux, Miles Lamar Tention, Patrick Etienne Fardy Emilien",Artland Dragons,"Amir Jabbar Hinton, Benjamin Forrest Burnham, Connor Van Anthony, Linus Ruf, Timo Lanmüller",1,465,7.8,13.6,17,4,12,33.3,2,8,25,7,8,87.5,2,2,4,4,1,1,1,4,22,9,12,75,3,4,75,1,2,50,1,7,8,4,1,0,1,6,14.6,12.8,116.3,171.7,-55.4,171.7,116.3,55.4,-5,2,1,50,2,1,50,0,0,0,6,4,66.7,2,2,100,0,0,0,0,1,0,0,0,1,0,0,2,6,3,3,3,2
PS Karlsruhe LIONS,"David Opowu Ejah, Isaiah Rayshaud Hart, Kilian Binapfl, Maurice Marko Pluskota, Tyrese Williams",HAKRO Merlins Crailsheim,"Jose Gabriel de Oliveira Neto, Marvin Ogunsipe, Nico Santana Mojica, Tyreese Blunt, Vincent Malik Shahid",1,422,7.0,13.2,10,4,11,36.4,0,3,0,2,2,100,2,7,9,1,1,1,3,3,13,4,13,30.8,2,7,28.6,3,4,75,2,5,7,3,2,0,1,4,12.7,13.6,78.5,95.4,-17,95.4,78.5,17,-3,5,2,40,3,2,66.7,0,0,0,4,1,25,2,1,50,0,0,0,2,1,0,0,1,0,0,0,2,2,0,4,2,6
BBC Bayreuth,"KeVaughn Allen, Lenny Liedtke, Nat Diallo, Tehree Johnathan Horn, Willem Brandwijk",Bozic Estriche Knights Kirchheim,"Nicolas Bretzel, Nil Failenschmid Clavera, Phillip Montreal Russelll, Tylan James Pope, Tyrel Maurice Morgan",1,497,8.3,13.0,10,5,13,38.5,0,4,0,0,0,0,0,2,2,0,2,2,0,3,16,6,11,54.5,0,3,0,4,6,66.7,3,8,11,1,0,1,2,0,13.0,12.4,76.9,128.7,-51.8,128.7,76.9,51.8,-6,5,4,80,4,1,25,0,0,0,7,5,71.4,1,1,100,0,0,0,0,0,0,0,0,2,0,0,0,4,4,4,6,0
BG Göttingen,"Jordan Sears, Kevin Buckingham, Nils Owen Schmitz, Robin Lodders, Zach Jackson",Bozic Estriche Knights Kirchheim,"Gian Bahattin Aydinoglu, Nicholas Gerard Spinoso, Nil Failenschmid Clavera, Phillip Montreal Russelll, Tylan James Pope",1,376,6.3,12.9,14,5,10,50,4,9,44.4,0,0,0,1,3,4,5,1,0,4,6,16,6,11,54.5,1,3,33.3,3,6,50,3,4,7,3,3,0,2,2,12.9,13.0,108.3,123.4,-15.1,123.4,108.3,15.1,-2,0,0,0,1,1,100,0,0,0,5,4,80,3,1,33.3,0,0,0,3,1,0,0,0,2,0,0,3,2,6,2,4,2
PS Karlsruhe LIONS,"Gabriel Kuku, Kilian Binapfl, Maurice Marko Pluskota, Tyrese Williams, Wesley Chima Oba",Bozic Estriche Knights Kirchheim,"Lucas Mayer, Nicolas Bretzel, Nil Failenschmid Clavera, Phillip Montreal Russelll, Tylan James Pope",1,434,7.2,12.8,10,4,9,44.4,0,2,0,2,2,100,1,5,6,2,1,0,4,4,11,4,10,40,2,6,33.3,1,2,50,1,4,5,3,4,2,3,3,12.8,12.8,78.1,85.9,-7.8,85.9,78.1,7.8,-1,7,4,57.1,0,0,0,0,0,0,3,2,66.7,1,0,0,0,0,0,4,0,0,0,2,1,0,0,0,2,4,0,2,2
Bayer Giants Leverkusen,"Dennis Heinzmann, Donte Nicholas, John Williams Jr, Kobe Langley, Sebastian Brach",Paderborn Baskets,"Branden Michael Maughmer, Efosa K Irobun Osawe, Grant Teichmann, Jonathan Klussmann, Karl Bühner",1,314,5.2,12.7,8,2,6,33.3,0,2,0,4,4,100,0,7,7,1,0,0,4,3,15,5,10,50,1,5,20,4,6,66.7,0,4,4,3,3,0,1,4,11.8,13.6,68,110,-41.9,110,68,41.9,-7,3,2,66.7,1,0,0,0,0,0,3,2,66.7,2,2,100,0,0,0,3,1,0,0,1,0,0,0,0,4,0,0,2,5
PS Karlsruhe LIONS,"David Allan Cohn, David Opowu Ejah, Isaiah Rayshaud Hart, Maurice Marko Pluskota, Wesley Chima Oba",EPG Baskets Koblenz,"Aleksa Kovacevic, Alexander Möller, Devonte Jasai McCall, Garrett Hicks, Timothy Smith",1,435,7.2,12.7,9,2,9,22.2,2,5,40,3,4,75,1,4,5,2,1,2,2,4,14,6,12,50,0,1,0,2,2,100,2,6,8,2,2,0,3,3,11.7,13.7,77,101.9,-24.9,101.9,77,24.9,-5,2,0,0,2,0,0,0,0,0,9,4,44.4,2,2,100,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,4,2
