Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
BK ARMEX ENERGY Děčín,A. Dawes,1,A. Dawes,4,26.0,104.1,72.0,18.0,24.0,68.0,35.3,15.0,43.0,34.9,9.0,10.0,90,0.0,10.0,10.0,12.0,2.0,0.0,6.0,11.0,75.3,38.0,36.4,6.1,5.1,0,72.0,18.0,36.4,5,5.0,4,0,62.5,4.0,1,1.69,0.51,1.19,2.3,2.3,9.0,3.0,33.3,11.0,3.0,27.3,43.0,15.0,34.9,4.0,2.0,0.0,0.0,8.0,10.0,7.0
ERA Basketball Nymburk,B. Amiel,27,B. Amiel,4,3.3,13.3,2.0,0.5,1.0,3.0,33.3,0.0,2.0,0,0.0,0.0,0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,5.8,21.8,7.6,7.6,3.8,0,2.0,0.5,7.6,0,0,0,0,0,0.0,0,-14.65,-16.81,2.16,2.9,4.1,1.0,1.0,100,0.0,0.0,0,2.0,0.0,0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
USK Praha,P. Šafarčík,94,P. Šafarčík,3,25.2,75.7,43.0,14.3,16.0,30.0,53.3,7.0,15.0,46.7,4.0,5.0,80,2.0,7.0,9.0,4.0,1.0,0.0,1.0,9.0,30.0,21.3,30.6,2.8,6.4,0,43.0,14.3,30.6,0,0.0,1,0,0.0,1.0,1,3.71,1.89,1.83,3.0,2.7,13.0,9.0,69.2,2.0,0.0,0,15.0,7.0,46.7,1.0,0.0,0.0,0.0,8.0,6.0,7.0
SLUNETA  Ústí nad Labem,J. Glover,34,J. Glover,3,14.2,42.6,21.0,7.0,6.0,18.0,33.3,2.0,8.0,25,7.0,10.0,70,5.0,7.0,12.0,0.0,0.0,0.0,4.0,6.0,20.5,25.0,25.6,0.0,14.6,0,21.0,7.0,25.6,0,0,0,0,0,0.0,0,-9.3,-7.44,-1.86,4.0,4.5,7.0,4.0,57.1,3.0,0.0,0,8.0,2.0,25,2.0,1.0,0.0,1.0,8.0,8.0,4.0
SK Slavia Praha,F. Petružela,35,F. Petružela,2,13.6,27.1,2.0,1.0,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,2.0,4.0,6.0,1.0,0.0,0.0,4.0,4.0,2.9,5.6,3.9,1.9,11.7,0,2.0,1.0,3.9,0,0,0,0,0,0.0,0,-11.13,-11.47,0.35,3.5,4.2,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
USK Praha,J. Chaloupka,12,J. Chaloupka,2,7.5,15.0,2.0,1.0,1.0,6.0,16.7,0.0,3.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.7,24.1,7.2,0.0,3.6,0,2.0,1.0,7.2,0,0,0,0,0,0.0,0,-22.51,-17.2,-5.3,3.0,4.5,0.0,0.0,0,3.0,1.0,33.3,3.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ERA Basketball Nymburk,O. Petrák,15,O. Petrák,2,1.7,3.3,2.0,1.0,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.9,43.6,30.3,0.0,15.2,0,2.0,1.0,30.3,0,0,0,0,0,0.0,0,-18.48,-19.73,1.25,3.1,3.9,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Sršni Photomate Písek,T. Rybařík,3,T. Rybařík,2,0.8,1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,7.46,-5.84,13.3,2.9,3.8,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sršni Photomate Písek,O. Klement,18,O. Klement,2,0.4,0.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,3.05,-6.57,9.62,3.2,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sršni Photomate Písek,M. Ježek,22,M. Ježek,1,19.0,19.0,14.0,14.0,4.0,5.0,80,1.0,1.0,100,5.0,7.0,71.4,0.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,8.7,23.4,37.8,5.4,2.7,0,14.0,14.0,37.8,2,2.0,2,0,50.0,2.0,1,5.47,0.79,4.68,2.8,2.7,4.0,3.0,75,0.0,0.0,0,1.0,1.0,100,0.0,1.0,0.0,0.0,5.0,8.0,0.0
PUMPA Basket Brno,K. Langley,0,K. Langley,1,24.2,24.2,8.0,8.0,2.0,7.0,28.6,2.0,7.0,28.6,2.0,2.0,100,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,8.5,18.2,17.1,0.0,4.3,0,8.0,8.0,17.1,0,0,0,0,0,0.0,0,-1.07,-5.03,3.96,3.1,4.3,0.0,0.0,0,0.0,0.0,0,7.0,2.0,28.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SLUNETA  Ústí nad Labem,A. Rand,1,A. Rand,1,17.3,17.3,7.0,7.0,3.0,5.0,60,0.0,2.0,0,1.0,4.0,25,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,5.5,16.6,21.0,6.0,12.0,0,7.0,7.0,21.0,0,0.0,1,0,0.0,1.0,1,5.21,-0.95,6.16,3.4,3.7,3.0,3.0,100,0.0,0.0,0,2.0,0.0,0,0.0,1.0,0.0,0.0,2.0,3.0,2.0
BK KVIS Pardubice,M. Kolík,24,M. Kolík,1,0.3,0.3,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-130.53,-84.62,-45.91,3.0,4.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sršni Photomate Písek,M. Zita,99,M. Zita,1,0.2,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-6.69,-6.93,0.24,3.0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK ARMEX ENERGY Děčín,J. Nádherný,26,J. Nádherný,1,3.3,3.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,15.4,0.0,0.0,16.1,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-32.12,-33.82,1.7,3.2,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BK ARMEX ENERGY Děčín,O. Belikov,31,O. Belikov,1,16.8,16.8,0.0,0.0,0.0,5.0,0,0.0,2.0,0,0.0,4.0,0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,4.6,14.3,0.0,0.0,12.5,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-19.58,-17.65,-1.93,3.2,4.5,3.0,0.0,0,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERA Basketball Nymburk,K. Davídek,6,K. Davídek,1,3.3,3.3,0.0,0.0,0.0,2.0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9,28.9,0.0,0.0,15.1,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-29.2,-24.36,-4.84,3.1,4.1,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
