Canonical,Team,Numbers,Variations
K. Elvis,BK Olomoucko,1,K. Elvis
A. Goga,BK Olomoucko,4,A. Goga
J. Andre,BK Olomoucko,10,J. Andre
J. Holmes,BK Olomoucko,13,J. Holmes
K. Filewich,BK Olomoucko,14,K. Filewich
M. Nelson,BK Olomoucko,0,M. Nelson
Š. Čermák,BK Olomoucko,3,Š. Čermák
J. Oupoh,BK Olomoucko,7,J. Oupoh
O. Šiška,BK Olomoucko,3/51/9,O. Šiška
M. Kvapil,BK Olomoucko,12,M. Kvapil
D. Žák,BK Olomoucko,22,D. Žák
J. Svojanovský,BK Olomoucko,51,J. Svojanovský
M. Popović,BK GAPA Hradec Králové,10,M. Popović
A. Petric,BK GAPA Hradec Králové,11,A. Petric
D. Škranc,BK GAPA Hradec Králové,12,D. Škranc
T. Merta,BK GAPA Hradec Králové,23,T. Merta
M. Roub,BK GAPA Hradec Králové,24,M. Roub
K. Brewton,BK GAPA Hradec Králové,2,K. Brewton
T. Tkadlec,BK GAPA Hradec Králové,3,T. Tkadlec
K. Chatman,BK GAPA Hradec Králové,5,K. Chatman
T. Mikyska,BK GAPA Hradec Králové,13,T. Mikyska
J. Bubeníček,BK GAPA Hradec Králové,16,J. Bubeníček
A. Jancur,BK GAPA Hradec Králové,17,A. Jancur
V. Martinek,BK GAPA Hradec Králové,33,V. Martinek
W. Person Jr,BK Opava,1,W. Person Jr
J. Švandrlík,BK Opava,8,J. Švandrlík
C. Brown Jr,BK Opava,13,C. Brown Jr
R. Kouřil,BK Opava,21,R. Kouřil
M. Vyroubal,BK Opava,25,M. Vyroubal
P. Czudek,BK Opava,4,P. Czudek
J. Přecechtěl,BK Opava,10,J. Přecechtěl
K. Kavan,BK Opava,11,K. Kavan
D. Motyčka,BK Opava,14,D. Motyčka
Š. Puršl,BK Opava,20,Š. Puršl
J. Šiřina,BK Opava,24,J. Šiřina
J. Slavík,BK Opava,33,J. Slavík
R. Bonham,BK KVIS Pardubice,3,R. Bonham
J. Bryant,BK KVIS Pardubice,4,J. Bryant
R. Moffatt,BK KVIS Pardubice,13,R. Moffatt
L. Kovář,BK KVIS Pardubice,21,L. Kovář
Z. Key,BK KVIS Pardubice,23,Z. Key
M. Svojanovský,BK KVIS Pardubice,2,M. Svojanovský
A. Lukeš,BK KVIS Pardubice,7,A. Lukeš
K. Švrdlík,BK KVIS Pardubice,9,K. Švrdlík
F. Horváth,BK KVIS Pardubice,11,F. Horváth
P. Šťovíček,BK KVIS Pardubice,17,P. Šťovíček
J. Tůma,BK KVIS Pardubice,98,J. Tůma
M. Šafařík,USK Praha,5,M. Šafařík
D. Vlk,USK Praha,13,D. Vlk
O. Švec,USK Praha,16,O. Švec
J. Soldán,USK Praha,23,J. Soldán
T. Tainamo,USK Praha,25,T. Tainamo
L. Dejmek,USK Praha,2,L. Dejmek
C. Eduardo,USK Praha,7,C. Eduardo
T. Palas,USK Praha,8,T. Palas
S. Macht,USK Praha,11,S. Macht
F. Fuxa,USK Praha,21,F. Fuxa
E. Edigin,USK Praha,41,E. Edigin
A. Kolář,USK Praha,77,A. Kolář
D. Davis,BK ARMEX ENERGY Děčín,2,D. Davis
T. Pomikálek,BK ARMEX ENERGY Děčín,5,T. Pomikálek
T. Slowiak,BK ARMEX ENERGY Děčín,7,T. Slowiak
F. Kroutil,BK ARMEX ENERGY Děčín,13,F. Kroutil
