Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
London Cavaliers,"A. Roberts, D. Braster, J. Manning, M. Beasley, M. Collins",19,16326,135.7,628,247,500,49.4,76,179,42.5,58,93,62.4,83,200,283,124,33,27,99,84,535,77.2,78.6,75.7,30.5,31.7,57,58,50.2,34.9,78.7,13,18.6,35.8,117.5,566,225,500,45,73,207,35.3,43,65,66.2,54,155,209,121,56,15,62,90,515,52.3,53.5,10.5,21.3,41.4,109.9,242,139,57.4,78,31,39.7,179,76,42.5,47,24,4,18,7.6,219,125,57.1,74,27,36.5,207,73,35.3,31,19,3,9,101,207,102,69,180,90
Derby Trailblazers,"C. Brown, C. Washington, J. Pathmarajah, R. May-Thompson, S. Walker",17,12613,147.0,485,191,375,50.9,47,108,43.5,56,82,68.3,45,150,195,120,52,16,72,59,421,78.7,80,77.4,30.0,31.0,57.2,59,62.8,25.1,78.9,11.9,21.9,28.8,115.3,431,172,374,46,57,152,37.5,30,45,66.7,40,134,174,102,41,12,70,88,407,53.6,54.7,15.1,21.1,40.6,105.9,194,119,61.3,73,25,34.2,108,47,43.5,24,31,5,10,9.4,138,80,58,84,35,41.7,152,57,37.5,23,34,3,9,79,129,86,42,125,80
Birmingham Rockets,"E. Donaldson, L. Mcgregor, L. Okosieme, R. Blain, Z. Powell",16,11793,129.7,393,150,330,45.5,34,94,36.2,59,92,64.1,38,151,189,99,40,22,76,52,392,78.9,79.8,78.1,30.1,30.7,50.6,53,66,22.2,71.2,13.9,27.9,28.5,100.2,357,141,366,38.5,49,152,32.2,26,40,65,61,133,194,82,37,18,77,87,384,45.2,46.5,16.7,28.8,41.5,93.1,160,89,55.6,76,27,35.5,94,34,36.2,35,20,2,13,7.2,154,72,46.8,59,19,32.2,152,49,32.2,34,22,2,14,47,159,86,65,96,80
Milton Keynes Breakers,"C. Thompson, D. Jackson, J. Dietrich, J. Spencer, X. Wilson",17,12156,126.8,465,184,389,47.3,60,151,39.7,37,55,67.3,57,158,215,131,33,25,51,60,391,77.1,77.2,77,31.1,31.2,55,56.3,71.2,30.2,76,8.6,14.1,38.8,119,370,144,360,40,51,148,34.5,31,55,56.4,50,132,182,94,36,17,72,70,390,47.1,48.2,15.8,24,41.1,94.9,169,102,60.4,68,22,32.4,151,60,39.7,30,14,2,6,24.1,137,72,52.6,71,17,23.9,148,51,34.5,32,22,1,14,78,130,89,58,90,57
Nottingham Hoods,"B. Johnson, D. Nixon Ii, E. Bailey, S. Akano, T. Williams",11,5869,10.5,268,101,191,52.9,31,77,40.3,35,51,68.6,27,66,93,53,29,9,35,46,213,87.6,86.9,88.2,27.6,27.2,61,62.8,52.5,30.3,74.2,11.6,26.7,40.3,126.1,214,84,178,47.2,16,60,26.7,30,45,66.7,23,62,85,61,19,4,50,48,216,51.7,54.1,20.2,25.8,33.7,99.2,87,63,72.4,27,7,25.9,77,31,40.3,11,14,1,6,26.9,82,53,64.6,36,15,41.7,60,16,26.7,23,13,1,9,34,90,60,27,59,32
Newcastle Knights,"B. Dean, H. Abdul, J. Thames, M. Jones, S. Trunley",5,6753,54.0,248,91,200,45.5,39,105,37.1,27,35,77.1,24,67,91,58,18,5,30,34,213,75.9,75.5,76.3,31.8,31.4,55.2,57.6,63.7,25,68.4,9.9,17.5,52.5,116.7,232,92,192,47.9,20,76,26.3,28,47,59.6,31,72,103,53,15,6,42,35,215,53.1,54.5,16.5,31.6,39.6,108,59,33,55.9,36,19,52.8,105,39,37.1,13,12,0,4,8.6,82,60,73.2,34,12,35.3,76,20,26.3,17,18,2,4,29,55,52,47,45,38
Yorkshire Dragons,"C. Johnson, D. Ulph, J. Melke, J. Whelan, N. Lewis",6,6066,33.4,243,91,199,45.7,30,88,34.1,31,43,72.1,34,74,108,51,30,11,31,43,206,83.2,81.6,84.7,29.4,28.3,53.3,55.8,56,33.7,74.7,10.3,21.6,44.2,117.8,201,73,178,41,24,74,32.4,31,41,75.6,25,67,92,45,14,7,52,41,214,47.8,51.3,21,25.3,41.6,93.9,98,58,59.2,13,3,23.1,88,30,34.1,13,8,0,7,23.9,72,43,59.7,32,6,18.8,74,24,32.4,19,20,1,8,48,96,58,34,58,33
Worthing Thunder,"D. Evans, E. Dadds, E. Maynard, J. Hopkins, M. Bryan-Amaning",14,5348,20.2,188,78,176,44.3,16,51,31.4,16,25,64,17,52,69,37,15,6,22,22,184,84.2,82.7,85.8,29.0,28.0,48.9,50.3,47.4,18.1,65,8.9,14.2,29,102,215,83,176,47.2,24,62,38.7,25,32,78.1,28,77,105,59,17,8,37,32,191,54,56.6,16.3,35,35.2,112.5,81,49,60.5,44,13,29.5,51,16,31.4,11,10,1,1,-10.5,73,45,61.6,40,13,32.5,62,24,38.7,17,11,3,6,17,47,43,35,82,37
Reading Rockets,"C. Creek, E. Poorman, J. Bouknight, T. Nsangu, V. Olarerin",15,5692,67.8,204,83,183,45.4,22,69,31.9,16,23,69.6,44,49,93,53,30,2,34,31,176,72.4,74.1,70.6,32.4,34.0,51.4,52.8,63.9,45.8,76.6,12.1,12.6,37.7,116,170,66,143,46.2,30,71,42.3,8,8,100,15,52,67,42,15,4,43,28,168,56.6,58,22.7,23.4,49.7,101.5,88,57,64.8,26,4,15.4,69,22,31.9,17,13,1,3,14.6,52,30,57.7,20,6,30,71,30,42.3,24,12,2,6,44,53,69,14,50,40
Hemel Storm,"B. Inger, D. Nelson-Henry, K. Walker, M. Norman, S. Newman",7,5067,46.2,218,90,152,59.2,24,55,43.6,14,17,82.4,17,66,83,53,20,6,37,28,172,79.1,81.6,76.6,29.4,31.3,67.1,68.3,58.9,30.4,76.7,14.8,11.2,36.2,126.5,163,65,156,41.7,19,57,33.3,14,17,82.4,20,39,59,36,18,4,25,21,162,47.8,49.9,13.3,23.3,36.5,100.8,84,59,70.2,13,7,53.8,55,24,43.6,16,8,1,7,25.7,68,36,52.9,31,10,32.3,57,19,33.3,14,10,1,1,22,55,31,22,41,37
