Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Telekom Baskets Bonn,"Aminu J., Garrett Jr. J., Heckmann P., Kessens M., Murphy G.",2,3953,64.7,14,4,6,66.7,3,5,60,3,4,75,2,2,4,6,0,0,4,4,10,5.9,6.3,5.5,382.5,439.2,91.7,90.2,150,66.7,100,22.5,66.7,83.3,135.5,16,6,8,75,4,5,80,0,0,0,0,1,1,6,3,0,1,3,9,100,100,11.1,0,62.5,177.8,1,1,100,0,0,0,5,3,60,4,0,0,0,-42.3,3,2,66.7,0,0,0,5,4,80,0,1,0,0,2,0,3,0,0,6
Telekom Baskets Bonn,"Aminu J., Comithier A., Heckmann P., Jongkuch K., Murphy G.",3,182,0.0,11,5,8,62.5,0,3,0,1,2,50,0,3,3,2,1,1,1,3,10,160.4,130.3,190.4,18.4,12.6,62.5,61.9,40,0,100,8.4,25,37.5,111.3,16,5,9,55.6,5,7,71.4,1,1,100,0,3,3,1,1,0,5,1,14,83.3,84.7,34.6,0,77.8,110.8,5,5,100,0,0,0,3,0,0,1,0,0,0,0.5,1,0,0,1,0,0,7,5,71.4,4,0,0,1,0,2,1,0,1,3
Fitness First Würzburg Baskets,"Herzog L., Ivey B., Muenkat D., Petric M., Saffer L.",1,41,0.0,5,2,6,33.3,0,4,0,1,2,50,1,6,7,1,1,0,4,1,10,639.1,574.2,704,4.2,3.4,33.3,36.3,50,25,66.7,33.7,33.3,66.7,51,8,3,11,27.3,1,8,12.5,1,2,50,3,3,6,3,3,0,3,2,12,31.8,33.7,20.2,33.3,72.7,66.5,2,2,100,0,0,0,4,0,0,1,2,0,1,-15.6,1,1,100,2,1,50,8,1,12.5,2,1,0,0,0,0,3,4,0,4
Veolia Towers Hamburg,"Breunig M., Daniels IV D., Perrin Z., Williams R., Wimberg N.",1,48,0.0,13,5,11,45.5,3,5,60,0,0,0,1,3,4,0,0,0,0,1,10,467.9,485.8,450,4.9,5.3,59.1,59.1,0,20,100,0,0,45.5,133.8,13,6,9,66.7,1,1,100,0,0,0,0,4,4,2,0,0,0,1,9,72.2,72.2,0,0,11.1,144.4,4,2,50,2,0,0,5,3,60,0,0,0,0,-10.6,8,5,62.5,0,0,0,1,1,100,0,0,0,0,2,6,0,0,0,0
Basketball Löwen Braunschweig,"Kajami-Keane K., NGuessan D., Scuka L., Sherfield G., Zylka F.",1,69,0.0,16,7,10,70,2,3,66.7,0,0,0,0,5,5,2,0,0,0,0,10,380.5,347.8,413.2,6.9,5.8,80,80,28.6,0,100,0,0,30,160,15,5,11,45.5,3,6,50,2,2,100,0,3,3,1,0,0,0,1,12,59.1,63.1,0,0,54.5,126.3,7,5,71.4,0,0,0,3,2,66.7,0,0,0,0,33.7,3,2,66.7,2,0,0,6,3,50,0,0,0,0,0,3,0,0,8,0
ALBA BERLIN,"Agbakoko N., Delow M., Hundt B., O'Connell A., Wood M.",1,2153,34.2,14,4,6,66.7,3,5,60,3,3,100,0,5,5,2,0,0,3,2,10,11.9,11.5,12.3,208.6,194.9,91.7,95.6,50,0,71.4,24.4,50,83.3,135.7,12,5,11,45.5,1,5,20,1,2,50,2,2,4,2,0,0,1,2,11,50,50.5,7.8,28.6,45.5,108.6,1,1,100,0,0,0,5,3,60,2,1,0,0,27,6,4,66.7,0,0,0,5,1,20,0,1,0,0,0,2,0,5,0,2
Science City Jena,"Christen R., Iroegbu U., Krause K., McNair Jr W., Wieskamp J.",4,7609,126.5,14,6,9,66.7,2,4,50,0,0,0,0,3,3,3,1,2,1,5,10,3.3,3.2,3.4,760.9,708.5,77.8,77.8,50,0,60,7.7,0,44.4,140,15,6,11,54.5,1,3,33.3,2,2,100,2,3,5,3,0,1,1,2,11,59.1,63.1,7.8,40,27.3,139.7,4,4,100,1,0,0,4,2,50,1,0,0,0,0.3,5,3,60,3,2,66.7,3,1,33.3,1,0,0,0,0,2,3,0,2,2
VET-CONCEPT Gladiators Trier,"Adekunle N., Ashworth S., King U., Roland J., Zirbes M.",1,208,0.3,9,4,9,44.4,1,5,20,0,0,0,1,4,5,2,1,0,2,4,10,117.4,114.6,120.2,20.9,20.0,50,50,50,20,66.7,15.4,0,55.6,90.6,13,4,9,44.4,1,5,20,4,5,80,2,4,6,3,1,0,1,3,10,50,58,8.2,33.3,55.6,124.8,3,2,66.7,1,1,100,5,1,20,1,1,0,0,-34.2,3,2,66.7,1,1,100,5,1,20,1,0,0,0,0,0,2,3,1,3
Basketball Löwen Braunschweig,"Flanigan C., NGuessan D., Scuka L., Sherfield G., Tomic N., Zylka F.",1,80,0.0,10,3,5,60,2,4,50,2,2,100,0,2,2,1,1,1,4,2,10,278.6,296.4,260.7,8.1,9.2,80,85,33.3,0,66.7,36.8,40,80,101.2,14,4,7,57.1,2,4,50,4,4,100,1,2,3,3,1,1,1,3,9,71.4,79.9,10.2,33.3,57.1,161.1,1,1,100,0,0,0,4,2,50,0,2,0,2,-59.9,3,2,66.7,0,0,0,4,2,50,0,1,0,0,0,5,3,2,6,5
Veolia Towers Hamburg,"Daniels IV D., Maronka Z., Ogbe K., Perrin Z., Thorpe Jr. L., Wimberg N.",1,83,0.0,6,3,12,25,0,5,0,0,0,0,2,5,7,1,0,1,0,2,10,284.4,285.1,283.7,8.4,8.5,25,25,33.3,22.2,83.3,0,0,41.7,60.9,9,4,10,40,0,4,0,1,2,50,1,7,8,2,0,1,0,3,10,40,41.4,0,16.7,40,91.7,5,2,40,2,1,50,5,0,0,0,0,0,0,-30.9,6,4,66.7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0
ratiopharm ulm,"Anigbata A., Jensen T., Ledlum C., Sengfelder C., Simon J.",1,2015,33.4,15,5,9,55.6,3,4,75,2,2,100,1,2,3,5,0,0,1,4,10,12.2,11.7,12.6,205.4,189.7,72.2,75.9,100,25,50,6.3,22.2,44.4,152.9,15,6,10,60,0,3,0,3,4,75,2,3,5,1,0,1,1,2,11,60,63.8,7.8,50,30,141.2,4,2,50,1,0,0,4,3,75,0,0,0,1,11.7,7,6,85.7,0,0,0,3,0,0,0,1,0,0,2,0,2,6,0,2
ratiopharm ulm,"Anigbata A., Jensen T., Ledlum C., Osborne M., Simon J.",2,2007,32.6,10,2,7,28.6,1,5,20,5,6,83.3,2,4,6,4,1,0,2,5,10,12.7,11.4,14,211.3,172.0,35.7,51.9,200,40,40,12.8,85.7,71.4,105.3,11,4,10,40,1,7,14.3,2,8,25,6,3,9,3,1,0,2,5,12,45,40.7,12.9,60,70,94.3,2,1,50,0,0,0,5,1,20,0,1,0,1,11,3,3,100,0,0,0,7,1,14.3,0,2,0,0,1,2,3,6,0,6
ALBA BERLIN,"Agbakoko N., Bean J., Griesel S., Hermannsson M., Mattisseck J.",2,2103,30.8,4,2,9,22.2,0,4,0,0,0,0,0,3,3,2,1,0,1,4,10,11.1,11.4,10.7,210.3,224.4,22.2,22.2,100,0,75,8.3,0,44.4,40,7,3,7,42.9,0,3,0,1,1,100,1,7,8,1,1,1,3,1,9,42.9,47,28.7,25,42.9,74.7,3,2,66.7,2,0,0,4,0,0,0,1,0,0,-34.7,4,3,75,0,0,0,3,0,0,2,0,0,1,0,2,2,2,1,2
ratiopharm ulm,"Diakite M., Jensen T., Ledlum C., Simon J., Smith M.",1,142,0.0,13,6,10,60,1,4,25,0,0,0,1,6,7,5,2,1,1,0,10,160,167.8,152.1,14.3,15.8,65,65,83.3,25,100,6.2,0,40,130.9,2,1,7,14.3,0,3,0,0,0,0,0,3,3,1,1,0,2,2,9,14.3,14.3,22.2,0,42.9,22.2,6,5,83.3,0,0,0,4,1,25,0,1,0,0,108.7,3,0,0,1,1,100,3,0,0,0,2,0,0,0,6,4,0,0,2
ratiopharm ulm,"Diakite M., Ledlum C., Omog N., Osborne M., Smith M.",1,11,0.0,14,5,9,55.6,2,3,66.7,2,4,50,2,2,4,3,1,0,1,0,10,1922.2,2098.9,1745.5,1.1,1.4,66.7,65.1,60,50,100,6.8,44.4,33.3,145.5,11,4,6,66.7,3,5,60,0,0,0,0,2,2,4,0,0,2,1,8,91.7,91.7,25,0,83.3,137.5,5,2,40,1,1,100,3,2,66.7,0,1,0,0,8,1,1,100,0,0,0,5,3,60,0,2,0,0,4,3,5,0,0,0
Fitness First Würzburg Baskets,"Ivey B., Mintz D., Muenkat D., Stove J., Thompson C.",1,247,0.5,13,5,9,55.6,0,1,0,3,4,75,2,1,3,2,2,0,1,3,10,103.3,97.6,109,24.6,22.0,55.6,60.4,40,40,33.3,7.3,44.4,11.1,129.4,16,5,7,71.4,2,2,100,4,6,66.7,2,3,5,1,0,0,3,4,11,85.7,83,23.7,66.7,28.6,142.7,8,5,62.5,0,0,0,1,0,0,0,0,0,1,-13.3,3,2,66.7,2,1,50,2,2,100,0,3,0,0,0,2,4,6,2,0
ALBA BERLIN,"Kayil J., Mattisseck J., Nufer A., Roberts J., Wood M.",2,78,0.0,13,4,10,40,1,3,33.3,4,4,100,2,5,7,2,0,0,0,5,10,302.3,296,308.6,8.1,7.8,45,55.3,50,33.3,62.5,0,40,30,135.1,6,2,11,18.2,0,3,0,2,6,33.3,3,4,7,3,0,0,0,3,10,18.2,22,0,37.5,27.3,59.8,5,1,20,2,2,100,3,1,33.3,0,0,0,0,75.3,8,2,25,0,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0
