Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Basketball Löwen Braunschweig,"NGuessan D., Njie B., Sherfield G., Flanigan C., Scuka L.","Basketball Löwen Braunschweig|1,13,25,30,5",1,0.4,23.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0
VET-CONCEPT Gladiators Trier,"King U., Adekunle N., Guillozet C., Brooks E., Hollersbacher M.","VET-CONCEPT Gladiators Trier|20,22,4,55,9",1,0.4,24.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1.0,200.0,104.2,95.8,5.0,-1
ALBA BERLIN,"Wood M., Roberts J., Kayil J., Mattisseck J.","ALBA BERLIN|11,13,7,9",1,0.4,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,0.0,200.0,-200.0,0.0,-2
FC Bayern München Basketball,"Jessup J., McCormack D., Baldwin K., Giffey N.","FC Bayern München Basketball|10,33,44,5",1,0.4,22.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
SKYLINERS,"Johnson L., Swope I., Pape T., Hawkins R., Christmas W.","SKYLINERS|0,1,19,33,8",1,0.4,25.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,300.0,0.0,300.0,7.2,3
RASTA Vechta,"Brown T., Kuhse T., Dandridge M., van Slooten L.","RASTA Vechta|10,12,23,6",1,0.4,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,0.0,250.0,-250.0,0.0,-5
Telekom Baskets Bonn,"Comithier A., Aminu J., Garrett Jr. J., Birts T., Kessens M.","Telekom Baskets Bonn|2,21,4,5,6",1,0.4,22.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,300.0,0.0,300.0,8.18,3
ALBA BERLIN,"Wood M., Roberts J., Delow M., Ellis R., Mattisseck J.","ALBA BERLIN|11,13,6,8,9",1,0.4,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,200.0,-200.0,0.0,-2
MLP Academics Heidelberg,"Williamson S., Ersek E., Osunniyi O., Weathers M., Flowers M.","MLP Academics Heidelberg|10,11,12,20,6",1,0.4,24.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,113.6,-113.6,0.0,-1
Tigers Tübingen,"Pelote III B., Moreaux M., Wood J., Tention M., Bayram K.","Tigers Tübingen|1,23,24,3,5",1,0.4,24.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,266.0,-266.0,0.0,-5
VET-CONCEPT Gladiators Trier,"Linßen M., Roland J., Adekunle N., Brooks E., Yakhchali Dehkordi B.","VET-CONCEPT Gladiators Trier|12,15,22,55,8",1,0.4,24.0,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,1.9,266.0,0.0,266.0,12.5,5
BMA365 Bamberg Baskets,"Watson I., Williams C., Krimmer M., Onu E., Crowley A.","BMA365 Bamberg Baskets|2,24,27,35,85",1,0.3,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
