Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BMA365 Bamberg Baskets,"Balint R., Watson I., Williams C., Onu E., Demonia D.",26,55754,338,112,257,43.6,45,131,34.4,69,90,76.7,42,88,130,66,26,17,37,102,237,12.4,12.5,12.2,192.3,196.1,52.3,57,58.9,28.2,55,9.3,35,51,116.6,341,107,255,42,41,116,35.3,86,115,74.8,72,107,179,67,22,10,50,83,244,50,55.8,14.1,45,45.5,119.9,-3.3,105,63,60,21,4,19,131,45,34.4,21,12,0,4,105,53,50.5,34,13,38.2,116,41,35.3,21,15,0,14
Telekom Baskets Bonn,"Aminu J., Garrett Jr.  J., Birts T., Kessens M., Murphy G.",19,39210,183,62,128,48.4,27,60,45,32,53,60.4,30,38,68,42,20,3,23,39,137,8.6,9,8.2,267.7,291.6,59,60.5,67.7,39.5,63.3,10.6,41.4,46.9,125,138,51,111,45.9,17,44,38.6,19,25,76,22,46,68,23,13,4,36,39,122,53.6,56.6,22.8,36.7,39.6,102.6,22.3,63,33,52.4,5,2,40,60,27,45,11,10,0,2,53,33,62.3,14,1,7.1,44,17,38.6,16,13,0,7
Fitness First Würzburg Baskets,"Mintz D., Skladanowski C., Stove J., Edigin Jr E., Carr M.",14,25217,139,46,101,45.5,13,40,32.5,34,39,87.2,14,46,60,21,12,4,25,38,114,12.2,12.2,12.2,196.7,196.5,52,58.8,45.7,25.5,69.7,15.2,38.6,39.6,108.4,149,52,116,44.8,19,49,38.8,26,32,81.2,20,41,61,35,11,3,19,36,112,53,57.3,12.7,30.3,42.2,116.1,-7.7,54,29,53.7,7,4,57.1,40,13,32.5,9,8,0,8,53,30,56.6,14,3,21.4,49,19,38.8,10,6,0,3
Telekom Baskets Bonn,"Comithier A., Garrett Jr.  J., Birts T., Kessens M., Murphy G.",14,769,141,48,125,38.4,12,65,18.5,33,58,56.9,42,55,97,31,10,4,16,31,104,398.5,392.6,404.3,6.1,5.9,43.2,46.8,64.6,49.4,79.7,8.1,46.4,52,112.1,143,48,117,41,19,66,28.8,28,33,84.8,14,43,57,31,10,3,13,46,99,49.1,54.4,9,20.3,56.4,110.4,1.7,52,35,67.3,8,1,12.5,65,12,18.5,10,3,0,3,44,27,61.4,7,2,28.6,66,19,28.8,9,4,0,0
SYNTAINICS MBC,"Thomas K., Gunn R., Callison C., Planinic J., Foster M.",13,27268,99,35,83,42.2,13,38,34.2,16,24,66.7,13,31,44,21,7,2,20,35,93,9,8.8,9.1,271.4,264.2,50,52.9,60,25.5,52.5,14.9,28.9,45.8,98.5,133,53,108,49.1,13,35,37.1,14,23,60.9,28,38,66,27,13,5,13,34,96,55.1,56.3,9.9,47.5,32.4,128.9,-30.3,29,16,55.2,16,6,37.5,38,13,34.2,7,9,0,4,58,35,60.3,15,5,33.3,35,13,37.1,7,5,0,1
SKYLINERS,"Swope I., Pape T., Hawkins R., Alleyne N., Christmas W.",11,282,116,38,76,50,14,44,31.8,26,33,78.8,8,27,35,19,16,0,14,22,92,835.7,822,849.4,2.9,2.8,59.2,64.1,50,19.5,77.1,11.3,43.4,57.9,120.1,101,39,73,53.4,6,22,27.3,17,23,73.9,8,33,41,28,10,1,25,29,91,57.5,60.8,23.1,22.9,30.1,101.2,18.9,21,19,90.5,11,5,45.5,44,14,31.8,6,8,0,0,42,28,66.7,9,5,55.6,22,6,27.3,13,9,0,3
Telekom Baskets Bonn,"Jongkuch K., Comithier A., Cooks Z., Heckmann P., Birts T.",8,277,117,40,86,46.5,9,29,31,28,41,68.3,12,38,50,22,14,5,26,38,91,1023.3,1024.4,1022.3,2.3,2.3,51.7,56.2,55,24,63.3,17.1,47.7,33.7,99,108,39,95,41.1,7,31,22.6,23,34,67.6,22,38,60,22,13,6,30,37,89,44.7,49.1,21.4,36.7,32.6,91.5,7.4,46,25,54.3,11,6,54.5,29,9,31,10,12,0,4,57,31,54.4,7,1,14.3,31,7,22.6,14,11,0,5
SKYLINERS,"Johnson L., LeDee J., Pape T., Alleyne N., Christmas W.",12,23816,93,34,79,43,4,23,17.4,21,28,75,12,36,48,18,8,2,18,23,87,9.4,9.8,9.1,246.1,263.0,45.6,50.9,52.9,26.1,78.3,14.1,35.4,29.1,96.1,99,36,80,45,12,32,37.5,15,20,75,10,34,44,23,12,2,12,28,74,52.5,55.7,11.9,21.7,40,109.3,-13.2,43,22,51.2,13,8,61.5,23,4,17.4,6,10,0,2,37,21,56.8,11,3,27.3,32,12,37.5,5,7,0,0
VET-CONCEPT Gladiators Trier,"Linßen M., Roland J., King U., Adekunle N., Brooks E.",12,25119,95,35,78,44.9,12,35,34.3,13,14,92.9,14,26,40,24,14,1,22,32,82,8.7,8.7,8.6,275.5,278.8,52.6,56.4,68.6,32.6,72.2,16.9,17.9,44.9,104.2,98,34,68,50,9,29,31,21,30,70,10,29,39,19,12,7,19,19,76,56.6,60.3,19,27.8,42.6,108.8,-4.6,36,21,58.3,7,2,28.6,35,12,34.3,11,8,0,3,31,19,61.3,8,6,75,29,9,31,7,10,0,2
ROSTOCK SEAWOLVES,"Crockett Jr. T., Klassen O., Schwartz D., Nicholson K., Lansdowne D.",10,6209,101,37,76,48.7,14,34,41.2,13,23,56.5,11,35,46,19,4,3,14,22,73,34.4,34.8,34.1,69.1,70.3,57.9,58.6,51.4,24.4,70,11.8,30.3,44.7,112.3,113,39,88,44.3,18,51,35.3,17,25,68,15,34,49,21,9,1,5,25,76,54.5,57.1,4.8,30,58,128,-15.7,34,23,67.6,8,0,0,34,14,41.2,7,6,0,1,27,16,59.3,10,5,50,51,18,35.3,2,3,0,0
