Canonical,Team,Numbers,Variations
Kessens M.,Telekom Baskets Bonn,6,Kessens M.
Garrett Jr. J.,Telekom Baskets Bonn,4,Garrett Jr. J.
Murphy G.,Telekom Baskets Bonn,7,Murphy G.
Reinhart K.,Telekom Baskets Bonn,8,Reinhart K.
Sadikovic B.,Telekom Baskets Bonn,16,Sadikovic B.
Comithier A.,Telekom Baskets Bonn,2,Comithier A.
Cooks Z.,Telekom Baskets Bonn,3,Cooks Z.
Jongkuch K.,Telekom Baskets Bonn,15,Jongkuch K.
Finch J.,Telekom Baskets Bonn,0,Finch J.
Pleiß T.,RASTA Vechta,22,Pleiß T.
Herkenhoff P.,RASTA Vechta,14,Herkenhoff P.
Thiemann L.,RASTA Vechta,21,Thiemann L.
van Slooten L.,RASTA Vechta,6,van Slooten L.
Ndi E.,RASTA Vechta,1,Ndi E.
Trettin L.,RASTA Vechta,15,Trettin L.
Kuhse T.,RASTA Vechta,12,Kuhse T.
Pandi L.,RASTA Vechta,41,Pandi L.
Verge Jr. A.,RASTA Vechta,11,Verge Jr. A.
Brown T.,RASTA Vechta,10,Brown T.
Bamba T.,RASTA Vechta,5,Bamba T.
Theis S.,ROSTOCK SEAWOLVES,19,Theis S.
Lockhart D.,ROSTOCK SEAWOLVES,3,Lockhart D.
Klassen O.,ROSTOCK SEAWOLVES,29,Klassen O.
Lansdowne D.,ROSTOCK SEAWOLVES,9,Lansdowne D.
Baggette E.,ROSTOCK SEAWOLVES,4,Baggette E.
Crockett Jr. T.,ROSTOCK SEAWOLVES,0,Crockett Jr. T.
Leuchten B.,ROSTOCK SEAWOLVES,51,Leuchten B.
Zilinskas J.,ROSTOCK SEAWOLVES,14,Zilinskas J.
Schwartz D.,ROSTOCK SEAWOLVES,5,Schwartz D.
Kolenda L.,ROSTOCK SEAWOLVES,10,Kolenda L.
van Vliet A.,ROSTOCK SEAWOLVES,81,van Vliet A.
Nicholson K.,ROSTOCK SEAWOLVES,8,Nicholson K.
Zylka F.,Basketball Löwen Braunschweig,6,Zylka F.
Obiesie J.,Basketball Löwen Braunschweig,8,Obiesie J.
Kajami-Keane K.,Basketball Löwen Braunschweig,10/24,Kajami-Keane K.
Tomic N.,Basketball Löwen Braunschweig,7,Tomic N.
Flanigan C.,Basketball Löwen Braunschweig,30,Flanigan C.
Sherfield G.,Basketball Löwen Braunschweig,25,Sherfield G.
Scuka L.,Basketball Löwen Braunschweig,5,Scuka L.
Worthy A.,Basketball Löwen Braunschweig,0,Worthy A.
Laar L.,Basketball Löwen Braunschweig,21,Laar L.
Ewelt L.,Basketball Löwen Braunschweig,9,Ewelt L.
NGuessan D.,Basketball Löwen Braunschweig,1,NGuessan D.
Shittu O.,Basketball Löwen Braunschweig,45,Shittu O.
Edigin Jr E.,Fitness First Würzburg Baskets,27,Edigin Jr E.
Herzog L.,Fitness First Würzburg Baskets,1,Herzog L.
Skladanowski C.,Fitness First Würzburg Baskets,19,Skladanowski C.
Stove J.,Fitness First Würzburg Baskets,22,Stove J.
Ivey B.,Fitness First Würzburg Baskets,11,Ivey B.
Muenkat D.,Fitness First Würzburg Baskets,55,Muenkat D.
Saffer L.,Fitness First Würzburg Baskets,3,Saffer L.
Petric M.,Fitness First Würzburg Baskets,13,Petric M.
Mintz D.,Fitness First Würzburg Baskets,10,Mintz D.
Carr M.,Fitness First Würzburg Baskets,5,Carr M.
Thompson C.,Fitness First Würzburg Baskets,32,Thompson C.
Sengfelder C.,ratiopharm ulm,43,Sengfelder C.
Weidemann N.,ratiopharm ulm,0,Weidemann N.
Klepeisz T.,ratiopharm ulm,22,Klepeisz T.
Jensen T.,ratiopharm ulm,7,Jensen T.
Anigbata A.,ratiopharm ulm,21,Anigbata A.
Simon J.,ratiopharm ulm,15,Simon J.
Smith M.,ratiopharm ulm,13,Smith M.
Osborne M.,ratiopharm ulm,10,Osborne M.
Garavaglia D.,ratiopharm ulm,23,Garavaglia D.
Ledlum C.,ratiopharm ulm,4,Ledlum C.
Soriano J.,ratiopharm ulm,12,Soriano J.
Tucker D.,EWE Baskets Oldenburg,7,Tucker D.
Schmitt R.,ALBA BERLIN,25,Schmitt R.
Breunig M.,Veolia Towers Hamburg,13,Breunig M.
Wimberg N.,Veolia Towers Hamburg,17,Wimberg N.
Ogbe K.,Veolia Towers Hamburg,25,Ogbe K.
Turudic B.,Veolia Towers Hamburg,44,Turudic B.
Rich Igbineweka O.,Veolia Towers Hamburg,3,Rich Igbineweka O.
Müller J.,Veolia Towers Hamburg,6,Müller J.
Maronka Z.,Veolia Towers Hamburg,5,Maronka Z.
Grey J.,Veolia Towers Hamburg,8,Grey J.
Martin N.,Veolia Towers Hamburg,10,Martin N.
Thorpe Jr. L.,Veolia Towers Hamburg,2,Thorpe Jr. L.
Daniels IV D.,Veolia Towers Hamburg,21,Daniels IV D.
Williams R.,Veolia Towers Hamburg,34,Williams R.
Kodjoe N.,FC Bayern München Basketball,35,Kodjoe N.
Zeeb G.,SKYLINERS,3,Zeeb G.
Pape T.,SKYLINERS,19,Pape T.
Knauf J.,SKYLINERS,25,Knauf J.
Caisin R.,SKYLINERS,16,Caisin R.
Christmas W.,SKYLINERS,8,Christmas W.
LeDee J.,SKYLINERS,13,LeDee J.
Johnson L.,SKYLINERS,0,Johnson L.
Swope I.,SKYLINERS,1,Swope I.
Hawkins R.,SKYLINERS,33,Hawkins R.
Alleyne N.,SKYLINERS,4,Alleyne N.
Zirbes M.,VET-CONCEPT Gladiators Trier,33,Zirbes M.
Linßen M.,VET-CONCEPT Gladiators Trier,12,Linßen M.
Mann J.,VET-CONCEPT Gladiators Trier,24,Mann J.
Adekunle N.,VET-CONCEPT Gladiators Trier,22,Adekunle N.
Rapieque E.,VET-CONCEPT Gladiators Trier,21,Rapieque E.
Roland J.,VET-CONCEPT Gladiators Trier,15,Roland J.
Hollersbacher M.,VET-CONCEPT Gladiators Trier,9,Hollersbacher M.
Yakhchali Dehkordi B.,VET-CONCEPT Gladiators Trier,8,Yakhchali Dehkordi B.
Guillozet C.,VET-CONCEPT Gladiators Trier,4,Guillozet C.
King U.,VET-CONCEPT Gladiators Trier,20,King U.
Akanno D.,VET-CONCEPT Gladiators Trier,2,Akanno D.
Ashworth S.,VET-CONCEPT Gladiators Trier,1,Ashworth S.
Uguak A.,NINERS Chemnitz,1,Uguak A.
