game_id,game_date,period,home_team,away_team,home_lineup,away_lineup,start_time,end_time,duration,possessions,home_score,away_score,home_score_end,away_score_end,home_points,away_points,home_fga,home_fgm,home_fg3a,home_fg3m,home_fta,home_ftm,home_oreb,home_dreb,home_ast,home_stl,home_blk,home_tov,home_pf,away_fga,away_fgm,away_fg3a,away_fg3m,away_fta,away_ftm,away_oreb,away_dreb,away_ast,away_stl,away_blk,away_tov,away_pf,home_rim_att,home_rim_made,home_otd_2pt_att,home_otd_2pt_made,home_otd_3pt_att,home_otd_3pt_made,away_rim_att,away_rim_made,away_otd_2pt_att,away_otd_2pt_made,away_otd_3pt_att,away_otd_3pt_made,home_pass_to,home_dribble_to,home_defense_to,home_misc_to,away_pass_to,away_dribble_to,away_defense_to,away_misc_to,home_second_chance_pts,home_fast_break_pts,home_pts_off_tov,away_second_chance_pts,away_fast_break_pts,away_pts_off_tov
2735895,2026-02-06,2,Nottingham Hoods,Loughborough Riders,"B. Johnson,D. Nixon Ii,E. Bailey,L. Maitland,T. Williams","C. Keys,J. Campbell,J. Cook,L. Ehiorobo,V. Ndukou",1191,1200,9,0.55,51,49,53,49,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,3,Nottingham Hoods,Loughborough Riders,"A. Adedo,D. Nixon Ii,E. Bailey,T. Walker,T. Williams","D. Hadley,J. Campbell,J. Cook,T. Akinsuku,V. Ndukou",1200,1482,282,8.96,53,49,63,56,10,7,10,4,6,2,0,0,1,4,3,1,0,0,0,7,3,2,1,0,0,0,5,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,3,Nottingham Hoods,Loughborough Riders,"B. Johnson,D. Nixon Ii,E. Bailey,S. Akano,T. Williams","D. Hadley,J. Campbell,J. Cook,T. Akinsuku,V. Ndukou",1482,1589,107,2.96,63,56,66,56,3,0,4,1,2,1,0,0,1,2,1,1,0,0,1,2,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,3,Nottingham Hoods,Loughborough Riders,"B. Johnson,D. Nixon Ii,E. Bailey,S. Akano,T. Williams","C. Keys,J. Campbell,J. Cook,S. Wylie,V. Ndukou",1589,1630,41,2.44,66,56,70,56,4,0,2,1,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,3,Nottingham Hoods,Loughborough Riders,"A. Adedo,B. Johnson,D. Nixon Ii,S. Akano,T. Williams","C. Keys,J. Campbell,J. Cook,S. Wylie,V. Ndukou",1630,1773,143,4.22,70,56,77,64,7,8,4,3,1,1,0,0,0,1,2,0,0,0,2,4,3,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,3,Nottingham Hoods,Loughborough Riders,"A. Adedo,B. Johnson,D. Nixon Ii,S. Akano,T. Williams","C. Keys,J. Campbell,L. Campbell,S. Wylie,V. Ndukou",1773,1774,1,0.49,77,64,77,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,3,Nottingham Hoods,Loughborough Riders,"A. Adedo,B. Johnson,D. Nixon Ii,S. Akano,T. Williams","C. Keys,L. Campbell,S. Wylie,T. Akinsuku,V. Ndukou",1774,1800,26,0.55,77,66,77,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,4,Nottingham Hoods,Loughborough Riders,"B. Johnson,D. Nixon Ii,E. Bailey,S. Akano,T. Williams","C. Keys,L. Campbell,S. Wylie,T. Akinsuku,V. Ndukou",1800,1919,119,5.46,77,66,79,73,2,7,4,1,0,0,0,0,0,0,1,3,0,1,3,4,3,1,1,0,0,1,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,4,Nottingham Hoods,Loughborough Riders,"B. Johnson,D. Nixon Ii,E. Bailey,M. Savery-Richards,T. Williams","C. Keys,L. Campbell,S. Wylie,T. Akinsuku,V. Ndukou",1919,1963,44,1.44,79,73,82,74,3,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735895,2026-02-06,4,Nottingham Hoods,Loughborough Riders,"B. Johnson,D. Nixon Ii,E. Bailey,M. Savery-Richards,T. Williams","J. Campbell,J. Cook,S. Wylie,T. Akinsuku,V. Ndukou",1963,2046,83,2.94,82,74,84,76,2,2,3,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,2,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
