Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Reading Rockets,"M. Bryant, E. Poorman, L. Bakary, V. Olarerin, S. Chamberlain",2,66,2,1,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,77.5,69.8,85.2,34.4,28.2,50,50,100,0,0,0,0,0,104.2,3,1,2,50,0,1,0,1,1,100,0,1,1,1,0,0,0,0,2,50,61.5,0,0,50,128.1,-23.9,2,1,50,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,1,0,0,0,0,0,0
Reading Rockets,"J. Waterhouse, L. Sayles, M. Daines, V. Olarerin, S. Chamberlain",1,68,4,2,4,50,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,67.8,67.8,67.8,35.4,35.4,50,50,50,100,0,0,0,0,208.3,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,1,1,1,150,150,50,0,100,156.2,52.1,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,0
Reading Rockets,"T. Nsangu, C. Creek, J. Bouknight, Y. Salih, V. Olarerin",1,86,2,1,3,33.3,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,52,53.6,50.4,44.8,47.7,33.3,33.3,0,50,0,0,0,66.7,104.2,4,1,1,100,0,0,0,2,2,100,0,1,1,2,0,0,0,0,1,100,106.4,0,0,0,221.6,-117.5,1,1,100,0,0,0,2,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
Reading Rockets,"T. Nsangu, C. Creek, L. Bakary, V. Olarerin, S. Chamberlain",1,19,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,242.5,242.5,242.5,9.9,9.9,100,100,0,0,0,50,0,0,104.2,4,2,2,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,100,100,0,0,0,208.3,-104.2,1,1,100,0,0,0,0,0,0,0,1,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0
Reading Rockets,"T. Nsangu, J. Bouknight, E. Poorman, L. Bakary, V. Olarerin",1,85,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,54.2,54.2,54.2,44.3,44.3,100,100,100,0,0,33.3,0,0,104.2,3,1,3,33.3,1,1,100,0,0,0,1,0,1,1,0,0,0,0,1,50,50,0,100,33.3,156.2,-52.1,0,0,0,1,1,100,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,100,0,0,0,0
Reading Rockets,"T. Nsangu, J. Bouknight, E. Poorman, L. Bakary, S. Chamberlain",1,69,2,1,2,50,0,1,0,0,0,0,0,2,2,1,0,0,0,0,1,64.8,66.8,62.8,35.9,38.2,50,50,100,0,100,0,0,50,104.2,1,0,1,0,0,1,0,1,2,50,0,1,1,0,0,0,0,0,1,0,26.6,0,0,100,55.4,48.8,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Reading Rockets,"L. Sayles, C. Creek, J. Bouknight, Y. Salih, V. Olarerin",1,43,4,2,3,66.7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,107.2,107.2,107.2,22.4,22.4,66.7,66.7,0,100,0,0,0,0,208.3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,66.7,100,0,0,208.3,2,2,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Reading Rockets,"L. Sayles, M. Hassan-Taylor, Y. Salih, L. Bakary, S. Chamberlain",1,37,2,0,2,0,0,2,0,2,3,66.7,2,0,2,0,0,0,0,0,1,103.4,82.2,124.5,29.2,19.3,0,30.1,0,100,0,0,150,100,157.8,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,0,1,1,75,75,0,0,100,156.2,1.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0
Worthing Thunder,"D. Evans, C. Mcavoy-Smith, B. Adeluola, A. Price, B. Lomeka",1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,663.6,921.6,405.5,2.6,5.9,0,0,0,0,0,50,0,100,0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,1,0,0,0,0,0,113.6,0,0,0,236.7,-236.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worthing Thunder,"D. Evans, E. Maynard, A. Scarborough, E. Dadds, A. Price",1,48,5,2,3,66.7,1,1,100,0,0,0,1,1,2,1,0,1,0,1,1,72,96,48,25.0,50.0,83.3,83.3,50,100,25,0,0,33.3,260.4,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,75,0,0,260.4,1,1,100,1,0,0,1,1,100,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
