Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, A. Scarborough, E. Dadds","Worthing Thunder|0,11,15,4,7",2,2.5,149.0,8,3,4,75.0,1,1,100.0,1,2,50.0,0,0,0,1,0,0,1,0,2,5.6,141.7,29.8,112.0,3.22,6
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, A. Scarborough, E. Dadds","Worthing Thunder|11,15,22,4,7",2,2.5,147.0,6,2,7,28.6,0,4,0.0,2,2,100.0,0,0,0,2,0,0,0,0,7,7.6,79.3,126.6,-47.3,2.45,-1
Hemel Storm,"D. Nelson-Henry, K. Walker, T. Johnson, V. Eze, S. Newman","Hemel Storm|10,11,12,21,4",1,2.5,153.0,8,4,4,100.0,0,0,0,0,2,0.0,0,0,0,2,0,0,1,0,8,5.6,141.7,166.7,-24.9,3.14,0
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, C. Brown, M. Smith","Derby Trailblazers|13,22,3,4,9",1,2.5,150.0,4,2,2,100.0,0,0,0,0,2,0.0,0,0,0,2,0,0,3,0,6,5.6,70.9,114.9,-44.0,1.6,-2
Essex Rebels,"M. Wol-Cummings, K. Martin, M. Brown, A. Idiata-Mendez, T. Hudson","Essex Rebels|0,10,2,20,9",1,2.4,142.0,4,2,3,66.7,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,6,2.9,138.9,140.8,-1.9,1.69,-2
Reading Rockets,"M. Bryant, T. Nsangu, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|10,12,4,6,8",3,2.4,142.0,2,0,3,0.0,0,1,0.0,2,2,100.0,0,0,0,2,0,0,0,0,5,3.7,53.7,88.6,-34.9,0.85,-3
Bristol Hurricanes,"E. Dusha, K. Hill, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|12,2,31,4,55",1,2.4,141.0,7,3,5,60.0,1,1,100.0,0,0,0,0,0,0,2,0,0,0,0,3,4.8,145.8,42.7,103.1,2.98,4
Bristol Hurricanes,"D. Forsyth, E. Dusha, J. Dang-Okodo, D. Ubiaro, V. Dilys","Bristol Hurricanes|11,12,23,31,55",1,2.4,144.0,2,1,5,20.0,0,3,0.0,0,0,0,0,0,0,1,0,0,0,0,3,4.8,41.7,62.5,-20.8,0.83,-1
Yorkshire Dragons,"P. Tew, L. Rooney, J. Melke, A. Lycoudis, C. Johnson","Yorkshire Dragons|14,3,5,7,9",1,2.4,144.0,3,1,4,25.0,1,2,50.0,0,0,0,0,0,0,1,0,0,1,0,2,4.8,62.5,41.7,20.8,1.25,1
Milton Keynes Breakers,"B. Baker-Mccann, J. Dietrich, X. Wilson, B. Freckleton, C. Thompson","Milton Keynes Breakers|11,12,21,7,8",1,2.4,144.0,6,1,6,16.7,0,3,0.0,4,6,66.7,0,0,0,1,0,0,0,0,7,8.3,72.3,85.6,-13.2,2.5,-1
Derby Trailblazers,"R. Marsden, C. Brown, H. Beverley Jr, E. Oliver, R. May-Thompson","Derby Trailblazers|30,4,5,6,7",1,2.3,138.0,5,1,3,33.3,0,2,0.0,3,5,60.0,0,0,0,0,0,0,2,0,6,6.9,72.3,92.5,-20.1,2.17,-1
Bristol Flyers II,"Y. Hafid, J. Craggs, R. Eigbe, N. Ladjimi, G. Landolfi","Bristol Flyers II|0,12,13,24,7",1,2.3,137.0,4,1,2,50.0,1,1,100.0,1,2,50.0,0,0,0,1,0,0,1,0,3,3.7,107.4,108.5,-1.1,1.75,1
Newcastle Knights,"S. Trunley, J. Thames, M. Hendry, S. Angus, M. Matthews","Newcastle Knights|10,11,2,7,8",1,2.3,137.0,2,1,5,20.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4.8,41.7,62.5,-20.8,0.88,-1
Worthing Thunder,"J. Hopkins, E. Maynard, J. Lashley, A. Scarborough, E. Dadds","Worthing Thunder|15,22,35,4,7",1,2.3,140.0,3,1,3,33.3,0,0,0,1,2,50.0,0,0,0,0,0,0,2,0,3,5.6,53.1,53.1,0.0,1.29,0
Bristol Hurricanes,"E. Dusha, J. Claar, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|12,24,31,4,55",1,2.2,134.0,6,2,6,33.3,0,1,0.0,2,4,50.0,0,0,0,1,0,0,0,0,2,7.4,80.5,69.4,11.1,2.69,4
Derby Trailblazers,"C. Burr, C. Washington, J. Pathmarajah, R. Marsden, M. Smith","Derby Trailblazers|0,13,22,30,9",1,2.2,130.0,0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.8,0.0,83.3,-83.3,0.0,-4
Hemel Storm,"K. Walker, T. Johnson, M. Norman, B. Inger, S. Newman","Hemel Storm|11,12,2,3,4",1,2.1,129.0,6,2,2,100.0,2,2,100.0,0,0,0,0,0,0,2,0,0,2,0,3,3.8,156.2,72.3,83.9,2.79,3
Nottingham Hoods,"D. Nixon Ii, M. Sokoli, L. Maitland, E. Bailey, T. Williams","Nottingham Hoods|12,2,55,6,9",1,2.1,124.0,7,3,4,75.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,5,3.8,182.3,130.2,52.1,3.39,2
Nottingham Hoods,"T. Williams, M. Savery-Richards, B. Johnson, L. Maitland, S. Akano","Nottingham Hoods|1,14,21,23,7",1,2.1,128.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,2,0,2,3.8,52.1,53.7,-1.6,0.94,0
London Cavaliers,"J. Manning, J. Richards, M. Collins, M. Beasley, A. Roberts","London Cavaliers|10,11,13,15,4",1,2.1,125.0,3,1,6,16.7,0,3,0.0,1,2,50.0,0,0,0,0,0,0,1,0,5,7.6,39.7,90.4,-50.8,1.44,-2
Birmingham Rockets,"R. Blain, O. Jackman, Z. Powell, E. Donaldson, F. Mughaal","Birmingham Rockets|0,13,14,3,7",1,2.1,127.0,6,2,6,33.3,1,2,50.0,1,1,100.0,0,0,0,1,0,0,0,0,4,6.2,97.0,83.3,13.7,2.83,2
Reading Rockets,"M. Bryant, C. Creek, E. Poorman, L. Champion, V. Olarerin","Reading Rockets|10,14,6,7,8",1,2.0,122.0,3,1,4,25.0,1,2,50.0,0,0,0,0,0,0,1,0,0,0,0,5,3.8,78.1,134.2,-56.1,1.48,-2
Worthing Thunder,"D. Evans, J. Hopkins, A. Scarborough, B. Adeluola, E. Dadds","Worthing Thunder|0,15,4,5,7",1,2.0,121.0,7,3,3,100.0,1,1,100.0,0,0,0,0,0,0,2,0,0,1,0,5,3.8,182.3,130.2,52.1,3.47,2
Nottingham Hoods,"D. Nixon Ii, M. Sokoli, L. Maitland, M. Savery-Richards, T. Williams","Nottingham Hoods|12,2,55,8,9",1,1.9,112.0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4.8,0.0,42.7,-42.7,0.0,-1
Essex Rebels,"M. Wol-Cummings, K. Martin, M. Brown, A. Idiata-Mendez, H. Gent","Essex Rebels|0,10,2,20,36",1,1.9,116.0,6,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0,1,0,0,1,0,3,3.3,181.7,104.2,77.5,3.1,3
Hemel Storm,"K. Walker, M. Norman, V. Eze, B. Inger, S. Newman","Hemel Storm|11,2,21,3,4",1,1.9,112.0,2,1,3,33.3,0,2,0.0,0,0,0,0,0,0,0,0,0,2,0,3,4.8,41.7,90.8,-49.2,1.07,-1
Loughborough Riders,"J. Campbell, J. Cook, T. Akinsuku, L. Campbell, V. Ndoukou","Loughborough Riders|0,12,13,4,7",1,1.9,116.0,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,1,0,0,0,0,4,2.9,104.2,83.3,20.8,1.55,-1
Derby Trailblazers,"J. Pathmarajah, S. Walker, R. Marsden, C. Brown, E. Oliver","Derby Trailblazers|22,3,30,4,6",1,1.8,110.0,2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3.8,52.1,104.2,-52.1,1.09,-2
Loughborough Riders,"M. Joiner, M. Gordon, T. Akinsuku, D. Hadley, C. Keys","Loughborough Riders|11,22,36,5,8",1,1.8,110.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.9,104.2,138.9,-34.7,1.09,-2
Reading Rockets,"M. Bryant, T. Nsangu, J. Bouknight, V. Olarerin, S. Chamberlain","Reading Rockets|10,12,4,8,9",1,1.8,105.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,6,2.9,0.0,208.3,-208.3,0.0,-6
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, S. Angus, M. Matthews","Newcastle Knights|1,10,11,7,8",1,1.8,105.0,2,1,3,33.3,0,0,0,0,1,0.0,0,0,0,0,0,0,1,0,3,4.3,46.9,104.2,-57.2,1.14,-1
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, B. Adeluola, E. Dadds","Worthing Thunder|0,11,15,5,7",1,1.7,104.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,5,1.9,156.2,130.2,26.0,1.73,-2
Yorkshire Dragons,"J. Whelan, J. Melke, A. Lycoudis, C. Johnson, N. Lewis","Yorkshire Dragons|23,5,7,9,93",1,1.7,100.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2.9,0.0,104.2,-104.2,0.0,-4
Milton Keynes Breakers,"C. Thompson, B. Baker-Mccann, M. New Jr, J. Spencer, B. Freckleton","Milton Keynes Breakers|10,11,15,23,7",1,1.6,97.0,3,0,3,0.0,0,2,0.0,3,3,100.0,0,0,0,0,0,0,0,0,2,4.1,72.3,69.4,2.9,1.86,1
Hemel Storm,"D. Nelson-Henry, K. Walker, M. Norman, V. Eze, S. Newman","Hemel Storm|10,11,2,21,4",1,1.6,98.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,5,2.9,104.2,130.2,-26.0,1.84,-2
Essex Rebels,"M. Wol-Cummings, K. Martin, M. Brown, T. Child, T. Hudson","Essex Rebels|0,10,2,22,9",1,1.6,93.0,4,1,1,100.0,0,0,0,2,2,100.0,0,0,0,0,0,0,1,0,5,2.8,144.7,106.7,37.9,2.58,-1
Derby Trailblazers,"J. Pathmarajah, R. Marsden, C. Brown, R. May-Thompson, M. Smith","Derby Trailblazers|22,30,4,7,9",1,1.6,93.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,10,2.9,0.0,180.8,-180.8,0.0,-10
Essex Rebels,"M. Wol-Cummings, M. Amako, M. Brown, T. Child, T. Hudson","Essex Rebels|0,1,2,22,9",1,1.5,88.0,6,2,2,100.0,0,0,0,2,3,66.7,0,0,0,0,0,0,1,0,0,4.1,144.7,0.0,144.7,4.09,6
Birmingham Rockets,"R. Blain, O. Jackman, Z. Powell, E. Donaldson, M. Gayle","Birmingham Rockets|0,13,14,3,8",1,1.5,92.0,3,1,2,50.0,0,0,0,1,3,33.3,0,0,0,3,0,0,1,0,7,4.1,72.3,145.8,-73.5,1.96,-4
Hemel Storm,"D. Nelson-Henry, M. Norman, V. Eze, B. Inger, S. Newman","Hemel Storm|10,2,21,3,4",1,1.5,92.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,2.9,0.0,53.7,-53.7,0.0,-2
Nottingham Hoods,"T. Williams, J. Griffith, D. Nixon Ii, E. Bailey, S. Akano","Nottingham Hoods|1,15,24,6,7",1,1.5,92.0,2,0,1,0.0,0,0,0,2,2,100.0,0,0,0,1,0,0,1,0,6,2.8,72.3,166.2,-93.9,1.3,-4
Hemel Storm,"K. Walker, M. Norman, V. Eze, D. Parkinson, S. Newman","Hemel Storm|11,2,21,23,4",1,1.5,90.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,2,1.9,104.2,104.2,0.0,1.33,0
Hemel Storm,"D. Nelson-Henry, V. Eze, D. Parkinson, B. Inger, J. Burnell","Hemel Storm|10,21,23,3,7",1,1.4,81.0,5,2,2,100.0,0,0,0,1,1,100.0,0,0,0,2,0,0,0,0,2,2.3,213.5,104.2,109.3,3.7,3
Hemel Storm,"D. Nelson-Henry, M. Norman, V. Eze, D. Parkinson, S. Newman","Hemel Storm|10,2,21,23,4",1,1.4,83.0,2,0,1,0.0,0,1,0.0,2,4,50.0,0,0,0,0,0,0,0,0,2,2.6,75.5,72.3,3.1,1.45,0
Reading Rockets,"T. Nsangu, J. Bouknight, E. Poorman, L. Champion, V. Olarerin","Reading Rockets|12,4,6,7,8",1,1.4,84.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1.9,104.2,312.5,-208.3,1.43,-1
Nottingham Hoods,"T. Williams, M. Savery-Richards, B. Johnson, E. Bailey, S. Akano","Nottingham Hoods|1,14,21,6,7",2,1.4,84.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,0,9,1.0,0.0,162.8,-162.8,0.0,-9
Derby Trailblazers,"C. Washington, J. Pathmarajah, R. Marsden, C. Brown, R. May-Thompson","Derby Trailblazers|13,22,30,4,7",1,1.4,85.0,5,2,2,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,260.4,110.8,149.6,3.53,3
Yorkshire Dragons,"R. Ani, J. Whelan, L. Rooney, J. Melke, A. Lycoudis","Yorkshire Dragons|1,23,3,5,7",1,1.4,85.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,1,0,5,1.8,110.8,260.4,-149.6,1.41,-3
Bristol Hurricanes,"D. Forsyth, E. Dusha, K. Hill, D. Ubiaro, V. Dilys","Bristol Hurricanes|11,12,2,31,55",1,1.4,87.0,2,1,3,33.3,0,1,0.0,0,1,0.0,0,0,0,1,0,0,0,0,7,3.3,60.6,182.3,-121.7,1.38,-5
Milton Keynes Breakers,"K. Williams, D. Jackson, B. Baker-Mccann, M. New Jr., B. Freckleton","Milton Keynes Breakers|0,1,11,15,7",1,1.4,86.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.9,0.0,138.9,-138.9,0.0,-4
Reading Rockets,"M. Bryant, T. Nsangu, J. Bouknight, Y. Salih, V. Olarerin","Reading Rockets|10,12,4,5,8",1,1.4,85.0,4,2,5,40.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4.8,83.3,104.2,-20.8,2.82,1
Reading Rockets,"M. Bryant, J. Bouknight, M. Allman, V. Olarerin, S. Chamberlain","Reading Rockets|10,4,5,8,9",1,1.3,80.0,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,0,2,3.7,53.7,104.2,-50.5,1.5,0
Loughborough Riders,"J. Campbell, B. Woog, M. Joiner, P. Karras, M. Gordon","Loughborough Riders|0,10,11,15,22",1,1.3,77.0,0,0,4,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.0,0.0,0.0,0.0,0
Derby Trailblazers,"C. Washington, J. Pathmarajah, R. Marsden, R. May-Thompson, M. Smith","Derby Trailblazers|13,22,30,7,9",2,1.3,79.0,1,0,3,0.0,0,2,0.0,1,1,100.0,0,0,0,1,0,0,0,0,2,3.3,30.3,52.1,-21.8,0.76,-1
Bristol Hurricanes,"D. Edozie, E. Dusha, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|1,12,31,4,55",1,1.2,74.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,4,1.9,156.2,121.1,35.1,2.43,-1
London Cavaliers,"J. Manning, M. Beasley, D. Braster, D. Ainembabazi, A. Roberts","London Cavaliers|10,15,23,3,4",1,1.2,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.9,0.0,0.0,0.0,0.0,0
Derby Trailblazers,"C. Washington, S. Walker, C. Brown, R. May-Thompson, M. Smith","Derby Trailblazers|13,3,4,7,9",1,1.2,73.0,4,2,3,66.7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,3.8,104.2,72.3,31.8,3.29,2
Birmingham Rockets,"R. Blain, Z. Powell, E. Donaldson, L. Mcgregor, F. Mughaal","Birmingham Rockets|0,14,3,6,7",1,1.2,75.0,4,0,2,0.0,0,2,0.0,4,5,80.0,0,0,0,0,0,0,0,0,0,4.0,99.2,0.0,99.2,3.2,4
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, M. Jones, S. Angus","Newcastle Knights|1,10,11,5,7",1,1.2,71.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,0.0,69.4,-69.4,0.0,-2
Yorkshire Dragons,"D. Ulph, J. Whelan, J. Melke, C. Johnson, N. Lewis","Yorkshire Dragons|10,23,5,9,93",2,1.1,68.0,12,5,5,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,250.0,0.0,250.0,10.59,12
Reading Rockets,"M. Bryant, T. Nsangu, J. Bouknight, Y. Salih, S. Chamberlain","Reading Rockets|10,12,4,5,9",1,1.1,65.0,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,1,0,0,0,0,1,1.9,156.2,36.2,120.1,2.77,2
Reading Rockets,"M. Bryant, J. Bouknight, Y. Salih, E. Poorman, V. Olarerin","Reading Rockets|10,4,5,6,8",1,1.1,64.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.9,69.4,42.7,26.8,1.88,1
Loughborough Riders,"J. Campbell, M. Joiner, M. Wallace, J. Cook, T. Akinsuku","Loughborough Riders|0,11,22,31,36",1,1.1,64.0,1,0,1,0.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,1,0,2,2.3,42.7,69.4,-26.8,0.94,-1
Worthing Thunder,"D. Evans, J. Hopkins, J. Lashley, A. Scarborough, E. Dadds","Worthing Thunder|0,15,35,4,7",1,1.1,63.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0.0,31.4,-31.4,0.0,-1
Birmingham Rockets,"R. Blain, O. Jackman, L. Okosieme, L. Mcgregor, F. Mughaal","Birmingham Rockets|0,13,21,6,7",1,1.1,65.0,4,1,1,100.0,1,1,100.0,1,2,50.0,0,0,0,2,0,0,0,0,2,1.8,221.6,208.3,13.3,3.69,2
Reading Rockets,"M. Bryant, E. Poorman, L. Champion, V. Olarerin, S. Chamberlain","Reading Rockets|10,6,7,8,9",1,1.0,62.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1.9,104.2,217.0,-112.8,1.94,-1
Hemel Storm,"K. Walker, M. Norman, D. Parkinson, B. Inger, S. Newman","Hemel Storm|11,2,23,3,4",2,1.0,60.0,3,1,3,33.3,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,4,2.9,104.2,138.9,-34.7,3.0,-1
Bristol Hurricanes,"D. Edozie, E. Dusha, J. Claar, H. Bligen, C. Samuels","Bristol Hurricanes|1,12,24,33,4",1,1.0,61.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2.9,0.0,138.9,-138.9,0.0,-4
Hemel Storm,"K. Walker, T. Johnson, M. Norman, V. Eze, S. Newman","Hemel Storm|11,12,2,21,4",1,1.0,58.0,5,1,4,25.0,1,4,25.0,2,3,66.7,0,0,0,1,0,0,0,0,2,5.1,97.9,57.2,40.7,5.17,3
Birmingham Rockets,"R. Blain, L. Okosieme, E. Donaldson, L. Mcgregor, M. Gayle","Birmingham Rockets|0,21,3,6,8",1,1.0,60.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2.9,0.0,0.0,0.0,0.0,0
Hemel Storm,"K. Walker, D. Parkinson, B. Inger, S. Newman, J. Burnell","Hemel Storm|11,23,3,4,7",1,1.0,59.0,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,104.2,0.0,104.2,2.03,2
Bristol Hurricanes,"D. Edozie, D. Ubiaro, H. Bligen, C. Samuels, V. Dilys","Bristol Hurricanes|1,31,33,4,55",1,0.9,57.0,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,3,1.8,55.4,217.0,-161.6,1.05,-2
Nottingham Hoods,"M. Sokoli, T. Williams, B. Johnson, S. Akano, M. Savery-Richards","Nottingham Hoods|0,1,25,7,8",1,0.9,52.0,2,0,1,0.0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,1.8,110.8,0.0,110.8,2.31,2
Loughborough Riders,"M. Joiner, M. Wallace, J. Cook, T. Akinsuku, D. Hadley","Loughborough Riders|11,22,31,36,5",1,0.9,52.0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0,0,5,0.4,0.0,260.4,-260.4,0.0,-5
London Cavaliers,"J. Manning, J. Richards, D. Braster, A. Roberts, O. Pond-Mckenzie","London Cavaliers|10,11,23,4,5",1,0.9,53.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,1.9,0.0,208.3,-208.3,0.0,-2
Derby Trailblazers,"C. Washington, S. Walker, H. Beverly, E. Oliver, R. May-Thompson","Derby Trailblazers|13,3,5,6,7",1,0.8,49.0,2,0,0,0,0,0,0,2,4,50.0,0,0,0,0,0,0,1,0,1,2.6,75.5,26.8,48.6,2.45,1
Milton Keynes Breakers,"D. Jackson, J. Dietrich, M. New Jr., X. Wilson, C. Thompson","Milton Keynes Breakers|1,12,15,21,8",1,0.8,45.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.9,0.0,104.2,-104.2,0.0,-2
Milton Keynes Breakers,"D. Jackson, B. Baker-Mccann, M. New Jr., X. Wilson, J. Spencer","Milton Keynes Breakers|1,11,15,21,23",1,0.8,49.0,2,0,2,0.0,0,2,0.0,2,2,100.0,0,0,0,1,0,0,1,0,3,3.7,53.7,53.1,0.5,2.45,-1
Bristol Flyers II,"Y. Hafid, L. Ayinla, R. Eigbe, N. Ladjimi, G. Landolfi","Bristol Flyers II|0,10,13,24,7",1,0.8,47.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.9,0.0,144.7,-144.7,0.0,-4
Milton Keynes Breakers,"D. Jackson, B. Baker-Mccann, J. Dietrich, J. Spencer, C. Thompson","Milton Keynes Breakers|1,11,12,23,8",1,0.8,50.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9,69.4,0.0,69.4,2.4,2
Derby Trailblazers,"C. Burr, C. Washington, J. Pathmarajah, S. Walker, R. May-Thompson","Derby Trailblazers|0,13,22,3,7",1,0.8,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1.0,0.0,104.2,-104.2,0.0,-2
Newcastle Knights,"S. Trunley, J. Thames, N. Saa, M. Jones, T. Riley","Newcastle Knights|10,11,14,5,9",1,0.8,45.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9,104.2,0.0,104.2,2.67,2
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, R. May-Thompson, M. Smith","Derby Trailblazers|13,22,3,7,9",1,0.8,47.0,4,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0,1,0,0,0,0,1,1.4,289.4,72.3,217.0,5.11,3
London Cavaliers,"J. Manning, M. Collins, D. Delsol-Lowry, D. Braster, A. Roberts","London Cavaliers|10,13,21,23,4",1,0.8,49.0,2,1,4,25.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,4.8,41.7,0.0,41.7,2.45,2
Hemel Storm,"M. Sokoli, K. Walker, M. Norman, V. Eze, S. Newman","Hemel Storm|0,11,2,21,4",1,0.8,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.9,0.0,128.1,-128.1,0.0,-3
Birmingham Rockets,"R. Blain, Z. Powell, E. Donaldson, L. Mcgregor, M. Gayle","Birmingham Rockets|0,14,3,6,8",3,0.7,44.0,1,0,1,0.0,0,0,0,1,3,33.3,0,0,0,2,0,0,0,0,0,2.2,44.9,0.0,44.9,1.36,1
Hemel Storm,"D. Nelson-Henry, T. Johnson, M. Norman, B. Inger, S. Newman","Hemel Storm|10,12,2,3,4",1,0.7,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, E. Poorman, L. Champion","Reading Rockets|10,14,4,6,7",1,0.7,41.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,2,0,0,2.9,0.0,0.0,0.0,0.0,0
Milton Keynes Breakers,"B. Baker-Mccann, J. Dietrich, X. Wilson, J. Spencer, C. Thompson","Milton Keynes Breakers|11,12,21,23,8",1,0.7,39.0,5,2,2,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,260.4,0.0,260.4,7.69,5
Milton Keynes Breakers,"B. Baker-Mccann, M. New Jr., X. Wilson, B. Freckleton, C. Thompson","Milton Keynes Breakers|11,15,21,7,8",1,0.7,39.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1.0,208.3,312.5,-104.2,3.08,-1
Nottingham Hoods,"T. Williams, M. Savery-Richards, B. Johnson, D. Nixon Ii, E. Bailey","Nottingham Hoods|1,14,21,24,6",1,0.7,40.0,5,2,2,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,260.4,0.0,260.4,7.5,5
Nottingham Hoods,"D. Nixon Ii, B. Johnson, L. Maitland, E. Bailey, T. Williams","Nottingham Hoods|12,25,55,6,9",1,0.6,33.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,104.2,-104.2,0.0,-2
Yorkshire Dragons,"D. Ulph, L. Rooney, J. Whelan, C. Johnson, N. Lewis","Yorkshire Dragons|10,14,23,9,93",1,0.6,38.0,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,0,2.8,72.3,0.0,72.3,3.16,2
Yorkshire Dragons,"D. Ulph, J. Whelan, L. Rooney, J. Melke, A. Lycoudis","Yorkshire Dragons|10,23,3,5,7",1,0.6,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.1,0.0,128.1,-128.1,0.0,-3
Worthing Thunder,"D. Evans, J. Hopkins, J. Lashley, B. Adeluola, E. Dadds","Worthing Thunder|0,15,35,5,7",1,0.6,36.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,0,0.8,118.4,0.0,118.4,1.67,1
Milton Keynes Breakers,"B. Baker-Mccann, J. Dietrich, M. New Jr., X. Wilson, C. Thompson","Milton Keynes Breakers|11,12,15,21,8",1,0.6,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,118.4,-118.4,0.0,-1
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, M. Jones, R. Reed","Newcastle Knights|1,10,11,5,6",1,0.6,33.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,72.3,-72.3,0.0,-1
