Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Bristol Hurricanes,"D. Edozie, E. Dusha, K. Hill, D. Ubiaro, C. Samuels","Bristol Hurricanes|1,12,2,31,4",1,8.1,488.0,11,3,14,21.4,0,3,0.0,5,9,55.6,0,0,0,0,0,0,0,0,14,17.2,63.8,71.1,-7.3,1.35,-3
Nottingham Hoods,"T. Williams, B. Johnson, D. Nixon Ii, E. Bailey, S. Akano","Nottingham Hoods|1,21,24,6,7",1,7.6,454.0,21,8,15,53.3,3,9,33.3,2,6,33.3,0,0,0,2,0,0,2,0,13,18.9,111.4,82.4,29.0,2.78,8
Essex Rebels,"M. Amako, K. Martin, M. Brown, T. Child, T. Hudson","Essex Rebels|1,10,2,22,9",3,7.5,453.0,18,4,9,44.4,1,4,25.0,9,10,90.0,0,0,0,3,0,0,4,0,20,16.7,107.8,96.8,10.9,2.38,-2
Yorkshire Dragons,"J. Whelan, L. Rooney, J. Melke, A. Lycoudis, C. Johnson","Yorkshire Dragons|23,3,5,7,9",1,7.5,453.0,20,8,14,57.1,2,6,33.3,2,2,100.0,0,0,0,4,0,0,3,0,20,17.2,116.5,119.5,-2.9,2.65,0
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, R. Marsden, C. Brown","Derby Trailblazers|13,22,3,30,4",2,7.4,446.0,18,8,11,72.7,0,0,0,2,3,66.7,0,0,0,6,0,0,3,0,9,14.7,122.4,67.5,54.8,2.42,9
Derby Trailblazers,"J. Pathmarajah, S. Walker, C. Brown, R. May-Thompson, M. Smith","Derby Trailblazers|22,3,4,7,9",2,7.3,436.0,19,5,11,45.5,2,4,50.0,7,7,100.0,0,0,0,5,0,0,0,0,17,13.5,140.6,112.4,28.2,2.61,2
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, E. Maynard, B. Adeluola","Worthing Thunder|0,11,15,22,5",4,7.1,427.0,15,6,12,50.0,1,5,20.0,2,4,50.0,0,0,0,5,0,0,1,0,20,14.2,105.9,118.1,-12.2,2.11,-5
Bristol Hurricanes,"D. Edozie, D. Forsyth, D. Ubiaro, H. Bligen, C. Taylor","Bristol Hurricanes|1,11,31,33,9",1,7.0,421.0,9,4,11,36.4,0,1,0.0,1,2,50.0,0,0,0,3,0,0,2,0,7,13.3,67.5,42.4,25.1,1.28,2
Yorkshire Dragons,"R. Ani, D. Ulph, J. Whelan, J. Melke, N. Lewis","Yorkshire Dragons|1,10,23,5,93",2,6.9,415.0,16,5,12,41.7,2,5,40.0,4,8,50.0,0,0,0,3,0,0,0,0,12,14.9,107.4,73.2,34.2,2.31,4
Reading Rockets,"L. Sayles, C. Creek, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|11,14,4,6,8",1,6.7,404.0,18,8,18,44.4,2,6,33.3,0,1,0.0,0,0,0,3,0,0,3,0,17,20.6,87.5,126.5,-39.0,2.67,1
