Canonical,Team,Numbers,Variations
D. Jackson,Milton Keynes Breakers,1/10/9,D. Jackson
C. Thompson,Milton Keynes Breakers,10/8,C. Thompson
J. Dietrich,Milton Keynes Breakers,12,J. Dietrich
M. New Jr,Milton Keynes Breakers,15,M. New Jr
J. Spencer,Milton Keynes Breakers,23,J. Spencer
K. Oates,Milton Keynes Breakers,4/5,K. Oates
B. Freckleton,Milton Keynes Breakers,13/7,B. Freckleton
B. Baker-Mccann,Milton Keynes Breakers,11,B. Baker-Mccann
L. Gregory,Milton Keynes Breakers,13,L. Gregory
K. Williams,Milton Keynes Breakers,0/14,K. Williams
X. Wilson,Milton Keynes Breakers,21,X. Wilson
C. Tawiah,Milton Keynes Breakers,25,C. Tawiah
A. Roberts,London Cavaliers,4,A. Roberts
J. Manning,London Cavaliers,10,J. Manning
M. Collins,London Cavaliers,13,M. Collins
M. Beasley,London Cavaliers,15,M. Beasley
D. Braster,London Cavaliers,23,D. Braster
D. Ainembabazi,London Cavaliers,3,D. Ainembabazi
O. Pond-Mckenzie,London Cavaliers,5,O. Pond-Mckenzie
D. Defreitas-Smith Jr,London Cavaliers,6/7,D. Defreitas-Smith Jr
K. Panchal-Bedward,London Cavaliers,7,K. Panchal-Bedward
J. Richards,London Cavaliers,11,J. Richards
J. Melke,Yorkshire Dragons,5,J. Melke
C. Jonhson,Yorkshire Dragons,9,C. Jonhson
D. Ulph,Yorkshire Dragons,10,D. Ulph
J. Whelan,Yorkshire Dragons,23,J. Whelan
N. Lewis,Yorkshire Dragons,93,N. Lewis
R. Ani,Yorkshire Dragons,1,R. Ani
E. Brownell,Yorkshire Dragons,2,E. Brownell
A. Lycoudis,Yorkshire Dragons,11/7,A. Lycoudis
J. Colon,Yorkshire Dragons,11,J. Colon
R. Sulcs,Yorkshire Dragons,13,R. Sulcs
B. Dean,Newcastle Knights,1,B. Dean
M. Mathews,Newcastle Knights,8,M. Mathews
S. Trunley,Newcastle Knights,10,S. Trunley
J. Thames,Newcastle Knights,11,J. Thames
F. Cork,Newcastle Knights,13,F. Cork
T. Riley,Newcastle Knights,15/2/3/9,T. Riley
S. Angus,Newcastle Knights,7,S. Angus
"M. Felletti-O""donnell",Newcastle Knights,9,"M. Felletti-O""donnell"
J. Soodeen,Newcastle Knights,12/6,J. Soodeen
N. Saa,Newcastle Knights,14,N. Saa
W. Neighbour,Newcastle Knights,15,W. Neighbour
Y. Hafid,Bristol Flyers II,0/5,Y. Hafid
L. Ayinla,Bristol Flyers II,10/14,L. Ayinla
R. Eigbe,Bristol Flyers II,13/15,R. Eigbe
N. Sagkovits,Bristol Flyers II,21,N. Sagkovits
N. Ladjimi,Bristol Flyers II,24/8,N. Ladjimi
A. Bhebhe,Bristol Flyers II,4,A. Bhebhe
M. Dinnall,Bristol Flyers II,5,M. Dinnall
G. Landolfi,Bristol Flyers II,7,G. Landolfi
T. Browne,Bristol Flyers II,7/8,T. Browne
A. Dyer,Bristol Flyers II,9,A. Dyer
R. Price,Bristol Flyers II,11,R. Price
J. Craggs,Bristol Flyers II,12,J. Craggs
A. Scarborough,Worthing Thunder,4,A. Scarborough
E. Dadds,Worthing Thunder,7,E. Dadds
M. Bryan-Amaning,Worthing Thunder,11,M. Bryan-Amaning
J. Hopkins,Worthing Thunder,15,J. Hopkins
E. Maynard,Worthing Thunder,22,E. Maynard
C. Mcavoy-Smith,Worthing Thunder,1,C. Mcavoy-Smith
B. Adeluola,Worthing Thunder,5,B. Adeluola
B. Lomeka,Worthing Thunder,9,B. Lomeka
T. Dejesus,Worthing Thunder,26,T. Dejesus
A. Price,Worthing Thunder,88,A. Price
M. Brown,Essex Rebels,2,M. Brown
C. Briggs,Essex Rebels,4,C. Briggs
R. Udeh,Essex Rebels,14,R. Udeh
T. Child,Essex Rebels,22,T. Child
H. Gent,Essex Rebels,36,H. Gent
M. Wol-Cummings,Essex Rebels,0,M. Wol-Cummings
M. Amako,Essex Rebels,1,M. Amako
J. Mckew,Essex Rebels,7,J. Mckew
T. Hudson,Essex Rebels,9,T. Hudson
K. Martin,Essex Rebels,10,K. Martin
A. Idiata-Mendez,Essex Rebels,20,A. Idiata-Mendez
D. Edozie,Bristol Hurricanes,1,D. Edozie
E. Ekwegh,Bristol Hurricanes,13/6/7/8/9,E. Ekwegh
E. Dusha,Bristol Hurricanes,12,E. Dusha
J. Claar,Bristol Hurricanes,24,J. Claar
V. Dilys,Bristol Hurricanes,55,V. Dilys
A. Pierce,Bristol Hurricanes,0,A. Pierce
K. Hill,Bristol Hurricanes,2/4,K. Hill
C. Tucker,Bristol Hurricanes,3,C. Tucker
C. Samuels,Bristol Hurricanes,2/4,C. Samuels
D. Forsyth,Bristol Hurricanes,11,D. Forsyth
H. Bligen,Bristol Hurricanes,33,H. Bligen
M. Norman,Hemel Storm,2,M. Norman
B. Inger,Hemel Storm,3,B. Inger
S. Newman,Hemel Storm,4,S. Newman
D. Nelson-Henry,Hemel Storm,10,D. Nelson-Henry
K. Walker,Hemel Storm,11,K. Walker
J. Rai,Hemel Storm,5,J. Rai
J. Burnell,Hemel Storm,7,J. Burnell
J. Chater,Hemel Storm,8,J. Chater
J. Bielak,Hemel Storm,9,J. Bielak
V. Eze,Hemel Storm,21,V. Eze
D. Parkinson,Hemel Storm,23,D. Parkinson
J. Bouknight,Reading Rockets,4,J. Bouknight
E. Poorman,Reading Rockets,6,E. Poorman
V. Olarerin,Reading Rockets,8,V. Olarerin
M. Bryant,Reading Rockets,10,M. Bryant
C. Creek,Reading Rockets,14,C. Creek
M. Allman,Reading Rockets,5,M. Allman
L. Champion,Reading Rockets,7,L. Champion
S. Chamberlain,Reading Rockets,9,S. Chamberlain
N. Dent,Reading Rockets,13,N. Dent
J. Waterhouse,Reading Rockets,11/15,J. Waterhouse
M. Daines,Reading Rockets,16,M. Daines
H. Beverly,Derby Trailblazers,5,H. Beverly
E. Oliver,Derby Trailblazers,6,E. Oliver
R. May-Thompson,Derby Trailblazers,7,R. May-Thompson
C. Washington,Derby Trailblazers,13,C. Washington
R. Marsden,Derby Trailblazers,30,R. Marsden
C. Burr,Derby Trailblazers,0,C. Burr
S. Walker,Derby Trailblazers,3,S. Walker
C. Brown,Derby Trailblazers,4,C. Brown
J. Lemon,Derby Trailblazers,6/9,J. Lemon
E. Norman,Derby Trailblazers,12,E. Norman
E. Lawrence,Derby Trailblazers,14,E. Lawrence
J. Pathmarajah,Derby Trailblazers,22,J. Pathmarajah
R. Blain,Birmingham Rockets,0,R. Blain
E. Donaldson,Birmingham Rockets,3,E. Donaldson
L. Mcgregor,Birmingham Rockets,6,L. Mcgregor
Z. Powell,Birmingham Rockets,14,Z. Powell
L. Okosieme,Birmingham Rockets,21,L. Okosieme
F. Mughal,Birmingham Rockets,7,F. Mughal
M. Gayle,Birmingham Rockets,8,M. Gayle
A. Bonnick,Birmingham Rockets,10,A. Bonnick
T. Grayling,Birmingham Rockets,12,T. Grayling
O. Jackman,Birmingham Rockets,13,O. Jackman
J. Campbell,Loughborough Riders,0,J. Campbell
M. Joiner,Loughborough Riders,11,M. Joiner
P. Karras,Loughborough Riders,15,P. Karras
J. Cook,Loughborough Riders,12/31,J. Cook
T. Akinsiku,Loughborough Riders,36,T. Akinsiku
L. Campbell,Loughborough Riders,4,L. Campbell
D. Hadley,Loughborough Riders,5,D. Hadley
O. Curran,Loughborough Riders,6,O. Curran
B. Woog,Loughborough Riders,10/7,B. Woog
S. Wylie,Loughborough Riders,43,S. Wylie
M. Sokoli,Nottingham Hoods,0/2/3,M. Sokoli
T. Williams,Nottingham Hoods,0/1/9,T. Williams
E. Bailey,Nottingham Hoods,6,E. Bailey
M. Salvery-Richards,Nottingham Hoods,14,M. Salvery-Richards
D. Nixon Ii,Nottingham Hoods,12/24,D. Nixon Ii
A. Sandu-Nelson,Nottingham Hoods,5,A. Sandu-Nelson
S. Akano,Nottingham Hoods,7,S. Akano
S. Perry,Nottingham Hoods,11,S. Perry
A. Thomson,Nottingham Hoods,11/21,A. Thomson
L. Maitland,Nottingham Hoods,23/55,L. Maitland
T. Bonsu,Nottingham Hoods,13/2/25,T. Bonsu
M. Matthews,Newcastle Knights,8,M. Matthews
M. Jones,Newcastle Knights,5,M. Jones
