Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Recoletas Salud San Pablo Burgos,Sergi García,17,S. García,5,5.0,25.1,3.0,0.6,1.0,3.0,33.3,1.0,2.0,50,0.0,0.0,0,2.0,2.0,4.0,3.0,2.0,0.0,4.0,4.0,4.8,9.5,0.2,0.2,0.2,8,11.0,2.2,0.7,0,0,0,0,0,0.0,0,-5.75,-10.22,4.47,2.8,3.9,0.0,0.0,0,1.0,0.0,0,2.0,1.0,50,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Recoletas Salud San Pablo Burgos,Augusto Lima,32,A. Lima,5,2.8,13.8,3.0,0.6,1.0,2.0,50,0.0,0.0,0,1.0,2.0,50,4.0,2.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.2,0.0,0.4,0,3.0,0.6,0.2,0,0,0,0,0,0.0,0,-13.85,-13.64,-0.21,4.0,4.3,0.0,0.0,0,2.0,1.0,50,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
UCAM Murcia,R. López,16,R. López,5,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-4.34,-6.47,2.13,3.0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recoletas Salud San Pablo Burgos,R. Rodríguez,5,R. Rodríguez,5,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-7.84,-8.39,0.55,3.0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baskonia,Kobi Simmons,2,K. Simmons,4,24.6,98.5,53.0,13.2,20.0,42.0,47.6,8.0,19.0,42.1,5.0,5.0,100,3.0,9.0,12.0,9.0,2.0,0.0,8.0,13.0,47.2,24.9,9.8,1.7,2.2,19,72.0,18.0,13.3,0,0,0,0,0,0.0,0,-1.69,-2.72,1.03,2.7,2.9,1.0,1.0,100,22.0,11.0,50,19.0,8.0,42.1,0.0,2.0,0.0,0.0,0.0,8.0,7.0,5.0,9.0
Unicaja,David Kravish,45,D. Kravish,4,16.0,64.0,26.0,6.5,12.0,23.0,52.2,2.0,5.0,40,0.0,0.0,0,4.0,8.0,12.0,5.0,0.0,0.0,4.0,8.0,22.1,18.4,1.7,0.3,0.8,13,39.0,9.8,2.6,6,6.0,4,0,75.0,5.0,1,-3.02,-4.66,1.64,3.4,3.7,1.0,1.0,100,16.0,9.0,56.2,5.0,2.0,40,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,8.0
BAXI Manresa,Pauly Paulicap,22,P. Paulicap,4,5.5,22.1,4.0,1.0,1.0,3.0,33.3,0.0,0.0,0,2.0,2.0,100,0.0,3.0,3.0,0.0,0.0,1.0,3.0,6.0,6.6,15.1,0.3,0.0,0.2,0,4.0,1.0,0.3,0,0,0,0,0,0.0,0,-14.82,-16.56,1.73,3.7,4.4,0.0,0.0,0,3.0,1.0,33.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
Casademont Zaragoza,Carlos Alías,17,C. Alías,4,0.5,1.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-33.85,-27.59,-6.25,3.0,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Surne Bilbao,B. Errasti,5,B. Errasti,4,0.4,1.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-5.98,-6.78,0.8,3.0,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiopos Lleida,Pol Rios,50,P. Rios,4,0.6,2.3,0.0,0.0,0.0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9,44.7,0.0,0.1,0.0,2,2.0,0.5,0.1,0,0,0,0,0,0.0,0,-27.19,-20.04,-7.15,2.8,3.8,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casademont Zaragoza,Devin Robinson,0,D. Robinson; M. Spissu,3,45.8,137.4,56.0,18.7,20.0,40.0,50,3.0,10.0,30,13.0,14.0,92.9,7.0,18.0,25.0,16.0,7.0,0.0,4.0,15.0,41.4,15.5,3.6,1.0,1.6,152,208.0,69.3,13.3,0,0,0,0,0,0.0,0,2.75,-1.93,4.67,2.6,2.7,4.0,4.0,100,56.0,30.0,53.6,20.0,6.0,30,0.0,4.0,0.0,0.0,0.0,8.0,18.0,8.0,18.0
MoraBanc Andorra,Xavier Castañeda,1,X. Castañeda,3,15.6,46.7,37.0,12.3,10.0,27.0,37,7.0,14.0,50,10.0,13.0,76.9,0.0,3.0,3.0,7.0,1.0,0.0,4.0,6.0,35.3,40.8,2.5,0.5,0.2,18,55.0,18.3,3.7,3,1.0,3,5,28.8,6.2,3,1.45,2.04,-0.58,2.2,2.3,0.0,0.0,0,13.0,3.0,23.1,14.0,7.0,50,0.0,4.0,0.0,0.0,0.0,4.0,11.0,11.0,2.0
Bàsquet Girona,Maxi Fjellerup,2,M. Fjellerup,3,13.1,39.2,20.0,6.7,6.0,15.0,40,0.0,0.0,0,8.0,10.0,80,0.0,5.0,5.0,3.0,0.0,0.0,3.0,7.0,21.5,28.4,1.3,0.2,0.3,7,27.0,9.0,1.7,6,3.0,3,4,63.0,4.8,2,-8.38,-9.21,0.83,3.1,3.7,0.0,0.0,0,15.0,6.0,40,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0
Casademont Zaragoza,Josh Richardson,11,J. Richardson,3,17.8,53.4,20.0,6.7,7.0,24.0,29.2,4.0,10.0,40,2.0,3.0,66.7,0.0,5.0,5.0,3.0,1.0,1.0,4.0,5.0,28.1,27.1,1.3,0.2,0.3,7,27.0,9.0,1.7,0,0.0,1,0,0.0,2.0,1,-9.52,-9.3,-0.22,2.9,4.6,0.0,0.0,0,14.0,3.0,21.4,10.0,4.0,40,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0
Real Madrid,Bruno Fernando,20,B. Fernando,3,10.1,30.4,12.0,4.0,5.0,11.0,45.5,0.0,0.0,0,2.0,4.0,50,6.0,5.0,11.0,1.0,2.0,1.0,4.0,5.0,10.3,17.8,0.8,0.1,0.7,3,15.0,5.0,1.0,0,0.0,1,0,0.0,1.0,1,-5.09,-7.87,2.78,4.0,4.5,1.0,1.0,100,9.0,4.0,44.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0
