Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,Transition,#2Prentiss Nixon,17,11.8%,38%,17,1.000,38%,Average,11,3,8,27.3%,36.4%,1.10,0.73,-0.37,55.2%,15,5.9%,29.4%,0.91,23.5%,47.1%,5,1,4,20.0%,6,2,4,33.3%,0.55
Sheffield Sharks,Transition,#9Jordan Ratinho,14,9.7%,50%,19,1.357,83%,Very Good,12,7,5,58.3%,75.0%,1.27,1.50,+0.23,73.8%,13,7.1%,7.1%,0.17,7.1%,57.1%,4,3,1,75.0%,8,4,4,50.0%,0.67
Sheffield Sharks,Transition,#4William Lee,12,8.3%,7%,18,1.500,93%,Excellent,12,9,3,75.0%,75.0%,1.42,1.50,+0.08,75.0%,12,0.0%,0.0%,0.00,0.0%,75.0%,9,9,0,100.0%,3,0,3,0.0%,0.25
Sheffield Sharks,Transition,#11Rodney Glasgow,11,7.6%,17%,9,0.818,10%,Poor,11,4,7,36.4%,40.9%,0.99,0.82,-0.17,40.9%,11,0.0%,0.0%,0.00,0.0%,36.4%,5,3,2,60.0%,6,1,5,16.7%,0.55
Sheffield Sharks,Transition,#23Jalen Deloach,5,3.5%,-,6,1.200,-,-,2,2,0,100.0%,100.0%,1.56,2.00,+0.44,64.7%,5,20.0%,60.0%,3.00,60.0%,60.0%,2,2,0,100.0%,0,0,0,-,0.00
Sheffield Sharks,Transition,#15Mike Ochereobia,3,2.1%,-,4,1.333,-,-,3,2,1,66.7%,66.7%,1.49,1.33,-0.16,66.7%,3,0.0%,0.0%,0.00,0.0%,66.7%,3,2,1,66.7%,0,0,0,-,0.00
Sheffield Sharks,Transition,#5Mervin James,2,1.4%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,1.20,0.00,-1.20,0.0%,1,50.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,0,0,0,-,0.00
Sheffield Sharks,Cut,#24Nick Kern,18,21.4%,23%,21,1.167,45%,Average,14,8,6,57.1%,57.1%,1.28,1.14,-0.14,61.5%,17,5.6%,22.2%,0.50,22.2%,61.1%,14,8,6,57.1%,0,0,0,-,0.00
Sheffield Sharks,Cut,#23Jalen Deloach,17,20.2%,77%,27,1.588,91%,Excellent,12,11,1,91.7%,91.7%,1.49,1.83,+0.34,84.6%,16,5.9%,29.4%,0.75,29.4%,88.2%,12,11,1,91.7%,0,0,0,-,0.00
Sheffield Sharks,Cut,#4William Lee,13,15.5%,50%,14,1.077,23%,Below Average,11,6,5,54.5%,54.5%,1.28,1.09,-0.19,58.9%,12,7.7%,7.7%,0.18,7.7%,53.8%,11,6,5,54.5%,0,0,0,-,0.00
Sheffield Sharks,Cut,#1Dirk Williams,10,11.9%,5%,12,1.200,50%,Average,9,5,4,55.6%,55.6%,1.11,1.11,0.00,60.7%,10,0.0%,10.0%,0.22,10.0%,60.0%,9,5,4,55.6%,0,0,0,-,0.00
Sheffield Sharks,Cut,#9Jordan Ratinho,9,10.7%,-,6,0.667,-,-,6,2,4,33.3%,33.3%,1.27,0.67,-0.60,43.6%,7,22.2%,11.1%,0.33,11.1%,33.3%,6,2,4,33.3%,0,0,0,-,0.00
Sheffield Sharks,Cut,#15Mike Ochereobia,7,8.3%,-,8,1.143,-,-,7,4,3,57.1%,57.1%,1.30,1.14,-0.16,57.1%,7,0.0%,0.0%,0.00,0.0%,57.1%,7,4,3,57.1%,0,0,0,-,0.00
Sheffield Sharks,Cut,#2Prentiss Nixon,4,4.8%,-,6,1.500,-,-,4,3,1,75.0%,75.0%,1.30,1.50,+0.20,75.0%,4,0.0%,0.0%,0.00,0.0%,75.0%,4,3,1,75.0%,0,0,0,-,0.00
Sheffield Sharks,Cut,#11Rodney Glasgow,4,4.8%,-,6,1.500,-,-,4,3,1,75.0%,75.0%,1.12,1.50,+0.38,75.0%,4,0.0%,0.0%,0.00,0.0%,75.0%,4,3,1,75.0%,0,0,0,-,0.00
Sheffield Sharks,Cut,#3Rodney Chatman,2,2.4%,-,2,1.000,-,-,2,1,1,50.0%,50.0%,1.08,1.00,-0.08,50.0%,2,0.0%,0.0%,0.00,0.0%,50.0%,2,1,1,50.0%,0,0,0,-,0.00
Sheffield Sharks,Miscellaneous Plays,#3Rodney Chatman,17,22.4%,60%,17,1.000,87%,Excellent,2,2,0,100.0%,100.0%,0.91,2.00,+1.09,94.0%,9,41.2%,47.1%,8.00,0.0%,58.8%,2,2,0,100.0%,0,0,0,-,0.00
Sheffield Sharks,Miscellaneous Plays,#23Jalen Deloach,13,17.1%,93%,0,0.000,0%,Poor,2,0,2,0.0%,0.0%,0.66,0.00,-0.66,0.0%,2,84.6%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,1,0,1,0.0%,0.50
Sheffield Sharks,Miscellaneous Plays,#24Nick Kern,10,13.2%,13%,4,0.400,33%,Average,2,0,2,0.0%,0.0%,0.40,0.00,-0.40,31.3%,6,30.0%,50.0%,5.00,0.0%,30.0%,0,0,0,-,2,0,2,0.0%,1.00
Sheffield Sharks,Miscellaneous Plays,#15Mike Ochereobia,8,10.5%,-,1,0.125,-,-,0,0,0,-,-,-,-,-,56.8%,1,87.5%,12.5%,-,0.0%,12.5%,0,0,0,-,0,0,0,-,-
Sheffield Sharks,Miscellaneous Plays,#9Jordan Ratinho,7,9.2%,-,1,0.143,-,-,1,0,1,0.0%,0.0%,0.17,0.00,-0.17,26.6%,2,71.4%,14.3%,2.00,0.0%,14.3%,0,0,0,-,1,0,1,0.0%,1.00
