Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Teesside Lions Senior Men,J. Wise-Malcolm,31,J. Wise-Malcolm,12,19.4,232.8,77.0,6.4,31.0,62.0,50,1.0,6.0,16.7,14.0,36.0,38.9,25.0,51.0,76.0,6.0,8.0,8.0,16.0,22.0,66.1,14.0,4.8,0.4,4.7,17,94.0,7.8,5.8,10,5.0,7,6,51.9,10.6,2,-3.2,-4.33,1.12,5.0,3.8,34.0,17.0,50,21.0,12.0,57.1,6.0,1.0,16.7,11.0,0.0,5.0,8.0,1.0,2.0,26.0,30.0,13.0
Richmond Knights Senior Men,I. Stephens,22/33/44,I. Stephens,12,16.0,192.1,66.0,5.5,26.0,79.0,32.9,8.0,27.0,29.6,6.0,11.0,54.5,8.0,21.0,29.0,18.0,6.0,2.0,30.0,25.0,101.6,24.6,5.1,1.4,2.2,65,131.0,10.9,10.1,19,3.8,14,1,65.8,19.4,5,-7.11,-9.09,1.98,2.9,3.3,26.0,12.0,46.2,26.0,6.0,23.1,27.0,8.0,29.6,8.0,3.0,14.0,9.0,1.0,6.0,19.0,13.0,24.0
Liverpool Senior Men,P. Deveney,10/11/14/9,P. Deveney,12,13.1,157.0,60.0,5.0,25.0,62.0,40.3,5.0,18.0,27.8,5.0,10.0,50,7.0,24.0,31.0,9.0,9.0,1.0,14.0,30.0,70.5,20.7,3.4,0.5,1.7,147,207.0,17.2,11.7,12,3.0,8,0,75.0,11.0,4,-3.43,-7.15,3.72,3.2,3.7,13.0,7.0,53.8,31.0,13.0,41.9,18.0,5.0,27.8,3.0,0.0,3.0,8.0,1.0,2.0,9.0,10.0,17.0
Birmingham City University Senior Men,S. Lyn,12/17/9,S. Lyn,12,11.9,142.6,59.0,4.9,26.0,53.0,49.1,7.0,19.0,36.8,0.0,2.0,0,8.0,17.0,25.0,10.0,10.0,2.0,14.0,14.0,57.5,18.3,3.4,0.6,1.4,148,207.0,17.2,11.8,3,3.0,1,0,150.0,1.0,1,2.79,-3.05,5.84,3.1,3.3,29.0,17.0,58.6,5.0,2.0,40,19.0,7.0,36.8,8.0,2.0,4.0,7.0,0.0,3.0,4.0,19.0,19.0
Manchester Magic Senior Men I,T. Regent-Bascombe,11/12/14/16,T. Regent-Bascombe,12,19.0,228.0,54.0,4.5,21.0,60.0,35,8.0,32.0,25,4.0,6.0,66.7,9.0,28.0,37.0,17.0,6.0,1.0,14.0,15.0,64.9,14.3,3.6,1.1,2.5,110,164.0,13.7,10.9,4,1.3,7,2,25.4,7.9,3,-0.23,-4.83,4.6,3.0,4.3,25.0,12.0,48,3.0,1.0,33.3,32.0,8.0,25,1.0,0.0,8.0,4.0,0.0,2.0,8.0,17.0,17.0
London Stars Senior Men,D. Vazgys,7,D. Vazgys,12,12.5,150.1,48.0,4.0,18.0,46.0,39.1,4.0,16.0,25,8.0,12.0,66.7,7.0,10.0,17.0,3.0,8.0,1.0,12.0,11.0,54.0,16.7,4.0,0.2,1.4,7,55.0,4.6,4.5,0,0,0,0,0,0.0,0,-3.27,-5.95,2.68,2.8,4.4,19.0,9.0,47.4,11.0,5.0,45.5,16.0,4.0,25,4.0,0.0,2.0,5.0,0.0,5.0,4.0,27.0,9.0
Sheffield Sharks Senior Men,C. Johnstone,34/9,C. Johnstone,12,11.1,133.7,41.0,3.4,12.0,53.0,22.6,4.0,28.0,14.3,13.0,19.0,68.4,7.0,25.0,32.0,6.0,5.0,1.0,18.0,13.0,69.5,25.4,2.5,0.4,2.0,16,57.0,4.8,3.5,0,0.0,4,0,0.0,6.0,4,-10.16,-9.98,-0.18,3.5,4.4,20.0,7.0,35,5.0,1.0,20,28.0,4.0,14.3,3.0,2.0,9.0,6.0,0.0,3.0,7.0,6.0,8.0
Teesside Lions Senior Men,G. Groves,18/20,G. Groves,12,10.0,120.6,38.0,3.2,18.0,46.0,39.1,2.0,19.0,10.5,0.0,0.0,0,7.0,19.0,26.0,8.0,3.0,3.0,7.0,11.0,44.2,18.1,2.3,0.5,1.6,21,59.0,4.9,3.6,2,2.0,1,0,100.0,1.0,1,-4.35,-5.4,1.06,3.7,3.7,18.0,12.0,66.7,9.0,4.0,44.4,19.0,2.0,10.5,3.0,1.0,5.0,1.0,0.0,1.0,4.0,16.0,12.0
Cardiff Met Archers Senior Men I,D. Koukouravas,22,D. Koukouravas,12,9.8,117.7,34.0,2.8,12.0,40.0,30,8.0,31.0,25.8,2.0,2.0,100,4.0,10.0,14.0,11.0,7.0,1.0,6.0,16.0,41.2,17.3,2.2,0.7,0.9,23,57.0,4.8,3.7,3,3.0,3,0,50.0,3.0,1,-2.15,-5.05,2.9,2.7,3.4,8.0,3.0,37.5,1.0,1.0,100,31.0,8.0,25.8,3.0,0.0,3.0,3.0,0.0,0.0,7.0,6.0,7.0
Myerscough Basketball Academy Senior Men I,D. Okhuoya,21,D. Okhuoya,12,7.5,90.2,29.0,2.4,13.0,28.0,46.4,1.0,10.0,10,2.0,4.0,50,7.0,7.0,14.0,6.0,3.0,2.0,9.0,8.0,30.5,17.2,1.8,0.4,0.9,17,46.0,3.8,2.9,0,0,0,0,0,0.0,0,-0.57,-4.38,3.81,3.0,3.7,18.0,12.0,66.7,0.0,0.0,0,10.0,1.0,10,8.0,0.0,1.0,6.0,1.0,1.0,9.0,8.0,4.0
Leicester Warriors Senior Men,E. Toure Jabby,14/15,E. Toure Jabby,12,9.4,113.2,26.0,2.2,11.0,35.0,31.4,0.0,1.0,0,4.0,7.0,57.1,13.0,31.0,44.0,1.0,0.0,3.0,8.0,12.0,31.8,13.3,1.5,0.1,2.6,5,31.0,2.6,1.8,0,0.0,2,0,0.0,2.0,1,-9.3,-8.0,-1.31,5.0,5.0,16.0,7.0,43.8,18.0,4.0,22.2,1.0,0.0,0,3.0,0.0,2.0,4.0,1.0,1.0,5.0,2.0,4.0
Barnet Bulldogs Senior Men,K. Akinmoyo,28,K. Akinmoyo,12,8.9,106.2,18.0,1.5,6.0,15.0,40,2.0,4.0,50,4.0,5.0,80,10.0,20.0,30.0,8.0,9.0,1.0,6.0,12.0,12.7,5.8,1.4,0.6,2.4,21,39.0,3.2,3.1,2,2.0,0,2,113.6,0.9,1,4.88,-2.68,7.56,3.6,4.0,5.0,3.0,60,6.0,1.0,16.7,4.0,2.0,50,2.0,0.0,3.0,2.0,0.0,1.0,9.0,2.0,0.0
Cardiff Met Archers Senior Men I,G. Lokmadzhiev,11/12,G. Lokmadzhiev,12,7.9,95.2,17.0,1.4,7.0,23.0,30.4,0.0,0.0,0,3.0,4.0,75,8.0,20.0,28.0,3.0,3.0,1.0,5.0,11.0,20.9,10.8,1.1,0.2,1.8,52,69.0,5.8,4.5,0,0,0,0,0,0.0,0,-6.49,-7.82,1.33,4.4,4.7,14.0,6.0,42.9,9.0,1.0,11.1,0.0,0.0,0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,2.0
St Helens Saints Senior Men,H. Camara,11/13/4/6/8/9,H. Camara,12,4.6,54.7,8.0,0.7,4.0,13.0,30.8,0.0,6.0,0,0.0,4.0,0,3.0,7.0,10.0,4.0,6.0,1.0,5.0,10.0,16.1,14.0,0.5,0.3,0.7,288,296.0,24.7,19.3,0,0.0,1,0,0.0,2.0,1,-3.86,-9.71,5.84,3.0,4.5,4.0,2.0,50,3.0,2.0,66.7,6.0,0.0,0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0
Liverpool Senior Men,K. Mcnally,11/13,K. Mcnally,12,4.8,57.0,6.0,0.5,3.0,13.0,23.1,0.0,2.0,0,0.0,0.0,0,4.0,9.0,13.0,3.0,1.0,0.0,6.0,5.0,14.4,11.7,0.3,0.2,0.7,22,28.0,2.3,1.6,0,0,0,0,0,0.0,0,-9.22,-10.16,0.94,3.3,4.6,10.0,3.0,30,1.0,0.0,0,2.0,0.0,0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0
Teesside Lions Senior Men,A. Harris-Gilbert,3/42,A. Harris-Gilbert,12,2.8,34.1,2.0,0.2,1.0,6.0,16.7,0.0,2.0,0,0.0,2.0,0,3.0,3.0,6.0,3.0,0.0,0.0,2.0,1.0,5.6,8.2,0.1,0.2,0.4,8,10.0,0.8,0.6,0,0,0,0,0,0.0,0,-10.19,-8.15,-2.05,3.0,4.2,3.0,1.0,33.3,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
