Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Nässjö Basket,"Mirko Djeric, Dartaye Ruffin, Mio Hjalmarsson, Anton Johansson, Emmanuel Kuac","Nässjö Basket|1,21,3,4,6",1,Mirko Djeric,21,Dartaye Ruffin,9,18,0,9,5,1.8,3.6
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Michael Marsh","Jämtland Basket|0,22,25,3,5",3,Adam Johansson,0,Keaston Willis,6,18,6,0,3,2.0,6.0
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",0,Tim Schüberg,34,Benjamin Middlebrooks,7,18,4,3,5,1.4,3.6
BC Luleå,"Felix Broström, Robert Carpenter, Caleb McGill, Daniel Hansson, Gustav Hansson","BC Luleå|17,21,24,6,7",7,Gustav Hansson,21,Robert Carpenter,8,17,1,7,6,1.33,2.83
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",0,Tim Schüberg,88,Zachary Harvey,7,17,3,4,6,1.17,2.83
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Johansson","Nässjö Basket|1,11,17,2,4",1,Mirko Djeric,17,Abdou Medjedoub,8,16,0,8,4,2.0,4.0
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Anton Lindqvist, Dartaye Ruffin","Nässjö Basket|1,11,2,20,21",1,Mirko Djeric,21,Dartaye Ruffin,8,16,0,8,6,1.33,2.67
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Lindqvist","Nässjö Basket|1,11,17,2,20",2,Steven Strong Jr,1,Mirko Djeric,6,16,4,2,5,1.2,3.2
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Anton Lindqvist, Dartaye Ruffin, Mio Hjalmarsson","Nässjö Basket|1,11,20,21,3",1,Mirko Djeric,21,Dartaye Ruffin,8,16,0,8,4,2.0,4.0
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",88,Zachary Harvey,34,Benjamin Middlebrooks,6,16,4,2,5,1.2,3.2
BC Luleå,"Robert Carpenter, Caleb McGill, Daniel Hansson, Antonio Daye, Gustav Hansson","BC Luleå|21,24,6,67,7",7,Gustav Hansson,24,Caleb McGill,6,16,4,2,5,1.2,3.2
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Brayden Parker","Jämtland Basket|0,22,25,3,7",3,Adam Johansson,7,Brayden Parker,6,16,4,2,5,1.2,3.2
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",7,Romeo Myrthil,0,Romello White,8,16,0,8,7,1.14,2.29
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Johansson","Nässjö Basket|1,11,17,2,4",1,Mirko Djeric,11,Tyler Patterson,5,15,5,0,4,1.25,3.75
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Johansson","Nässjö Basket|1,11,17,2,4",1,Mirko Djeric,2,Steven Strong Jr,5,15,5,0,4,1.25,3.75
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Anton Lindqvist, Dartaye Ruffin","Nässjö Basket|1,11,2,20,21",1,Mirko Djeric,11,Tyler Patterson,5,14,4,1,5,1.0,2.8
